Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,106852437.72635625,1564316.693316063,166888354.41419864,12696759.409411764,122246533.80152534,0.0
2005-02-01,64848653.45703966,0.0,167234201.3066376,13533343.3632,78727843.71267861,0.0
2005-03-01,35034923.45516127,0.0,166569124.03411734,19716086.431294117,54085932.61393514,0.0
2005-04-01,26666219.165991887,0.0,165960058.36226925,23364676.555811763,49362441.989883356,59388.060072222754
2005-05-01,2714201.0049386374,0.0,156974658.03580493,34186613.44345882,27761005.166022416,154408.95591074252
2005-06-01,2469705.7323060036,0.0,139797065.30403966,46010946.48577254,31065507.24602434,237552.24028889101
2005-07-01,456056.45767929003,0.0,108356760.23348063,46166717.010666676,14873650.485965448,308817.91182148503
2005-08-01,3216039.5740395216,0.0,102948331.68917297,38366610.25553726,35813627.83966467,249429.85438118904
2005-09-01,152341.39053838202,0.0,83394143.10612474,34986592.76224313,9775489.896803979,118776.12014444551
2005-10-01,7338835.484836515,0.0,93849930.873917,22374970.08593726,39809126.86116111,59388.060072222754
2005-11-01,306558.0196445573,0.0,85396504.08960389,21040234.92478431,9581959.968790824,0.0
2005-12-01,1239461.2476485297,0.0,83920035.8629482,19464212.23956078,16121085.90958362,0.0
2006-01-01,3554087.4395698514,0.0,89603689.42782007,20232627.3244549,27918164.02309672,0.0
2006-02-01,1882233.9584196366,0.0,86429120.3834751,24278995.995247055,18325214.247961182,0.0
2006-03-01,46767146.62330884,0.0,144694120.62655818,20737753.955490194,125769900.82188211,0.0
2006-04-01,3561044.731499384,0.0,137272454.04285964,25868592.36966274,21937146.019690506,70824.4977731177
2006-05-01,0.0,0.0,104934777.67156997,36131779.903419614,3609959.825466601,184143.70666330418
2006-06-01,0.0,0.0,75512282.65627798,42760333.60028234,4176922.427592743,283297.9910924708
2006-07-01,2662119.384282555,0.0,84231675.32560043,37048020.996956855,44547280.42704195,368287.41332660837
2006-08-01,0.0,0.0,67719492.71806239,42792291.639050975,5465685.433166881,297462.90440241195
2006-09-01,449712.4997151427,0.0,65229563.35817067,27758418.968149025,11530464.843804229,141648.9955462354
2006-10-01,10220808.792879604,0.0,87491165.7621804,22987188.445129413,55398775.144245625,70824.4977731177
2006-11-01,73730.55197372055,0.0,73357923.94401546,21472921.08086275,2998711.580961338,0.0
2006-12-01,11651260.631985743,0.0,95616359.54866153,13999840.070400001,47909536.30703178,0.0
2007-01-01,4327115.5128425555,0.0,99841292.7914927,10920601.910407845,19262785.657885,0.0
2007-02-01,11626141.464190708,0.0,109883931.17431593,17520776.683082357,39027520.61944751,0.0
2007-03-01,3062533.489751812,0.0,102122549.03186272,26440583.14905098,19255090.69315837,0.0
2007-04-01,7931095.812257002,0.0,104986322.23372388,26463591.89827452,34963698.8198723,70607.46501503403
2007-05-01,61211.21885786065,0.0,86319255.6684172,35659391.19769411,5486822.208293312,183579.41664398814
2007-06-01,0.0,0.0,69336414.24724647,42842170.66212549,4534419.919548082,282429.8600601361
2007-07-01,439068.86103043164,0.0,64069714.72199698,40906690.540800005,19053696.181580722,367158.8332879763
2007-08-01,2078556.3347819485,0.0,63485354.28724477,41593963.28443137,29438190.986333326,296551.3472867481
2007-09-01,5669724.014912874,0.0,71894000.12221207,33600255.49251766,45186005.32223978,141214.93003006806
2007-10-01,6128.694831909383,0.0,64081738.72609124,25497989.58256471,1465545.6206817292,70607.46501503403
2007-11-01,1906300.4930038762,0.0,65406977.09602157,20633716.520509794,18998634.100015882,0.0
2007-12-01,19944793.387574416,0.0,110429004.2764241,9971546.786698034,74938367.35467501,0.0
2008-01-01,32667183.421856556,0.0,154879331.04622337,16254723.620713722,93372233.81236961,0.0
2008-02-01,43806367.63430779,0.0,163790920.30677375,18152786.917294115,70870743.81215227,0.0
2008-03-01,1728696.8358329055,0.0,149730898.50988898,26210132.286133334,13878807.325081402,0.0
2008-04-01,0.0,0.0,123837986.2161674,26556410.227756858,595315.9995533538,68181.93448196555
2008-05-01,1816378.5270932596,0.0,117382863.25509936,26604058.874501962,21788041.41460725,177273.02591991978
2008-06-01,0.0,0.0,81747835.7694997,42133487.33521569,2698590.2910029944,272727.7379278622
2008-07-01,2457748.708269758,0.0,78306575.30344376,43462219.27640782,36072565.329049855,354546.05183983955
2008-08-01,974351.5943284489,0.0,66307287.42697583,39838312.423443146,13450434.999926658,286364.138655754
2008-09-01,253216.11699053037,0.0,61297212.73187401,29564629.305835284,4967510.3588951295,136363.8689639311
2008-10-01,4142050.8817095403,0.0,66056089.29264812,24126566.561568625,29269533.19077398,68181.93448196555
2008-11-01,5892809.366605203,0.0,74862534.46420327,18212882.344141174,32506359.56759369,0.0
2008-12-01,29355506.084313653,0.0,131886335.56751443,12774083.014964707,99153390.20258956,0.0
2009-01-01,10266085.343417274,0.0,146415188.2883768,7503464.9228941165,32298402.987173762,0.0
2009-02-01,86099282.51128103,0.0,165413125.51696536,14168118.655160785,119265338.39503035,0.0
2009-03-01,281364.33443475777,0.0,147508049.56450042,23295871.776533328,5672160.158503139,0.0
2009-04-01,4863271.641508459,0.0,145953580.75886056,24676520.01276864,27906442.920669254,78879.92796796023
2009-05-01,729814.062297153,0.0,122546296.258572,35236714.46545881,12354156.199139258,205087.82832820687
2009-06-01,511811.32398846606,0.0,95539601.2357091,42432911.008141175,14683027.582617722,315519.71187184093
2009-07-01,827478.1465876567,0.0,82132675.29294127,41724036.282713726,20162017.336687353,410175.65665641375
2009-08-01,84189.19540988898,0.0,66463127.01102,37068327.84973334,4798215.338939823,331295.71753737476
2009-09-01,382620.44463193486,0.0,60572906.87303892,31543473.863035303,10121757.343134282,157759.85593592047
2009-10-01,84904.86268887756,0.0,55972723.295968875,26714765.890172556,5925449.001841189,78879.92796796023
2009-11-01,246766.09738503158,0.0,54600364.234988384,21859764.32515295,11967022.689129734,0.0
2009-12-01,23926334.123636525,0.0,133064213.22183451,13197811.210698042,115587994.3211807,0.0
2010-01-01,114485020.86995426,3819368.9528854215,166089546.98962495,16986441.924305886,168316165.5149361,0.0
2010-02-01,84761713.18075855,0.0,166696785.16582528,9614592.23265098,94983543.58960989,0.0
2010-03-01,20789954.869173832,0.0,164988062.30766279,30650473.890572548,49731705.90158387,0.0
2010-04-01,2745781.4884873596,0.0,153467989.3860266,26063334.80240784,17211337.965573777,77705.40368518389
2010-05-01,547693.1376253171,0.0,131703756.1809573,28562992.217043135,7144418.105842622,202034.04375659005
2010-06-01,0.0,0.0,92250226.79120481,45571681.66072939,5414255.491373846,310821.61474073556
2010-07-01,0.0,0.0,63440250.61617046,48528190.65221961,7594772.568484442,404068.0875131801
2010-08-01,1810953.718554585,0.0,61733053.551423274,46156309.73464315,34068338.99713215,326362.6894035355
2010-09-01,0.0,0.0,52340956.31979467,39009666.94626666,120083.54367961007,155410.80737036778
2010-10-01,6546091.3618978765,0.0,83149271.92592049,19690660.355945103,56967361.920283586,77705.40368518389
2010-11-01,5670756.421623815,0.0,96710816.20008998,20154639.198313724,39386939.894107,0.0
2010-12-01,144587835.25494733,35907390.88927686,167078011.31868708,15427562.540815683,266289983.80363703,0.0
2011-01-01,2005883.38826904,0.0,157768775.06128067,15508113.174713727,8204760.305576322,0.0
2011-02-01,70478077.43218291,0.0,166534438.05969056,11463222.298125489,90706962.72871831,0.0
2011-03-01,32888696.07369414,0.0,165827452.1018194,25653024.440015685,57834734.555838674,0.0
2011-04-01,10645176.557288598,0.0,163273506.37000197,24511925.949121565,32531661.968103305,71494.80648939649
2011-05-01,21273140.370969366,0.0,161425301.59502625,28319184.917027455,47558234.02054674,185886.49247433656
2011-06-01,0.0,0.0,117093095.31879835,47346438.97613333,2728253.4739478473,285979.22595758596
2011-07-01,365461.48795199185,0.0,94926166.40164919,48285981.711098045,24737186.84780527,371772.9849486731
2011-08-01,0.0,0.0,66102733.48437609,47202582.23311372,5541363.915739294,300278.18341144413
2011-09-01,1374238.2999780593,0.0,63520281.592254944,30917878.81836079,20456412.10863702,142989.61297879298
2011-10-01,4682763.897560441,0.0,78403317.59702572,25317629.914227456,44729808.38856034,71494.80648939649
2011-11-01,1238871.2139202924,0.0,79238191.05399473,21294611.305137258,21637672.70841644,0.0
2011-12-01,3481183.861508817,0.0,88347985.9508993,12986789.176164703,25392154.734837182,0.0
2012-01-01,7658978.96023247,0.0,95924054.85331927,19144732.522031367,33468350.161422104,0.0
2012-02-01,15135446.550436957,0.0,124391530.57052088,17051293.68707451,60654215.95471307,0.0
2012-03-01,15988518.444097942,0.0,130338427.01376162,33539870.121545095,55475285.008883774,0.0
2012-04-01,1900332.4297894856,0.0,117998819.74648976,31424586.35138823,20312166.175467744,87385.69496264942
2012-05-01,0.0,0.0,89934612.29021487,39296057.93102746,749075.1776857326,227202.82578354116
2012-06-01,0.0,0.0,64227747.41581859,47455385.39992942,0.0,349542.77985059767
2012-07-01,801355.1688061969,0.0,67434715.74682462,39735755.46007843,36794515.49601638,454405.6515670823
2012-08-01,5332593.40053531,0.0,78919102.0766516,37902578.301490195,54025784.924472,367019.9329863121
2012-09-01,1931834.1032976033,0.0,72477075.66357483,34597804.42760786,20755471.346917164,174771.38992529883
2012-10-01,1574099.9751850213,0.0,71710907.33155477,25418846.701788243,18834887.86743092,87385.69496264942
2012-11-01,644174.5382379171,0.0,68251913.71089426,25779733.94101961,12477898.57240255,0.0
2012-12-01,21417831.073717643,0.0,110139181.16501015,16718380.794015685,80023479.32184926,0.0
2013-01-01,7331112.919107577,0.0,121658962.96193263,10767359.885882352,29618254.60191239,0.0
2013-02-01,4794139.743281298,0.0,125039102.03275216,20599999.645639215,28774278.459740087,0.0
2013-03-01,5503289.2914105365,0.0,123001319.02214637,24692825.908870593,28158332.189675305,0.0
2013-04-01,4940306.634355759,0.0,116052566.79846227,27382527.524047066,25293705.30471508,80376.63000369632
2013-05-01,153041.32323771348,0.0,92719069.20422487,42555607.12773333,13582471.369721428,208979.24809407454
2013-06-01,0.0,0.0,67119163.09366731,52567435.87255685,2643711.1971662524,321506.5200147853
2013-07-01,1546508.4223994468,0.0,67972351.83226278,41868836.28909805,37408552.66431339,417958.4961881491
2013-08-01,1728538.626891417,0.0,64249646.800506905,39568067.01703529,25191453.916240253,337581.8589812642
2013-09-01,9777417.788624851,0.0,87397666.05690077,27651040.423701968,60415724.20871331,160753.26000739264
2013-10-01,3409431.815592782,0.0,83975820.24926002,24480792.737835303,22765809.673289828,80376.63000369632
2013-11-01,12048148.236532668,0.0,97188512.50569053,18770689.041043136,44031529.53400636,0.0
2013-12-01,8164419.542274837,0.0,105432792.73873708,17098050.008886278,33506749.784207616,0.0
2014-01-01,1622251.0544070322,0.0,97857148.71312863,23627124.317364708,14294454.587900909,0.0
2014-02-01,3569115.1475564823,0.0,100156212.10887875,18031147.819568623,22425449.083937634,0.0
2014-03-01,511410.6338820404,0.0,92408775.06040937,23002395.131027445,8878315.584881926,0.0
2014-04-01,2311193.650725442,0.0,90641125.58129857,24327356.52494902,16819879.466453586,69862.06372128539
2014-05-01,1773921.0674584724,0.0,85272707.05415569,35437621.84542745,18935872.543581687,181641.36705364258
2014-06-01,0.0,0.0,68027725.47212152,41064232.87293332,80854.47255945271,279448.25488514156
2014-07-01,2397182.628662348,0.0,69817867.52440573,40186665.92703529,32317079.82969581,363282.73410728516
2014-08-01,7564801.585157256,0.0,76762685.54509214,36774054.250556864,48684072.1510604,293420.646456193
2014-09-01,16794943.842678335,0.0,98321822.13792795,31502760.67566274,69717116.98373432,139724.12744257078
2014-10-01,0.0,0.0,75710704.45648111,27783789.48425099,45880.23920738343,69862.06372128539
2014-11-01,0.0,0.0,70812691.00362097,20430572.81376471,7590138.609874888,0.0
2014-12-01,6185535.155990874,0.0,91951791.71137622,13537503.692227451,40862139.55597355,0.0
2015-01-01,4641018.587551931,0.0,93751569.07741785,15251441.089819605,21692237.043413177,0.0
2015-02-01,10661352.387176344,0.0,104975545.283951,19133767.703254893,41019096.29696438,0.0
2015-03-01,4194635.817376323,0.0,100720767.41286564,24019232.747199994,23019084.944061957,0.0
2015-04-01,1407058.8499143368,0.0,93761408.2489473,24707105.07641569,14321119.313672684,86524.01646116345
2015-05-01,18278882.868372016,0.0,113480027.07601766,26540067.2714353,64295042.3097362,224962.44489072243
2015-06-01,375112.3664595083,0.0,87206465.91903697,46280889.94818824,14855992.346509563,346096.0658446538
2015-07-01,853457.9854817444,0.0,74161450.83183041,48459544.20392942,23323515.784529936,449924.88978144486
2015-08-01,933790.9402644053,0.0,69372040.81753719,38686321.126894124,20535657.022421516,363400.85759794083
2015-09-01,332225.644812266,0.0,64827354.75144195,32568245.978729412,9301979.610476276,173048.0329223269
2015-10-01,3554366.6767252637,0.0,72906643.46192546,24236840.66545883,33562520.427718796,86524.01646116345
2015-11-01,574372.2790607875,0.0,73577822.65065189,23160108.09294902,18384649.003580343,0.0
2015-12-01,8371185.709861102,0.0,95081696.69840866,18339968.13359216,48215027.89121,0.0
2016-01-01,33563634.69011682,0.0,140059080.92602828,5804565.038086275,84345583.95582281,0.0
2016-02-01,1154224.8835269166,0.0,128807359.07452914,19859157.922933333,9761660.954961084,0.0
2016-03-01,4123645.4956023777,0.0,125492669.75918017,23198253.018666666,24007209.198920123,0.0
2016-04-01,10608447.15521035,0.0,129490792.4237127,25710369.552666664,40234762.6622735,82176.71013600766
2016-05-01,214166.43280115802,0.0,111205373.05849147,32925287.018431365,13740272.41878588,213659.44307063342
2016-06-01,86380.98909763891,0.0,85186628.22449271,48653340.45797648,12425660.267390812,328706.84054403065
2016-07-01,290309.19538210216,0.0,68234765.59267506,51207355.753701985,16789876.240836624,427318.88614126685
2016-08-01,1289642.34566901,0.0,65455469.404126875,36286730.51624315,22693501.256046347,345142.1557116567
2016-09-01,0.0,0.0,56858543.390338376,35678545.77418823,6032273.113031658,164353.42027201533
2016-10-01,293374.2859227234,0.0,55336193.49327614,24585248.075058825,10667663.515486464,82176.71013600766
2016-11-01,2420559.9751532828,0.0,66030796.10798054,19756663.7606196,32125232.22199127,0.0
2016-12-01,26044924.470241576,0.0,129893555.79482175,14223582.696760783,104131266.85384361,0.0
2017-01-01,88852876.99452135,599060.3247784164,164424442.5104298,13779873.586243138,137762697.6211509,0.0
2017-02-01,36974300.316347025,0.0,165595337.00682515,17675428.720556866,55820623.53329918,0.0
2017-03-01,18232060.82568039,0.0,162783280.30429822,22262989.98714509,37682994.11029855,0.0
2017-04-01,1406319.940067538,0.0,147625477.14971584,25355385.81294118,11525720.051455988,78182.5469703845
2017-05-01,0.0,0.0,115446714.39596699,35596992.18845491,3214954.8149379687,203274.61976810955
2017-06-01,0.0,0.0,72712755.18302707,46915242.83537255,0.0,312730.187881538
2017-07-01,360516.786700758,0.0,70280062.01044199,39899265.45652548,32617076.2934945,406549.2395362191
2017-08-01,886689.8907141151,0.0,64962084.75609046,42143077.19764708,26138034.684584156,328366.6728956039
2017-09-01,1703119.4602649566,0.0,65585206.58040643,31354643.72194509,25510068.498827133,156365.093940769
2017-10-01,0.0,0.0,56750873.1333064,26714587.143121563,61059.63287657987,78182.5469703845
2017-11-01,0.0,0.0,51020436.873515576,23713990.268298037,3140162.8076283615,0.0
2017-12-01,0.0,0.0,47432893.14121619,22394681.846643135,6796461.000671706,0.0
2018-01-01,2903389.223370519,0.0,75121374.12195715,18703102.811325487,49294973.01543697,0.0
2018-02-01,1084083.772411573,0.0,75372916.50421074,20491262.834047057,21501051.37664356,0.0
2018-03-01,5350731.114807379,0.0,84107662.65386772,25637704.229803927,38519413.737698294,0.0
2018-04-01,0.0,0.0,69968986.05870073,31585162.774635293,7524738.115296519,85758.10452897853
2018-05-01,1835488.7647232353,0.0,70020438.9342169,35031438.93894902,28479168.517731447,222971.0770253537
2018-06-01,0.0,0.0,51403289.943759054,46036847.36673725,0.0,343032.4181159141
2018-07-01,2277609.105853945,0.0,53467671.96269494,40458302.992156886,32505393.137541045,445942.1540507074
2018-08-01,161013.07394121547,0.0,48038747.76836318,39644212.204227455,12154925.370117022,360184.06787599623
2018-09-01,29746.3726096359,0.0,42472641.630974196,36351292.415403925,3140772.7662298903,171516.20905795705
2018-10-01,5266877.853034163,0.0,71584182.4538088,19407744.684549022,53700405.255888805,85758.10452897853
2018-11-01,1686626.1890869462,0.0,66174218.55439589,19060117.599403918,15180498.014731646,0.0
2018-12-01,811234.251622873,0.0,62826073.41699269,16532450.240078434,11553041.693452189,0.0
2019-01-01,15014591.64998091,0.0,126993372.04313275,17278964.993019603,96460855.2691406,0.0
2019-02-01,81915921.60502762,813861.408443632,160758618.61324188,15738085.114807839,132233114.69838826,0.0
2019-03-01,93290536.79290907,68332.4669900776,166248696.6567744,18996869.7684549,117845817.07188654,0.0
2019-04-01,12071913.810163861,0.0,162529793.05324996,28641955.327427447,36920629.89559342,74335.63847340512
2019-05-01,78303351.9130513,0.0,166854066.55830473,31652873.28496471,114087226.03654322,193272.66652756705
2019-06-01,0.0,0.0,123680490.01874357,50293663.069882356,6822743.976427539,297342.5538936205
2019-07-01,0.0,0.0,72876642.51352851,60633852.071301945,8908931.059486372,386545.3330551341
2019-08-01,0.0,0.0,42634583.72087631,51780611.57054116,3416297.9141960205,312209.6844003178
2019-09-01,0.0,0.0,34271742.44207705,37432017.500329405,5226892.833813098,148671.27694681025
2019-10-01,0.0,0.0,27950944.807443608,27520077.487035293,566542.4941958233,74335.63847340512
2019-11-01,1279832.4190931236,0.0,101208918.35593742,19806462.436972544,94344268.40455943,0.0
2019-12-01,9006585.387236068,0.0,138098339.59580463,15987463.070486281,61883469.69758957,0.0
