Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,90924262.82794245,0.0,167296005.7445299,3817590.8137882347,95901760.19225022,0.0
2005-02-01,62679569.840618715,0.0,167688187.589684,9876481.232368626,72948232.91814144,0.0
2005-03-01,21052533.87727716,0.0,166307207.60364547,27039968.006572552,46711521.89781117,0.0
2005-04-01,15338331.139809975,0.0,160544900.73950803,37440207.41411765,46956843.629717976,59388.060072222754
2005-05-01,499807.33653067943,0.0,134423832.60628578,49389222.68592159,23613552.93331924,154408.95591074252
2005-06-01,986037.8584255226,0.0,118522433.82570602,42371046.38635294,27218133.223909803,237552.24028889101
2005-07-01,704974.8085246433,0.0,101979444.36683205,35097588.50138039,17435940.233415253,308817.91182148503
2005-08-01,541758.8399634968,0.0,88371421.13866402,57872187.21934902,41404104.32240442,249429.85438118904
2005-09-01,81834.41736484958,0.0,69053170.69634777,37039967.80843922,8428777.339082181,118776.12014444551
2005-10-01,2262816.414799644,0.0,89494330.60409442,17241125.6478353,39885713.91030933,59388.060072222754
2005-11-01,254856.66173444752,0.0,86878084.23892835,11443863.138619607,8105254.360731342,0.0
2005-12-01,2825289.2895798767,0.0,97616804.07565473,6122377.495247057,19450308.398098268,0.0
2006-01-01,3304203.6761321244,0.0,105676300.76349916,7567867.146400002,18892573.28690092,0.0
2006-02-01,2315101.095813044,0.0,102692808.97637814,20129182.494839218,17757901.167759888,0.0
2006-03-01,37453665.31557008,0.0,142207364.180859,34868385.65021962,111836606.17027049,0.0
2006-04-01,41944.11678061889,0.0,112204567.8677603,52089455.053239204,20904477.57881493,70824.4977731177
2006-05-01,5494.232749245788,0.0,81555553.54211989,40883671.44198431,2863959.1368795102,184143.70666330418
2006-06-01,83642.35904844345,0.0,55254300.61026568,48646713.56925489,5053564.034604109,283297.9910924708
2006-07-01,207203.2500299886,0.0,49204240.14864295,66456566.70449413,47525237.59697035,368287.41332660837
2006-08-01,0.0,0.0,37669182.139068164,36897007.67376471,2371513.702050515,297462.90440241195
2006-09-01,40350.785226876455,0.0,33981084.43474897,30723948.96871372,10901007.152821492,141648.9955462354
2006-10-01,1688528.9455155544,0.0,64157635.24916033,26232152.233027454,58023839.294034824,70824.4977731177
2006-11-01,58912.2665059448,0.0,55128256.43607228,11840662.819168631,1480329.2910557329,0.0
2006-12-01,6195171.856054271,0.0,88898259.9084927,4098512.0351529424,44063687.36362762,0.0
2007-01-01,3626071.259559795,0.0,99357797.1535986,3117510.224211765,17203118.72887742,0.0
2007-02-01,6282741.578663843,0.0,108345465.98506238,14574848.926486274,29821616.573630046,0.0
2007-03-01,2040037.8604042672,0.0,83793423.85311307,42228416.77345097,16554331.437336013,0.0
2007-04-01,2368807.190696481,0.0,80465896.26878673,38800546.3597098,32732701.604712658,70607.46501503403
2007-05-01,50365.10292290357,0.0,62414728.24148079,36742620.07498823,2730892.346314215,183579.41664398814
2007-06-01,0.0,0.0,51149111.633934356,35901790.463999994,3015310.0417018677,282429.8600601361
2007-07-01,301860.5135491759,0.0,52443073.1849541,31097948.707858827,20983664.10828339,367158.8332879763
2007-08-01,0.0,0.0,41883512.57772537,59509625.29436862,22512643.65293972,296551.3472867481
2007-09-01,742636.0695516099,0.0,46515338.76514287,33510470.558549024,33184546.013250027,141214.93003006806
2007-10-01,0.0,0.0,41247279.71863785,21877354.209631372,1167372.9649466374,70607.46501503403
2007-11-01,1375695.601688439,0.0,57985424.246076874,9218119.964611763,27331960.09373925,0.0
2007-12-01,13250130.884749508,0.0,109126152.1740089,6349121.901631374,70739980.7143129,0.0
2008-01-01,40769534.08039929,0.0,155779243.13256183,3859736.503780391,91282361.54273264,0.0
2008-02-01,54084873.72990307,0.0,166263360.95904142,6820508.122894119,71389499.6792768,0.0
2008-03-01,2754723.0751481843,0.0,146851655.07910988,27854166.403200004,11197183.5984166,0.0
2008-04-01,0.0,0.0,112285265.08874455,34826194.407278426,191622.4824311339,68181.93448196555
2008-05-01,141130.52611329363,0.0,91922847.22795644,39601024.05763922,18603451.297959574,177273.02591991978
2008-06-01,0.0,0.0,66834821.59202873,35596995.26665098,2003647.0125319927,272727.7379278622
2008-07-01,17732.56751682593,0.0,52724557.47840566,62451046.595984325,34195742.08086265,354546.05183983955
2008-08-01,289727.7258985523,0.0,41456934.988176145,41095793.98683137,10372254.932736155,286364.138655754
2008-09-01,0.0,0.0,34932623.23212091,28179362.18947451,3362456.423838576,136363.8689639311
2008-10-01,1086851.3122201944,0.0,51950145.847601384,14108348.9848,32035284.60813115,68181.93448196555
2008-11-01,1342718.1569082544,0.0,67280178.97209603,5316245.541160785,21972951.308596462,0.0
2008-12-01,15195543.74865001,0.0,141933225.87426338,3844274.0801568627,93692864.73097424,0.0
2009-01-01,16275231.23255073,0.0,152843551.288524,3338286.9867058825,30523843.633517217,0.0
2009-02-01,85322056.22895454,0.0,166286927.4271421,3960790.7960470584,102726223.16361976,0.0
2009-03-01,491689.7706985837,0.0,146850568.40681055,22958394.002470583,4013724.7528375527,0.0
2009-04-01,2814178.4586077826,0.0,118677232.92515041,49882378.80496471,24444341.853944387,78879.92796796023
2009-05-01,0.0,0.0,87270629.09199688,40167395.83133333,8009692.144050736,205087.82832820687
2009-06-01,250795.92271247788,0.0,57423477.42327816,51744566.543482356,8540480.09390045,315519.71187184093
2009-07-01,142058.81472066222,0.0,37440760.98219215,61873602.906368636,11942867.636501342,410175.65665641375
2009-08-01,0.0,0.0,26342368.444563903,43219370.22226666,1573393.2008236903,331295.71753737476
2009-09-01,0.0,0.0,22652402.00470722,29432675.28130981,6504686.4472381035,157759.85593592047
2009-10-01,0.0,0.0,22507585.607881222,17930112.077968627,8130876.589209435,78879.92796796023
2009-11-01,0.0,0.0,22888772.699705034,9502184.971960785,7461751.124939515,0.0
2009-12-01,4260602.999109192,0.0,124827677.53996126,3820126.2018039217,110019634.04116933,0.0
2010-01-01,104940115.74123916,1169405.763917598,166568731.2483275,2833652.7875921577,150684228.00111517,0.0
2010-02-01,93394595.49877523,93062.28113447978,167205637.5495758,2805886.0123137254,96930450.09347174,0.0
2010-03-01,29105307.55472477,0.0,166244221.81963313,21164773.907945096,49308665.732727185,0.0
2010-04-01,2205469.68744751,0.0,144975675.57877886,38862860.947294116,19722078.99020215,77705.40368518389
2010-05-01,0.0,0.0,109582854.39299567,43133983.616164714,7539128.386624955,202034.04375659005
2010-06-01,84823.726667068,0.0,76967755.42151521,42297977.86741176,7238025.18801475,310821.61474073556
2010-07-01,0.0,0.0,47499120.95542698,57131334.184054896,8440624.027489731,404068.0875131801
2010-08-01,250415.79601575626,0.0,38703441.20939322,60207348.733874515,29577746.223667093,326362.6894035355
2010-09-01,0.0,0.0,30127475.728483703,32509453.431858826,561837.4554850189,155410.80737036778
2010-10-01,1594201.8971121684,0.0,71196816.92876725,20663964.06521569,63249801.7589262,77705.40368518389
2010-11-01,2818556.051497305,0.0,90756024.91287178,16973263.076517653,39351027.11211952,0.0
2010-12-01,114424243.55516261,2553937.676955637,167076828.37280032,5246543.487223529,198545528.1792703,0.0
2011-01-01,6169162.560892249,0.0,164228460.839909,4914564.758423529,8235359.786424426,0.0
2011-02-01,74552532.40361479,0.0,166739775.27856904,9140656.383772548,86204503.22604738,0.0
2011-03-01,16076728.744064353,0.0,159801524.72265294,41097891.19763922,50236369.38578739,0.0
2011-04-01,1320113.4254419985,0.0,141399326.83438957,46092399.624839224,28938820.355528504,71494.80648939649
2011-05-01,3016016.194916345,0.0,124485464.0350492,46662538.18408628,32578805.087187957,185886.49247433656
2011-06-01,34324.03996525086,0.0,89154693.44744566,39318506.72443138,801144.2363318555,285979.22595758596
2011-07-01,1227569.725807757,0.0,78927828.90794969,42956243.03638431,25449018.391301833,371772.9849486731
2011-08-01,14488.18430420359,0.0,59131051.46107882,49149378.11516863,7230684.524232601,300278.18341144413
2011-09-01,318087.38557472953,0.0,55588902.544448,31872828.437458836,16737685.662077885,142989.61297879298
2011-10-01,3596250.994921329,0.0,79229467.2293797,18557041.14300392,45654927.33581106,71494.80648939649
2011-11-01,1921664.259186853,0.0,82672468.7081258,15687223.437035294,19766813.727546662,0.0
2011-12-01,4196145.035070509,0.0,90936647.70882456,8652515.6035451,20877182.176882595,0.0
2012-01-01,7244475.588296718,0.0,108249602.64292236,6076450.368713724,30633880.89110829,0.0
2012-02-01,19112230.725702096,0.0,134784982.15681377,9144464.011560785,54792074.25115425,0.0
2012-03-01,18522132.61582246,0.0,130625717.07805945,38552341.54443138,52840142.298164055,0.0
2012-04-01,944305.7837242222,0.0,111898255.67583631,39011349.38383528,18579807.798049238,87385.69496264942
