Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,172986118.37473086,22331044.733310875,494521098.2753467,14716131.240125496,259935569.5750732,0.0
2005-02-01,117970751.86859785,2905656.797345493,498794739.75864106,10717893.35322353,135867943.5024612,0.0
2005-03-01,64688309.208829954,3557917.3170823506,486124545.6476634,62534872.69108237,118110905.10601711,0.0
2005-04-01,54702800.063802846,0.0,493474423.1922794,129663019.94539614,179203854.03020984,12511843.52360489
2005-05-01,12968681.511433218,0.0,454317355.75439715,182843023.38355282,124123842.55059583,32530794.90650808
2005-06-01,15140901.169859001,0.0,401893658.08470273,195224027.50807846,107893856.91382368,50047374.09441956
2005-07-01,319355.64254411065,0.0,241739257.15409598,238710765.68634513,6992316.569179383,65061589.81301616
2005-08-01,1366418.6573589607,0.0,181221872.53303355,166245168.27589014,23412900.45719361,52549741.946577616
2005-09-01,2583604.6065397332,0.0,170271194.9398358,85040147.8549647,32072429.360815022,25023687.04720978
2005-10-01,3814547.7936545135,0.0,214610757.11229917,37233973.61522354,72876240.05773665,12511843.52360489
2005-11-01,7621070.025584803,0.0,307785523.012081,19341460.412454907,120137296.33782168,0.0
2005-12-01,79765739.21207108,27267783.477001198,420108338.9577935,10235054.020925485,229591392.6557101,0.0
2006-01-01,162010274.93149596,38979818.31866649,483862151.8165402,15729842.18767059,280473748.29657954,0.0
2006-02-01,69558685.61418319,3536643.655763379,485388698.87576,19493814.786682352,94115691.11584866,0.0
2006-03-01,139014349.43270534,11216442.747677207,492541366.9000633,52010824.20962352,209394284.41430935,0.0
2006-04-01,21541018.74100632,0.0,445586820.57030946,149208619.706902,108775706.31228863,15019385.80586592
2006-05-01,1981895.1157734543,0.0,361301707.2772767,159618570.82192162,38264949.22217861,39050403.42248356
2006-06-01,3762997.445886615,0.0,254734199.23434344,197669742.41795292,30968158.94700253,60077543.22346368
2006-07-01,4159917.363964214,0.0,197689645.6074712,198856905.33532548,27588219.132166304,78100806.84496713
2006-08-01,6230650.939709388,0.0,182346700.14806634,141477675.8050902,21838018.207097176,63081416.295305885
2006-09-01,9991138.57826987,0.0,211891581.4565123,96211918.2207216,104737718.07447003,30038771.61173184
2006-10-01,12546035.114070551,0.0,256466627.8867986,49566003.34828235,91667699.08677328,15019385.80586592
2006-11-01,13963225.455296563,0.0,330608771.6434371,28232896.38810195,116338265.60003704,0.0
2006-12-01,45986119.48913019,138278.08992610528,383868211.19038284,13355987.79723922,112739824.92324126,0.0
2007-01-01,27310158.51493471,0.0,401113371.10561824,12847647.794109805,57402966.22428007,0.0
2007-02-01,92836714.95476599,3217319.796602917,443395778.1990745,29360422.956870593,167696864.80169562,0.0
2007-03-01,22161158.234201353,0.0,422329393.0889155,87021766.11365493,88116539.23769732,0.0
2007-04-01,8880506.269334428,0.0,358448977.8586683,132026650.2924235,59238151.92285545,16806764.822788622
2007-05-01,255444.78419889143,0.0,248700587.3968433,210572856.5962823,51693137.130257934,43697591.11680994
2007-06-01,5659089.535032185,0.0,194730580.8514948,181608521.6722039,45900022.31594845,67227059.29115449
2007-07-01,6342470.24064086,0.0,161686786.06981003,195135176.91479215,18543493.94028154,87395182.23361988
2007-08-01,11080557.988367228,0.0,168035215.7079667,129885666.5835451,27101474.832337555,70588414.36422442
2007-09-01,13743783.753512153,0.0,187219983.08035925,67472508.45276862,61039522.4958701,33613529.645577244
2007-10-01,6832251.057157661,0.0,215879612.77507883,59844414.35870587,78050238.46681966,16806764.822788622
2007-11-01,367774.0131547105,0.0,229886199.27762264,24396504.830901958,38304032.33959549,0.0
2007-12-01,58719282.84457406,2439975.50402225,382046304.7038075,5069524.819639216,218388888.59442034,0.0
2008-01-01,142685267.6603176,29613840.579016924,463939044.9020709,3607506.8198823542,257799355.2574803,0.0
2008-02-01,159780990.05299133,6467128.920734807,485745401.7978856,15831254.488956865,203885730.35849756,0.0
2008-03-01,72491792.82442836,5076561.426748455,473599869.44352007,50354567.42322353,115777389.32003488,0.0
2008-04-01,15009164.561571091,0.0,387957918.06072706,133417310.47103523,46375884.9143032,16408638.735510232
2008-05-01,6056864.871058237,0.0,331191056.8871824,180315053.89639992,86942596.44371115,42662461.15020251
2008-06-01,3959609.908497822,0.0,242318316.14774236,195266471.14063528,41306746.385284714,65634554.94204093
2008-07-01,5699497.5743670715,0.0,165050579.4458304,207452094.67465883,6252561.817056679,85324922.30040503
2008-08-01,6310231.23587554,0.0,152951167.10141835,171874950.46464315,39271734.835419044,68916285.17553459
2008-09-01,2182919.498117882,0.0,143363885.9742993,109053617.19581959,37129932.19747285,32817277.471020464
2008-10-01,3043193.84131633,0.0,159084109.6703787,51690954.62196081,52976948.01870626,16408638.735510232
2008-11-01,4465236.443305023,0.0,242838919.81948662,15972109.979294123,104192156.57170714,0.0
2008-12-01,81950240.18213761,4818665.616502846,418321513.39430207,6765115.592674508,269016614.96613044,0.0
2009-01-01,121909806.32437241,6344867.163478955,471314159.02916896,9219606.100141177,190466925.2228595,0.0
2009-02-01,118195329.04249,500288.9052883369,490781937.3454573,17106245.0796157,155269641.3436823,0.0
2009-03-01,125920482.75110029,18842570.09483189,492954673.52931494,49535623.671403915,196471412.7011936,0.0
2009-04-01,42639899.44651985,144706.378791375,470211981.2258032,122067846.69196862,128984606.30875118,13125153.905016832
2009-05-01,842371.0253350164,0.0,366663641.57572144,200464166.7381177,63632799.155044705,34125398.9583264
2009-06-01,15569319.053189002,0.0,401657461.5130053,184765884.6388942,182828408.00929967,52500615.62006733
2009-07-01,2037645.3130999669,0.0,279025054.1774143,200259557.38416472,9236391.905247778,68250797.9166528
2009-08-01,1579797.195905898,0.0,215758736.56019807,193491588.45890978,46420549.69033207,55125645.2119634
2009-09-01,2507920.553499854,0.0,202553939.01727337,100145203.99626668,45121815.431023024,26250307.810033664
2009-10-01,8280231.959146248,0.0,272484895.4655594,34706940.486596085,99792974.9890115,13125153.905016832
2009-11-01,2876608.2283596424,0.0,295265154.3027396,18848302.003521573,44505169.06906142,0.0
2009-12-01,50169002.44192151,0.0,402779729.7150888,4755259.257882354,162438837.11215296,0.0
2010-01-01,145343587.81389162,4051072.735297779,480994056.27297825,5163537.182705882,232772524.2897847,0.0
2010-02-01,89572101.17753938,0.0,488543635.20291966,12117702.484494118,109239382.59197482,0.0
2010-03-01,25570111.937483728,0.0,462034197.92532283,64463507.16283137,63524181.82271832,0.0
2010-04-01,57026484.03538802,4495692.893524223,415021934.3044739,148099998.11690196,145685274.49802917,16924636.926936097
2010-05-01,17979943.86523521,0.0,395787587.04214615,161009666.255302,115751206.42124514,44004056.43696431
2010-06-01,6890576.740496613,0.0,330220592.5134371,188457569.22885484,60729507.0038615,67698547.70774439
2010-07-01,8545985.959161691,0.0,239012297.3883862,186314727.85763142,4507072.633758834,88008112.87392862
2010-08-01,15275194.459981058,0.0,217023328.18272126,146876196.88152936,36787022.45991909,71083474.78643173
2010-09-01,3125513.714463512,0.0,203495770.67135644,87514040.7412,12528773.696478862,33849273.853872195
2010-10-01,21919962.445838332,0.0,290892901.4449525,46340548.01002352,138733004.3025218,16924636.926936097
2010-11-01,87161578.2632969,4315469.449711443,413010117.05378973,13233584.74647059,226827848.06831622,0.0
2010-12-01,231740011.0777762,47728590.64586047,491456650.60728526,3788596.891780392,361703732.16891235,0.0
2011-01-01,114986828.36913607,2691640.283042895,496151692.31807643,13745341.164996073,136118851.5279661,0.0
2011-02-01,185180750.7791321,4428325.732330068,499652855.8219601,18528257.999152943,211638498.01449877,0.0
2011-03-01,133937519.16522346,29465850.488997996,499561538.8111584,64278553.05082351,227590605.69424334,0.0
2011-04-01,126971767.02938409,25702762.589181215,500261293.3818592,83223064.69480784,224342130.723433,12255218.16064097
2011-05-01,71650610.03098674,0.0,496902759.01332,117004974.19421963,153433484.09326434,31863565.763402816
2011-06-01,82107.00230294466,0.0,377148253.01879835,215440889.99188232,46747618.35709978,49020872.64256388
2011-07-01,0.0,0.0,245530189.8105797,239088501.90282354,41687720.49545918,63727131.52680563
2011-08-01,1350892.8431454962,0.0,208031020.78241274,164786935.03246272,60506485.30891697,51471916.41964683
