Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,214462101.2504116,20088377.629117057,497994425.28782046,9812862.096211767,259935569.5750732,0.0
2005-02-01,120095879.16326377,1765665.7096767947,499419871.9965176,12580951.920823526,135867943.5024612,0.0
2005-03-01,95698455.30706045,2605329.986385498,499939011.9424142,19287979.866674524,118110905.10601711,0.0
2005-04-01,149047412.3112563,0.0,500294020.26489425,42313276.92007843,179203854.03020984,12511843.52360489
2005-05-01,54611529.14532565,0.0,495967449.4481,106369679.12857254,124123842.55059583,32530794.90650808
2005-06-01,29121173.423475474,0.0,460476064.54703254,164311442.4858353,107893856.91382368,50047374.09441956
2005-07-01,3824545.7368536587,0.0,345302660.6933232,183402764.49905097,6992316.569179383,65061589.81301616
2005-08-01,5488439.942174701,0.0,285738883.3591898,133854805.25955297,23412900.45719361,52549741.946577616
2005-09-01,2885641.296405609,0.0,256951471.88126394,93919936.46402356,32072429.360815022,25023687.04720978
2005-10-01,9289470.567594435,0.0,295024668.93938977,38084443.08691764,72876240.05773665,12511843.52360489
2005-11-01,19713364.145436138,0.0,375728044.3200419,19720556.811733335,120137296.33782168,0.0
2005-12-01,100121133.6634352,26150050.21482666,469973149.989208,9075103.108282356,229591392.6557101,0.0
2006-01-01,204525741.5589526,36703933.76954492,496377565.02715665,12839657.930133343,280473748.29657954,0.0
2006-02-01,76974855.35781096,3227397.5464323373,496713529.11532676,13577474.123435294,94115691.11584866,0.0
2006-03-01,180278469.64432204,9575634.134147793,498544031.9300527,17709677.821113724,209394284.41430935,0.0
2006-04-01,73106386.25508189,0.0,496983051.1175567,52249686.67556865,108775706.31228863,15019385.80586592
2006-05-01,6992120.566808694,0.0,440961966.99050814,126344316.20490196,38264949.22217861,39050403.42248356
2006-06-01,9726160.923786316,0.0,360613354.2547095,161668153.98247844,30968158.94700253,60077543.22346368
2006-07-01,15031997.98650208,0.0,295679790.7455446,163508127.83109015,27588219.132166304,78100806.84496713
2006-08-01,11306499.715968704,0.0,266424993.41125444,132724722.14974907,21838018.207097176,63081416.295305885
2006-09-01,24782288.556870095,0.0,306261243.6209671,70325665.89205495,104737718.07447003,30038771.61173184
2006-10-01,25282651.437473994,0.0,348945691.67469704,38719985.40143529,91667699.08677328,15019385.80586592
2006-11-01,24012917.345808886,91518.05079869338,408054976.07622844,33124545.80189804,116338265.60003704,0.0
2006-12-01,54503184.88933481,193345.35593470742,452383560.98842764,13714709.765772559,112739824.92324126,0.0
2007-01-01,33432085.102435537,0.0,465319353.4585701,11035088.65170196,57402966.22428007,0.0
2007-02-01,127606478.97208172,3128161.923097035,488374595.95827925,13906981.406807844,167696864.80169562,0.0
2007-03-01,52512868.681711696,0.0,490289809.38692373,33688457.12734119,88116539.23769732,0.0
2007-04-01,19326782.58694925,0.0,482327309.84008896,64680633.705529414,59238151.92285545,16806764.822788622
2007-05-01,6807298.456052093,0.0,429444449.1480666,141622591.91636866,51693137.130257934,43697591.11680994
2007-06-01,12827117.615180824,0.0,364757161.04823226,167344385.59208632,45900022.31594845,67227059.29115449
2007-07-01,23511591.977904253,0.0,303039525.30980074,154467589.56737253,18543493.94028154,87395182.23361988
2007-08-01,18264739.5710292,0.0,280907238.9022929,130778385.72894898,27101474.832337555,70588414.36422442
2007-09-01,16061774.578237401,0.0,289385853.4451804,78317846.29953726,61039522.4958701,33613529.645577244
2007-10-01,20956166.73404079,0.0,324417140.62910813,38889134.811082356,78050238.46681966,16806764.822788622
2007-11-01,4494744.8856787635,0.0,335414651.2890819,23090071.51446275,38304032.33959549,0.0
2007-12-01,94334673.6956603,2558046.099475155,452479160.99024135,4431659.098125492,218388888.59442034,0.0
2008-01-01,187984552.3328567,27388389.814538363,491998028.29571503,2907545.8046117653,257799355.2574803,0.0
2008-02-01,184547507.24834046,4498752.051549823,496476446.2201575,10361053.134164708,203885730.35849756,0.0
2008-03-01,90464115.47616757,3441168.435689632,497075729.01981753,21272822.608517647,115777389.32003488,0.0
2008-04-01,27885880.061501544,0.0,494001747.12699217,37972625.48113725,46375884.9143032,16408638.735510232
2008-05-01,56218970.44019433,0.0,491603671.79180187,75784162.48890981,86942596.44371115,42662461.15020251
2008-06-01,20036064.8319742,0.0,424423360.900612,154085547.38654113,41306746.385284714,65634554.94204093
2008-07-01,15485312.275585651,0.0,331832607.6513875,169066978.89564702,6252561.817056679,85324922.30040503
2008-08-01,20456701.252423864,0.0,298597571.91816735,134218278.16909027,39271734.835419044,68916285.17553459
2008-09-01,10357570.533845855,0.0,291795580.5689158,79233554.66528629,37129932.19747285,32817277.471020464
2008-10-01,14276631.455674341,0.0,305389897.58062834,42256650.35538823,52976948.01870626,16408638.735510232
2008-11-01,18958871.458999258,0.0,371790087.75905395,18833094.934282355,104192156.57170714,0.0
2008-12-01,143656986.6925281,6429941.343547894,482403830.9593437,8315943.7297647055,269016614.96613044,0.0
2009-01-01,160037412.5303026,5166515.884093172,494917666.1563722,12749161.611435294,190466925.2228595,0.0
2009-02-01,138763218.9463262,340380.0896177487,497923343.7506517,13160364.713458823,155269641.3436823,0.0
2009-03-01,156423759.05158263,14419265.013965206,498602469.9839131,24949262.40238433,196471412.7011936,0.0
2009-04-01,98272905.07458913,0.0,499047556.6518842,43391768.47120785,128984606.30875118,13125153.905016832
2009-05-01,14319541.325533515,0.0,477550802.47646683,104935410.9632549,63632799.155044705,34125398.9583264
2009-06-01,78888238.28361398,0.0,494199243.0046043,139792344.8176157,182828408.00929967,52500615.62006733
2009-07-01,3780590.9983158624,0.0,388664604.02448696,179241237.80370197,9236391.905247778,68250797.9166528
2009-08-01,12752211.899452675,0.0,350913219.0916904,126545367.9356392,46420549.69033207,55125645.2119634
