Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,214028590.73199773,21618637.748992108,498623823.8571507,9812862.096211767,258447048.20946524,0.0
2005-02-01,122525770.55210198,2720639.0378272547,499814884.9747145,12580951.920823526,139018422.62831664,0.0
2005-03-01,95863086.02531101,2895108.1729079755,500274227.8481982,19287979.866674524,118505516.93837707,0.0
2005-04-01,155915310.68108067,0.0,500294020.26489425,42313276.92007843,185736536.4942503,12511843.52360489
2005-05-01,54450626.02338174,0.0,494492300.3623233,106369679.12857254,122487790.34287523,32530794.90650808
2005-06-01,29066275.619821373,0.0,454581359.8241917,164311442.4858353,103419403.47310537,50047374.09441956
2005-07-01,3730551.527676439,0.0,337994091.7505888,183402764.49905097,5484458.140108526,65061589.81301616
2005-08-01,5246980.61465176,0.0,277611840.2987159,133854805.25955297,19929990.40741101,52549741.946577616
2005-09-01,2938649.818153361,0.0,251228962.90425584,93919936.46402356,31725861.49053713,25023687.04720978
2005-10-01,8897149.031386297,0.0,290015391.68652934,38084443.08691764,73208616.2729284,12511843.52360489
2005-11-01,19908508.774293773,0.0,373342770.7691831,19720556.811733335,122956444.6686809,0.0
2005-12-01,112435083.79185802,28901356.213544767,470477570.62791693,9075103.108282356,247546342.97241879,0.0
2006-01-01,199200678.7813481,40775579.592904255,495914562.138624,12839657.930133343,278252907.81509256,0.0
2006-02-01,84989496.36186306,4420320.85413874,496825500.4212637,13577474.123435294,103898229.62207681,0.0
2006-03-01,168231237.5948148,9147118.777899733,498524816.5371393,17709677.821113724,196787350.30970398,0.0
2006-04-01,77737654.95634739,0.0,497456792.4704236,52249686.67556865,113899931.75933439,15019385.80586592
2006-05-01,6428922.482860639,0.0,438145512.64214355,126344316.20490196,34411555.43699919,39050403.42248356
2006-06-01,9109000.555084473,0.0,354083120.99430007,161668153.98247844,26637219.666255638,60077543.22346368
2006-07-01,18632180.23740536,0.0,297576256.7401741,163508127.83109015,39413358.23415548,78100806.84496713
2006-08-01,9285298.169172961,0.0,263260495.98487926,132724722.14974907,12274258.938918013,63081416.295305885
2006-09-01,23769340.88112528,0.0,307321928.03688884,70325665.89205495,108004131.98151034,30038771.61173184
2006-10-01,25182956.306850296,0.0,351186340.58613396,38719985.40143529,92747968.4516646,15019385.80586592
2006-11-01,25836953.471998416,816380.488641838,408755900.029195,33124545.80189804,117347439.2055995,0.0
2006-12-01,54000363.750606306,724727.1625751988,451903223.2602184,13714709.765772559,111587123.9099773,0.0
2007-01-01,34165147.01811523,0.0,464953745.6105767,11035088.65170196,58250758.02017539,0.0
2007-02-01,130623337.44593993,3885225.8994066436,487964395.4985344,13906981.406807844,171426194.64011225,0.0
2007-03-01,47418133.01991709,0.0,489460046.20107543,33688457.12734119,82602240.84979932,0.0
2007-04-01,21315184.36801875,0.0,481059256.01869494,64680633.705529414,60788263.06837901,16806764.822788622
2007-05-01,6031864.049324157,0.0,428203230.0848666,141622591.91636866,50914527.40617212,43697591.11680994
2007-06-01,11749759.45762602,0.0,362856008.84919125,167344385.59208632,44134895.05812044,67227059.29115449
2007-07-01,24494381.23469614,0.0,303419987.7959864,154467589.56737253,19591291.34878982,87395182.23361988
2007-08-01,15590432.433057174,0.0,276963831.9272569,130778385.72894898,18020770.539638385,70588414.36422442
2007-09-01,17261677.104541805,0.0,287014984.51855,78317846.29953726,63999634.02723418,33613529.645577244
2007-10-01,21457936.243701987,0.0,322951304.0140411,38889134.811082356,79476625.72748688,16806764.822788622
2007-11-01,6126225.933173748,0.0,334898345.3461278,23090071.51446275,41002641.37704864,0.0
2007-12-01,92983785.78450745,3683886.1303854804,454719846.62845236,4431659.098125492,220920832.2953429,0.0
2008-01-01,197432834.92725527,32899561.161600042,492253637.6319594,2907545.8046117653,270773732.89697397,0.0
2008-02-01,177514424.40563112,6649139.813863946,496527540.7894682,10361053.134164708,198798520.51116857,0.0
2008-03-01,80641272.81759495,4556145.690078907,496768762.6924934,21272822.608517647,106711463.0192166,0.0
2008-04-01,31054675.080709822,0.0,494285800.53123236,37972625.48113725,50135699.665075876,16408638.735510232
2008-05-01,58123357.148787715,0.0,491168732.5576925,75784162.48890981,88127990.51395503,42662461.15020251
2008-06-01,18621316.805804636,0.0,420612147.4676371,154085547.38654113,36515724.16024985,65634554.94204093
2008-07-01,15021667.665869815,0.0,326896191.44206405,169066978.89564702,4032602.3743372154,85324922.30040503
2008-08-01,25158312.685861316,0.0,303379794.49495786,134218278.16909027,53770590.870608106,68916285.17553459
2008-09-01,6861092.792000295,0.0,287718834.76859903,79233554.66528629,20472511.804211605,32817277.471020464
2008-10-01,12377296.541571124,0.0,302414428.353502,42256650.35538823,52333248.96524293,16408638.735510232
2008-11-01,22268637.627351414,0.0,368288384.7661374,18833094.934282355,106975688.97426932,0.0
2008-12-01,142460036.32511812,7955872.781729188,481476257.40043354,8315943.7297647055,271919725.47090816,0.0
2009-01-01,165284197.94032001,7909124.655391268,495198178.0054569,12749161.611435294,199664404.8121698,0.0
2009-02-01,149157673.0905705,1820568.8188020077,498398092.78613544,13160364.713458823,167338521.40350983,0.0
2009-03-01,155418551.80459255,14937133.490136726,498980491.2903944,24949262.40238433,195887346.2013726,0.0
2009-04-01,96361747.17440364,0.0,499490389.4729536,43391768.47120785,127138259.92315382,13125153.905016832
2009-05-01,11427149.727684472,0.0,474927573.64225626,104935410.9632549,57674345.90191551,34125398.9583264
2009-06-01,66772810.16383635,0.0,487195952.7975766,139792344.8176157,166332918.5167051,52500615.62006733
2009-07-01,3249786.609144927,0.0,376491579.82332283,179241237.80370197,3535853.5219403445,68250797.9166528
2009-08-01,9806214.243487943,0.0,336452286.52428997,126545367.9356392,40735119.356620975,55125645.2119634
2009-09-01,3101635.9776577963,0.0,305172339.2241159,99475481.04947452,40958418.44435725,26250307.810033664
2009-10-01,14998746.096272111,0.0,359113135.4300867,38428753.1853098,94243141.5825357,13125153.905016832
2009-11-01,7361674.883300539,0.0,374178518.5366663,24937471.271231364,47364529.26111156,0.0
2009-12-01,81266306.56476544,217418.70725990718,459803868.8935839,7976511.451474509,175085587.08041713,0.0
2010-01-01,205229506.605595,6492275.9178536385,496515781.7069544,7508641.340705882,255942336.6775251,0.0
2010-02-01,107177767.71300334,184144.96782975082,498256744.5259194,7022983.059380394,116125858.55917834,0.0
2010-03-01,49105932.20190633,0.0,498276566.11899483,20225094.60190588,69350848.39688766,0.0
2010-04-01,122391300.72098683,7602796.05015744,497927746.56903565,36570659.73982745,149291300.0340765,16924636.926936097
2010-05-01,87643537.29400176,0.0,498044539.9140669,69862408.61738823,113618682.81945702,44004056.43696431
2010-06-01,26536033.249079872,0.0,452254270.47318494,148511245.16941184,61558461.2698653,67698547.70774439
2010-07-01,17784209.37714713,0.0,354696077.75479496,175612904.63118422,7830808.416012951,88008112.87392862
2010-08-01,21474280.727800522,0.0,307672120.56472707,143897996.1870902,43586847.15820857,71083474.78643173
2010-09-01,4177158.9498344753,0.0,274676995.09585613,94704900.59659612,13355336.901630795,33849273.853872195
2010-10-01,27743396.09013332,0.0,358858215.0954979,42179795.5068941,137179774.66973323,16924636.926936097
2010-11-01,107203891.64752369,4974457.764187472,461674660.45165765,16769955.102494122,231764749.87036481,0.0
2010-12-01,267222081.03450218,48284630.49475073,497101123.56366295,8819770.68243137,359752945.3236895,0.0
2011-01-01,120629122.67839752,4163998.2896290463,497927139.06169534,10243578.541098041,135862715.00715697,0.0
2011-02-01,196626537.6909568,5943071.875397261,499416109.47279865,6885207.874705883,210943787.85216326,0.0
2011-03-01,171054201.54359856,25071296.67448304,500294020.26489425,23903339.223027445,220906748.23320448,0.0
2011-04-01,188292000.45135722,23397751.380081255,500294020.26489425,35351126.49101177,234785660.1618092,12255218.16064097
2011-05-01,129532885.50529458,0.0,500294020.26489425,63709989.81959215,161379309.56148398,31863565.763402816
2011-06-01,12910429.595376488,0.0,434069713.2100944,156562603.21271378,54227853.110726684,49020872.64256388
2011-07-01,13350824.177076943,0.0,354209016.9440269,197168927.01936474,66931923.40356828,63727131.52680563
2011-08-01,3474974.1302533783,0.0,283590885.87075657,159756811.7394824,35005063.90661417,51471916.41964683
2011-09-01,1246458.404610305,0.0,248046666.12181264,102212403.68896471,25604352.645443525,24510436.32128194
2011-10-01,6682870.759748521,0.0,305006189.2669777,48410022.24164708,99797197.9859197,12255218.16064097
2011-11-01,33176272.707449418,223158.50548642402,401222108.5195073,18347440.5950353,147962791.06050068,0.0
2011-12-01,16832658.267543722,0.0,419530824.4345491,8139891.73374902,43281265.91633447,0.0
2012-01-01,122564296.24122167,15481045.404834364,480883997.28936106,11999466.071105879,211397980.5719739,0.0
2012-02-01,92115678.55104332,1142230.4928344616,488177492.4590634,11784420.195952935,112335824.40953308,0.0
2012-03-01,63963318.93277281,0.0,490737275.4600702,32620872.613152944,99143974.54693244,0.0
2012-04-01,38667977.10954122,0.0,488728404.8580717,73559915.14109802,89988432.34460191,20230589.304038845
2012-05-01,21579434.751374714,0.0,459590787.46217716,126636490.01330195,66478773.83115678,52599533.53762547
2012-06-01,14879006.10565619,0.0,363369000.97240335,167254721.98600784,4989584.385735023,80922357.21615538
2012-07-01,34111646.89775079,0.0,303562597.2036352,165431980.43898827,26582931.606944174,105199067.07525094
2012-08-01,22951519.38093747,0.0,276305718.70466596,139518663.3039138,18272637.389907073,84968478.43634695
2012-09-01,6886587.187284079,0.0,259999616.01814055,86935563.83171767,11543295.619734695,40461178.60807769
2012-10-01,17892657.47618854,0.0,306683841.7969216,41449359.386635296,85702661.85745262,20230589.304038845
2012-11-01,19292982.05682413,0.0,358782350.84070075,16884695.680666674,88276186.78126998,0.0
2012-12-01,102396833.2673336,8568218.007479828,458027499.8384801,10590844.5279451,220801044.80053768,0.0
2013-01-01,127193196.56820883,0.0,486793622.3594692,2300860.4364627446,158260179.52566066,0.0
2013-02-01,90802594.75989977,0.0,492626186.16293615,3346331.520054901,99981490.08342162,0.0
2013-03-01,59147423.50458335,0.0,493338491.6912402,16212332.602988232,76072061.63587563,0.0
2013-04-01,75188197.32526809,2388178.855591868,493666736.3070068,44417282.63282354,104693434.21118759,17628469.21826255
2013-05-01,20487056.218449853,0.0,463060715.1927288,120973208.7926275,65020223.77766633,45834020.1191329
2013-06-01,5467679.492154239,0.0,345375470.07753515,183422397.60558426,690955.1094947605,70513876.8730502
2013-07-01,18759584.084636893,0.0,283272288.9484805,165820522.51796082,17947121.012029763,91668040.2382658
2013-08-01,10707689.904559437,0.0,254390121.23011875,137207071.06433725,7570635.712113223,74039573.12871322
2013-09-01,24754311.1455096,0.0,290813102.14843804,68736417.32098821,94341054.55722913,35256938.4365251
2013-10-01,12204443.708287403,0.0,305648307.7349324,41344918.8123137,50313976.203641824,17628469.21826255
2013-11-01,16479827.339833543,0.0,357113568.60678405,19284823.134400006,87229911.34608518,0.0
