Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,383107057.73945147,1071066.7297562542,1082123145.676138,71480214.17415383,559184592.7554793,0.0
2005-02-01,248369111.8213795,7263.359596517064,1084979964.8141792,94397326.9975312,345589927.28910637,0.0
2005-03-01,289003110.1297674,623907.0599470378,1089488290.4702876,152367114.50725496,446460283.4185677,0.0
2005-04-01,89065142.30160221,390346.09828202904,1021348352.0581523,258859975.92213413,264268039.95287165,15347813.69906202
2005-05-01,34284177.836329676,1875.1258051417328,934330203.9311892,336587475.773534,243193635.19299784,39904315.342169
2005-06-01,49788625.875175335,0.0,914914772.4035999,346375561.1906771,312500498.27942836,61391254.79624808
2005-07-01,35076439.48916264,0.0,667371095.2106798,349323097.6456642,48624758.54196432,79808630.684338
2005-08-01,32886018.54308511,0.0,540903309.3147818,290752807.7573205,117881886.6955897,64460818.61862156
2005-09-01,16498653.007663138,0.0,501312729.45620435,211176901.19301963,136117874.79797423,30695627.39812404
2005-10-01,21285347.529004753,0.0,537377828.3357861,193785549.3088086,229129344.53323773,15347813.69906202
2005-11-01,2530487.5919154803,0.0,587584980.0301687,125042954.10962267,176037897.3022626,0.0
2005-12-01,45778838.22598721,53770.175502907994,806993856.572809,72962245.50540079,337969117.5900041,0.0
2006-01-01,194326286.753964,0.0,1000797050.9746572,83687927.11230357,471886733.2923588,0.0
2006-02-01,104884243.16325054,0.0,1018723862.7427273,101572236.88451086,223948862.37160516,0.0
2006-03-01,395922667.56684256,3630947.8557772525,1069681561.3201087,146940528.86246243,596973179.3673383,0.0
2006-04-01,71511995.47411637,0.0,1025802976.1460853,281014305.9144684,290109746.3790154,15637551.82531906
2006-05-01,2291045.200257892,0.0,708005005.9884428,382404777.0607214,16738812.219891986,40657635.100332834
2006-06-01,16059268.037275322,0.0,447087388.6998738,332279971.5443995,5736945.02353185,62550207.30127624
2006-07-01,43062905.63592526,0.0,375287303.55480003,319072820.764553,168942441.73451105,81315270.20066567
2006-08-01,32626596.53778403,0.0,326731619.1097612,284573398.78057665,118942743.14285643,65677717.54273192
2006-09-01,18150460.831420768,0.0,375268936.18260473,236828676.39253175,257539765.6654554,31275103.65063812
2006-10-01,42981925.40603245,0.0,680585407.1908675,253672752.63820642,586055279.8503337,15637551.82531906
2006-11-01,25905899.90502183,0.0,773408349.7170649,170067097.81577343,288126429.58394325,0.0
2006-12-01,119739748.11871044,0.0,963087894.9385619,58579236.95964635,367939257.5163515,0.0
2007-01-01,119387742.7672627,0.0,1022802506.8722702,54901573.21617328,233957126.7022259,0.0
2007-02-01,200695544.31948912,0.0,1047544132.2255471,120558027.48343605,345820157.6958184,0.0
2007-03-01,74638114.92175609,0.0,1015729313.7831439,220448203.67421484,261903131.39707926,0.0
2007-04-01,56878551.80125487,14567.499273576977,957103484.5565999,265389299.36072132,243877602.60083005,15656378.80082305
2007-05-01,13885343.748507325,0.0,840893085.6362665,369303225.2206429,217851659.42541075,40706585.2026611
2007-06-01,20597521.143718068,0.0,647198082.0160251,333498460.5590283,83959946.85285752,62625515.2032922
2007-07-01,44969737.97750954,0.0,556031270.6917309,293348870.4641718,146343735.20927262,81413170.4053222
2007-08-01,42050682.2803824,0.0,507934300.9839538,304337330.12891906,202363444.20773044,65756789.24664897
2007-09-01,14067387.26162861,0.0,497663691.2654349,274792699.64251363,223639223.93164146,31312757.6016461
2007-10-01,829995.3633968299,0.0,430877959.4867897,271405524.5787095,142451780.4522872,15656378.80082305
2007-11-01,1510110.5591751875,0.0,424905370.6577466,118362657.63477387,103250919.81689985,0.0
2007-12-01,225087609.8851629,7388252.75012674,976657175.3875902,39552297.749604404,823992155.6525115,0.0
