Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,406757484.7040619,967653.6499103232,1078413808.709137,58640150.79863532,526569410.88114244,0.0
2005-02-01,224477060.37980443,0.0,1080927289.4358735,85579508.72437651,312570049.8309176,0.0
2005-03-01,231255730.0192366,305364.5014630932,1079530058.8578634,124520514.1271452,354684378.0698341,0.0
2005-04-01,106276334.31516163,0.0,1068556425.0031167,148197156.82315278,230486674.63816246,13013182.645405708
2005-05-01,87533319.95647834,0.0,1044653310.7934877,220420548.83664316,250169084.7257994,33834274.50309896
2005-06-01,74270141.3997877,0.0,961635445.5519712,357008061.21454906,293551307.48651046,52052730.58162283
2005-07-01,28225788.488741636,0.0,696336922.9824395,385188173.76566267,58444233.77344282,67668549.00619791
2005-08-01,34506226.36378433,0.0,606466751.4638565,290204178.9227844,146126207.87224257,54655367.98168626
2005-09-01,22427524.591241278,0.0,553366668.8810581,245746983.86926278,136796195.6106952,26026365.290811416
2005-10-01,44418870.425577305,0.0,604009076.7802675,138131343.99136457,215341580.5830459,13013182.645405708
2005-11-01,9466170.242621569,0.0,667963638.3048445,103232483.38480002,172702222.84953985,0.0
2005-12-01,64170914.606445834,0.0,833817677.5552139,67354389.72789803,297373938.99190426,0.0
2006-01-01,171519965.16666827,0.0,953778454.5337594,86840844.98014894,378321587.1253631,0.0
2006-02-01,98462143.10961968,0.0,963135955.9620377,106130870.24919991,213468515.9770978,0.0
2006-03-01,377626368.126121,1879346.290888691,1033832347.3238075,107035185.9508863,556801664.3261174,0.0
2006-04-01,107036980.15950732,0.0,1019528143.6936162,177765394.06989807,253801657.11114404,13212161.26516622
2006-05-01,10010871.805213712,0.0,816467459.6563371,269724007.89719206,28239539.785610862,34351619.55519207
2006-06-01,19186167.82459969,0.0,575285947.4310787,331438441.936847,15986052.98287793,52848645.06066488
2006-07-01,43307904.20338693,0.0,518709666.88856786,309008391.01356846,179551249.71754056,68703239.11038414
2006-08-01,37941583.62178578,0.0,464707549.39788234,291781825.28136486,137913677.58277008,55491077.165505014
2006-09-01,39160041.453428544,0.0,511461174.3420814,186053575.28461966,234491850.7172701,26424322.53033244
2006-10-01,145316042.32625094,0.0,820181485.2913469,123656762.6457569,564480954.656107,13212161.26516622
2006-11-01,63816693.77601017,0.0,920757546.4569033,95310008.26084705,259702763.20241323,0.0
2006-12-01,163007884.71444234,0.0,1018211763.1037649,74784285.8803765,335246387.24168134,0.0
2007-01-01,112224235.38883744,0.0,1038322973.9784749,61291391.202078424,193626837.4656254,0.0
2007-02-01,207334304.30884165,0.0,1061825971.0772091,94973277.3543137,325810578.7618897,0.0
2007-03-01,80071111.02721544,0.0,1053626523.6419151,150081768.29951376,221953431.89143494,0.0
2007-04-01,85937609.70946983,0.0,1037251950.0808759,179760527.75304312,234256893.12522617,13279748.042122545
2007-05-01,21353705.305519056,0.0,947152790.0253465,273063782.91949797,163011351.29509583,34527344.6315463
2007-06-01,24109201.984387036,0.0,711202500.6428888,358343989.28948236,73843269.82914932,53118992.16849018
2007-07-01,42513696.011254124,0.0,577058074.1560725,336794072.60338056,137286832.41982043,69054689.2630926
2007-08-01,45801489.49315714,0.0,534926674.72967315,310407262.4734273,204688247.01503742,55774940.64183548
2007-09-01,32161075.322676346,0.0,541989581.1158891,233438369.5651136,218120088.1428594,26559496.08424509
2007-10-01,18647528.399840496,0.0,546151666.2269925,170501105.85883135,147791857.05215108,13279748.042122545
2007-11-01,6321744.801338398,0.0,552275539.2808675,104291038.02291766,98688867.46954526,0.0
2007-12-01,268505455.6210169,2211369.575909128,986935905.096529,40152819.48628237,745530010.4988704,0.0
2008-01-01,422388059.337253,1188681.6875241634,1061194298.4508656,50025107.163427435,547860241.5425421,0.0
2008-02-01,468762563.01777583,0.0,1084847183.7366123,72740843.0770039,565156291.3805262,0.0
2008-03-01,169798611.11115748,0.0,1077153181.391952,117690608.53364716,279795217.3001438,0.0
2008-04-01,62837745.11989677,0.0,1019003388.27928,157377171.18974116,149339880.20509034,12725242.991874462
2008-05-01,83779075.53282051,0.0,1009462861.4045261,191708454.53438443,232861370.87344867,33085632.31900248
