Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,611874494.7687949,0.0,2489556950.785741,99797975.25252557,882545479.4848646,0.0
2005-02-01,156640360.50196224,0.0,2492094913.488359,212000270.13404003,372120429.85062635,0.0
2005-03-01,32342410.173538093,0.0,2275541709.493683,435895677.4266201,248838705.1154903,0.0
2005-04-01,42241007.39794089,21068.907641847945,2191510336.4949517,608828269.0576372,560280771.0032096,2123315.1141455043
2005-05-01,54895913.3418294,30227.21108180715,2184546360.155285,776235560.6009148,813235362.3642004,5520619.307583282
2005-06-01,39732253.2825493,0.0,2122951833.949143,464015229.5081967,420157110.2947362,8493260.456582017
2005-07-01,7451913.733248221,0.0,1937091806.4550078,250646692.70302343,40826523.06932645,11041238.615166564
2005-08-01,27262901.94751004,0.0,1903373914.5804276,177369045.1622836,149031280.1359831,8917923.695081223
2005-09-01,2455193.431469295,0.0,1793116745.3664212,236509459.53483605,110379998.4667242,4246630.228291009
2005-10-01,15078630.993486794,0.0,1826132654.9778643,237609408.72266862,279322300.85757524,2123315.1141455043
2005-11-01,3410745.651559835,0.0,1827110073.2752001,242403343.60433832,242618303.20381618,0.0
2005-12-01,111948977.5112942,33450.82390150961,2054843391.9517555,140372136.04678926,480687889.40993965,0.0
2006-01-01,260388137.45072544,13561.008772144962,2199998172.706141,105326580.78569496,512606867.71989214,0.0
2006-02-01,59400477.01213663,0.0,2227527849.0068464,175471822.51836967,263334707.23460114,0.0
2006-03-01,212164531.80516267,2543884.4624612234,2255576084.585758,347764325.78250253,591018385.7015396,0.0
2006-04-01,23263502.99720455,0.0,2025421823.4604237,714709713.5605463,495439267.69377726,2345440.399125357
2006-05-01,1063157.9318459916,0.0,1782768716.0323756,420060819.0144187,156509412.02521905,6098144.904101106
2006-06-01,3720776.9590556375,0.0,1766248806.707417,228800592.1353498,193139927.78247124,9381761.596501429
2006-07-01,10478139.852972748,0.0,1732458824.4910696,185432722.80227283,137103623.3278597,12196289.808202213
2006-08-01,13158353.768243382,0.0,1706989840.1290936,119171756.47525401,88124890.3521968,9850849.56086102
2006-09-01,9214906.302642766,0.0,1624202151.290244,307958317.8265883,219548313.30306205,4690880.798250714
2006-10-01,15255865.511570841,0.0,1637369370.83711,468767226.4926939,491926725.635964,2345440.399125357
2006-11-01,4502751.710089571,0.0,1647320095.2620301,227559871.55609447,240189409.26041925,0.0
2006-12-01,89687488.98428401,0.0,1968037623.420223,145072107.7953949,557116835.9497031,0.0
2007-01-01,51554091.2516433,0.0,1956659299.7765346,98266897.39798152,140370505.0464973,0.0
2007-02-01,51529980.06763877,42349.315836203896,2060503280.1636367,184051864.10103738,339796190.13409775,0.0
2007-03-01,6139597.6681494685,0.0,1848077665.0005968,462392271.13170743,251329473.83518976,0.0
2007-04-01,7839347.430786379,0.0,1715413152.1992738,386746325.4836369,247271596.08967096,2391172.200236773
2007-05-01,560473.1832153334,0.0,1431307919.231773,399735969.3245219,79702363.23212534,6217047.561470419
2007-06-01,4801960.581902883,0.0,1523705707.6251042,217264507.31276208,291257692.7958544,9564688.800947092
2007-07-01,14788070.564948631,0.0,1607230901.933236,277363296.7332618,350850482.1349292,12434095.122940838
