Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,282953631.8539027,9960889.034039138,503991032.4096757,38555241.06611765,385139129.64595604,0.0
2005-02-01,170855009.34463924,0.0,511945772.5271127,52901589.740729414,238227785.2818306,0.0
2005-03-01,20881475.872384332,81864.47939243069,432179224.45665324,179408817.52958438,122960663.16007032,0.0
2005-04-01,696268.8485706658,0.0,295646083.7822553,232262426.93621963,97178718.02080193,386855.7326065674
2005-05-01,0.0,0.0,116405694.95106728,250242437.5412627,36980706.40000039,1005824.9376238403
2005-06-01,1401494.8295721947,0.0,105404163.068362,93986699.07616471,55657616.21254576,1547422.9304262695
2005-07-01,1376983.473504613,0.0,69363815.5324682,145102624.11567843,27806821.51400159,2011649.8752476806
2005-08-01,1560337.9424365894,0.0,67665738.23650874,164058864.03770977,115316360.65858425,1624793.9784072877
2005-09-01,548750.4916823261,0.0,56425117.94324646,97580725.3723765,26607508.694261234,773711.4652131348
2005-10-01,2545164.4522569655,0.0,106849688.25241324,65696121.52324708,120710123.67389455,386855.7326065674
2005-11-01,120881.369074471,0.0,85955970.14579605,30251035.31487843,5508876.259194787,0.0
2005-12-01,1055906.579231842,0.0,111660020.3456217,24836803.03472158,50809769.091795795,0.0
2006-01-01,676446.6123615629,0.0,129735283.22163431,33080091.395207852,50954504.014957175,0.0
2006-02-01,744302.896773346,0.0,118260082.48393553,68982574.83152156,45032668.510643885,0.0
2006-03-01,12919522.37608082,0.0,250250576.05668014,131552813.51697254,283253534.1644559,0.0
2006-04-01,0.0,0.0,101378094.62561285,227765491.63500392,37641406.76804124,263888.16019181826
2006-05-01,0.0,0.0,42935966.990021124,218280137.77458048,5355529.278372964,686109.1836519623
2006-06-01,0.0,0.0,22898917.627935454,225960131.74600777,17478989.346151747,1055552.640767273
2006-07-01,1856920.487805254,0.0,35881636.52086668,207057019.56564698,160380795.4034898,1372218.3673039246
2006-08-01,273554.0586826313,0.0,23479381.322009146,197889746.34550583,55139000.41687461,1108330.2481705628
2006-09-01,799325.9488402155,0.0,24360389.5673783,142326157.6849726,65220440.31903761,527776.3203836365
2006-10-01,11209882.884349866,0.0,221196972.50008762,55990536.962180376,270892939.778514,263888.16019181826
2006-11-01,1094950.1236885278,0.0,212256222.08484614,40772618.140062734,33228431.692366585,0.0
2006-12-01,2696131.372512313,0.0,265088852.86526287,20774615.652047068,77754456.01422012,0.0
2007-01-01,1733675.5779386936,0.0,260219762.18128517,30466399.137686282,27791808.70532186,0.0
2007-02-01,3797674.9368293337,0.0,262774788.24158233,47258215.19378823,53467833.48541573,0.0
2007-03-01,375029.2214076165,0.0,197851178.74157643,110287128.90590592,38644415.675195016,0.0
2007-04-01,329419.9767862908,0.0,109320786.23813105,189058610.25739604,64440505.50265723,358621.22811343387
2007-05-01,470578.54587634513,0.0,36172946.71575368,224465581.7258118,10568663.492009664,932415.1274013978
2007-06-01,1300032.1274708968,0.0,21613118.153837785,146736913.43305892,5724440.637157369,1434484.9124537355
2007-07-01,2333067.1921671205,0.0,22923762.726600487,178817808.92264313,95342682.7590685,1864830.2548027956
2007-08-01,2246234.6755990153,0.0,28277035.481445987,189535119.57124704,145559575.33710542,1506209.1088062744
2007-09-01,2325612.0563558377,0.0,52864203.08778501,95170821.700102,114083205.74139786,717242.4562268677
2007-10-01,0.0,0.0,23776770.68362312,130266753.63678433,17035780.98116193,358621.22811343387
2007-11-01,987154.7246573672,0.0,88302181.28591385,30082940.661050975,97449520.73440136,0.0
2007-12-01,3999677.418917482,0.0,205468307.02697816,17010435.586603925,140820770.1135584,0.0
2008-01-01,72281825.17594072,348381.11554013524,413911721.6702064,20281003.49851765,306502919.9866677,0.0
2008-02-01,80993881.68243107,0.0,450299317.0968728,70503314.96530983,191456790.89371532,0.0
2008-03-01,252218.73166965897,0.0,305628669.5514338,166881069.91419604,22360922.26389987,0.0
2008-04-01,0.0,0.0,102417068.68546127,244558471.6346196,1529124.891924148,345165.3044244385
2008-05-01,834534.714673662,0.0,61662824.90174166,136614493.9898588,29408109.58729371,897429.7915035401
2008-06-01,1039448.040560369,0.0,46143180.97528546,101647358.45045494,8182025.498098932,1380661.217697754
2008-07-01,1700222.4314888841,0.0,25197459.244243544,192527958.11523128,51180110.60311638,1794859.5830070802
2008-08-01,1646660.7049815662,0.0,55214907.47930461,149621430.8610667,155392355.3040649,1449694.4428164673
2008-09-01,468623.7450701916,0.0,26812814.44283808,113655301.1284,7768547.313650543,690330.608848877
2008-10-01,423146.94666435156,0.0,29456988.672638208,44344053.856000006,34761561.465749346,345165.3044244385
2008-11-01,516110.7708311659,0.0,67524625.90151031,35873407.82013331,75595844.00557408,0.0
2008-12-01,16611858.547852006,0.0,369619667.2280947,31459712.992658813,356333400.60178065,0.0
2009-01-01,17392896.834767792,0.0,372427757.8100209,40730763.88495687,61843681.25719786,0.0
2009-02-01,28010409.17702493,0.0,378551772.33423936,72765756.59605494,109098453.19339857,0.0
2009-03-01,513018.45550264284,0.0,232531944.08659494,164947118.97569415,14747972.991782218,0.0
2009-04-01,0.0,0.0,100203760.94165525,222417837.07073718,33000506.71045307,218477.30209802245
2009-05-01,181357.96665158792,0.0,86012497.80570103,129101650.05362351,86791083.53344908,568040.9936665497
2009-06-01,728711.2595663267,0.0,43283232.16716731,194670909.0242745,41433725.428187095,873909.2083920898
2009-07-01,972490.3276197666,0.0,41435892.16986838,135488757.95352158,59832106.42195407,1136081.9873330994
2009-08-01,252912.08515372803,0.0,28402117.041574743,189587043.3855059,15387344.2729634,917604.7673519899
2009-09-01,65192.61961111306,0.0,26708736.57779236,128676892.13283134,53856643.01611698,436954.6041960449
2009-10-01,0.0,0.0,18545571.941516425,105079585.28204708,11996841.728228167,218477.30209802245
2009-11-01,0.0,0.0,20192849.604655005,33111284.47928628,22405463.93106447,0.0
2009-12-01,6627629.230946837,0.0,335565708.87805104,13659377.662596079,340715903.53651935,0.0
2010-01-01,289482554.5831788,739014.1512191207,511672334.8387441,5577122.157921569,481237057.85448444,0.0
2010-02-01,182600068.02193385,0.0,515495584.59886664,40841727.61802354,233734947.01508334,0.0
2010-03-01,32163773.601221606,0.0,468584338.4113252,134412305.67454118,122107649.93782859,0.0
