Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,289926984.2699678,8905933.20564698,515126943.6493981,61160191.51262746,385139129.64595604,0.0
2005-02-01,169060825.9389869,0.0,515581645.34040916,62195811.57280786,238227785.2818306,0.0
2005-03-01,32595946.801239274,81864.47939243069,501277386.5889378,102232057.28174116,122960663.1600703,0.0
2005-04-01,1059844.4672333868,0.0,454161726.28836733,141053829.41897255,97178718.02080193,386855.7326065674
2005-05-01,0.0,0.0,329943800.51930684,161658087.55661958,36980706.40000039,1005824.9376238403
2005-06-01,432804.3095721947,0.0,239107434.53822196,146677086.8401333,55657616.21254576,1547422.9304262695
2005-07-01,1032560.177504613,0.0,156672334.3241596,115314600.90039217,27806821.51400159,2011649.8752476806
2005-08-01,1703915.225655594,0.0,164807004.4861436,109214040.85785103,115316360.65858425,1624793.9784072877
2005-09-01,402027.80242050445,0.0,128316823.35334359,81483265.23283136,26607508.694261234,773711.4652131348
2005-10-01,1183400.3252171432,0.0,153025236.90490687,93442585.39542745,120710123.67389455,386855.7326065674
2005-11-01,0.0,0.0,115177036.1060488,58830933.04495685,5508876.259194787,0.0
2005-12-01,0.0,0.0,117685072.70166245,51554292.744611785,50809769.091795795,0.0
2006-01-01,31664.996590134342,0.0,120329552.48874348,50684687.27676862,50954504.014957175,0.0
2006-02-01,95889.01926229286,0.0,110964718.63336968,61281689.9729098,45032668.510643885,0.0
2006-03-01,12539969.323712142,0.0,281086358.48683596,93801220.28861964,283253534.1644559,0.0
2006-04-01,0.0,0.0,189735657.47657156,128707035.87566271,37641406.76804124,263888.16019181826
2006-05-01,0.0,0.0,96860676.24054535,123825076.53506666,5355529.278372964,686109.1836519623
2006-06-01,0.0,0.0,59355369.75683614,105052481.1925647,17478989.346151747,1055552.640767273
2006-07-01,2580632.606382553,0.0,102879822.76114655,117774961.20083135,160380795.4034898,1372218.3673039246
2006-08-01,597690.1517635563,0.0,72189721.7212899,124759683.95219605,55139000.41687461,1108330.2481705628
2006-09-01,1215953.1370344164,0.0,71512459.59201835,89549214.79015684,65220440.31903761,527776.3203836365
2006-10-01,9224141.703364983,0.0,215829100.0333988,110496220.63449413,270892939.778514,263888.16019181826
2006-11-01,149385.93626803858,0.0,173927848.16145977,74877085.30085494,33228431.692366585,0.0
2006-12-01,2116261.953953783,0.0,195896721.6999723,52218242.31250978,77754456.01422012,0.0
2007-01-01,98656.03705474097,0.0,176573962.9389395,47262270.98868236,27791808.70532186,0.0
2007-02-01,647254.5932291204,0.0,167666201.39677462,64372956.16290982,53467833.48541573,0.0
2007-03-01,113710.2504683041,0.0,114412713.5477909,108642274.40603139,38644415.675195016,0.0
2007-04-01,0.0,0.0,83892152.7299591,119576184.55407059,64440505.502657235,358621.22811343387
2007-05-01,0.0,0.0,47434636.64325249,115255492.33112156,10568663.492009666,932415.1274013978
2007-06-01,602635.6902412736,0.0,33654130.3536175,88699808.4902431,5724440.637157369,1434484.9124537355
2007-07-01,2321194.504623796,0.0,51225205.16432075,87055353.56298034,95342682.7590685,1864830.2548027956
2007-08-01,2388769.792192686,0.0,86036356.93884969,111361598.92607847,145559575.33710542,1506209.1088062744
2007-09-01,2282424.5531293973,0.0,103601395.83394638,96070287.75273722,114083205.74139786,717242.4562268677
2007-10-01,0.0,0.0,49923267.22715213,123202269.44326273,17035780.98116193,358621.22811343387
2007-11-01,228835.2415144922,0.0,83092300.97433636,62383894.66698821,97449520.73440136,0.0
2007-12-01,5363403.239646219,0.0,171798832.1301697,44127931.227176465,140820770.1135584,0.0
2008-01-01,59528829.162468374,84385.0304832774,378957003.9391665,34583238.43127843,306502919.9866677,0.0
2008-02-01,72045205.10564128,0.0,428353617.8105048,66442973.09742746,191456790.89371532,0.0
2008-03-01,987157.1768824519,0.0,351701303.05454564,97752766.9567451,22360922.26389987,0.0
2008-04-01,0.0,0.0,227374419.58984113,132694665.3864862,1529124.891924148,345165.3044244385
2008-05-01,0.0,0.0,161626400.06339678,104793416.36264318,29408109.58729371,897429.7915035401
2008-06-01,194919.18723403095,0.0,88496587.3167964,102706862.83695684,8182025.498098932,1380661.217697754
2008-07-01,1807854.7114888842,0.0,59120334.924677625,111685115.53195298,51180110.60311638,1794859.5830070802
2008-08-01,1818872.352981566,0.0,121804458.69015048,92216030.94945097,155392355.3040649,1449694.4428164673
2008-09-01,296412.09707019164,0.0,79020244.46300448,80007313.08102742,7768547.313650543,690330.608848877
2008-10-01,186355.93066435153,0.0,72325369.71181329,56832956.49590586,34761561.465749346,345165.3044244385
2008-11-01,109919.64185403014,0.0,66877721.985827714,91024131.14713731,75595844.00557408,0.0
2008-12-01,14953353.961534766,0.0,346958566.41770977,55132414.47367842,356333400.60178065,0.0
2009-01-01,10744974.631423086,0.0,355528551.1851219,41616791.90281569,61843681.25719786,0.0
2009-02-01,27117684.687439635,0.0,373163677.144468,62350561.89414115,109098453.19339857,0.0
2009-03-01,863788.9427384963,0.0,288361716.41406417,98989870.71861964,14747972.991782218,0.0
2009-04-01,38940.05440007312,0.0,185104914.04522774,145472687.30983526,33000506.71045307,218477.30209802245
2009-05-01,0.0,0.0,159333346.52271563,113204122.07890199,86791083.53344908,568040.9936665497
