Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,130796526.63504566,2556.0075718437743,399577427.2059982,8894724.125045057,147110984.883375,0
2005-02-01,98850574.36971262,1052696.3193175178,399586774.5167223,9626045.76530073,109538663.76505487,0
2005-03-01,61152972.79183023,641407.3793659452,398934828.10420865,30396098.757194836,91538532.51587749,0
2005-04-01,97364154.56943683,849334.155574644,398282570.9515002,42597262.43472949,140158494.0070323,0
2005-05-01,33194904.620637327,222916.49194298728,388964571.3964316,41787360.11871571,65887181.676227845,0
2005-06-01,23671630.90350419,0.0,365815580.4074029,59077240.01036159,59598888.36249985,0
2005-07-01,8118852.520340992,0.0,332751775.16871184,55038490.962055005,27480546.592350245,0
2005-08-01,3501730.6663508387,0.0,309459848.9414717,87471729.74889302,64085688.51788815,0
2005-09-01,5865965.022624694,0.0,297118800.7399319,40365672.815038554,26328852.47848345,0
2005-10-01,19112199.684998997,0.0,320361312.5751166,34035977.985464275,76342044.04210094,0
2005-11-01,1160876.190161448,0.0,313804615.58468753,18492821.686138712,12802606.249622403,0
2005-12-01,10929351.260666188,0.0,328185555.1049648,11064689.2624723,36372084.23669139,0
2006-01-01,18622802.894106343,0.0,348381359.0458755,11558776.215394113,50377383.0504113,0
2006-02-01,17882796.143914804,0.0,357621017.8042269,10436339.186148018,37558274.83366557,0
2006-03-01,140064094.91377968,239417.12452160422,395819483.0132178,31386367.083669122,209888344.33096173,0
2006-04-01,15465954.35989563,0.0,373385712.1656496,46262550.561761305,39294734.07408922,0
2006-05-01,1879703.5709303531,0.0,336692459.7241352,42267585.66374246,7400002.836906779,0
2006-06-01,953297.1840169522,0.0,296615966.1194021,55120730.15700674,11418071.368654333,0
2006-07-01,19679023.9335659,0.0,284073663.43648756,108767629.33798441,108897997.11479333,0
2006-08-01,37471.3555928355,0.0,256574925.72315267,49945619.1533162,1748391.2782146044,0
2006-09-01,1098576.3047822972,0.0,247840850.17886484,41694471.740498975,18015423.60307163,0
2006-10-01,59800875.69490895,0.0,315908759.9855269,41391464.094826974,169260249.59639812,0
2006-11-01,2350799.9048685012,0.0,310460073.23469937,14892282.420027686,11776403.34746729,0
2006-12-01,65376775.026430875,0.0,355467423.11718297,10210873.731654411,120594998.64056858,0
2007-01-01,35630038.12664782,0.0,371689701.69476384,6851114.283982575,58703430.988210745,0
2007-02-01,65704442.37913583,285662.75509559765,387156459.47773635,18142838.18201446,99599701.09921816,0
2007-03-01,41922937.271083646,0.0,387158487.5688391,24703366.621209554,66628331.98339614,0
2007-04-01,29105585.670906655,0.0,384313419.8983406,50889920.81058256,77150438.81099017,0
2007-05-01,1685768.949094937,0.0,339636903.0819872,53727424.79630619,10651746.80603375,0
2007-06-01,1999404.1111431431,0.0,311739825.41412115,42225982.26128685,14812195.745809292,0
2007-07-01,4772572.353762062,0.0,302020977.40543103,45142614.995847106,35280826.16106819,0
2007-08-01,3064326.595680408,0.0,279828749.3850686,66490690.84461299,32763764.61672702,0
2007-09-01,15879756.926112715,0.0,286046949.17686146,49819332.204718515,64238418.48056261,0
2007-10-01,51410.62205340605,0.0,265878664.09470564,30447724.22318555,541531.7752722217,0
2007-11-01,1328305.4971294045,0.0,273742288.7511751,17409057.2419152,25942059.480578568,0
2007-12-01,78102136.74398881,0.0,347080417.136878,13191483.544775262,164631748.67446697,0
2008-01-01,63762673.586043864,0.0,382021945.64464724,11686848.876741143,110391050.97055355,0
2008-02-01,119084925.47444336,2310.648900587292,397340577.8444165,8029754.825008562,142435623.14812207,0
2008-03-01,30964181.25926242,0.0,394947564.11797726,18341914.853185777,46913082.386008896,0
2008-04-01,438514.35113127594,0.0,364151909.6288965,32053416.387838516,1624723.987869488,0
2008-05-01,9772777.979570966,0.0,353079556.8192485,43976768.0658806,42567228.694938995,0
2008-06-01,10839059.11062375,0.0,328120541.4489386,45834360.127254575,31438044.39787981,0
2008-07-01,16123675.04773787,0.0,318707364.27911663,73415587.25434205,77746119.93582898,0
2008-08-01,11541724.538182985,0.0,290256682.3276593,63819143.306407295,36497424.50315268,0
2008-09-01,139707.8006576882,0.0,269107257.8122487,36009532.08205152,1336998.0899726728,0
2008-10-01,15838990.4707683,0.0,292296205.68172306,30695836.797561023,69453442.59398043,0
2008-11-01,25723300.54911412,0.0,315529973.74864465,11469171.291739194,60425119.57328798,0
2008-12-01,77199435.31398323,0.0,367829656.07076657,11284125.840323994,140783243.47642842,0
2009-01-01,59104956.17406846,0.0,387409413.635708,6991153.848161486,85675867.58717111,0
2009-02-01,127691399.42394228,1054394.6040020846,398884003.70562416,5288348.252311512,145508732.3501721,0
2009-03-01,9854037.247150501,0.0,382737430.9132904,37714824.239858344,31422288.694674887,0
2009-04-01,28769636.756195534,0.0,379279675.63394904,56499290.44020228,81811171.91705735,0
2009-05-01,3010843.39563245,0.0,353192784.0238214,39700465.86330516,16608599.468390564,0
2009-06-01,9716199.913327767,0.0,313163746.2259165,63769310.96967966,31864797.667416774,0
2009-07-01,6674215.127033705,0.0,286953878.45914006,61019494.02215562,33433671.58878968,0
2009-08-01,119240.73754685726,0.0,255868764.59692153,52183486.32574858,1761494.5911256426,0
2009-09-01,530842.3057254321,0.0,238326908.81428465,45653565.40544269,4860482.735382249,0
2009-10-01,13637862.353956718,0.0,249085865.54215267,20800820.509891443,41297951.53658743,0
2009-11-01,2255938.3890388957,0.0,248106574.55585113,16307609.428088952,16047502.292114789,0
2009-12-01,69306199.09679809,0.0,333579904.7362701,14109226.943670606,168888756.22088847,0
2010-01-01,122145773.3792966,0.0,393947440.0134555,18207418.26159638,200720726.9180774,0
2010-02-01,143284244.43673363,427943.64393881254,400038193.35207015,8354979.729681116,158157921.14896816,0
2010-03-01,86649723.43469533,1003504.0061914402,399549834.05300856,27599928.53141892,114764796.67324387,0
2010-04-01,23667326.71789355,0.0,382528810.21237564,65485664.18644722,72038254.4682756,0
2010-05-01,3492902.1582080903,0.0,343701331.5314466,56848972.589203395,21507564.702434987,0
2010-06-01,9861586.067765636,0.0,323558027.26718444,46028220.33628649,35356791.87942656,0
2010-07-01,13044810.855923094,0.0,306933167.5996162,45826049.876716465,37668239.574983016,0
2010-08-01,5009928.177682783,0.0,277780142.0657426,86653579.90349512,47866172.6829044,0
2010-09-01,162745.81960481787,0.0,262324151.19416535,30265810.900483657,650954.3207900942,0
2010-10-01,50940989.46862688,0.0,327552494.3711047,30791006.17431462,146893485.29669368,0
2010-11-01,49183967.84436208,263170.9742103677,358968867.6778814,23786458.78977669,104585458.59506167,0
2010-12-01,293534106.96348876,10872504.377578814,399731285.5907938,17763518.72493945,362932547.97891897,0
2011-01-01,24093996.541647278,0.0,398628064.90933496,2994916.6797323516,25985692.539920848,0
2011-02-01,88988180.56968479,503457.6509891385,398932541.93296635,19066143.396233797,108862258.64053899,0
2011-03-01,23427206.96872681,908423.0127487913,388388307.29033774,66790847.10485188,80582242.4436985,0
2011-04-01,42012659.70785649,0.0,393502063.07068264,49150900.96376746,96277316.45196891,0
2011-05-01,61290203.098661475,504072.2728400498,393114914.9198696,65821582.42747246,127228709.64816159,0
2011-06-01,1167236.358734056,0.0,348778606.8573289,52170779.58098728,9001707.877179867,0
2011-07-01,42555285.4997167,259789.8614155116,351879437.7831207,48722228.759169124,94541618.12515943,0
2011-08-01,13346632.706747483,0.0,325322043.5996934,59830750.85335907,43449021.45577573,0
2011-09-01,9262875.460774029,0.0,322560470.7675112,38386264.85732626,43657661.61184791,0
2011-10-01,54410258.13553646,0.0,356577282.40020823,21225632.129780877,109652701.89801389,0
2011-11-01,23926538.200198352,0.0,365834946.3570074,12632412.43476739,45816614.59176485,0
2011-12-01,41656353.24486963,0.0,377699573.1861812,9802341.64625638,63323321.720299885,0
2012-01-01,21849122.71836719,0.0,383026860.84571624,13319244.661441408,40495655.03934382,0
2012-02-01,108146601.6471586,3658.923286088327,397211390.4298965,14920679.502811471,137255469.65743598,0
2012-03-01,63096922.641022645,0.0,396072977.162722,37313123.22546739,99271632.59931661,0
2012-04-01,10770715.206822477,0.0,379621219.9306942,47634108.75231334,41953066.72710755,0
2012-05-01,223153.8467921487,0.0,337083826.2956556,42707330.47804825,221093.10671329973,0
2012-06-01,76834.66955995592,0.0,307587609.76628953,31311851.79197236,0.0,0
2012-07-01,20742563.007451423,0.0,340282165.32967955,30059756.858481392,83370619.67168353,0
2012-08-01,16528134.224601768,0.0,336639817.7639283,72587202.53152552,84688358.97150204,0
2012-09-01,33251779.895753402,0.0,343626742.68383145,48503805.75094385,87918388.61956659,0
2012-10-01,5882341.4507093,0.0,328855087.4973733,54474938.59764979,44780799.37325726,0
2012-11-01,15568407.89757803,0.0,339210450.9255835,22950158.229861278,48554622.940848574,0
2012-12-01,85156502.55393526,0.0,381873307.1249216,8052656.020479903,135872014.77375397,0
2013-01-01,89688310.98910311,599340.8091658881,394599572.1338293,4572397.060294844,107586313.8674713,0
2013-02-01,51677588.62100426,170942.22579502768,396269526.5699075,10019600.063124014,63538085.34600153,0
2013-03-01,39178775.46883358,713026.8638565647,395631576.74383074,29792430.607244454,69046283.11385779,0
2013-04-01,77788273.22514077,744340.886756491,395932371.80206114,56785902.441747196,135619311.6118747,0
2013-05-01,7812402.891060425,0.0,358693153.80225796,61209608.17802404,31782793.069282845,0
2013-06-01,153340.7380485455,0.0,323072721.95669025,35720607.40723438,0.0,0
2013-07-01,15975911.230459997,0.0,317662210.659581,64391458.02401272,74006784.9441443,0
2013-08-01,5497390.124750264,0.0,291450217.3855716,73150665.59950772,45089184.092337586,0
