Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,108039117.44752891,0.0,398507509.8373024,34405391.56941101,147110984.883375,0
2005-02-01,60891071.431332,0.0,398440509.7189328,48714592.452092566,109538663.76505487,0
2005-03-01,22762502.985282626,147458.4601467002,397827831.96312773,69241248.82625285,91538532.51587749,0
2005-04-01,53640068.93806187,653033.9666985358,396446815.29549056,87246407.7699091,140158494.0070323,0
2005-05-01,265479.136839714,0.0,330216601.39699066,131851916.43788804,65887181.676227845,0
2005-06-01,137866.69928114247,0.0,302237075.82925177,87456948.45163757,59598888.36249985,0
2005-07-01,101118.79498099058,0.0,266634861.56107312,64269669.528542936,27480546.592350245,0
2005-08-01,149787.60942207702,0.0,266545626.90842596,65011438.23241354,64085688.51788815,0
2005-09-01,33380.93863666523,0.0,230182271.80613846,69697999.5074779,26328852.47848345,0
2005-10-01,3797.5628746904436,0.0,231246510.43558425,77536171.5734138,76342044.04210094,0
2005-11-01,0.0,0.0,199565119.70732284,48141530.45880631,12802606.249622403,0
2005-12-01,0.0,0.0,205554702.71852824,30500776.66445148,36372084.23669139,0
2006-01-01,71815.05397766242,0.0,228169423.9475448,27767918.039373685,50377383.0504113,0
2006-02-01,73765.70186106215,0.0,223338772.20844787,42534878.92973384,37558274.83366557,0
2006-03-01,20528234.78268021,0.0,328069370.8270919,84629510.9296377,209888344.33096173,0
2006-04-01,134547.0514424234,0.0,263643229.50216514,103674630.72187696,39294734.07408922,0
2006-05-01,25787.000484514436,0.0,205759247.22777042,67087645.39525803,7400002.836906779,0
2006-06-01,0.0,0.0,166398270.07597688,58179210.46742846,11418071.368654333,0
2006-07-01,184873.48836934348,0.0,214204997.2854825,62409632.576745786,108897997.11479333,0
2006-08-01,1269.7391338351406,0.0,182672509.9230368,46186025.11722013,1748391.2782146044,0
2006-09-01,0.0,0.0,155397202.11967394,64015448.51512217,18015423.60307163,0
