Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,124625543.31929532,4500010.964505891,387760780.50825053,14120355.77836078,144626304.65872213,0
2005-02-01,102780426.04172981,0.0,389595683.4039257,17283468.944188233,121898797.88159329,0
2005-03-01,77643605.84745944,0.0,388817009.1899388,28372810.22529411,105237741.8587667,0
2005-04-01,69890455.54043195,0.0,388965909.6382065,34182853.43449411,104222209.42319374,0
2005-05-01,12688737.431962771,0.0,381772104.176396,48240728.23456472,53735660.2047169,0
2005-06-01,21842980.42422325,0.0,369073647.13258445,66312319.75213332,75456843.13254493,0
2005-07-01,4241904.91272138,0.0,336073567.7525119,61546122.5152,30540557.83344988,0
2005-08-01,14761416.678865457,0.0,334653066.75160486,52992870.930062756,63548602.87818365,0
2005-09-01,3079652.225047592,0.0,314996309.3904746,46964940.532792166,23545867.68149797,0
2005-10-01,28058254.654716052,0.0,330066881.4314418,30853691.1130353,73099375.51627669,0
2005-11-01,2037468.7740544898,0.0,317885810.3935095,29067703.26903528,15517533.120300932,0
2005-12-01,11748684.981059525,0.0,321589475.25452065,21697419.882784322,35891329.56313857,0
2006-01-01,13541470.764420785,0.0,327076566.67041856,21117709.26319217,39800495.43448588,0
2006-02-01,15111406.783547563,0.0,326516384.0260448,24489486.87747452,37343635.51372656,0
2006-03-01,126306472.6430585,0.0,374275530.4785349,25305070.42305883,199370689.5186074,0
2006-04-01,17756510.16590584,0.0,366776789.79888415,35200995.419443145,45405201.62348878,0
2006-05-01,1736622.8273328554,0.0,330050766.07551616,48244400.64832159,10818846.044263352,0
2006-06-01,1015962.8843538638,0.0,295900978.3585319,54658325.49061961,11700716.504765306,0
2006-07-01,43612172.98331987,0.0,320500371.5417132,49787996.847301975,115027508.10455117,0
2006-08-01,674474.3498237971,0.0,294320542.9167038,51190208.49205492,11942906.418821927,0
2006-09-01,6003782.749158963,0.0,289775956.30709225,32391558.33892548,25044774.39371895,0
2006-10-01,73176956.07865201,0.0,330660195.76175314,30209016.42540393,144270211.95871702,0
2006-11-01,2826271.276831547,0.0,314460047.5945413,28725693.498345103,13215695.824781952,0
2006-12-01,77750320.59209393,0.0,351950274.4976763,19093263.431098036,134333810.92632696,0
2007-01-01,40210335.96675807,0.0,362705863.44059765,11724364.760870593,62690289.67055006,0
2007-02-01,67070250.81412614,0.0,375146383.6560554,20513404.920541167,100024175.95012511,0
2007-03-01,31448638.945558857,0.0,370360110.3518676,38397695.72979607,65060061.37116706,0
2007-04-01,15940001.830659127,0.0,364254628.60517603,45057657.26483139,54418742.62501138,0
2007-05-01,179665.0803160921,0.0,323741682.13368005,54684648.375717625,10255863.12416904,0
2007-06-01,802699.0512288632,0.0,287063961.927037,57171292.860996075,11671135.601815978,0
2007-07-01,7252233.7707958445,0.0,290377969.9695207,55234341.444133334,56576992.18407157,0
2007-08-01,11681832.897344854,0.0,293511551.1212631,50380586.40202352,55798484.92614087,0
2007-09-01,24490063.992265552,0.0,301082463.0074689,43026769.48253334,71015268.85340767,0
2007-10-01,115013.07611628417,0.0,279879956.84358215,39509027.23338825,3647374.021554886,0
2007-11-01,5689196.148519754,0.0,286679377.55578476,27437619.350447055,35522494.92490537,0
2007-12-01,84991053.85564345,0.0,348601224.79974866,13979679.985082358,160892581.08468965,0
2008-01-01,80691560.56792538,0.0,377488771.6412997,17633703.292909812,127212810.70238635,0
