Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,719144829.4108889,47111676.3728575,972134953.2910473,20558941.13622327,802839673.0266364,0.0
2005-02-01,354717128.37674105,0.0,973968065.9800096,36388319.07205744,393281210.799165,0.0
2005-03-01,201146275.71511823,0.0,966070825.3101416,35981474.92313249,229494851.77502832,0.0
2005-04-01,122274773.65217729,111107.24593255523,957077519.278908,48843983.58723016,159227179.79901576,3278463.9322388126
2005-05-01,95898721.47952347,0.0,921229690.1568799,81668368.03686075,133000516.66748439,8524006.75645867
2005-06-01,153041621.97921115,0.0,884088132.6911156,138602245.9877144,236803414.48030654,13113855.72895525
2005-07-01,25846348.121345874,0.0,828631706.6517389,104337659.07154103,34025310.16669492,17048013.51291734
2005-08-01,97030529.45950262,0.0,810091178.0395949,108020686.03651942,143305129.99674278,13769548.79862493
2005-09-01,112509409.32817915,0.0,804754190.4590244,90025959.75875074,169297242.02193734,6556927.864477625
2005-10-01,157080844.17931136,0.0,825208726.8207893,48894023.804221965,222424798.2011492,3278463.9322388126
2005-11-01,138898449.04985088,0.0,840508390.9792356,21972769.38336351,175176576.9620056,0.0
2005-12-01,312962103.02143216,119989.60767833007,886245876.440846,19860024.859518368,379096323.47302455,0.0
2006-01-01,299249062.04225785,4264.185139669042,903222338.3967645,25980144.334123783,342694075.6527471,0.0
2006-02-01,149678561.06459078,0.0,903890826.3600547,8301418.810612989,158827936.49061048,0.0
2006-03-01,489144388.2810567,3966345.5966039286,918375191.1997609,59467995.75640598,567715548.1545184,0.0
2006-04-01,153602779.62275958,0.0,902172733.3188651,46315164.730819866,179672819.76959312,3660817.9813002017
2006-05-01,17818886.253691506,0.0,874650303.8034601,49205421.97535456,21157348.81967829,9518126.970882114
2006-06-01,52583944.181995004,0.0,848028821.453886,87852947.12833133,82139377.72235028,14643271.925200807
2006-07-01,78946222.80236991,0.0,824638407.4884691,100516082.42747495,110332476.66365702,19036253.941764228
