Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,491552362.92183715,11425396.323533691,945657181.5310478,58468912.24880783,668781642.8389102,0.0
2005-02-01,228457112.24845824,0.0,950736343.0175282,90079066.0422197,323615339.77715886,0.0
2005-03-01,126291726.77050534,0.0,899233764.9420707,163207745.49090976,237996894.1859562,0.0
2005-04-01,34261915.730141215,0.0,784486139.3234293,230754291.4193412,143518428.476739,2902319.180936627
2005-05-01,1260643.1319769027,0.0,576865994.3145124,359628279.0159062,136930199.5815126,7546030.456662046
2005-06-01,2957252.5862447633,0.0,437505733.2892276,356169981.98872155,190368866.3465619,11609276.723746508
2005-07-01,175352.19669089833,0.0,246586112.53015822,397209432.1433571,61755251.45277256,15092060.913324092
2005-08-01,2479133.1916004037,0.0,203915672.8636197,328294089.23695695,133264258.64378911,12189740.902781418
2005-09-01,3052819.4842148027,0.0,200638340.5221175,247868986.60878432,165508959.34486502,5804638.361873254
2005-10-01,4598051.677290495,0.0,236100738.49649173,174245848.26051754,199903801.5759034,2902319.180936627
2005-11-01,528869.945264932,0.0,305632861.5855692,104845053.10632154,163680699.95949337,0.0
2005-12-01,33032085.889656615,0.0,552176761.2750154,69541968.37337261,346401246.66931784,0.0
2006-01-01,150508847.08892077,0.0,634152277.2217146,68124261.18920001,298561450.7171282,0.0
2006-02-01,124993574.18700202,0.0,567501485.9455374,127228395.40133335,158743617.2292576,0.0
2006-03-01,241912186.594331,339722.92556961364,630012627.6173717,174013893.7988707,474351577.8471086,0.0
2006-04-01,52590128.58277398,0.0,543211178.7275796,263992486.3533177,181192793.71974844,3244700.5967608048
2006-05-01,10986.686555787548,0.0,328731338.42407733,360879992.9944554,24656753.61362265,8436221.742996251
2006-06-01,314877.52680915757,0.0,178914250.13353533,355484548.1836865,65407242.00040268,12978802.387043219
2006-07-01,2910675.5185504565,0.0,139801635.79607484,349868254.20509803,137527035.1038592,16872443.485992502
