Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,611593385.2454684,5977336.025042139,963856576.862758,16755457.032925492,654872412.9755062,0.0
2005-02-01,291907353.9406895,0.0,966981941.6311332,33491714.1440941,328524432.85315853,0.0
2005-03-01,197176676.61853257,0.0,962551624.23791,32294805.797858845,225041165.02316844,0.0
2005-04-01,100827703.03505924,0.0,943435442.722995,48803301.91625099,127612504.25545785,2902319.180936627
2005-05-01,69231356.75278082,0.0,888461117.3153945,86648152.31900391,90891353.97458738,7546030.456662046
2005-06-01,132165090.35295218,0.0,839016477.0672414,143057702.0961098,204377490.16560978,11609276.723746508
2005-07-01,37606967.48346002,0.0,786257687.4475379,118117589.24185094,48075521.83306442,15092060.913324092
2005-08-01,106442484.98169793,0.0,770029744.5504218,116295022.07668234,153173367.5165126,12189740.902781418
2005-09-01,112501690.06959821,0.0,765074699.2262541,94904363.60137254,164393690.07052305,5804638.361873254
2005-10-01,138537691.2589627,0.0,782888092.5431972,50155440.807231404,200988001.31288946,2902319.180936627
2005-11-01,128288084.55156717,0.0,796575965.8196468,23048997.796517666,162996487.7319321,0.0
2005-12-01,274436960.9247984,0.0,852627325.7532572,18666717.38661962,349075435.98804903,0.0
2006-01-01,233515843.08151144,0.0,873768817.809295,23220796.187960807,277878131.3255103,0.0
2006-02-01,149157504.86604464,0.0,876430229.8567508,7742018.960039219,159560935.87353954,0.0
2006-03-01,396186381.99052185,887243.6351788895,883385316.8441114,54960128.20872157,458988840.8217828,0.0
2006-04-01,145467870.29982993,0.0,867061666.0597227,46964329.46076863,169601988.74927244,3244700.5967608048
2006-05-01,16394019.75242834,0.0,839647502.758222,56243325.16397644,19846563.653102346,8436221.742996251
2006-06-01,52505908.82486182,0.0,804319354.0086836,100495454.57256469,81387891.99447188,12978802.387043219
2006-07-01,112210336.88857113,0.0,790870979.0767334,110554974.05528627,160144870.8107175,16872443.485992502
2006-08-01,85248913.61583574,0.0,778857373.7307029,109059703.45544317,126961695.66317147,13627741.88565551
2006-09-01,112419983.47152168,0.0,773561570.9104224,79142259.21665879,152804377.16585636,6489401.1935216095
2006-10-01,339448880.8100818,0.0,807218542.892234,91217229.85482356,460088960.02550155,3244700.5967608048
2006-11-01,151708826.07224867,0.0,825023297.9201233,16658993.143937256,185165099.18885854,0.0
2006-12-01,150345315.85791796,0.0,850860287.5469625,16744164.816752946,192926470.3015098,0.0
2007-01-01,111436218.85714403,0.0,866022782.6230792,10660998.830447061,137259712.7637077,0.0
2007-02-01,163233641.8099855,0.0,871379080.4500463,12165170.14006275,180755109.77701536,0.0
2007-03-01,148371810.96233848,0.0,867733882.9637494,21312283.627192162,165332993.32000986,0.0
2007-04-01,101752338.8051184,0.0,859152472.9785128,47528917.286298044,131549803.13098139,3503632.8242627094
2007-05-01,88186548.36087415,0.0,837143512.3212818,73969981.40465096,116815764.9147029,9109445.227694886
2007-06-01,33107061.881644476,0.0,802514299.6283351,84141670.66931765,39216811.550894275,14014531.297050837
2007-07-01,81200627.18022007,0.0,787514425.7092901,92089551.69796857,104752916.33362621,18218890.45538977
2007-08-01,120413212.03619859,0.0,784302474.4338638,101139887.18398432,164600236.63169995,14715257.310008807
2007-09-01,180580570.8837651,0.0,786302771.6966385,94391981.03296474,251413782.66306388,7007265.648525419
2007-10-01,111363611.6999185,0.0,783924506.5544338,50576101.2391451,144702258.14886668,3503632.8242627094
2007-11-01,97967800.87371865,0.0,799751731.7506946,14993800.318023536,128788826.38800319,0.0
2007-12-01,466642839.21927196,196682.9416036413,896389065.1484543,8319526.358996081,571796381.917631,0.0
2008-01-01,491736323.28486854,522561.01639785443,948492441.1019845,1772389.8862745103,546134650.1410705,0.0
2008-02-01,501121163.53979564,0.0,967974506.7030635,8331933.680682354,528935162.82155716,0.0
2008-03-01,164934498.19355622,0.0,964420272.0669928,9867854.366423534,171248117.92390883,0.0
2008-04-01,63264570.45167248,0.0,953934672.5785537,20022684.58053334,69432670.96145192,3368984.5823152
2008-05-01,152393372.39531937,0.0,933232315.8926469,66721975.0734039,189653631.1340509,8759359.648764882
2008-06-01,54802875.2253999,0.0,874989813.6286714,91282148.72991371,74366583.36207733,13475938.3292608
2008-07-01,50932742.90406736,0.0,815786246.2409668,106705739.40167843,66314171.4473545,17518719.297529764
2008-08-01,74341942.71843982,0.0,789983289.3927774,100583955.33218825,100472375.45517816,14149736.324671177
2008-09-01,75796116.42247008,0.0,782631994.2839398,81217341.65258823,115186999.28908823,6737969.1646304
2008-10-01,79967549.92921464,0.0,783125696.4248209,49966139.84949805,117478784.04444389,3368984.5823152
2008-11-01,74392585.19102158,0.0,785450265.2621719,27028216.73906667,100353836.23199642,0.0
2008-12-01,421988832.1137519,0.0,881933055.2323472,9637852.318007842,528109474.40193546,0.0
2009-01-01,293981173.0654327,0.0,913963684.7641943,9617811.1268549,335629613.7241345,0.0
2009-02-01,247797637.92731398,0.0,918868557.9888301,17067477.586956866,269769988.73890674,0.0
2009-03-01,205248526.68718648,0.0,913702001.0226551,13333278.929623535,213415248.6506346,0.0
2009-04-01,338368444.538575,305179.1035727126,908234139.1798186,44805325.679717645,374690206.72897154,3320880.750057929
2009-05-01,138394862.54550982,0.0,896533691.1333817,70132560.96689413,185767641.51575246,8634289.416538503
2009-06-01,159860097.57929865,0.0,872267389.753849,100334422.54732548,215844611.1612039,13283523.000231717
2009-07-01,38360351.769911155,0.0,841177645.6044087,87228156.4388784,46966099.24588976,17268578.833077006
2009-08-01,42916264.072157785,0.0,833039835.8579397,70662912.64791372,57503998.65739422,13947699.431237
2009-09-01,138727560.63188046,0.0,836285525.1850549,60120569.80959998,174841529.86649206,6641761.500115858
2009-10-01,91482402.76020706,0.0,835836728.3881431,33333787.271474507,112569674.26237802,3320880.750057929
2009-11-01,42060905.675988115,0.0,836275651.3904501,11141609.114274513,49067905.645123735,0.0
2009-12-01,387715010.62899595,0.0,889845199.5939599,18900425.703278426,460184984.5357843,0.0
2010-01-01,377308425.18637735,0.0,933036581.3124495,1652279.2051764708,422152086.1100432,0.0
2010-02-01,166383301.3827553,0.0,945386378.7462739,1677966.53787451,180411065.35445434,0.0
2010-03-01,250689286.15558264,0.0,938978487.359598,47437812.83517647,291719207.60408324,0.0
2010-04-01,247219979.3065851,0.0,934483350.8219819,32707471.122219622,272041491.58405024,3390822.307138565
2010-05-01,75393427.3712346,0.0,908106927.0908209,58720997.16501174,98921862.21401997,8816138.591065478
2010-06-01,66063678.17753763,0.0,855546371.3981149,106588557.97242354,100738455.41791894,13563289.22855426
