Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,398955508.7594996,27917916.749024253,473584323.61436063,27681498.17769411,454693039.1123653,0.0
2005-02-01,268890921.0092554,1047015.9867885091,473584323.61436063,36993018.6527608,306930955.6488046,0.0
2005-03-01,257750536.25980166,5040401.397623807,473584323.61436063,53327812.50778821,316118750.1652138,0.0
2005-04-01,26047161.3578171,0.0,457902625.045161,62708312.68231373,68748952.83026107,4324822.640670035
2005-05-01,44752369.966182835,0.0,460895323.6060998,101835844.4607843,138336374.53273112,11244538.455174804
2005-06-01,5454975.554015124,0.0,354324496.0246317,191471622.30508244,73056479.71494931,17299290.56268014
2005-07-01,4276238.145096993,0.0,158896463.88727856,231670282.0478039,11464154.93506585,22489076.910349607
2005-08-01,5715710.544262989,0.0,90259559.06044558,165942750.21409422,31321065.965082474,18164254.651895855
2005-09-01,1320245.553717643,0.0,75458870.98022935,116571122.80487841,46815602.16286282,8649645.28134007
2005-10-01,4497944.598399746,0.0,114788780.5753142,54789542.34474511,92366329.48614302,4324822.640670035
2005-11-01,17753694.187622238,0.0,297895769.63923526,35535899.32527844,236396582.57682177,0.0
2005-12-01,222753552.08497968,21755720.262855336,466197081.80804926,29382215.21392941,442192799.7305784,0.0
2006-01-01,309127562.84828526,6612240.877239395,473584323.61436063,33440929.143882353,356567974.6757186,0.0
2006-02-01,145384143.34663755,4643.332612763904,473571382.66481984,42685516.42608629,188061362.15579575,0.0
2006-03-01,326958585.6758337,8042579.701232739,473584323.61436063,46320435.55145101,381334541.8780582,0.0
2006-04-01,160739284.9551265,2124035.5728537478,473584323.61436063,60409066.54430585,219630838.76506934,3641548.3072166746
2006-05-01,805591.1071290267,0.0,370424619.4165907,137815381.356502,25993242.95042478,9468025.315436125
2006-06-01,1445822.044744219,0.0,225399673.3308535,202079461.23222747,43283231.494199984,14566193.228866698
2006-07-01,3953356.2946585906,0.0,115109206.72730944,190946571.48028234,38118283.91257216,18936050.63087225
2006-08-01,4125467.1927634543,0.0,78822489.91864462,162620141.89174128,45347121.743750095,15294502.642321577
2006-09-01,5872800.15953926,0.0,109685739.72538252,99185348.66942738,126371503.86602746,7283096.614433349
2006-10-01,7717763.512628119,0.0,201631370.3133115,54367056.927772544,150388902.72111297,3641548.3072166746
2006-11-01,32516652.022592768,895.0866057579882,366084542.45999026,33038506.56960001,230009225.82547727,0.0
2006-12-01,69377182.90863807,0.0,442748738.19349366,23365707.68949021,169407086.33163178,0.0
2007-01-01,60353342.46932684,0.0,459820501.7516795,26953193.72134902,104378299.74886179,0.0
2007-02-01,244351221.76394686,86435.51080196466,472781960.6914783,38285623.92959214,295684740.1441395,0.0
2007-03-01,97189398.06361957,0.0,473163115.63142794,53369379.39867452,150939932.40224364,0.0
2007-04-01,25967519.366348546,0.0,456722585.7314731,71876803.8170902,77096114.04229146,4307679.241192534
2007-05-01,1728221.5885670644,0.0,377072490.4535773,145062726.029302,55940886.457151905,11199965.882821014
2007-06-01,3695535.7533738483,0.0,243207728.32422012,194707513.8686432,46173671.73899007,17230716.964770135
2007-07-01,8870322.2302228,0.0,136603691.90885636,193494976.70539612,46031147.881806895,22399931.76564203
2007-08-01,6157262.266265917,0.0,94114239.36535624,167463079.94947445,53004870.71890934,18092252.444461957
2007-09-01,6230557.066521669,0.0,114921819.6579949,106889498.67175686,119111536.06440087,8615358.482385067
2007-10-01,8156817.901588628,0.0,193954573.68518838,72611594.81361566,155492983.0781599,4307679.241192534
2007-11-01,1448737.5149100912,0.0,204978046.1546648,48117849.721874475,60007250.15435769,0.0
