Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,401372787.88274324,30387264.888444226,473584323.61436063,27681498.17769411,459441550.94888145,0.0
2005-02-01,275043243.60375965,2067543.660989095,473584323.61436063,36993018.6527608,314103805.9175094,0.0
2005-03-01,255303448.60240227,7560009.190557963,473584323.61436063,53327812.50778821,316191270.3007486,0.0
2005-04-01,29982343.747180633,0.0,457266584.0688509,62708312.68231373,72048094.24331462,4324822.640670035
2005-05-01,48497575.16056099,0.0,457777816.5482474,101835844.4607843,139600113.64556697,11244538.455174804
2005-06-01,6179556.10741214,0.0,351160925.2396956,191471622.30508244,73734996.54126255,17299290.56268014
2005-07-01,4239668.927271125,0.0,158753224.6457526,231670282.0478039,12891983.847532418,22489076.910349607
2005-08-01,5827737.045516533,0.0,89360147.26196387,165942750.21409422,30002908.40157863,18164254.651895855
2005-09-01,1453205.2348529496,0.0,78659957.28353111,116571122.80487841,53319467.365513176,8649645.28134007
2005-10-01,4343919.007711725,0.0,119737865.48008572,54789542.34474511,93604820.81001145,4324822.640670035
2005-11-01,23275361.416309703,7445.733285836704,308352163.8773895,35535899.32527844,247433004.87217775,0.0
2005-12-01,247302017.2796162,31504128.66259868,468741167.81136817,29382215.21392941,468577365.09012264,0.0
2006-01-01,299180838.6565256,8833603.83303262,473584323.61436063,33440929.143882353,346298527.436433,0.0
2006-02-01,151089494.14347327,4356.710077897963,473572953.79852587,42685516.42608629,193767997.46380275,0.0
2006-03-01,312832937.9704473,11494922.152003277,473584323.61436063,46320435.55145101,370659665.4897363,0.0
2006-04-01,160489632.7288346,4153556.258009964,473584323.61436063,60409066.54430585,221410707.2239338,3641548.3072166746
2006-05-01,729952.2332420298,0.0,371539820.44091576,137815381.356502,27032805.100862984,9468025.315436125
2006-06-01,1602706.9386468334,0.0,233354461.7941071,202079461.23222747,50484033.35534476,14566193.228866698
2006-07-01,4516833.761586301,0.0,126083088.61808991,190946571.48028234,45066947.73673206,18936050.63087225
2006-08-01,3115998.5157381655,0.0,84079565.18834774,162620141.89174128,38099037.28657859,15294502.642321577
2006-09-01,5899511.196147376,0.0,117282433.24921328,99185348.66942738,128889701.4543543,7283096.614433349
2006-10-01,11302098.049109334,0.0,217044454.79143944,54367056.927772544,161789628.21189135,3641548.3072166746
2006-11-01,42931997.868222065,16417.86621178033,374440368.39815956,33038506.56960001,233382835.91075417,0.0
2006-12-01,75803132.88345586,0.0,444704670.52388203,23365707.68949021,169433142.6986685,0.0
2007-01-01,63017964.81490895,0.0,460143288.0255839,26953193.72134902,105409776.03795967,0.0
2007-02-01,241407388.29877576,345314.6903844074,472456093.1295491,38285623.92959214,292351132.02271765,0.0
2007-03-01,99481490.40175854,0.0,472843255.48220277,53369379.39867452,153238032.15308672,0.0
2007-04-01,27867537.229747787,0.0,456278098.7906023,71876803.8170902,78871505.11404519,4307679.241192534
2007-05-01,2085699.254753362,0.0,380067864.26840633,145062726.029302,59738224.87903796,11199965.882821014
2007-06-01,3453429.246380003,0.0,253635428.44875193,194707513.8686432,53298201.6174891,17230716.964770135
