Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,121176672.17573811,0.0,499816638.7426355,6146320.271764707,142704247.12463108,0.0
2005-02-01,42240977.70742905,0.0,502599985.6449204,13367601.620376475,58391926.230090566,0.0
2005-03-01,40759713.92201174,0.0,496197222.82988465,41310920.74718429,75667871.85416037,0.0
2005-04-01,95538584.89621197,0.0,505873372.8630034,55445991.854141176,159717427.47283205,943299.310639829
2005-05-01,147062138.96396375,0.0,510379317.93853474,80557975.718549,229673481.47737142,2452578.2806725726
2005-06-01,647309.1264135982,0.0,449737217.8745407,141521845.5627137,77703030.7012993,3773197.242559316
2005-07-01,118370.93887298205,0.0,355739586.15141004,122696640.64234513,16832249.38672591,4905156.561345145
2005-08-01,749156.0074709655,0.0,318640360.41110605,86122923.54083139,35197927.68201199,3961857.004248134
2005-09-01,820005.1127759241,0.0,292482355.1734877,62438310.86202354,25187321.58560129,1886598.621279658
2005-10-01,3492669.1524821855,0.0,312100087.0803861,39509358.10964707,58847330.72582674,943299.310639829
2005-11-01,7734996.840412525,0.0,369866683.91545504,18916299.18557647,83999471.12456518,0.0
2005-12-01,82538857.66366695,0.0,463283796.0167209,9551220.727341177,185507190.49227378,0.0
2006-01-01,158293670.35883376,461377.1566300268,491154182.5419206,15425970.330635305,202051404.3712988,0.0
2006-02-01,44030342.48592019,0.0,494469736.8654521,21485087.448007844,68830984.2574597,0.0
2006-03-01,136002067.914077,0.0,502130979.5370682,41040263.23617254,184703573.82186583,0.0
2006-04-01,63134200.631366104,0.0,501896428.9069717,65949652.47758432,127996630.52764843,852671.9512055288
2006-05-01,7922032.5496357605,0.0,462937993.24167347,108297695.36456472,74955237.23327461,2216947.094543217
2006-06-01,3773815.215089065,0.0,412958307.1404006,101601031.21142744,48314277.25776307,3410687.804822115
2006-07-01,1412263.1735825334,0.0,360046639.4117067,108888038.27618825,41141760.04927143,4433894.189086434
2006-08-01,522160.1009965868,0.0,319678103.4397298,77304062.94931765,19499309.19470979,3581221.925088217
2006-09-01,5136562.311198693,0.0,331612501.71646184,47727765.147427425,58463534.88458967,1705343.9024110576
2006-10-01,14272118.976241045,0.0,378790454.21525663,32740560.944972545,92621688.66554652,852671.9512055288
2006-11-01,29258763.118611027,0.0,421754692.7624904,17015517.679403923,89238519.34524873,0.0
2006-12-01,83650319.5916876,0.0,467886610.61648387,11631549.950282354,141413787.3959634,0.0
2007-01-01,15906118.847207515,0.0,468671865.93343145,14463555.813082356,31154929.97723758,0.0
2007-02-01,86351054.85129759,0.0,485146335.4043753,14841257.44808628,117666781.77032778,0.0
2007-03-01,61138097.00531657,0.0,490287446.2907112,35342930.58915295,101622138.48080534,0.0
2007-04-01,35315552.21718015,0.0,487686350.0830693,69527893.14691764,101486121.22770917,756227.9287466975
2007-05-01,1508210.8581579684,0.0,445871924.3746296,74797046.03279215,30143351.304073896,1966192.4882100436
2007-06-01,7091490.2739272965,0.0,412575204.7166219,88574071.65074512,53467507.52361204,3024911.71498679
2007-07-01,2686770.6202327684,0.0,358494033.6615049,110983937.62290198,39751351.73331517,3932384.9764200873
2007-08-01,3280149.6815495566,0.0,324965541.6652256,86179814.43538041,34507772.432801515,3176157.150878292
2007-09-01,8298669.601355358,0.0,335458562.21073186,43296316.5112,53748645.348689474,1512455.857493395
2007-10-01,20197723.636400413,0.0,382987398.3588675,26650179.86338822,93178565.95247301,756227.9287466975
2007-11-01,4278257.488049769,0.0,392289861.3756999,15778207.158368625,28354899.659142643,0.0
2007-12-01,116598516.4944585,0.0,474210357.3607046,8581600.598674512,207100613.07813764,0.0
2008-01-01,163461536.51603276,0.0,495215344.94382113,13262451.249341179,197728975.34849054,0.0
2008-02-01,162551450.97244787,0.0,503169708.0114534,16542051.981184319,187047866.02126446,0.0
2008-03-01,27401732.608758435,0.0,501370310.99143714,24938391.859403905,50540727.448146194,0.0
2008-04-01,12624902.274941318,0.0,485993872.399922,44960322.8325098,41371976.05519621,836810.4607396994
2008-05-01,15093220.362901883,0.0,469065872.56880665,65583759.99001566,61570944.535675265,2175707.234775222
2008-06-01,2220214.194922032,0.0,415105681.20765257,77920246.13916077,21201048.770893473,3347241.8429587977
2008-07-01,2290325.413179923,0.0,361225911.28922457,85167272.58494116,18147292.549895197,4351414.469550444
2008-08-01,3982041.4407603852,0.0,319115218.1117313,83240495.49963138,23537120.83911591,3514603.955925484
2008-09-01,1211283.3241553775,0.0,298781563.37693703,42045293.35581961,7657229.931798389,1673620.9214793989
2008-10-01,25126459.697148416,0.0,359017610.70742345,31495278.323427442,115994921.08941375,836810.4607396994
