Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,73946569.68728004,0.0,485975592.31657743,11822473.309356863,149575987.48463887,0.0
2005-02-01,26291363.291940935,0.0,490745167.2665459,26569619.74383528,57630557.98574464,0.0
2005-03-01,30177161.09193175,0.0,479166596.5663818,56171667.79250983,74770258.18427762,0.0
2005-04-01,43606486.191599995,0.0,476050749.32523024,111189334.75637646,150703002.2451149,943299.310639829
2005-05-01,80517097.18407626,84609.78701589511,491817159.3311264,176631864.9770273,270530685.3914906,2452578.2806725726
2005-06-01,2306202.288085165,0.0,389283518.7975566,188387098.6411764,80182924.57967508,3773197.242559316
2005-07-01,0.0,0.0,284775847.7341745,134129886.15786664,14873514.423970949,4905156.561345145
2005-08-01,170960.62274841804,0.0,234504902.90653425,93873452.85703532,33185445.26566414,3961857.004248134
2005-09-01,0.0,0.0,189687320.83540973,81941056.12115294,26546405.602173146,1886598.621279658
2005-10-01,311671.7165299846,0.0,207652887.47941834,48929035.42591372,65473660.88476442,943299.310639829
2005-11-01,526981.7485455581,0.0,266790358.72060028,39687563.014909804,99345627.53048787,0.0
2005-12-01,26052968.616831,0.0,417568414.9118232,21370024.85327843,198201049.66133234,0.0
2006-01-01,121602114.44765519,1628053.9972987887,490064495.8464158,12383692.014031377,208109941.3935778,0.0
2006-02-01,40134620.38208663,0.0,492449719.8924313,24733207.64087843,67253052.06898053,0.0
2006-03-01,129915051.63088517,0.0,499058541.4675503,46933964.89230586,183457838.09830996,0.0
2006-04-01,20973766.247400884,0.0,471911873.75838923,129547191.80425094,122516026.50873844,852671.9512055288
2006-05-01,4353652.228398256,0.0,420130166.62617445,141049823.4727137,90143556.08321989,2216947.094543217
2006-06-01,0.0,0.0,342190279.000285,137615656.03632158,51011376.643779874,3410687.804822115
2006-07-01,300671.9507776534,0.0,274963754.9262912,122935095.22760789,42071626.71706956,4433894.189086434
2006-08-01,396148.3792022354,0.0,234388365.59437457,73173278.53145881,22410175.413772378,3581221.925088217
2006-09-01,0.0,0.0,208069181.25162342,94355426.86483142,59495577.27681972,1705343.9024110576
2006-10-01,2072514.663717261,0.0,214708628.4773999,96332188.43560785,99781434.86247131,852671.9512055288
