Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,101204448.96699485,0.0,493820556.4576051,15393778.010462742,149575987.48463887,0.0
2005-02-01,29293513.783443898,0.0,498056872.57474506,24100728.08516079,57630557.98574464,0.0
2005-03-01,34518241.270156324,0.0,500457166.5892429,37851722.89962352,74770258.18427762,0.0
2005-04-01,94739163.70409176,0.0,509066668.12608993,48297636.31481569,150703002.2451149,943299.310639829
2005-05-01,172543988.10165668,66006.73852891522,516211163.939644,93228773.01842351,270530685.3914906,2452578.2806725726
2005-06-01,2764540.548226606,0.0,457092480.6378414,140369787.4317568,80182924.57967508,3773197.242559316
2005-07-01,0.0,0.0,334631048.0111388,145191090.18782747,14873514.423970949,4905156.561345145
2005-08-01,481555.1573269778,0.0,281893875.07561636,99438893.34566274,33185445.26566414,3961857.004248134
2005-09-01,351038.9112760633,0.0,259001208.5049031,65887803.66072156,26546405.602173146,1886598.621279658
2005-10-01,1768531.2077540641,0.0,288743834.0028104,36084779.74679216,65473660.88476442,943299.310639829
2005-11-01,8527985.499183405,0.0,356946654.5834013,22614821.450713735,99345627.53048787,0.0
2005-12-01,75341143.9675786,0.0,466998237.5732571,12808322.703898042,198201049.66133234,0.0
2006-01-01,153925643.01826826,1558057.8870242788,503618471.67662454,16006006.384917652,208109941.3935778,0.0
2006-02-01,36617842.43887841,0.0,505800088.09483635,28453593.2118902,67253052.06898053,0.0
2006-03-01,148869641.9078987,0.0,513019203.1450045,27369081.140243147,183457838.09830996,0.0
2006-04-01,57185260.61927259,0.0,514259815.967072,64942825.01860392,122516026.50873844,852671.9512055288
2006-05-01,9512422.668261021,0.0,491574747.4001326,105554583.75578037,90143556.08321989,2216947.094543217
2006-06-01,190315.1625893212,0.0,410288536.5896705,136316721.12101957,51011376.643779874,3410687.804822115
2006-07-01,606050.1641955932,0.0,337162851.8923852,124950659.47310585,42071626.71706956,4433894.189086434
2006-08-01,91085.80135884346,0.0,283425610.3783271,98116672.85815693,22410175.41377238,3581221.925088217
2006-09-01,1933750.277979694,0.0,294916137.93955094,53901448.64544314,59495577.27681972,1705343.9024110576
2006-10-01,11202520.571046738,0.0,349675795.68122905,34919121.55214119,99781434.86247131,852671.9512055288
2006-11-01,19294731.585678652,0.0,401553190.29690254,23304006.241247065,94476132.4425989,0.0
2006-12-01,63166925.763788596,0.0,463922191.85277015,21256483.265937254,146792410.5855935,0.0
2007-01-01,9392763.079692177,0.0,464921032.0840435,18953321.768062748,29344925.079028368,0.0
2007-02-01,75778007.91477567,0.0,486405368.2955287,26389079.805105884,123651423.93136677,0.0
2007-03-01,51253357.41523288,0.0,492771133.17763877,37621994.69272156,95241116.99006449,0.0
2007-04-01,43926414.58391073,0.0,491585319.07837784,55863471.93378042,97847844.48968354,756227.9287466975
2007-05-01,360381.87584632257,0.0,427009072.90974355,101766434.88919999,34221204.52849826,1966192.4882100436
2007-06-01,1004919.4747727376,0.0,372799418.9399307,111728298.21793728,47535436.01261159,3024911.71498679
2007-07-01,3052077.9229524853,0.0,328646726.63008785,109952423.1909255,48705162.24959388,3932384.9764200873
2007-08-01,2439099.988534271,0.0,300197491.05976784,91393708.8434275,35719396.47942958,3176157.150878292
2007-09-01,6127285.937925575,0.0,308960787.7845762,53894166.86936472,57280110.43933869,1512455.857493395
2007-10-01,20523080.54616776,0.0,367233485.7683197,30105614.980047066,108092898.31763095,756227.9287466975
2007-11-01,5665006.639863986,0.0,370605028.3443265,22065780.741796084,30408611.758827884,0.0
2007-12-01,110949948.54069456,0.0,464684321.78959256,7317860.6346588265,212347102.62061965,0.0
2008-01-01,160206894.11530602,0.0,497066783.85545784,8742879.56654902,201332235.74772048,0.0
