Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,132563815.82834645,2634551.666734125,676648633.791928,48875898.5944533,275704815.6029618,0.0
2005-02-01,124461727.04388209,51569.120421588515,720195302.2564508,74320432.49230011,243489940.74376392,0.0
2005-03-01,154713503.817108,4161469.6965865456,738196862.3169047,92168215.35034744,267917643.62154868,0.0
2005-04-01,90072591.044651,388560.2308617352,723559226.896218,180942710.42715466,247898206.20515126,3217953.9929113854
2005-05-01,161582476.6397996,19442.829592216058,739351207.8071629,224489181.55919886,387207714.60493344,8366680.499484959
2005-06-01,15637536.651270732,0.0,668529022.0325481,188077366.33153304,101330044.58120729,12871815.971645541
2005-07-01,3799188.095673498,0.0,546036918.7029237,171556255.42858514,3720792.623166939,16733360.998969918
2005-08-01,3968079.825231486,0.0,469919943.4976015,154038321.56262547,29473891.944768466,13515407.476721436
2005-09-01,1663004.215829402,0.0,446887195.26522887,90094046.14218472,31113221.446020033,6435907.985822771
2005-10-01,7755624.540600475,0.0,503206126.9114295,73901664.04357804,126733053.60552341,3217953.9929113854
2005-11-01,18783962.013642307,0.0,575509566.8994445,23785790.211304065,113965076.5309441,0.0
2005-12-01,53416786.12935526,0.0,661200655.5724089,34084729.47217823,173884558.03506038,0.0
2006-01-01,242948783.27793157,3641817.8363940027,738584423.3412582,33942703.666890435,360186782.35308444,0.0
2006-02-01,47488485.60282108,0.0,741036109.4480083,86472946.49502815,136846071.58506453,0.0
2006-03-01,214211511.57494432,17985604.535179924,735521237.6997555,175448104.16684663,400591795.0923873,0.0
2006-04-01,75710211.78969441,2377919.339881329,704719097.3554894,253466560.59977123,289873419.6377519,3645256.595708542
2006-05-01,4217012.656214035,0.0,615118753.727099,186711860.09072703,69958727.55046353,9477667.356034745
2006-06-01,3964047.6113305856,0.0,518935714.55665916,179591067.9094795,44671391.121661134,14581026.382834168
2006-07-01,11277168.255577415,0.0,475190808.7673171,163799505.8085406,69047693.36832458,18955334.71206949
2006-08-01,5877300.378008159,0.0,426604728.6617036,157006426.7005863,36803128.79045641,15310077.446120225
2006-09-01,16182125.716785114,0.0,472951352.8176515,112529237.1350446,161152140.93649432,7290513.191417084
2006-10-01,45398160.86228919,0.0,577126666.3984308,80686004.96510455,224806311.0084107,3645256.595708542
2006-11-01,29249739.284199923,0.0,623378040.0719154,51948277.60322724,126827634.17276983,0.0
2006-12-01,110479342.32214384,0.0,697992340.8646574,27374017.091534276,213863067.51678777,0.0
2007-01-01,97256751.0749119,0.0,727875572.61791,20242471.40215029,148682645.570777,0.0
2007-02-01,173793745.98460352,101583.95253498347,743759974.3773328,67817572.40926255,257969988.85892805,0.0
2007-03-01,85893298.16971502,0.0,735917156.940795,122301484.39856079,197758177.04924342,0.0
2007-04-01,3461618.7101912037,0.0,639356594.1591543,168510610.812442,54603042.77875113,4082872.71087069
