Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,180824626.95702708,670765.5158466169,748115809.239171,27650603.201552924,249416563.5477631,0.0
2005-02-01,159237526.89749223,0.0,759279967.0801842,43901060.32294121,214627299.45619902,0.0
2005-03-01,166456053.28431275,1075116.4364421605,763113169.4106154,85782117.88894123,254067832.6289046,0.0
2005-04-01,128684613.17094342,0.0,764192795.5221357,118713585.19906667,238556419.07730484,2979334.6064644125
2005-05-01,183317820.2019768,0.0,765846178.2808567,174258013.52178034,342349202.9220553,7746270.145864095
2005-06-01,4746175.6636782205,0.0,668515795.6520902,245431353.63890967,104600015.99913047,11917338.42585765
2005-07-01,3107578.7397417477,0.0,510962495.00988775,233489938.28285483,6148754.048687081,15492540.29172819
2005-08-01,5189480.0942541,0.0,443976747.50606984,173775092.31826687,36594656.729147874,12513205.945540857
2005-09-01,2508030.5175589565,0.0,412106232.9841024,128363463.9998432,36217939.8303495,5958669.212928825
2005-10-01,9417497.816336924,0.0,471623756.0650462,72963446.15893336,123620894.35582629,2979334.6064644125
2005-11-01,10213700.882212928,0.0,523130263.4175505,51355851.49668233,106211456.44883065,0.0
2005-12-01,31743603.801131792,0.0,616411615.6468934,38488076.41420396,164149940.31101632,0.0
2006-01-01,143173881.4274702,3097780.0828653816,706273747.3374006,36033033.12923136,275169598.89704037,0.0
2006-02-01,61178882.56849099,0.0,717082093.1943296,53568054.32291766,124237393.25745521,0.0
2006-03-01,227539145.72975034,11508255.285615131,741681598.3628136,77816169.61163919,339668983.4118521,0.0
2006-04-01,143150289.6702161,0.0,745897471.4263722,114796717.38678427,247314231.008749,3386236.9778372576
2006-05-01,3010982.5066535883,0.0,664010593.1991729,183573485.25330186,63018256.57894416,8804216.401070565
2006-06-01,6528036.347253469,0.0,564270417.9327722,207106192.66462746,48415633.173253685,13544947.91134903
2006-07-01,12951656.747783137,0.0,514507147.2121075,188866937.00697255,70896755.60626453,17608432.80214113
2006-08-01,11963267.420812877,0.0,473098554.2766206,168605933.917153,51047735.149195306,14222195.240451165
2006-09-01,29677735.909689907,0.0,517589010.8719317,97939205.9634745,146726463.85597974,6772473.955674515
2006-10-01,44709697.222680025,0.0,581848216.0341101,74437527.9376157,172323600.0971234,3386236.9778372576
2006-11-01,22173769.63047694,0.0,608646240.0293455,61862282.92971765,107151819.2325061,0.0
2006-12-01,77022763.99545115,0.0,669155913.2934054,39701678.244925484,179058243.07394114,0.0
2007-01-01,73688480.28299583,0.0,704476346.0011581,21553988.45423529,133029747.31116422,0.0
2007-02-01,142251227.8342659,0.0,729868982.8027622,51960678.25501175,218071019.00161314,0.0
2007-03-01,79444635.58768359,0.0,730852306.3261867,94084137.68040782,165043629.7049642,0.0
2007-04-01,5715897.980015195,0.0,681688237.4583039,127564763.67717646,55746956.07268904,3785451.9627324785
2007-05-01,4471144.302700969,0.0,608130257.438329,175640234.94858047,55989511.319748014,9842174.7102974
2007-06-01,12148119.44673041,0.0,546561029.7225631,191549282.83197656,71129729.95600353,15141807.850929914
2007-07-01,17589471.90029451,0.0,500819694.2462135,195694463.69510582,80027667.49878806,19684349.4205948
2007-08-01,11356353.210030586,0.0,457353328.3685027,167601507.2029098,43400974.63456402,15898897.871329375
2007-09-01,18033671.830307294,0.0,471564324.29453844,119840457.51699609,105446546.22908677,7570903.925464957
2007-10-01,25761126.824711088,0.0,509810464.84427637,87211851.73089415,136538997.00320393,3785451.9627324785
2007-11-01,2796725.1931500193,0.0,501683110.94532984,52200869.10356079,35221833.8545536,0.0
2007-12-01,190982724.69296235,849863.0089378209,702568146.224244,19023856.710047077,420004707.399561,0.0
2008-01-01,221827475.58052808,3817188.839017681,747477708.8441123,15237580.54793726,290887400.4616992,0.0
2008-02-01,244338259.6574032,1337644.6163907282,762152748.9699619,46100268.51003138,306965082.2893269,0.0
2008-03-01,58810999.57922942,0.0,755453176.9615812,67276093.01319997,112802508.37403044,0.0
2008-04-01,9298567.462321583,0.0,714587004.2902831,109877024.69990583,56481538.21989826,3627393.974337695
2008-05-01,48941240.01603403,0.0,720033947.112532,128018942.66855684,150884585.659713,9431224.46965386
2008-06-01,14551698.131854327,0.0,654324064.896602,193064292.15293324,84817101.49991195,14509575.89735078
2008-07-01,7760683.6803153725,0.0,532173874.2800095,212042695.48089415,14561655.629352536,18862448.93930772
2008-08-01,8874656.027815497,0.0,474706032.2318272,182578186.3518432,49078802.86796108,15235054.547503777
2008-09-01,7203007.951092771,0.0,466831049.91495156,109715566.45327844,57373000.82047026,7254787.94867539
2008-10-01,20646187.252178032,0.0,508883177.49123734,74151601.99275291,117591682.07777292,3627393.974337695
2008-11-01,30415862.663844526,0.0,565335643.692589,37527532.91745098,122989057.71895897,0.0
2008-12-01,118767771.51978484,19374.580979637554,681215300.6122742,25687260.08925492,261188121.13263023,0.0
2009-01-01,178152306.97682023,188652.86912768095,727233831.7027198,30831666.100486293,260628828.2469795,0.0
2009-02-01,137569003.25698638,0.0,741387998.2841481,45219590.86830587,195709396.76656622,0.0
2009-03-01,140100544.92296574,708557.894966863,740457927.4138373,91658234.68454112,223638019.25375918,0.0
2009-04-01,186327153.7036995,2142861.3031292534,748797275.3356948,99064468.60232157,284744422.5346013,2708284.2888463293
2009-05-01,21764767.89455929,0.0,716346974.1543386,153180541.18447852,109976979.85576263,7041539.1787722455
2009-06-01,81780418.25329341,0.0,725055242.8364868,168265794.78797638,229350798.17255995,10833137.155385317
2009-07-01,6761268.695657662,0.0,621127301.426355,197093967.0622194,38135332.721199326,14083078.357544491
2009-08-01,7155345.192698122,0.0,557406585.9311612,160720448.24283144,46388257.58710897,11374794.438001622
2009-09-01,8731360.896521663,0.0,540913935.0679843,118839835.1351373,64529290.575310744,5416568.577692659
2009-10-01,35745874.79851633,0.0,585122363.7988954,71050724.71730193,139866025.35320365,2708284.2888463293
2009-11-01,12485683.065694362,0.0,587279713.5535457,58768458.90360782,68901708.42405844,0.0
2009-12-01,119319151.76641126,0.0,709146201.2641978,23263447.683427457,271732409.2737628,0.0
2010-01-01,120374109.66402699,0.0,739641965.6842914,27987113.56248628,179769031.606759,0.0
2010-02-01,55643632.06740468,0.0,741696263.5730616,35668770.94363921,90807166.62637046,0.0
2010-03-01,172407251.9085956,0.0,752559715.9358745,69190407.74381176,249501915.90909895,0.0
2010-04-01,157117469.39817867,633948.5654263245,753943862.2530107,94814941.72017258,241556374.63706797,2726932.53109135
2010-05-01,102426512.82158759,0.0,754491116.0217619,126909590.59269014,210496532.83058786,7090024.803288893
2010-06-01,13432695.2448612,0.0,687298693.54147,198943974.91495693,101291816.46475507,10907730.1243654
2010-07-01,7658829.15517364,0.0,579736862.3735375,208218287.9851688,40093438.784395345,14180049.606577786
2010-08-01,13501923.190837145,0.0,540009018.7220272,179047566.31487063,92240861.72753756,11453117.175409256
2010-09-01,1123119.7805853277,0.0,484493737.28326064,123531874.36935683,9927309.141997138,5453865.0621827
2010-10-01,15179496.323786415,0.0,538387022.9104729,70891725.97284704,128073018.93257901,2726932.53109135
2010-11-01,131273106.97741559,0.0,695119889.2831538,39055603.66260392,331677159.5327523,0.0
2010-12-01,450582767.3424032,50917967.614727005,765667397.3839203,21062153.13235295,601409929.5693331,0.0
2011-01-01,80357193.94254099,0.0,768058338.0103568,26408962.513607834,109152792.85359065,0.0
2011-02-01,127763896.4605551,0.0,769174304.8528652,45498318.0842353,172314493.8863204,0.0
2011-03-01,245466436.98525202,19185183.993755586,771510590.0574905,70492433.53618826,334879616.53398883,0.0
2011-04-01,281503192.1805033,2746864.21092678,775976656.4301566,83927377.04427457,371821115.9422244,2508708.2684662677
2011-05-01,307126419.425989,3818283.1124266465,778053420.8699284,113365978.92786665,420879845.1275192,6522641.573042748
