Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,277722933.36840475,1392471.5721966887,544808262.3009378,19647406.34656098,327686084.1483741,0.0
2005-02-01,161551883.32706636,0.0,551840258.962927,24412121.929787487,192996001.91884288,0.0
2005-03-01,182749692.98882928,2590489.0561573477,551765638.5112548,38493610.057387955,223759171.650703,0.0
2005-04-01,82202400.10503586,7026.631648682103,530880810.3550708,62579209.78933651,114134684.47949524,9769123.890340813
2005-05-01,98467238.10536894,0.0,507752429.7734977,108909486.93901868,158832080.62612325,25399722.100387696
2005-06-01,43994556.92606456,0.0,448605239.05894756,136046346.1490119,79206777.89647716,39076495.56136325
2005-07-01,16714602.565124296,0.0,389233482.9496299,141709111.16177917,25816927.49000068,50799444.20077539
2005-08-01,25660098.459908538,0.0,364482410.9805142,113417440.12371191,41961935.681914344,41030317.609177485
2005-09-01,42332233.30847049,0.0,354721614.651763,89600935.25815822,80466099.24363177,19538247.780681625
2005-10-01,68237727.32954238,0.0,375258185.0669974,50897171.276895076,128968036.47899634,9769123.890340813
2005-11-01,77588392.05593868,0.0,408671404.69418,26802443.632615395,137347236.24877396,0.0
2005-12-01,207528707.22980875,393788.42700957967,472491295.86499095,25856499.39433553,297598886.2219652,0.0
2006-01-01,234807331.21019334,15746.728968604748,516392841.4346861,22037436.956417914,300762060.465274,0.0
2006-02-01,152078799.224013,0.0,528391053.79271245,20188151.44767919,184265163.02971816,0.0
2006-03-01,295625217.5339568,2481931.8969449135,541565216.4016122,41581928.67270172,352863240.7125042,0.0
2006-04-01,141675853.07791138,33934.26047865473,533734858.21218294,73463575.95425051,197574325.14485148,9768679.9583594
2006-05-01,8742576.553676099,0.0,472182058.628477,94709875.65381901,15529038.855979916,25398567.92770366
2006-06-01,15143018.539955484,0.0,410291085.8582878,121156510.24017268,26972308.437285643,39074719.8334376
2006-07-01,32442477.792244602,0.0,377039807.74144834,129685642.1033121,55009437.663434535,50797135.85540732
2006-08-01,27362758.918800045,0.0,357349948.2502139,115451013.32610773,45508696.108989716,41028454.09963077
2006-09-01,66800174.27350041,0.0,365272400.6603819,85615281.08465184,126226708.2409825,19537359.9167188
2006-10-01,136483049.36814836,0.0,408298417.9720108,69877621.24233283,239536238.135266,9768679.9583594
2006-11-01,108606828.88955669,0.0,441304961.2236611,25006223.39940223,166619595.54060957,0.0
2006-12-01,112321069.63529898,0.0,477031249.21276444,6779167.825203178,154826525.4496052,0.0
2007-01-01,63651485.62642314,0.0,489013194.75799114,4221156.510757107,79854587.68240693,0.0
2007-02-01,139901389.00760457,0.0,508552076.388708,18423723.57648653,177863994.2148076,0.0
2007-03-01,91829402.87989326,0.0,502608670.6164269,36163118.16482131,122049115.27243406,0.0
2007-04-01,68809364.73280028,0.0,473838839.8011548,69718341.80045551,97624429.25712167,11703453.77208391
2007-05-01,59119057.627864994,0.0,438344874.47980833,110909826.27499016,97479693.15109606,30428979.030790865
