Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,207169223.2645235,122648.93348113488,539156719.9319869,39877272.713866666,304977976.7284058,0.0
2005-02-01,99095986.14792101,0.0,540750770.6510502,70688904.01688628,171378940.8838703,0.0
2005-03-01,103682211.08310452,87695.68569468365,527504304.33729464,106258607.29418038,196782047.74922395,0.0
2005-04-01,32674190.067003194,0.0,460088138.85074455,151806496.21126267,106192301.07159738,10273230.278364344
2005-05-01,11560199.90236252,0.0,383248769.3413536,237559751.03407052,143450459.34944883,26710398.353683863
2005-06-01,4614654.693284938,0.0,275699534.81383127,246722455.5991687,89886636.76337099,41092921.113457374
2005-07-01,4952426.94115809,0.0,163991524.27904224,250219463.2513177,22608652.01334688,53420796.707367726
2005-08-01,6002211.945336744,0.0,129652253.9045561,210946497.60763142,55036779.13288304,43147564.30400684
2005-09-01,2780654.6725606904,0.0,128127493.99360406,143915764.37807846,70917151.82798932,20546460.556728687
2005-10-01,5040023.1738131,0.0,158881001.20017344,104821379.03669018,123318091.81302878,10273230.278364344
2005-11-01,2813315.462332235,0.0,243105631.39972723,55322606.993945085,142142991.88476515,0.0
2005-12-01,62957510.58517648,27638.859724706974,431761901.06619364,37065151.49735687,288706570.6087243,0.0
2006-01-01,152990201.290891,0.0,495832959.80658984,38027040.128054924,255088300.15934208,0.0
2006-02-01,112276752.29552618,0.0,499583806.4921404,54237826.60487843,170242530.84698275,0.0
2006-03-01,222772220.6409866,1836376.5669954214,515911271.3216026,95471321.36162351,336392009.44903255,0.0
2006-04-01,60670095.75139744,0.0,484279318.4979193,172940484.09218043,190974787.27636683,10272707.634770013
2006-05-01,631564.0078949899,0.0,294821248.137177,243860065.78789014,17644680.6085032,26709039.99282608
2006-06-01,2971655.37015019,0.0,175938127.59706837,222084686.0906588,24742177.95681871,41090830.53908005
2006-07-01,7748841.63289202,0.0,147437416.84112433,210598869.8379766,72132261.89575833,53418079.98565216
2006-08-01,5874409.413034916,0.0,123385841.57993689,195612643.75033718,44783141.395620845,43145370.2878248
2006-09-01,4871626.8607995175,0.0,141524351.0625568,135602194.91172543,111938766.40064865,20545415.269540027
2006-10-01,18468318.327263653,0.0,280564891.518908,96058618.21906668,243294769.36791143,10272707.634770013
