Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,730207363.3768148,9646743.265352594,1042285863.7711881,29477291.807680283,795475896.4683194,0.0
2005-02-01,268954479.9376595,0.0,1044132757.9414359,37281836.32500909,308083210.4329176,0.0
2005-03-01,188356642.5831849,1741021.6391476358,1026661734.1689001,71133083.93948717,243759724.38928217,0.0
2005-04-01,86616893.20836252,0.0,1010186087.9635962,114561545.27253294,176627394.29430145,8072646.680189401
2005-05-01,88067916.31998008,0.0,971634003.2301121,160130529.46314135,188443817.81230462,20988881.693454877
2005-06-01,79940360.96009523,450418.51895035524,927898017.4607571,288411327.2766959,291393450.8302307,32290586.720757604
2005-07-01,23724737.43219564,807999.4775822192,752881595.4672195,235193375.5950773,36663491.79391773,41977763.38690975
2005-08-01,48112181.0778807,493662.5167459688,704528849.18669,228455233.7071025,179956381.63559017,33905116.76913444
2005-09-01,76609118.8454642,0.0,747828493.9166355,111409570.6653926,209848474.79629433,16145293.360378802
2005-10-01,96307028.30964258,0.0,807246091.1406612,88714862.80751272,236095881.58644027,8072646.680189401
2005-11-01,37232836.681978,0.0,879931408.5977253,68764114.69205318,178238746.62368512,0.0
2005-12-01,223162744.03173366,465943.80685208965,938377624.988566,78650787.29982954,360180878.9875823,0.0
2006-01-01,281071713.7314454,6429.740074519847,968711689.5772161,42845243.26100876,354240604.20206815,0.0
2006-02-01,179185504.74518713,0.0,959336210.6183513,42044291.3400665,211671003.68407816,0.0
2006-03-01,507661555.1181058,3995245.51683957,1010391751.7514821,54516899.959352106,617229241.7274264,0.0
2006-04-01,180294171.13265237,52580.8080371691,991910038.0922165,97591392.10441348,250308535.6081834,8489577.402019046
2006-05-01,10126751.518748073,0.0,882221054.011746,137803986.80981866,11565808.691550748,22072900.98643864
2006-06-01,20422309.027108047,480847.8888884577,724902451.1587288,223116436.35514566,43264704.828245096,33958309.608076185
2006-07-01,31314647.73061581,986732.266024527,602202288.6926267,278219037.65288913,121382171.42493987,44145801.97287728
2006-08-01,27628480.956917375,585388.6707306461,540183390.3151846,222981314.09396282,111057040.54160316,35656225.840979315
2006-09-01,24355556.39779114,0.0,609321297.2918705,124828205.16659324,194975510.46182102,16979154.804038092
2006-10-01,466833017.8988278,146356.65618546522,948725505.3907696,89120842.0455084,887014847.2974008,8489577.402019046
2006-11-01,75191063.00652815,0.0,1000115929.3671641,55950539.6501056,182532026.63302827,0.0
2006-12-01,136152191.23443803,0.0,1023023624.3832334,47613938.56873222,206673824.81924114,0.0
2007-01-01,91226074.53364049,0.0,1027210596.2331473,33107940.179753385,128520986.56330715,0.0
2007-02-01,172776595.326619,0.0,1022137604.4228425,32118295.57404426,199821899.0903555,0.0
2007-03-01,92761839.20463711,0.0,994028496.0714897,89596179.7483301,154248910.60161477,0.0
2007-04-01,59722943.486937456,0.0,977499932.0922023,143035897.52401096,179318763.8953551,6879959.596482352
2007-05-01,20424304.685355995,0.0,903566985.8579439,184977235.651836,112007889.61955188,17887894.83716594
2007-06-01,13195304.27854852,258766.33122657696,766975916.9570001,194101202.63949856,37301170.284898244,27519838.38592941
2007-07-01,25208459.8898556,686772.7771478192,635578571.4203403,239021381.4891358,79613152.63837081,35775789.67433188
2007-08-01,52144572.32964055,445813.59326428623,639679399.235767,260284961.5743655,266164339.28803483,28895829.180474997
2007-09-01,38590056.562592916,0.0,643624195.8479594,210507973.05679014,225855516.96479762,13759919.192964705
2007-10-01,28015176.91139114,0.0,707487044.7392663,71799950.85814375,152877571.77241817,6879959.596482352
2007-11-01,32090682.748587385,0.0,762002006.8152503,55716142.51107619,141984512.84432578,0.0
2007-12-01,369790960.5365503,2618950.667012487,972980890.8600881,23853280.75693872,607242076.0053439,0.0
2008-01-01,390026546.77286685,896915.5556441948,990723470.5780573,34999880.12452555,443665922.1710002,0.0
2008-02-01,386866805.23220354,629058.5095367937,1006405084.2173052,53879085.6744394,457056563.055431,0.0
2008-03-01,98934610.95183064,0.0,976682596.054484,76504261.16626045,145716383.9552669,0.0
2008-04-01,60552571.1814545,0.0,928557391.0537902,112616208.1620308,115521683.88316004,8559825.951990418
2008-05-01,66872637.244810134,3507.850103415057,882758501.1900715,197740253.5691199,191831052.1637232,22255547.162152436
2008-06-01,23024508.577192742,454805.1988342372,772784872.9897655,199450055.6809348,68920058.61392334,34239303.80796167
2008-07-01,24594450.058184896,961885.772562609,569539871.1562933,286127119.34307617,34794014.28420749,44511094.32430487
2008-08-01,32736156.241850413,553399.2457912684,557813369.5815042,217658480.49318278,165591589.20181298,35951267.727890745
2008-09-01,19263741.81095564,0.0,542988647.4469609,105240313.67375278,65183162.80625657,17119651.903980836
2008-10-01,17352188.825023953,0.0,585669668.745098,52229873.48606851,101904195.51584996,8559825.951990418
2008-11-01,31539496.35198738,0.0,694577165.4567865,33356172.081607692,173546688.24080315,0.0
2008-12-01,218917708.60261643,0.0,957628385.5529495,41679875.131676465,523648803.83045655,0.0
2009-01-01,230529477.0762991,6727.114421241812,973106976.5585396,51839216.05620163,297854011.2525143,0.0
2009-02-01,209831484.3596293,0.0,980829045.7109241,33026248.613188945,250579802.12520045,0.0
2009-03-01,190914213.075859,8170.916315125509,933713639.2032944,83206522.42653988,226877648.19911677,0.0
2009-04-01,224690392.8337756,42789.875998519936,922099200.8957199,151990606.2531712,354899723.3254358,8049231.168975326
2009-05-01,96240542.65932086,0.0,926429576.828223,186525177.3614329,265389670.7320704,20928001.371587284
2009-06-01,54239946.67989232,0.0,871759173.4019681,197506003.77687627,161431952.32117388,32196924.675901305
2009-07-01,25139098.795345943,0.0,676960916.6237346,244719089.1370842,16211504.922436668,41856002.74317457
2009-08-01,21475567.465766232,0.0,578784454.0248598,196058499.64756083,38935083.610845245,33806770.88515939
2009-09-01,28879609.51464078,0.0,638025285.5859823,134577740.00365987,200074623.25173327,16098462.337950652
2009-10-01,7004954.732798142,0.0,674444965.8764511,79136329.37747239,107492400.77440757,8049231.168975326
2009-11-01,4186819.9696813817,0.0,680185879.7058337,59748508.266758755,62798428.36495923,0.0
2009-12-01,210094789.17856365,0.0,944913729.6229553,27727938.074182805,502550577.1698684,0.0
2010-01-01,400162357.3327205,0.0,1018106597.8347532,24985807.34463559,498341032.88915664,0.0
2010-02-01,295001795.436454,0.0,1033247401.5515984,39282231.48888019,349424830.6421769,0.0
