Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,721860633.2121928,6772967.900221614,1045033024.4157472,55321153.46560681,795475896.4683194,0.0
2005-02-01,243425991.52906862,0.0,1045400632.8614689,64289610.45812686,308083210.4329176,0.0
2005-03-01,169486119.54053226,1626691.8752992037,1034181434.5057844,83866111.32914026,243759724.38928217,0.0
2005-04-01,103171614.82118855,0.0,1027698035.1756331,88011825.48344976,176627394.29430145,8072646.680189401
2005-05-01,94018648.36910431,0.0,1009371858.431837,133775398.03381108,188443817.81230462,20988881.693454877
2005-06-01,140223217.2914929,513468.9265128553,979183139.6261934,213531752.1608586,291393450.8302307,32290586.720757604
2005-07-01,23740168.034665722,818007.4839572192,783433305.3577743,253628019.7031084,36663491.79391773,41977763.38690975
2005-08-01,60263718.58665887,501668.9272459688,760721610.1634688,189365859.93296528,179956381.63559017,33905116.76913444
2005-09-01,81590438.70038652,0.0,769506843.5646236,150310767.49878782,209848474.79629433,16145293.360378802
2005-10-01,109289979.88455793,0.0,817257096.3869389,87547356.22115241,236095881.58644027,8072646.680189401
2005-11-01,36687433.550044104,0.0,892922266.9107203,66256946.42714334,178238746.62368512,0.0
2005-12-01,194207795.81494012,115771.0670258816,1011197416.3978114,47732789.407174885,360180878.9875823,0.0
2006-01-01,277295587.8462448,0.0,1022333195.3575349,65832959.119078144,354240604.20206815,0.0
2006-02-01,148237999.26295456,0.0,1009374445.617475,76859572.42157508,211671003.68407816,0.0
2006-03-01,519204256.897615,3006169.2508436083,1032586290.1683209,71806971.02811986,617229241.7274264,0.0
2006-04-01,182217056.35078937,30556.53952584544,1016555684.7768797,93020468.97972567,250308535.6081834,8489577.402019046
2006-05-01,11952968.888267478,302.82433851205184,881376854.3165905,160691114.63809717,11565808.691550748,22072900.98643864
2006-06-01,22991076.68479642,493858.29357595777,715207287.252374,229708052.53829095,43264704.828245096,33958309.608076185
2006-07-01,39332765.856923655,1045772.3761031996,642500555.4529489,220713749.1311685,121382171.42493987,44145801.97287728
2006-08-01,40541341.89700925,623419.0743556459,609485650.1973561,180330077.46535495,111057040.54160316,35656225.840979315
2006-09-01,38584692.10948018,0.0,674408327.2744292,113698506.03483003,194975510.46182102,16979154.804038092
2006-10-01,550725236.5131006,157862.75338709838,949331771.2333683,69697881.47398993,887014847.2974008,8489577.402019046
2006-11-01,62394919.929637305,0.0,1011263664.9207063,58205213.01605485,182532026.63302827,0.0
2006-12-01,121518408.6379041,0.0,1033885289.2140821,62533791.8879586,206673824.81924114,0.0
2007-01-01,71790603.28375359,0.0,1032842685.0087076,57772987.48492872,128520986.56330715,0.0
2007-02-01,134622863.88663226,0.0,1023405055.3401209,74636664.87231442,199821899.0903555,0.0
2007-03-01,76217402.67791073,0.0,1011104570.2922993,90331992.97152722,154248910.60161477,0.0
2007-04-01,78735300.65368262,0.0,1005846441.6893657,112841656.22785553,179318763.8953551,6879959.596482352
2007-05-01,24020203.97033484,0.0,952721335.8160679,160391475.56934062,112007889.61955188,17887894.83716594
2007-06-01,13148655.811583722,264771.1358515769,795632561.7880572,215984673.89947537,37301170.284898244,27519838.38592941
2007-07-01,29546913.657925937,721800.7798978192,698483494.7846787,201038250.04328546,79613152.63837081,35775789.67433188
2007-08-01,101266183.99506988,501858.3937642862,728901624.8168093,182506474.9024337,266164339.28803483,28895829.180474997
2007-09-01,81349697.8507353,0.0,753291864.9801507,142613423.35926306,225855516.96479762,13759919.192964705
2007-10-01,32943166.703654934,0.0,787418659.810597,95426829.42664398,152877571.77241817,6879959.596482352
2007-11-01,49486772.440444395,0.0,813819925.9173219,67301364.78590743,141984512.84432578,0.0
2007-12-01,375163585.6801336,2244139.1075535407,1019235341.8420095,24418935.292967603,607242076.0053439,0.0
2008-01-01,398492036.43210506,516992.2506204087,1029868736.2466581,34023499.08362784,443665922.1710002,0.0
2008-02-01,374637477.1638463,512955.4108671101,1033341537.2950683,78433329.4323091,457056563.055431,0.0
2008-03-01,88219520.6925336,0.0,994666432.0498924,96217580.13546349,145716383.9552669,0.0
2008-04-01,63157779.345320486,0.0,969560899.6310726,86443365.7696905,115521683.88316004,8559825.951990418
2008-05-01,85560038.13473359,36820.29003617317,970057945.0835848,129346879.53252485,191831052.1637232,22255547.162152436
2008-06-01,29401626.64300677,501842.80939673714,855213107.2073114,192943107.35198066,68920058.61392334,34239303.80796167
2008-07-01,28664027.34424806,1008923.3760001092,699762040.6606884,218461265.71744937,34794014.28420749,44511094.32430487
2008-08-01,57419071.18016649,567410.4549162684,677987748.9241875,193224014.18435895,165591589.20181298,35951267.727890745
2008-09-01,23263763.37342964,0.0,645181661.4032497,129994169.80432823,65183162.80625657,17119651.903980836
2008-10-01,25109637.143609002,0.0,659500612.4832631,83982473.34317052,101904195.51584996,8559825.951990418
2008-11-01,50207747.49164126,0.0,728669785.7526436,54897928.80821335,173546688.24080315,0.0
2008-12-01,243164179.20305762,0.0,972281324.6705432,36873085.70949718,523648803.83045655,0.0
2009-01-01,194421656.1056132,0.0,1008177944.3628018,67535735.45464109,297854011.2525143,0.0
2009-02-01,178666485.96543628,0.0,1005552594.2470076,74551661.642703,250579802.12520045,0.0
2009-03-01,185444318.5093506,1420.3686027838994,970757989.4347719,76756438.63531911,226877648.19911677,0.0
2009-04-01,246479037.24619764,164533.22727428624,984741769.4338577,103531033.24269976,354899723.3254358,8049231.168975326
2009-05-01,150760617.24019969,0.0,980958160.7652668,139511130.3006433,265389670.7320704,20928001.371587284
2009-06-01,65369173.71176456,0.0,933633024.1069832,177267005.5661198,161431952.32117388,32196924.675901305
2009-07-01,26757092.8622116,0.0,743009363.761332,234082744.6737785,16211504.922436668,41856002.74317457
2009-08-01,24139500.888776965,0.0,650110051.6113925,189450694.01743466,38935083.610845245,33806770.88515939
2009-09-01,40167715.87404976,0.0,701868913.0033996,136394752.50218055,200074623.25173327,16098462.337950652
2009-10-01,10438333.233454872,0.0,724599186.9667718,90157417.19356525,107492400.77440757,8049231.168975326
2009-11-01,6236472.049454225,0.0,717145920.7398674,71153387.01083872,62798428.36495923,0.0
2009-12-01,222494119.60512835,0.0,961916417.4093698,35285960.895236,502550577.1698684,0.0
2010-01-01,404542450.4399092,0.0,1035111446.5505041,20603553.308115255,498341032.88915664,0.0
2010-02-01,295135444.40103537,0.0,1042389593.2346951,47011239.556951776,349424830.6421769,0.0
2010-03-01,286883831.04773384,0.0,1041730781.5459367,77463038.8177738,363688058.1767498,0.0
