Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,546177140.5054314,325256.84349092445,1034056681.7956756,54537973.69221182,611475476.7057892,0.0
2005-02-01,220031333.4057192,0.0,1034953479.1854935,62976064.530815676,283904195.3263528,0.0
2005-03-01,172665997.1487791,0.0,1029612768.2431036,85037695.32120787,252362981.52759677,0.0
2005-04-01,94854986.52375527,0.0,1017263062.0598065,87117921.5462117,163408042.12724772,6215159.759422547
2005-05-01,90848923.4847732,0.0,999974042.6289119,135559670.6178667,192960159.0926038,16159415.579140969
2005-06-01,117432833.58999926,0.0,960952437.5774641,216505958.8402193,269557011.9020582,24860639.03769019
2005-07-01,18832048.107106667,0.0,794281722.2648541,255495035.93957618,65315691.10778358,32318831.158281937
2005-08-01,56372515.91253602,0.0,771230310.8947978,188914144.02844718,180983523.47400478,26103671.27829479
2005-09-01,79112297.4698082,0.0,775288105.1627601,149686933.89265108,203557945.54614347,12430319.518845094
2005-10-01,119085213.91855724,0.0,816632015.1065372,87424783.19381961,241141852.92606983,6215159.759422547
2005-11-01,38693002.689640194,0.0,882929747.1015115,67159599.71838431,170656739.81375912,0.0
2005-12-01,197953012.3275825,315303.4760677321,995524847.0077496,47829868.982086256,358174703.8214186,0.0
2006-01-01,255284551.17840293,0.0,1004168366.4496708,64756332.31056464,328616141.57197946,0.0
2006-02-01,135998782.1394849,0.0,993396586.7346369,78616205.84889412,202179217.36005312,0.0
2006-03-01,442520418.5028932,1273591.5249557123,1011481475.1864196,73073671.9752157,534952570.4548463,0.0
2006-04-01,165110223.79158205,0.0,994044218.8471749,92796196.05247061,231819967.7037295,6570984.82337877
2006-05-01,7838475.424113251,0.0,865488667.7775439,158698005.86885506,14512751.976578692,17084560.704133857
2006-06-01,15657542.4893302,0.0,707166218.8051628,230609972.5744314,45113442.38180235,26283939.29351508
2006-07-01,41497732.10911892,0.0,661395851.5825052,222096363.6962428,149141497.9900703,34169121.408267714
2006-08-01,49509740.82463034,0.0,660949112.6049728,182375981.7370901,159079174.7481627,27598136.36666944
2006-09-01,54767021.739515014,0.0,708330161.4283496,113235730.74877647,196673207.06462222,13141969.64675754
2006-10-01,448881059.3000932,0.0,927746035.3361137,69790364.58349809,731516312.9679769,6570984.82337877
2006-11-01,57584915.029775746,0.0,994557924.7604462,59924510.8136706,184321315.26777974,0.0
2006-12-01,116892868.7241767,0.0,1017952997.2434525,62937316.59861958,203225257.8058023,0.0
2007-01-01,91148209.57352695,0.0,1019561939.380162,57343949.01498046,150101100.7252166,0.0
2007-02-01,120894292.0541298,0.0,1013391348.0513563,72891793.38774116,187615494.11306506,0.0
2007-03-01,80921341.88526666,0.0,1001404352.4780525,90472614.28467456,159350521.32585245,0.0
2007-04-01,71522717.52350806,0.0,989640617.7113276,115279869.64112172,168057086.5593479,5505645.0655429615
2007-05-01,27760357.91034892,0.0,948692824.0685997,162775281.50576484,129913445.45698348,14314676.655794986
2007-06-01,8800162.235962536,0.0,803427240.5863453,217559117.22267428,45015691.359736614,22022580.262171846
2007-07-01,36768913.14062766,0.0,746238992.2757019,202091385.37805495,137635460.81416544,28629353.31158997
2007-08-01,79002727.78384493,0.0,735429461.3463271,184976482.3981489,208369706.9609551,23123708.55537981
2007-09-01,78640811.04331274,0.0,758057172.9507273,144507758.92385876,227159921.9201697,11011290.131085923
2007-10-01,42259953.29817279,0.0,793601535.835167,94196866.96615691,163025848.5378884,5505645.0655429615
2007-11-01,23034027.382826287,0.0,799467694.0018078,66873398.4483059,93107116.11160333,0.0
2007-12-01,352308039.8634248,3167415.012659293,1000507122.1561738,24198021.53071375,580712904.5611633,0.0
2008-01-01,380835009.5734103,2729.1679527006777,1013172804.399354,34335220.537960805,427838641.5225039,0.0
2008-02-01,366291880.7741947,0.0,1021087569.8201144,82378194.91658829,456584841.1115433,0.0
2008-03-01,83677988.7851947,0.0,988428506.9524447,100003343.60647066,151022269.52399597,0.0
2008-04-01,41095620.996290885,0.0,958213638.5105453,85134907.71825095,88705859.24187571,6649711.674067354
2008-05-01,92656267.18701307,0.0,956156907.7091091,129315588.01941961,200473132.3960112,17289249.669388186
2008-06-01,20124136.6762013,0.0,834379244.0661165,194132806.09890205,59607822.41057466,26598846.696269415
2008-07-01,24469259.39634061,0.0,709578030.489916,219104781.73187464,68745573.12060784,34578499.33877637
2008-08-01,52674522.95497433,0.0,671718541.7824576,194077375.4217804,147577095.58759418,27928787.955945477
2008-09-01,16934738.304956123,0.0,649524406.9431268,130296525.77385876,71745151.4520596,13299423.348134708
2008-10-01,21166977.704759628,0.0,659088106.8126001,86049060.46558432,95891861.24744105,6649711.674067354
2008-11-01,33836028.911061965,0.0,717977717.0952947,54875787.036078446,145923189.93851593,0.0
2008-12-01,232464780.8389622,0.0,960918660.6490101,35802855.5353569,511208579.9280345,0.0
2009-01-01,199241101.10423782,0.0,987126528.0655444,66742372.03049411,292191340.5512664,0.0
2009-02-01,156718018.0975296,0.0,982675473.1948832,73931088.14540389,226198051.3722726,0.0
2009-03-01,149240727.31070724,0.0,961306086.8589989,76470796.76623534,203599140.3696748,0.0
2009-04-01,219279169.70747834,0.0,964356267.0656267,101996636.07696478,315353388.34045535,6403805.091610501
2009-05-01,140816544.33839965,0.0,957358057.4190677,139940802.66640002,256188948.35618243,16649893.737965906
2009-06-01,68938105.46257222,0.0,912998419.1783892,178805192.51277637,176139027.44319946,25615220.366442002
2009-07-01,19920728.41168613,0.0,744716656.6272058,235955485.82489392,39949919.63235283,33299787.475931812
2009-08-01,18440500.22959146,0.0,661229354.8489567,188837093.67672172,46798297.21460707,26895981.558714602
2009-09-01,24955509.4954898,0.0,673660306.7908372,137674259.9838353,136484913.35759327,12807610.183221001
2009-10-01,14825139.343010725,0.0,691332924.3606565,89691806.44637647,107217194.68144313,6403805.091610501
2009-11-01,4954203.678445167,0.0,689521153.3110974,70095017.08236858,64822333.59875849,0.0
2009-12-01,220929434.66369137,0.0,928646975.5992522,34983588.54646275,495038845.498309,0.0
2010-01-01,371605683.09098244,0.0,1016454091.4417982,21874049.049435295,481286847.98296374,0.0
2010-02-01,261623561.89539173,0.0,1027829238.7763484,46582780.980086274,319581490.21002793,0.0
2010-03-01,178417810.9843298,0.0,1020179795.2859501,79775346.92827463,250543714.4222061,0.0
2010-04-01,166199466.2567102,0.0,995216797.8100494,97524641.7892078,233036417.76523864,5724692.80477818
2010-05-01,44149670.7838052,0.0,943460649.6005695,119731461.37355293,97240782.73411784,14884201.213761011
2010-06-01,15533176.709324278,0.0,838282474.6662154,194514352.628753,79553014.02578913,22898771.21911272
2010-07-01,22043077.97872615,0.0,711140347.0885028,230255402.77187452,83703405.38057317,29768402.427522022
2010-08-01,36173923.859095894,0.0,691732795.1427736,200742716.6587451,169495645.11084875,24043709.675061204
2010-09-01,4453907.537049804,0.0,618806586.8344901,163527967.63695687,18291349.614851788,11449385.60955636
2010-10-01,186603174.81225008,0.0,856560905.6655298,71244377.5303137,489877178.3688256,5724692.80477818
2010-11-01,77391531.7925414,0.0,958978631.2489849,50403362.86903531,230212620.2450315,0.0
2010-12-01,587013892.1056265,52630567.38863619,1019295713.0700274,44905131.543631345,744866672.8589358,0.0
2011-01-01,52776244.09703624,0.0,1009125816.1656476,41956247.57322355,84562594.76588026,0.0
2011-02-01,230807297.2560685,0.0,1018820855.9717734,65441685.08289409,305944022.145088,0.0
2011-03-01,232986988.98367682,0.0,1010515350.6126462,82345514.13398422,307024083.86659133,0.0
2011-04-01,309587091.0020731,64847.77481118284,1010570376.8638606,64976183.73062749,368786671.254186,5778096.813294017
2011-05-01,309867809.0761029,0.0,1019271999.8257987,108254933.62283143,411728904.5718402,15023051.447083127
2011-06-01,24266156.002073064,0.0,912381161.6643083,210667871.64677638,103893759.73401165,23112387.253176067
2011-07-01,183467110.32298398,0.0,880484153.4062222,239878476.72156876,358542062.28800327,30046102.894166254
2011-08-01,46394547.38819852,0.0,783774951.8851365,219982749.6678195,129903997.23580174,24268006.885015804
2011-09-01,66077032.06089411,0.0,767337366.8619047,144499589.11251757,159483774.89126995,11556193.626588034
2011-10-01,90567948.9914718,0.0,834066585.241085,87188682.06683132,237872462.96483535,5778096.813294017
2011-11-01,78431815.97413523,0.0,923518792.8953493,54732262.65617256,221872996.16876262,0.0
2011-12-01,85630363.98775974,0.0,958333339.4790103,34363582.592823535,154808493.16424462,0.0
2012-01-01,215601591.24684438,0.0,1008222920.9138645,52567662.17260391,318058834.85430264,0.0
2012-02-01,327728575.68901914,0.0,1017679540.6525398,47032152.32438432,384217347.75207865,0.0
2012-03-01,183282299.87903377,0.0,1007465504.7732543,91666468.27092548,264584063.40195963,0.0
2012-04-01,79312282.51893355,0.0,980237736.8650343,118002256.61827458,162578185.50528538,5561261.3461682815
2012-05-01,5731532.020825067,0.0,833656237.4746345,170499268.04492575,7741834.60663263,14459279.358588267
2012-06-01,6660792.590374381,0.0,651506674.3586686,218257675.53685504,7377.461390674806,22245045.384673126
2012-07-01,82492160.83409797,0.0,739271769.7880036,183249036.55192137,314797291.7437107,28918558.717176534
2012-08-01,64955552.23092155,0.0,734186859.9519669,163866987.18754494,181262190.1507549,23357297.280189723
2012-09-01,56143080.04294758,0.0,744684520.7444663,113629314.21331774,152587511.41945076,11122522.692336563
2012-10-01,46520624.34306543,0.0,755531799.6471156,82368920.46149802,126696491.8914078,5561261.3461682815
2012-11-01,34743837.49954359,0.0,816525955.7667452,61871427.70198432,155892093.19603732,0.0
2012-12-01,380497761.34809506,820590.1663462243,1005241177.092224,49715723.690282285,619749296.5302025,0.0
2013-01-01,288611897.41099894,0.0,1023911051.224177,34899963.5202588,342181735.0632112,0.0
2013-02-01,173985835.0232902,0.0,1025720612.2667936,47698122.9166431,223493518.98255002,0.0
2013-03-01,202694985.08563602,0.0,1024695115.7500334,74183308.77056466,275852797.3394404,0.0
2013-04-01,299613519.4308825,0.0,1025406971.3198562,79014167.30716078,374408348.2547749,4931194.053091372
2013-05-01,45560556.32059881,0.0,984710448.5821983,157325005.097655,149283546.02116042,12821103.793286046
2013-06-01,4936572.619546146,0.0,764173558.0658461,248620835.62151366,7910543.046475906,19724776.21236549
2013-07-01,56211931.92994199,0.0,764255095.6755435,224826452.52883935,246796430.50255102,25642207.586572092
2013-08-01,95763375.65084907,0.0,802950344.3483933,154567740.574345,264596782.4776209,20711014.638447627
2013-09-01,293041638.39210373,0.0,912709346.5695128,105551345.61338821,498489598.1204286,9862388.106182745
2013-10-01,87949668.2802733,0.0,955537963.6656449,83205451.42611751,209052542.74943146,4931194.053091372
2013-11-01,301255284.0125388,0.0,1018209190.3349539,50938022.374917634,414864533.056766,0.0
2013-12-01,327796353.7294513,0.0,1029671359.4254713,36120454.72312942,375378977.54309803,0.0
2014-01-01,144314399.56012896,0.0,1027663875.5425434,69461313.81670578,211768229.49390706,0.0
2014-02-01,241555146.06441817,0.0,1028610519.9428182,71857109.69010204,314358900.1547949,0.0
2014-03-01,125609883.38539349,0.0,1004315694.1613879,73962309.47306664,175277367.07703042,0.0
2014-04-01,102550394.9794108,0.0,1000273656.7261459,97657816.01254119,189746390.67487952,6294997.233783655
2014-05-01,93616582.86309794,0.0,992678520.201639,172400751.60404703,240777524.4639667,16366993.251945596
2014-06-01,8819697.400951056,0.0,796876605.7666155,231917368.9694353,10966263.05776783,25179988.93513462
2014-07-01,65945510.80028645,0.0,773024072.1586356,223695183.3582039,224604685.20494586,32733986.503891192
2014-08-01,146848740.93000218,0.0,813943939.3046669,165287841.28189793,322626157.7194901,26438989.557965342
2014-09-01,210891678.44248065,0.0,880599341.7989314,126382000.76711373,390239323.53779596,12589994.46756731
2014-10-01,2867093.9039872717,0.0,827230873.7580742,85148732.39813325,22282163.3033102,6294997.233783655
2014-11-01,19320232.29351376,0.0,875635415.096202,62025755.884815656,127134908.37288126,0.0
2014-12-01,314794594.6353244,2280981.8392995736,1011629140.778121,38291629.14438435,491360931.30092776,0.0
2015-01-01,245276863.35577348,0.0,1022417514.6336684,57249420.032580405,313314657.2439016,0.0
2015-02-01,200376627.3969632,0.0,1022911426.1186855,80137031.39940386,281007570.28138447,0.0
2015-03-01,110292050.87486887,0.0,1011276550.7786263,110875851.24357659,209533026.7783864,0.0
2015-04-01,186342418.8543077,0.0,1013940524.9570557,113336249.99580394,295956699.0543455,6385943.974194521
2015-05-01,307618925.62835234,0.0,1020152959.9624987,125132872.05844706,422360778.9236023,16603453.768640405
2015-06-01,104773302.44215283,0.0,917716980.897513,247695008.1206273,223068443.02820674,25543775.896778084
2015-07-01,87697463.21377423,0.0,802596213.6045226,277262871.47444713,210692916.10840613,33206907.53728081
2015-08-01,73683735.23623899,0.0,766906520.186338,201873124.5779842,191618205.60934088,26820964.86957942
2015-09-01,9013483.278107077,0.0,723176356.9561294,150313845.15952152,63722597.64338302,12771887.948389042
2015-10-01,146594688.36588043,0.0,793217805.6871579,88562291.19360003,298547545.5582284,6385943.974194521
2015-11-01,114433776.0630945,0.0,916959830.3546358,54603322.38445484,292779123.11502707,0.0
2015-12-01,587070636.5898514,2449205.3903642027,1032104782.2269679,38062521.995929435,742727315.8484776,0.0
2016-01-01,503116098.353603,0.0,1034937230.0774155,40592686.01155294,546541232.215603,0.0
2016-02-01,153644869.28026095,0.0,1033875761.7293026,77927072.868949,230510473.80109754,0.0
2016-03-01,264651760.63951564,0.0,1018464433.3793646,104062647.99112156,353303080.28069913,0.0
2016-04-01,282468491.7937798,0.0,1032561832.3225219,91075582.02810985,381767425.9673519,5874046.797694489
2016-05-01,53365546.16113599,0.0,997128255.43339,152558715.6625568,155218163.37762648,15272521.55693503
2016-06-01,10178181.660061171,0.0,801532673.2410955,246794009.59936482,36126934.83732695,23496187.190777957
2016-07-01,37234109.448789224,0.0,697307152.8128827,256118797.5038117,133415541.79532225,30545043.11387006
2016-08-01,28235001.14992471,0.0,665400156.6121857,191944670.62774125,109425295.54109995,24670996.394857872
2016-09-01,160732269.52934656,0.0,778916236.6823694,142166686.41981944,404247651.2057535,11748093.595388979
2016-10-01,22722350.68544744,0.0,769946036.4734102,91209513.16771755,96233713.14040789,5874046.797694489
2016-11-01,75817315.404406,0.0,895346326.7199173,58483589.32470584,258728397.74583107,0.0
2016-12-01,434773502.3661537,6774476.264082254,1008979895.0809269,33710907.64759216,588892454.6388383,0.0
2017-01-01,764578951.9999822,157105988.13205525,1028907591.2483354,42216541.98499607,983829178.284442,0.0
2017-02-01,362764870.3275132,125461.12927435932,1026591459.1032013,70803563.17199217,431377762.4836463,0.0
2017-03-01,313752095.1666498,591477.8112548321,1026883206.1024176,97112747.2172314,411716213.6488416,0.0
2017-04-01,209610800.09097,0.0,989947737.7383476,100244669.5583451,266516967.08194283,5557125.239253389
2017-05-01,19073539.975643102,0.0,917203344.7861282,155561560.5214039,86114995.1141692,14448525.303339547
2017-06-01,6440846.448203156,0.0,715590127.0275155,240775991.44614118,11626090.438699918,22228500.957013555
2017-07-01,75126900.52121165,0.0,757766406.0232545,222498566.30660403,303015696.3819385,28897050.606679093
2017-08-01,27380028.42983583,0.0,691444405.4276568,208982942.8563374,111709743.04763834,23339925.480348036
2017-09-01,46914448.84550974,0.0,721217803.8710921,145616852.2561569,204549902.91635263,11114250.478506777
2017-10-01,5262948.001261964,0.0,688786557.1248763,97883017.67893337,43069621.63245085,5557125.239253389
2017-11-01,8211558.308370826,0.0,711213905.4902728,73781222.44034511,97959143.84644268,0.0
2017-12-01,23642024.250810385,0.0,747840832.5083971,60194579.02083921,118051383.14130452,0.0
2018-01-01,111057074.00034538,0.0,894126546.117247,51903777.59240783,308909269.04691577,0.0
2018-02-01,221520528.89081627,0.0,946277808.9310801,60252117.99720777,333433491.99640423,0.0
2018-03-01,207138936.84043187,0.0,938468990.1185077,75500737.4694588,272446782.240379,0.0
2018-04-01,160104168.77090126,0.0,923014539.8356227,101086316.99591361,236387858.61943868,3984598.783168572
2018-05-01,57488329.846007355,0.0,906423604.2131709,176143112.12303516,200841425.56231093,10359956.573631175
2018-06-01,3261438.168393359,0.0,697202046.1932479,248234514.62796897,881194.6554735343,15938395.132674288
2018-07-01,21080013.356312953,0.0,636170994.1938419,226889201.94230583,133619178.87441732,20719913.14726235
2018-08-01,27573020.67259359,0.0,616937541.7661872,189126980.02491766,131643060.80526784,16735314.563413875
2018-09-01,288641.5044427013,0.0,558161086.5608704,158640947.45973334,12533733.453392645,7969197.566337144
2018-10-01,198325030.48608047,0.0,844441060.4788952,69233953.97057256,549854359.5915095,3984598.783168572
2018-11-01,75724439.01841219,0.0,941048513.7096121,56180970.7985412,228512863.04766992,0.0
2018-12-01,179537259.43763766,0.0,974683895.5291214,36959712.73185099,250132353.98899886,0.0
2019-01-01,401862146.5984977,3669406.112447516,1003088645.9928334,48302872.29765487,482239175.4723123,0.0
2019-02-01,562516366.4470115,0.0,1030641958.6706359,54642115.62230585,644711794.7471204,0.0
2019-03-01,542288900.2220885,15960014.83450541,1035030192.9838943,76798884.36873722,639436033.73859,0.0
2019-04-01,360372509.8667165,7258631.783673787,1029827712.7343396,103823028.13712929,460819138.5342554,5432551.003709453
2019-05-01,346926701.82549286,1342016.2763677416,1034120901.7549545,125387763.0037726,463825038.1238398,14124632.002407705
2019-06-01,43886684.75202012,0.0,928116027.2055823,228302350.66656485,144453956.85437402,21730204.014837813
2019-07-01,13341108.155947438,0.0,742586642.7183428,270659050.6623296,65009175.90007742,28249264.00481541
2019-08-01,8394733.150599306,0.0,609363109.6322564,242645446.6845647,40253976.54142846,22816714.530801184
2019-09-01,2053998.779632972,0.0,546887064.4731494,183683662.42210978,59082713.12557119,10865102.007418906
2019-10-01,1802643.6920277413,0.0,518257154.92905265,114318576.30623528,63016753.10776199,5432551.003709453
2019-11-01,101107427.4096379,0.0,858545852.4702685,61480723.16289412,502876848.1137478,0.0
2019-12-01,217057875.92283776,0.0,986014264.5433974,33466117.172541186,377992405.1685084,0.0
2020-01-01,225785826.47197828,0.0,998686050.2203614,44884106.06363134,283341718.2125731,0.0
2020-02-01,187049859.98028085,0.0,1003360236.8187326,86392822.66210982,278116869.2407613,0.0
2020-03-01,279826467.420812,0.0,1016665654.4958786,101187031.84446265,394318916.9424213,0.0
2020-04-01,72559382.46324548,0.0,981791092.3857539,118043143.29529405,150097861.34662607,5595184.056717439
