Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,443962817.91781294,617682.9705736656,1016984900.0621042,103790822.00142747,593798591.5024803,0.0
2005-02-01,180525124.92058688,0.0,1014852445.7342463,117078884.99664317,295471555.5893717,0.0
2005-03-01,151941873.17942876,269072.5189632576,914061421.7606318,192336671.9767218,243266470.8050349,0.0
2005-04-01,60399998.50613613,0.0,793414603.0905429,225162773.55900425,157263569.87487802,6215159.759422547
2005-05-01,44962422.383732826,0.0,672087435.5986493,260872578.02431372,164727245.21441713,16159415.579140969
2005-06-01,10324154.61205605,0.0,649609852.2275231,337416686.0452317,297153114.41305876,24860639.03769019
2005-07-01,14877806.632028056,0.0,476670772.5630605,249126995.55459613,45462084.68707164,32318831.158281937
2005-08-01,14042028.409491425,0.0,469912500.753946,214223384.02518448,178276370.4485264,26103671.27829479
2005-09-01,8965874.78632131,0.0,535647957.06124365,149185076.07363924,200652394.64757186,12430319.518845094
2005-10-01,9000498.6131646,0.0,597828167.6080021,172175544.1231137,236300361.03448433,6215159.759422547
2005-11-01,9033408.963230845,0.0,645593267.4232726,122011321.76916078,177653426.70248514,0.0
2005-12-01,162737673.4352922,414244.73028680944,775284940.8586562,73208389.94852555,365195747.93388814,0.0
2006-01-01,205830073.6111756,0.0,800285050.6925962,81766109.70439214,312162224.07916254,0.0
2006-02-01,155192596.20393902,0.0,742194392.6933832,103140292.5826745,195163980.54955196,0.0
2006-03-01,328052088.23095113,6770780.246665745,797923301.0752825,146769283.9717333,537099053.1309657,0.0
2006-04-01,144945279.74802622,0.0,715804502.0196418,190276466.11346653,239189685.19902423,6570984.82337877
2006-05-01,3242270.9737231717,0.0,514053749.9155334,246030883.7267921,8805947.572402677,17084560.704133857
2006-06-01,10496133.676364096,0.0,381297835.6562794,224183392.9722665,56826559.09005975,26283939.29351508
2006-07-01,19240272.404317267,0.0,362050205.39473027,231240419.39323136,170907633.72333187,34169121.408267714
2006-08-01,15292040.864923924,0.0,339788010.6436802,217537470.45215687,134277678.11542645,27598136.36666944
2006-09-01,6814586.290114378,0.0,384765479.08238804,149312211.18276858,178598882.6836483,13141969.64675754
