Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,526243101.82737905,217178.52686225268,1033285992.4393204,54537973.69221182,593798591.5024803,0.0
2005-02-01,231281823.48326236,0.0,1034499660.0146141,62976064.530815676,295471555.5893717,0.0
2005-03-01,165110755.27223843,0.0,1027617680.2262026,85037695.32120787,243266470.8050349,0.0
2005-04-01,89634903.23664565,0.0,1014343585.0776459,87117921.5462117,157263569.87487802,6215159.759422547
2005-05-01,71236764.35807043,0.0,988433810.8952659,135559670.6178667,164727245.21441713,16159415.579140969
2005-06-01,142495935.66913244,0.0,952567365.0701964,216505958.8402193,297153114.41305876,24860639.03769019
2005-07-01,15131269.365933165,0.0,771085367.8186007,255495035.93957618,45462084.68707164,32318831.158281937
2005-08-01,49818589.48698172,0.0,757414513.6544504,188914144.02844718,178276370.4485264,26103671.27829479
2005-09-01,73946540.28999865,0.0,766107662.0935198,149686933.89265108,200652394.64757186,12430319.518845094
2005-10-01,111618829.6796838,0.0,810143595.3677547,87424783.19381961,236300361.03448433,6215159.759422547
2005-11-01,42662332.57941037,0.0,879653729.1596929,67159599.71838431,177653426.70248514,0.0
2005-12-01,201323293.55255908,190245.89414202143,996077789.6804565,47829868.982086256,365195747.93388814,0.0
2006-01-01,239773313.92061883,0.0,1003831997.359072,64756332.31056464,312162224.07916254,0.0
2006-02-01,133011979.61433278,0.0,989289269.03279,78616205.84889412,195163980.54955196,0.0
2006-03-01,439449623.17432857,3579270.286042085,1010285756.7281697,73073671.9752157,537099053.1309657,0.0
2006-04-01,171029155.9085151,0.0,994421755.1361794,92796196.05247061,239189685.19902423,6570984.82337877
2006-05-01,7510287.295698933,0.0,861711543.8075807,158698005.86885506,8805947.572402677,17084560.704133857
2006-06-01,17057336.23295358,0.0,712669093.7167369,230609972.5744314,56826559.09005975,26283939.29351508
2006-07-01,49346854.87468126,0.0,677572813.6307985,222096363.6962428,170907633.72333187,34169121.408267714
2006-08-01,41061730.65413953,0.0,661528817.4832721,182375981.7370901,134277678.11542645,27598136.36666944
2006-09-01,42610190.61980257,0.0,704385828.3746034,113235730.74877647,178598882.6836483,13141969.64675754
2006-10-01,434691922.2157217,0.0,926688359.649355,69790364.58349809,720213833.2505924,6570984.82337877
2006-11-01,58796850.57382354,0.0,986796985.549399,59924510.8136706,178829987.28753892,0.0
2006-12-01,125016446.24989681,0.0,1014201089.5039597,62937316.59861958,215357866.8030765,0.0
