Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,69617859.62120742,319514.0842387973,602388664.6486305,63320927.61438817,187721517.8088819,0.0
2005-02-01,39295165.27960607,0.0,614870760.4633232,94800122.16915019,145956604.3114503,0.0
2005-03-01,31104705.680583023,0.0,604822179.5483365,137901786.24868053,156723201.439265,0.0
2005-04-01,28270975.72085725,0.0,578820240.3205945,178270923.3115391,170975610.85016388,22621.70278938395
2005-05-01,323252.67201728304,0.0,482370729.6424618,215911222.73961052,94474758.12424879,58816.429784827385
2005-06-01,1284413.2512470924,0.0,446828700.0654084,156497671.16660702,82965282.70459725,90486.8111575358
2005-07-01,152350.1592638605,0.0,393917560.0981439,131321623.70976596,14938655.422857493,117632.85956965477
2005-08-01,184775.26394974784,0.0,358256507.7079504,146698097.30293566,54870208.098093264,95011.14936173147
2005-09-01,1339008.8008837216,0.0,353109395.1973975,101264548.6095267,52084364.86601966,45243.4055787679
2005-10-01,5937701.328355539,0.0,377333964.0749376,86825634.19078684,100791959.1878688,22621.70278938395
2005-11-01,66159.25466162074,0.0,357481721.02784884,60599317.642775886,16779202.23259814,0.0
2005-12-01,320702.23950193176,0.0,360241267.2707408,46520004.9440703,42511625.81486043,0.0
2006-01-01,1742422.2360013584,0.0,387189016.0786545,66787010.3175589,92708021.56244339,0.0
2006-02-01,82676.00547823742,0.0,357774922.1305418,95383050.05373287,46979820.6416803,0.0
2006-03-01,23276800.651447058,0.0,452816656.19938314,135312626.1066373,251903292.5158073,0.0
2006-04-01,1592501.0481692937,0.0,394380550.6948183,164348012.23198465,78960140.85511702,25208.62033619877
2006-05-01,66440.51937383364,0.0,339830753.1756761,151725501.6366177,19291881.3891868,65542.4139466779
2006-06-01,46453.94434860503,0.0,319082270.8778504,100592826.22329688,9382350.584195575,100834.48134479507
2006-07-01,5561163.794221033,0.0,353904462.9159618,99081313.32144363,111860118.93481301,131084.8278933558
2006-08-01,1708802.973849766,0.0,331913734.587589,105378761.32563245,26337833.119761616,105876.20130053248
2006-09-01,4189317.2748090676,0.0,333551811.07938683,79665917.76477644,46829473.61841437,50417.24067239754
2006-10-01,52220962.39109646,0.0,451110430.0718059,109468685.007244,279152379.1624587,25208.62033619877
2006-11-01,1282241.934146751,0.0,423319940.82343006,63334736.692920886,33070825.714863252,0.0
2006-12-01,42796145.5948999,0.0,518586502.0174852,50315042.377167545,188377749.16612354,0.0
2007-01-01,9622261.832638415,0.0,535273831.7420461,72326026.24061401,98487874.74861023,0.0
2007-02-01,10082370.879622558,0.0,522884416.70623106,112573437.66586992,109463716.74298331,0.0
2007-03-01,4434273.142014314,0.0,465617285.6642488,165716913.59234974,102703985.9381512,0.0
2007-04-01,620095.2405681605,0.0,397588609.3734015,172307300.29664737,68752539.28979445,26174.467011369867
2007-05-01,31509.838932907485,0.0,343300264.1422909,144768055.83432838,29673129.35096652,68053.61198015924
2007-06-01,129353.651670735,0.0,327451159.5440638,95407726.40623023,18063088.74875567,104697.86804547947
2007-07-01,367162.5012122446,0.0,326437147.0929209,88073722.63496299,31825893.245637063,136107.2239603185
2007-08-01,1683754.5777243888,0.0,338369451.6638141,89715328.21847318,65016788.24395361,109932.75377594835
2007-09-01,3415297.507633531,0.0,351280940.3588351,85719722.3216379,73193770.84218735,52348.93402273973
2007-10-01,546405.9917673897,0.0,335344034.0436815,73979221.63559635,15507465.585646406,26174.467011369867
2007-11-01,495512.3081362438,0.0,332045170.32737744,51352492.54218915,28597048.43817168,0.0
2007-12-01,45139480.18808577,0.0,494680918.36500835,48321890.11072698,256097118.3364435,0.0
2008-01-01,7467928.292926736,0.0,493721809.3429873,74403219.43379888,80849278.37607077,0.0
2008-02-01,18662603.72244448,140672.63072297722,502710969.46578753,106830492.10605423,134231965.68796462,0.0
2008-03-01,1800814.8558086476,0.0,452506606.4623064,125505685.20389496,67727542.65237314,0.0
2008-04-01,61038.93421585545,0.0,392493472.16165584,96877274.23220496,1782710.9281646137,31699.239407016874
2008-05-01,7052648.273414508,0.0,403823211.9249698,87516225.73215319,77905121.43048434,82418.0199764412
2008-06-01,14943102.178756282,0.0,410299714.11274946,91658043.82144757,80532931.55308262,126796.9576280675
2008-07-01,12129959.577971397,0.0,408558365.0194381,90174007.27152263,65399086.86168585,164836.0399528824
2008-08-01,17940578.622625407,0.0,410135847.3089481,83584178.32433078,66661183.27236522,133136.80419557885
2008-09-01,5464205.605316114,0.0,401295176.23828363,76395930.35893847,37912546.61697565,63398.47881403375
2008-10-01,14692278.49125517,0.0,415133910.89213234,64825393.33657327,78528623.3130025,31699.239407016874
2008-11-01,24336791.817240406,0.0,440141471.92919755,45323387.34584922,93011022.87918913,0.0
2008-12-01,63733896.662026,0.0,514772029.8584189,51005156.17386663,189369610.7651146,0.0
2009-01-01,64581969.979780614,132005.33095079742,581226198.4678476,60587747.02037856,191749350.4445294,0.0
2009-02-01,61185273.20276949,828806.0609175017,591164382.6877906,85907336.6529463,157828333.09399024,0.0
2009-03-01,1169500.6339491706,0.0,506519848.4037442,128810989.5565448,36538763.447377205,0.0
2009-04-01,14999981.719239444,0.0,511369453.6101357,126272007.66611917,130956095.04327908,33570.07448169137
2009-05-01,1668962.9462687555,0.0,469060000.9195176,102093816.36433464,29177074.023540426,87282.19919396885
2009-06-01,17613113.006479926,0.0,477007980.8968858,79680263.08747616,83996823.2521413,134280.2979267655
2009-07-01,10229280.990993757,0.0,467630499.83902663,75468323.74765699,44378557.87107781,174564.3983879377
2009-08-01,319829.2085050485,0.0,442457687.145978,78210677.16488184,7300880.833310107,140994.32158234747
2009-09-01,799414.4674652976,0.0,428553040.6136498,75983074.03327556,18737908.836603787,67140.14896338274
2009-10-01,9605024.91073243,0.0,438948702.0803885,51467693.17487905,52054486.790716216,33570.07448169137
2009-11-01,6329818.399044229,0.0,437752312.590553,57311790.788243786,48079442.73167976,0.0
2009-12-01,75793241.87815274,0.0,532701289.13588756,49880016.687612556,220622235.1110998,0.0
2010-01-01,94122800.07527755,0.0,593953013.0761491,71338740.17652988,226713264.19206956,0.0
2010-02-01,66900748.7475134,103243.09573147705,604239850.3807799,100860028.04570247,177905090.34943333,0.0
2010-03-01,20522355.877061553,0.0,572931608.5688993,152384360.26155716,138419226.5460873,0.0
2010-04-01,32562786.872597728,0.0,567868901.9824641,149674613.55984113,171743057.14146638,29920.45111291224
2010-05-01,8131531.46517247,0.0,511649949.3092514,155823158.9390106,85726402.94868006,77793.16999766874
2010-06-01,10898760.873293728,0.0,487351256.98316944,113637348.27199821,69124407.72887969,119681.80445164896
2010-07-01,15672316.916976558,0.0,476317965.436466,103752229.33016375,68398628.61491752,155586.33999533748
2010-08-01,7820859.153981545,0.0,463365791.51979446,108048338.67342402,66006589.17208353,125665.88459216102
2010-09-01,50123.778884884116,0.0,432987284.5302402,85794682.52728227,2554647.193425851,59840.90222582448
2010-10-01,35087029.126839556,0.0,492582958.4084274,91659781.6728338,182235396.99771497,29920.45111291224
2010-11-01,42888361.96957155,0.0,521474709.9543496,77987609.85196477,147492927.3807481,0.0
2010-12-01,291726232.2802535,2857162.0834407285,655889291.3017104,46917307.792268015,475915283.5033217,0.0
2011-01-01,4992735.328882948,0.0,613574804.0372651,79052440.17310628,41730688.237543926,0.0
2011-02-01,25187641.9330769,0.0,603993046.0051343,111506832.5299795,127112716.43092647,0.0
2011-03-01,21514523.41058063,191613.9685741714,518513469.3036605,170856060.7650687,104176517.07283367,0.0
2011-04-01,12707211.890593579,0.0,516761028.43617886,185206535.85019243,182683909.96993977,28040.231276870763
2011-05-01,53087525.127903365,0.0,581826223.7956132,185382173.54310694,298580183.8453495,72904.59843586548
2011-06-01,119670.79451709209,0.0,449083924.46647704,196344618.06287742,30412343.450665772,112160.92510748305
2011-07-01,10371630.070921607,0.0,477594549.5094034,138996937.29405594,144094942.49064264,145809.19687173096
2011-08-01,8883267.362911128,0.0,448606958.04939395,144607307.45555055,76524581.36717027,117768.96946799367
2011-09-01,5953117.576231221,0.0,441840901.4434674,119917378.66122153,91365453.46612528,56080.46255374153
2011-10-01,27100050.200637605,0.0,481106882.58271694,100605343.48044123,161263247.510078,28040.231276870763
2011-11-01,7738643.169013816,0.0,478880633.95594615,67106175.85845508,63208637.44308528,0.0
2011-12-01,18482331.62564896,0.0,492403249.1251963,59000590.14248306,86559279.50103715,0.0
2012-01-01,3221463.8413789566,0.0,484149495.7509501,71881523.20421834,55974429.1000548,0.0
2012-02-01,58511029.90757496,0.0,546248449.7948841,81654515.71814734,201528380.59571669,0.0
2012-03-01,9693323.334161518,0.0,513615597.8900054,159242026.71643955,119366343.35209961,0.0
2012-04-01,660866.5799500324,0.0,454552476.5963505,162540143.30737144,55271719.45131131,34581.81869977465
2012-05-01,4426.382655071019,0.0,402088971.5864488,130445759.29583752,1854692.3146989103,89912.72372137452
2012-06-01,63226.67364914703,0.0,382733746.4853861,95914314.81161743,0.0,138327.2747990986
2012-07-01,3007289.201731212,0.0,395944287.6884611,112203941.00780974,81728367.13883239,179825.44744274905
2012-08-01,1115052.0248416353,0.0,376985183.6212485,141759487.36326635,68036337.81111798,145243.64018365252
2012-09-01,10628498.304938862,0.0,402178487.58277774,126688012.68396181,139974920.12051308,69163.6373995493
2012-10-01,3383819.5838437686,0.0,395305701.8026705,100471746.16038957,69051608.65214935,34581.81869977465
2012-11-01,15269296.565556832,0.0,427817584.308526,66822959.721172675,110558268.58447775,0.0
2012-12-01,72750453.92414325,0.0,536241496.0899663,49499574.74086514,230673940.44644934,0.0
2013-01-01,68377566.71045542,268324.645033837,596275026.3024743,45357775.93389948,174037197.50189584,0.0
2013-02-01,9591990.158488648,0.0,585795456.1244138,101595106.77507828,100707526.75550848,0.0
2013-03-01,3957421.908415807,150567.00887270487,507248655.17114,161533305.00777677,85048926.34269097,0.0
2013-04-01,31581603.231894247,161473.10916230816,531229753.5078983,176643591.4059005,224115949.20655143,33523.419336965424
2013-05-01,815069.7651868344,0.0,464256195.50603974,157208772.05653247,58729146.51741866,87160.88917375685
2013-06-01,176346.4629330264,0.0,420189380.41674453,105766905.25586757,8183230.799195391,134093.6773478617
2013-07-01,12316636.41634615,0.0,438491634.8482211,105360712.85876065,96006249.7104436,174321.7783475137
2013-08-01,5489201.257436116,0.0,418992509.8689721,128593601.86203538,66087328.50532313,140798.3664886749
2013-09-01,20077732.29459716,0.0,439670819.51733834,115193461.4356477,137530177.11886638,67046.83867393085
2013-10-01,1783027.090224356,0.0,423798352.875181,87303639.42484318,46619112.18026159,33523.419336965424
2013-11-01,33677511.258148186,0.0,478481751.38890064,59861343.81532285,147701480.86071336,0.0
2013-12-01,36589848.87885282,0.0,522444699.82277095,70099751.37761682,150603436.4171865,0.0
2014-01-01,14593093.382481012,0.0,528638026.20960253,81034616.18780504,101141199.03616537,0.0
2014-02-01,1809224.6790217096,0.0,496880291.5183295,94049371.25384937,59904843.590204075,0.0
2014-03-01,1686200.2652209923,0.0,457372573.9027769,134757898.7291469,82335139.24967663,0.0
2014-04-01,862727.4603424101,0.0,409892712.1659267,138973107.53031301,49591561.21085032,30940.307660372244
2014-05-01,4991272.228744643,0.0,399769622.12622947,129128830.05823365,75283871.8389897,80444.80065583227
2014-06-01,56198.877243231276,0.0,376849577.33668095,95036816.31762934,5901089.614618024,123761.23064148898
2014-07-01,4647552.121390592,0.0,370562019.5285015,139146363.65446937,74144713.43809187,160889.60131166453
2014-08-01,27494312.3325636,0.0,424133079.76604074,139343465.21284533,206425646.3304943,129949.29079112275
2014-09-01,69107207.06044221,0.0,486288862.77535546,138819932.28599095,266963399.24774656,61880.61532074449
2014-10-01,184869.26468078478,0.0,411882777.94837147,119958281.9805226,17288065.72586721,30940.307660372244
2014-11-01,531745.9288443862,0.0,410948518.84623384,68019609.42753449,54453077.79821284,0.0
2014-12-01,12622491.086845601,0.0,472140487.52423817,55561099.071075395,129190846.57644744,0.0
2015-01-01,8768277.862748332,0.0,475335679.25721127,80850900.32698415,91026553.17527018,0.0
2015-02-01,8359889.406159415,0.0,451626250.2734777,94409567.22846101,67085830.918460846,0.0
2015-03-01,2008879.5571033107,0.0,416476187.8943581,133697453.81347491,58216928.776564814,0.0
2015-04-01,13231115.091062862,0.0,406596940.8515095,142766712.3243438,94388334.83232868,34616.04900791703
2015-05-01,43232675.47854386,0.0,452822283.38398147,163466934.6521776,239846892.3391622,90001.73708556646
2015-06-01,7922967.019958498,0.0,425197140.4228872,159589433.57624707,94268928.95533372,138464.1960316681
2015-07-01,8722356.807681369,0.0,418908796.3134131,101645198.86346447,48661595.304220326,180003.47417113293
2015-08-01,6650998.563854335,0.0,413683472.2886893,92598750.63677062,44025486.848391786,145387.41711900764
2015-09-01,619692.0600402631,0.0,400546256.5462159,76998343.2633083,13692218.587898262,69232.09801583405
2015-10-01,39786379.430374324,0.0,445833392.1425556,80044018.28727458,162438532.00177127,34616.04900791703
2015-11-01,20575852.02041291,0.0,463071742.5650429,68560063.96035144,105370859.76462117,0.0
2015-12-01,46163061.018615365,0.0,513243711.4022069,60877520.83625998,157178209.5587829,0.0
2016-01-01,111103569.37714307,0.0,601186699.4830512,64949989.612815976,263996547.070802,0.0
2016-02-01,1239444.3700536871,0.0,548522399.4838343,124299760.39604835,72812405.83597142,0.0
2016-03-01,1983357.858809907,0.0,476936108.853945,143496689.56425974,62226216.16359627,0.0
2016-04-01,6141621.644157727,0.0,468431687.7434106,137593433.4110982,109043643.35730116,33389.28232866681
2016-05-01,3650608.305725661,0.0,434999656.0049951,146847699.34994662,73422772.45871349,86812.1296212838
2016-06-01,3044358.8905336387,0.0,415810590.64246184,105033911.2540746,28955832.755154744,133557.12931466725
2016-07-01,4439640.270390915,0.0,407513327.80237377,90472418.84060831,25835877.59926708,173624.2592425676
2016-08-01,7979598.095723869,0.0,411752371.93611276,79555621.20174055,48155495.830710605,140234.98603070973
2016-09-01,9262200.370566616,0.0,421499544.3200508,70893258.89874822,62318153.94727949,66778.56465733363
2016-10-01,1819824.2101376604,0.0,410710947.595775,71267847.57848044,27424141.971854437,33389.28232866681
2016-11-01,14625593.586977279,0.0,430630293.32525533,61151593.29946699,88777807.90835835,0.0
