Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,157362617.4119216,631903.1282098964,741428576.4418434,27788102.28301734,187721517.8088819,0.0
2005-02-01,121009966.1259627,1004604.5057098605,741045615.5388433,24324994.582777407,145956604.3114503,0.0
2005-03-01,121435149.08090101,955750.3815526655,739769687.4435985,35608230.072056435,156723201.439265,0.0
2005-04-01,128114860.91688794,672904.928072945,732916127.9066327,49109364.8384887,170975610.85016388,22621.70278938395
2005-05-01,63961835.003545515,0.0,706999151.9378426,56867352.5526154,94474758.12424879,58816.429784827385
2005-06-01,56561291.67427292,0.0,681563294.7755322,52863358.63722354,82965282.70459725,90486.8111575358
2005-07-01,10448706.299706876,0.0,671369136.4293116,15685102.932206852,14938655.422857493,117632.85956965477
2005-08-01,37773924.88341345,535334.3121701521,651766221.064111,37364110.62065975,54870208.098093264,95011.14936173147
2005-09-01,35633644.16209169,0.0,647689086.8323276,21335318.365179915,52084364.86601966,45243.4055787679
2005-10-01,66818341.30941705,145731.3423854033,656960440.7070357,24805978.775181398,100791959.1878688,22621.70278938395
2005-11-01,11521259.394331004,0.0,657360037.770686,5117100.5066497605,16779202.23259814,0.0
2005-12-01,28564556.33674589,0.0,661584103.1486137,9822823.484131368,42511625.81486043,0.0
2006-01-01,64289478.31500738,146975.06840038177,675762607.0074252,14109236.49079776,92708021.56244339,0.0
2006-02-01,33962034.9901841,0.0,679233900.2248535,9600472.80997132,46979820.6416803,0.0
2006-03-01,184393035.62094644,2641468.63300111,704463967.1819724,39638721.30474315,251903292.5158073,0.0
2006-04-01,53572916.985761866,0.0,701433419.3420779,28703425.106048543,78960140.85511702,25208.62033619877
2006-05-01,13432262.91632201,0.0,693337778.1755813,14643999.838285796,19291881.3891868,65542.4139466779
2006-06-01,6759920.411132576,0.0,687407529.0903964,9369000.608879654,9382350.584195575,100834.48134479507
2006-07-01,76850199.46706837,147734.70236991326,690621839.4854245,32290036.55548991,111860118.93481301,131084.8278933558
2006-08-01,18194384.85363379,0.0,673093152.4096411,26761504.279650953,26337833.119761616,105876.20130053248
2006-09-01,31547489.448561117,0.0,663037695.0181202,26265169.88189601,46829473.61841437,50417.24067239754
2006-10-01,187152909.19828606,230252.56252581472,703633998.215115,51198122.8249887,279152379.1624587,25208.62033619877
2006-11-01,24749270.047581337,0.0,707411727.5345883,4630245.997137496,33070825.714863252,0.0
2006-12-01,153255198.82595235,616572.7696172524,728978146.1362274,12939558.968916388,188377749.16612354,0.0
2007-01-01,85411846.5611348,533562.5890267239,734122710.2405541,7397901.494122305,98487874.74861023,0.0
2007-02-01,92986823.0818687,1276453.6147736332,735652439.0045706,13670711.282324249,109463716.74298331,0.0
2007-03-01,81694429.80061148,0.0,734928090.4184477,21741862.090374067,102703985.9381512,0.0
2007-04-01,47468484.627051175,102400.07106174662,722795221.9391816,33615693.70857353,68752539.28979445,26174.467011369867
2007-05-01,20932321.870758217,0.0,711950883.6403806,20072223.196416907,29673129.35096652,68053.61198015924
2007-06-01,12322767.670755649,0.0,702661126.4502228,15685719.38397451,18063088.74875567,104697.86804547947
2007-07-01,21576436.43633908,129330.89144319613,692283459.1447974,21338902.449478704,31825893.245637063,136107.2239603185
2007-08-01,45868807.4276309,151253.82587427323,679489065.0618347,32757151.770237006,65016788.24395361,109932.75377594835
2007-09-01,50119016.954508536,102590.14182141898,676785929.893379,26182777.11158372,73193770.84218735,52348.93402273973
2007-10-01,10411919.091988293,0.0,673009581.6259211,9310817.550361525,15507465.585646406,26174.467011369867
2007-11-01,19781456.869908363,0.0,676228052.786593,5735847.054551229,28597048.43817168,0.0
