Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,33479921.21393455,117258.32449095017,428806679.41077745,37836170.99089412,130580632.54353297,0.0
2005-02-01,32755773.441126097,0.0,451743446.459311,49638370.53118433,105530773.43772998,0.0
2005-03-01,38286784.80356722,285303.0524998229,461223027.5831044,86702729.17965491,134877247.99218225,0.0
2005-04-01,16912422.97068748,0.0,459635697.6918297,129395996.62149024,143741458.16218618,640606.161172986
2005-05-01,46667610.13112653,0.0,471705688.74431825,164288284.52591375,221181177.05213287,1665575.9106660003
2005-06-01,2046225.8792993221,0.0,425420575.3622406,115682824.93349801,67169504.59130955,2562424.644691944
2005-07-01,280490.93359994603,0.0,350556956.1092339,83761519.08794507,2010366.8073243017,3331151.8213320007
2005-08-01,810500.7605943257,0.0,318369320.8019154,61420077.56151368,24077000.506919675,2690545.8685893286
2005-09-01,0.0,0.0,285801076.5654223,52978939.208941184,15261058.791007914,1281212.322345972
2005-10-01,403557.69183884806,0.0,292062358.1676029,53255871.85945881,58356641.16671216,640606.161172986
2005-11-01,0.0,0.0,280813640.4813042,51493823.915215686,39375023.06025843,0.0
2005-12-01,1963191.9562077376,0.0,309565865.2544944,44666382.33727057,75524735.72870971,0.0
2006-01-01,18361393.023574494,1581178.172873372,379425909.8374947,27849912.896509796,118253596.14898513,0.0
2006-02-01,11117798.03203276,0.0,392558278.0899509,42498724.48524706,66977003.17024275,0.0
2006-03-01,54045178.91793411,5712940.956760491,433708522.4566624,70639263.79655685,171864270.71991464,0.0
2006-04-01,14554747.823434776,0.0,421613076.5223761,133444958.88880005,134911493.58090952,706929.221331087
2006-05-01,1475448.4511585895,0.0,372672657.6170173,94848383.64389017,43777173.899601385,1838015.809486164
2006-06-01,2032987.480356222,0.0,339860776.88901764,65689753.404352956,28149187.07856807,2827716.885324348
2006-07-01,1384658.6043197177,0.0,320481205.43657386,58301009.70650977,31625044.077080466,3676031.618972328
2006-08-01,2344525.077655347,0.0,317348013.2502071,43998577.430462725,35941242.27561553,2969102.5631028446
2006-09-01,2272208.4124918156,0.0,328731896.3208248,60534232.46227451,70749788.73819974,1413858.442662174
2006-10-01,91939.62858134469,0.0,314230209.663268,108340297.65393728,91070401.10763578,706929.221331087
2006-11-01,713001.3637615873,0.0,306151566.57807744,59595564.128541194,50627144.154814206,0.0
2006-12-01,8915964.125603788,0.0,363624080.1886859,40522777.085960776,107364116.54751961,0.0
2007-01-01,18782867.50152967,0.0,399444389.1547374,30557324.38692549,85705674.17464916,0.0
2007-02-01,34872794.699197166,42361.764139650775,422758554.7275714,54852308.84761569,113124817.7644943,0.0
2007-03-01,10007420.24466419,0.0,415196218.19036347,98144513.3331137,99916670.60456993,0.0
2007-04-01,495572.08671647916,0.0,354792576.86514616,97154735.2718353,33361470.220863305,694047.3396881304
2007-05-01,0.0,0.0,283981063.67107135,110935271.80044706,30741480.397229116,1804523.1410365677
2007-06-01,1468390.415845583,0.0,270073594.7640134,69085031.49417256,46872474.03201701,2776189.3587525217
2007-07-01,1285199.9027308791,0.0,260596948.6146321,66784039.30248624,48063231.781129,3609046.2820731355
2007-08-01,578923.2343857447,0.0,235861976.78336918,59151908.48179609,22225447.757680118,2914998.8173268167
2007-09-01,207205.48818209453,0.0,248153176.61188787,41307032.64621961,48683940.557284385,1388094.6793762608
2007-10-01,0.0,0.0,225649077.87432733,99706578.77209407,70280164.6975261,694047.3396881304
2007-11-01,43535.76089029846,0.0,201315481.61563003,42961153.457568616,12089347.683346882,0.0
2007-12-01,14382497.385861173,271803.46624081716,381922865.2529284,13297459.471890196,210241001.9437398,0.0
2008-01-01,58361827.43643694,2398371.797695209,449283915.5616204,14802704.121780394,143945905.29958564,0.0
2008-02-01,71316358.70138326,1722237.1614249966,471834143.8501925,50850525.11722356,146607471.4390694,0.0
2008-03-01,11242581.393974131,0.0,456549687.40448815,63588490.77425882,59533113.963256866,0.0
2008-04-01,1577336.7912822142,0.0,393727923.0641664,86074900.00387451,23565940.403393976,774194.8392835321
2008-05-01,3542092.545775965,0.0,386446985.3608166,78809759.6585804,72579956.9311659,2012906.4665705909
2008-06-01,1909955.9877254334,0.0,365234895.5741939,64830575.26470589,39927381.38158554,3096779.3571341285
2008-07-01,1562156.1904101565,0.0,312827584.3954128,61595324.20701177,2708055.097641335,4025812.9331411817
2008-08-01,1059041.5226511785,0.0,294490293.5384028,47872472.28670589,24523164.434469305,3251618.0098442
2008-09-01,0.0,0.0,264178738.30438945,61744211.05851766,23365594.61854998,1548389.6785670642
2008-10-01,199939.12601192133,0.0,270563415.5591499,55282624.77186668,58598249.22973029,774194.8392835321
2008-11-01,0.0,0.0,287909940.2915021,50219508.12128629,67248941.71160255,0.0
2008-12-01,4898347.881238203,0.0,349760401.4258589,34486409.207372546,101472892.06601737,0.0
2009-01-01,28648536.667709257,200467.42069940668,422710292.31753004,28010260.22193726,130764343.62875904,0.0
2009-02-01,39929191.8999638,0.0,445804476.17591953,44161974.40454901,107417495.14141051,0.0
2009-03-01,21383735.766450536,11483.998304926026,432944787.2871772,82572996.64013329,90698044.95040676,0.0
2009-04-01,19611262.6466383,287534.9251464341,420399710.4507177,151697665.34303528,155773481.9514436,525030.0865990449
2009-05-01,451055.71108289005,0.0,380626434.47165185,112603446.6135608,67365278.5029605,1365078.1841127777
2009-06-01,6968969.848836535,0.0,400848590.5900114,113188783.81088628,137934562.70130467,2100120.3463961794
2009-07-01,670428.7649235529,0.0,366897679.6511966,58043472.8856549,18216164.735337887,2730156.3682255554
2009-08-01,81138.69462357454,0.0,340944137.23131,72817572.92938037,40436969.02504267,2205126.3226712495
2009-09-01,136538.91172486782,0.0,325914597.3002139,50166225.33670586,30780922.20419497,1050060.1731980897
2009-10-01,3071379.9813462803,0.0,360082411.4767443,39421743.96785885,76003118.37361464,525030.0865990449
2009-11-01,90653.11727071872,0.0,358978121.32883775,31490230.856329415,30345509.73237491,0.0
2009-12-01,63596189.04366462,0.0,445717212.1767343,16005498.079545096,167659171.10891357,0.0
2010-01-01,66182905.3705998,0.0,463850680.9064464,18553560.240807846,103190391.68831672,0.0
2010-02-01,16655794.768132146,0.0,454660637.28100306,36984915.54983529,44296410.29778945,0.0
2010-03-01,38462176.76876336,0.0,468376828.99791664,77335104.55822743,129834998.617791,0.0
2010-04-01,17838780.934096612,157051.42981734514,449099015.7196795,124306961.95460396,122080892.37101173,546634.8871933165
2010-05-01,5812709.101545772,0.0,426731981.3316421,141467083.7004,122526372.46349981,1421250.6565510826
2010-06-01,1526316.8388823587,0.0,382277644.4074259,98446263.62982744,50557093.284335904,2186539.548773266
2010-07-01,1250748.1130108763,0.0,345542751.4617513,64505765.178690195,22660036.949068047,2842501.3131021652
2010-08-01,2135942.7998120636,0.0,359097602.4791379,46861173.690000005,58466866.77787762,2295866.5099222986
2010-09-01,0.0,0.0,332408710.2959998,36864140.503466666,6679698.597868045,1093269.774386633
2010-10-01,130820.27876985185,0.0,350312927.0242362,47325757.387333326,64940718.5860594,546634.8871933165
2010-11-01,34390399.630497456,0.0,442245372.8539447,37041343.08633725,164480262.05298737,0.0
2010-12-01,178304795.12999564,17922488.35825901,494614675.1212508,15331630.867498033,265143954.44798034,0.0
2011-01-01,26079338.742871873,0.0,497595987.7537024,23366541.920917645,52436554.21880275,0.0
2011-02-01,38628276.9282056,0.0,499015605.6780726,47090832.32428235,87118556.97702274,0.0
