Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,39152126.80577056,0.0,418121397.6159054,32858104.18846275,127443306.88590842,0.0
2005-02-01,36468823.52002865,0.0,440449598.0755521,55570844.72932548,114818659.25319491,0.0
2005-03-01,30759784.8214755,117689.21653594704,442069552.5213182,93115743.62501174,125610551.31724161,0.0
2005-04-01,13384147.976192476,0.0,435495940.403928,122617883.57392944,128366058.93171722,640606.161172986
2005-05-01,40601206.59518265,0.0,447867513.37606835,161733145.94019607,213053902.0815265,1665575.9106660003
2005-06-01,935152.9864310329,0.0,362570654.5787896,151835678.01283148,60058974.34446827,2562424.644691944
2005-07-01,0.0,0.0,260032183.88885796,135066958.36716855,5170123.875024847,3331151.8213320007
2005-08-01,56557.038546825286,0.0,209859313.56444663,106116564.36693339,20143390.27526453,2690545.8685893286
2005-09-01,65103.80085469289,0.0,185883323.6009211,67381857.00578038,13273942.070873046,1281212.322345972
2005-10-01,406593.9080610963,0.0,200645548.40061328,44336877.68855687,53753013.77169073,640606.161172986
2005-11-01,784558.4440892295,0.0,218382773.11005965,26286838.4812,43705529.54024057,0.0
2005-12-01,3732382.3994787433,0.0,282991529.1022805,27387738.8060549,96194097.58288236,0.0
2006-01-01,15845800.335209569,211019.86548351703,334094705.97439814,44339366.08320785,111924862.35289638,0.0
2006-02-01,4981807.142679522,0.0,323256546.05899405,70199508.0559451,64357612.9292654,0.0
2006-03-01,29427862.67244006,3062300.315775759,349343723.36591035,95659324.16712941,154251341.88989872,0.0
2006-04-01,11255531.255486617,0.0,336052964.3746831,134808152.44381174,130209404.37437004,706929.221331087
2006-05-01,383926.61598722806,0.0,260702859.27025956,138902657.39483136,43773295.86400817,1838015.809486164
2006-06-01,359483.5119812255,0.0,213715792.76766145,113031761.030549,28361716.945342444,2827716.885324348
2006-07-01,791376.8251625516,0.0,196940159.36654195,89317917.17666663,30446745.632852502,3676031.618972328
2006-08-01,603582.0187104184,0.0,188356451.6550161,75995708.83486272,28230133.85868045,2969102.5631028446
2006-09-01,2482399.7241837513,0.0,200076641.99203047,60901932.81586667,64836844.64462044,1413858.442662174
2006-10-01,4941778.38370976,0.0,227935459.82504517,58628926.28952156,89579826.9980411,706929.221331087
2006-11-01,2449864.288288334,0.0,237510708.4631611,40542016.52154508,51630676.52402666,0.0
2006-12-01,16997007.061286353,0.0,301044629.4586635,32128805.893552944,113152366.35505952,0.0
2007-01-01,16592674.446305241,0.0,329471306.90537304,41931695.40374118,87540469.68840896,0.0
2007-02-01,28275588.052368008,0.0,354323543.9756923,65196807.5201647,118191350.3115119,0.0
2007-03-01,13581362.302460112,0.0,353190503.0183359,88426189.36052547,100225484.97127055,0.0
2007-04-01,0.0,0.0,278177139.83460397,115888557.0812706,30601698.030373767,694047.3396881304
2007-05-01,65632.6070215748,0.0,232702783.55527407,106514890.45312941,34218597.87847214,1804523.1410365677
2007-06-01,1759799.051931586,0.0,227326830.5571952,88515869.2426353,52926439.19289166,2776189.3587525217
2007-07-01,4051703.012348138,0.0,229232957.1680305,79197244.25872158,51548381.26623914,3609046.2820731355
2007-08-01,1655941.5529696925,0.0,221764272.1439132,62670093.16742746,17131025.227818616,2914998.8173268167
2007-09-01,3161759.184906226,0.0,223694352.43547356,52393863.92206275,39784009.75701113,1388094.6793762608
2007-10-01,7636371.780137074,0.0,241758244.4899493,45494943.26061964,68346932.93871807,694047.3396881304
2007-11-01,2220646.9704419165,0.0,238833806.06309128,31697505.135576494,23481693.763992913,0.0
2007-12-01,51757915.39468681,0.0,364020527.6791245,17079828.351521567,195468735.15641543,0.0
2008-01-01,61250240.40958755,1456495.2954098617,413383419.2065649,21957193.166117653,134713142.45024732,0.0
2008-02-01,54235150.92289865,437683.6933111388,434683817.16314816,58816406.31731765,135054775.16663042,0.0
2008-03-01,6894678.928661749,0.0,394010564.5644738,86786949.21198429,53150685.07132581,0.0
2008-04-01,342661.6787588175,0.0,332738492.78133947,85465765.12967059,22021558.96744444,774194.8392835321
2008-05-01,3732042.4299179553,0.0,326348462.7219501,84409238.02253334,72530716.5804757,2012906.4665705909
2008-06-01,4958962.998498445,0.0,309808066.3252874,81323256.01892544,49308406.63570789,3096779.3571341285
2008-07-01,1377481.8275593556,0.0,282632432.30197424,58981925.279968634,3830224.65653649,4025812.9331411817
2008-08-01,5596652.296500569,0.0,282449201.0614877,54707606.3246353,38106044.13939306,3251618.0098442
2008-09-01,319446.8982817562,0.0,263588084.89389008,52133679.10528626,8140086.176173093,1548389.6785670642
2008-10-01,7943541.245431493,0.0,277138012.4947904,39056814.68327845,54788235.012363516,774194.8392835321
2008-11-01,9531419.873898126,0.0,296770160.3370817,26630435.191788234,55738327.98303164,0.0
2008-12-01,27935946.06529075,0.0,353856042.1857344,27215927.023560785,112713307.34721702,0.0
2009-01-01,54296008.30066641,14754.325860735657,397893583.9835688,36512930.35208627,135442794.5142444,0.0
2009-02-01,43194714.551120736,0.0,412224053.6970909,57396724.34916863,115082642.05792943,0.0
2009-03-01,18764532.173345,345861.6410745945,391515565.92468214,90167917.34821959,88356782.25575776,0.0
2009-04-01,25930390.895497426,0.0,393286103.08185935,107448263.02300397,133071594.53358275,525030.0865990449
2009-05-01,750316.5759433858,0.0,338688208.21935016,123830005.54892549,56738560.69431678,1365078.1841127777
2009-06-01,10647844.775251014,0.0,350157791.38599247,103854760.62422748,121893887.01431924,2100120.3463961794
2009-07-01,421134.54245510465,0.0,308192647.3779034,80991253.45835297,16262297.35350684,2730156.3682255554
2009-08-01,1789279.8194563817,0.0,295406618.39409345,60044884.16687845,28082348.18359351,2205126.3226712495
2009-09-01,1659879.8384820041,0.0,286342031.20251673,57860580.16767844,30160167.152560934,1050060.1731980897
2009-10-01,8625588.77893725,0.0,305852203.1042288,46395122.3245098,70279122.16531149,525030.0865990449
2009-11-01,2403249.7856434556,0.0,302351261.82642853,34622325.66379606,29465726.51899586,0.0
2009-12-01,59474667.224113025,0.0,382119616.63514715,29513127.11669803,169867948.2372399,0.0
2010-01-01,43558751.26035913,0.0,404400531.2836025,39354829.55369412,105527072.67753391,0.0
2010-02-01,11888962.273336891,0.0,390944062.81066585,59142943.574392155,57316943.76626796,0.0
2010-03-01,26262127.723092876,0.0,401037690.41643155,94863900.29263528,130976976.1979887,0.0
2010-04-01,23699196.480757028,479104.3079322413,395499863.49457633,115824481.9466353,131989714.22871836,546634.8871933165
2010-05-01,25171356.81091696,0.0,398624073.2757929,118028061.48419614,142946951.34683332,1421250.6565510826
2010-06-01,4690821.867418769,0.0,368585206.6920251,92829626.76101962,56655643.863487996,2186539.548773266
2010-07-01,4724657.6867868155,0.0,341759300.1629627,79781316.54458041,37239921.180574946,2842501.3131021652
2010-08-01,10223192.436045334,0.0,342854189.5101386,64756672.93309802,63336408.652748115,2295866.5099222986
2010-09-01,308059.93770452135,0.0,319829357.5526451,48214122.956501976,6526281.327394401,1093269.774386633
2010-10-01,16295326.786088714,0.0,346394520.7214916,33283425.338588234,74450379.22871411,546634.8871933165
2010-11-01,85551688.2144233,0.0,411320687.9623222,30361088.9372549,181630566.57019866,0.0
2010-12-01,188687485.70327088,22373028.007671528,470854178.9204371,18977752.702172548,291247015.3686567,0.0
2011-01-01,5161239.708131107,0.0,460527392.0225759,51614733.28963136,46443638.11261084,0.0
2011-02-01,10713012.921297165,0.0,452722400.1172276,68989229.49721572,71962123.83192402,0.0
2011-03-01,40520864.26400518,3573592.251875808,451695368.1133035,93345596.96814896,136408989.68234554,0.0
2011-04-01,45832479.63148416,606768.3563914644,470905422.9831895,121882257.18086271,187076482.55008018,488411.4065934019
2011-05-01,113716891.83958817,1345503.0027728293,495310734.8055797,137930116.32071373,277078219.05157286,1269869.5087404614
2011-06-01,252977.3453240706,0.0,382297180.1371125,161847596.4352314,45047761.36632966,1953645.6263736077
2011-07-01,0.0,0.0,325399683.4472026,103868260.51500387,39734427.895695455,2539739.017480923
2011-08-01,0.0,0.0,261876489.80787647,96929976.61621183,13825820.715141077,2051327.774425152
2011-09-01,0.0,0.0,229832856.59679604,72551152.3633098,17269704.59832787,976822.8131868038
2011-10-01,713857.1073424513,0.0,249540947.06628555,57705857.16965493,75154282.44091704,488411.4065934019
2011-11-01,1421683.62751414,0.0,298299479.08570904,37789779.75781959,88093351.1452268,0.0
2011-12-01,1030264.8273889874,0.0,294594873.5786857,30112837.185466677,26720577.950377032,0.0
2012-01-01,15330422.326925805,0.0,359401290.81301194,38615174.14112157,119412700.28583573,0.0
2012-02-01,16829818.751421016,0.0,377778067.83883625,55256341.74395293,90605281.93079124,0.0
2012-03-01,14252338.205020105,0.0,358111752.89419544,86705995.33723925,79527445.9859977,0.0
2012-04-01,10967309.56991389,0.0,352107883.7724026,88964107.04865883,88528028.13168985,692404.2790330953
2012-05-01,838008.0714237874,0.0,311170915.04692376,91332036.94378822,30152958.345637262,1800251.0763606264
2012-06-01,5188.805172466548,0.0,279083575.077023,65326533.31906669,192637.7421716022,2769617.1161323814
2012-07-01,7172117.247647125,0.0,292758904.37567365,70889961.45068234,68054357.50815232,3600502.1527212528
2012-08-01,1878910.536173428,0.0,283632514.81722295,63270400.30890193,22237972.38518903,2908097.9551363103
2012-09-01,2871674.6105959737,0.0,280859459.09705126,53696880.334509805,34274921.27616928,1384808.5580661907
2012-10-01,9093425.731416201,0.0,296528478.8302143,40225416.0172549,60985155.54487104,692404.2790330953
2012-11-01,12731516.141306264,0.0,320780282.0830074,33990169.72168629,70766974.6057802,0.0
2012-12-01,73743974.26373346,0.0,412191657.60517204,23841230.398415696,189921564.98759493,0.0
2013-01-01,88409834.06059726,0.0,463863422.35009116,9250965.576682346,150163348.0821763,0.0
2013-02-01,25071754.379340954,0.0,468810147.01887906,43908322.22004706,74157010.73857483,0.0
2013-03-01,2802492.326134363,0.0,406015205.0145517,92356814.05694112,31596139.696586944,0.0
2013-04-01,14053271.101499835,154748.82695755822,403968417.94971126,97443892.88294117,107728679.13559693,600263.9614679832
2013-05-01,4555186.36423469,0.0,383544657.5135313,91688875.70050195,71654028.60471016,1560686.2423541222
2013-06-01,0.0,0.0,330731292.2599582,71719067.05379607,5.050253087576788e-12,2401055.845871933
