Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,91602865.48131779,0.0,485313495.1003456,16310063.441929406,127443306.88590842,0.0
2005-02-01,90002704.81096932,0.0,490819314.8097495,18899263.640415683,114818659.25319491,0.0
2005-03-01,78787169.10887595,513247.5596921617,488293406.5884257,49165867.66646276,125610551.31724161,0.0
2005-04-01,86662895.19754505,0.0,489601055.0265848,40882981.2727451,128366058.93171722,640606.161172986
2005-05-01,154985473.5842453,0.0,500266072.86450183,47531513.68702746,213053902.0815265,1665575.9106660003
2005-06-01,18520410.35289612,0.0,483578340.56757534,60908106.1808157,60058974.34446827,2562424.644691944
2005-07-01,622266.3848501599,0.0,447271741.7774922,47865888.65848626,5170123.875024847,3331151.8213320007
2005-08-01,4740869.5401571095,0.0,426437392.3481918,45859624.17651765,20143390.27526453,2690545.8685893286
2005-09-01,1603149.727693178,0.0,407819605.50458,42740553.68726275,13273942.070873046,1281212.322345972
2005-10-01,18563582.937440325,0.0,427016029.74108815,19098275.558250986,53753013.77169073,640606.161172986
2005-11-01,16515175.052127931,0.0,439464843.29021275,14716468.790494116,43705529.54024057,0.0
2005-12-01,38293594.40510961,0.0,465269737.0198065,31554012.197050977,96194097.58288236,0.0
2006-01-01,82037377.6104996,1332771.516649604,481805020.6328095,11467929.541443136,111924862.35289638,0.0
2006-02-01,35735071.455001615,0.0,485376157.52538115,24951455.136470582,64357612.9292654,0.0
2006-03-01,119633460.0116233,6088923.751422482,492082302.5485154,21635132.646690197,154251341.88989872,0.0
2006-04-01,89000166.91000116,0.0,494360820.370815,39154044.45000783,130209404.37437004,706929.221331087
2006-05-01,9850500.857477386,0.0,472585498.8952789,57441511.6152784,43773295.86400817,1838015.809486164
2006-06-01,8727299.952591203,0.0,448107960.6242944,51962079.17712155,28361716.945342444,2827716.885324348
2006-07-01,7776549.569051858,0.0,428921293.5207827,53613961.336478435,30446745.632852502,3676031.618972328
2006-08-01,9986522.828545604,0.0,412263211.67316,52226191.0291059,28230133.85868045,2969102.5631028446
2006-09-01,28901364.473311603,0.0,422056824.3098449,29783358.956384316,64836844.64462044,1413858.442662174
2006-10-01,40616827.23826337,0.0,438671434.92514515,34063107.66833725,89579826.9980411,706929.221331087
2006-11-01,16388644.601278976,0.0,443988270.3647058,30776770.722243145,51630676.52402666,0.0
2006-12-01,79627922.05005018,0.0,466158177.38897383,10908658.788823528,113152366.35505952,0.0
2007-01-01,64489724.574557096,0.0,480004788.0259882,8425920.028501958,87540469.68840896,0.0
2007-02-01,97470133.44867656,0.0,489111018.6147517,11408916.572870594,118191350.3115119,0.0
2007-03-01,72924978.15135376,0.0,492015658.66530454,23824978.506266676,100225484.97127055,0.0
2007-04-01,4671957.2983243335,0.0,473866192.8032101,45481842.88948236,30601698.030373767,694047.3396881304
