Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,74340317.96983425,0.0,483977464.8961336,35147088.12461175,127443306.88590842,0.0
2005-02-01,58538627.48031334,0.0,491118233.93442065,48360174.49534115,114818659.25319491,0.0
2005-03-01,58608681.886476465,520003.4260451029,492987204.8240613,63714427.82928626,125610551.31724161,0.0
2005-04-01,35322130.060911745,0.0,466969175.4538497,118535159.6330902,128366058.93171722,640606.161172986
2005-05-01,66658420.89519382,0.0,466513409.2731161,146485465.9062118,213053902.0815265,1665575.9106660003
2005-06-01,15411764.015899025,0.0,422801026.4359084,90181563.34694117,60058974.34446827,2562424.644691944
2005-07-01,1408064.4673908115,0.0,392932215.54714364,37344910.63280785,5170123.875024847,3331151.8213320007
2005-08-01,5124700.125497164,0.0,363250562.3230301,47816007.707498044,20143390.27526453,2690545.8685893286
2005-09-01,3306433.584753067,0.0,350083474.6554459,26065542.68843922,13273942.070873046,1281212.322345972
2005-10-01,12613867.5927294,0.0,359271586.0095143,32444138.614588235,53753013.77169073,640606.161172986
2005-11-01,10799768.031172978,0.0,379650520.845417,12175389.482572548,43705529.54024057,0.0
2005-12-01,29863505.979112487,0.0,418783695.18485916,26560706.316047076,96194097.58288236,0.0
2006-01-01,46544383.814246126,993078.9301005844,451320564.894633,31082640.35829804,111924862.35289638,0.0
2006-02-01,26888851.28449415,0.0,461312766.1017985,26861293.009137273,64357612.9292654,0.0
2006-03-01,67956670.78628229,6117197.587775424,469469033.96226585,70917666.3941098,154251341.88989872,0.0
2006-04-01,43193475.95534508,0.0,461019221.5161392,94997866.13666669,130209404.37437004,706929.221331087
2006-05-01,10607191.778088473,0.0,432962697.8038195,62680002.02276865,43773295.86400817,1838015.809486164
2006-06-01,8396573.436606167,0.0,423444764.18776995,32545672.82123922,28361716.945342444,2827716.885324348
2006-07-01,8534304.609907562,0.0,406907316.2333776,42623533.47196081,30446745.632852502,3676031.618972328
2006-08-01,7226325.939863386,0.0,389426992.1634734,42332106.44744314,28230133.85868045,2969102.5631028446
2006-09-01,17267620.532927606,0.0,388141032.3455823,49563211.09618825,64836844.64462044,1413858.442662174
2006-10-01,22076435.073953178,0.0,399220771.1048996,56683311.78991373,89579826.9980411,706929.221331087
2006-11-01,15674615.221425602,0.0,409339729.3261431,25554978.403921567,51630676.52402666,0.0
2006-12-01,41073153.819570854,0.0,455246267.9997537,25461204.459631383,113152366.35505952,0.0
2007-01-01,45461580.60846489,0.0,475799283.10740924,20671282.078329407,87540469.68840896,0.0
2007-02-01,70338350.3697844,0.0,486543722.828751,36514356.13501959,118191350.3115119,0.0
2007-03-01,51690722.09123532,0.0,490283592.84479475,44064665.543105885,100225484.97127055,0.0
2007-04-01,7647164.784462243,0.0,463069501.10987246,50573365.7548549,30601698.030373767,694047.3396881304
2007-05-01,8699677.386615481,0.0,443083295.4657694,46976609.034470566,34218597.87847214,1804523.1410365677
2007-06-01,13573008.705099927,0.0,442155014.95094794,42527126.62147451,52926439.19289166,2776189.3587525217
2007-07-01,12631717.390509617,0.0,433518863.1612336,50800318.04778822,51548381.26623914,3609046.2820731355
2007-08-01,4454727.269478048,0.0,418440754.14801306,31846411.717984315,17131025.227818616,2914998.8173268167
2007-09-01,10568584.67942376,0.0,412190848.5098008,37740264.73010981,39784009.75701113,1388094.6793762608
2007-10-01,16200099.415310854,0.0,415781773.41137224,49202766.88788234,68346932.93871807,694047.3396881304
2007-11-01,5638705.328843855,0.0,422713863.6910137,10765162.193686275,23481693.763992913,0.0
2007-12-01,104920977.49082683,405773.65604061406,492050589.4378699,19333137.863435306,195468735.15641543,0.0
2008-01-01,119049227.67055362,2346741.134209809,501996617.1450663,2511560.9753254903,134713142.45024732,0.0
2008-02-01,89424711.52899145,1314612.1616408871,505497675.9191955,40101877.8736549,135054775.16663042,0.0
2008-03-01,26708685.489357393,0.0,504023438.7550882,27572051.804109816,53150685.07132581,0.0
2008-04-01,7962361.706953484,0.0,492956650.0242002,25762290.70851764,22021558.96744444,774194.8392835321
2008-05-01,21078981.800228447,0.0,482388063.381531,63374468.506862745,72530716.5804757,2012906.4665705909
2008-06-01,14918858.103988707,0.0,474938668.3714388,44732415.74750587,49308406.63570789,3096779.3571341285
2008-07-01,2043306.1366431753,0.0,458831727.19782585,24620285.260658823,3830224.65653649,4025812.9331411817
2008-08-01,14367929.664925948,0.0,464038571.34896624,24114505.73956077,38106044.13939306,3251618.0098442
2008-09-01,2349072.76558119,0.0,438622016.25547945,35104476.43477648,8140086.176173093,1548389.6785670642
2008-10-01,12666841.304117179,0.0,443092902.1286085,39063922.35967059,54788235.012363516,774194.8392835321
2008-11-01,13699175.208107386,0.0,446713280.20316535,38351364.689341165,55738327.98303164,0.0
2008-12-01,57723209.35420771,0.0,485280463.5368228,15922465.55808628,112713307.34721702,0.0
2009-01-01,95032700.95219062,0.0,500984984.4334253,23680686.6166196,135442794.5142444,0.0
2009-02-01,77265875.51656109,0.0,504166913.8923854,34009507.99059608,115082642.05792943,0.0
2009-03-01,42548910.92121408,419156.4374281884,503064622.650162,45916217.78282352,88356782.25575776,0.0
2009-04-01,49274441.837265216,401479.4361960722,495842383.4578686,90140579.55417255,133071594.53358275,525030.0865990449
2009-05-01,13728419.361066556,0.0,471247075.9720908,68463292.11151376,56738560.69431678,1365078.1841127777
2009-06-01,30880416.068825394,0.0,447388603.40189976,115296159.18160003,121893887.01431924,2100120.3463961794
2009-07-01,3910231.072825004,0.0,423034791.36191916,39810204.67686273,16262297.35350684,2730156.3682255554
