Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,255826681.62090725,0.0,2201304150.6150913,120532349.64822736,587066890.6327472,0.0
2005-02-01,287299305.45649105,0.0,2338388300.832831,102821813.95745099,527205269.6316803,0.0
2005-03-01,235169090.9096448,0.0,2240506912.577091,376459149.7950905,513313869.7044379,0.0
2005-04-01,382591308.56912494,0.0,2303964142.821879,360084356.33801585,796266136.3949519,948360.0368004541
2005-05-01,421422594.9154158,0.0,2404954171.3703084,369277993.90640783,877491634.5139971,2465735.9977929792
2005-06-01,87606524.42876439,0.0,2310090105.4602294,316314793.7016082,262539388.14015594,3793440.1472018166
2005-07-01,14415023.039152486,0.0,2024549140.617729,454305637.0782588,58266044.51414154,4931471.9955859585
2005-08-01,46142202.725429006,0.0,1897001338.471046,398185980.51467466,182971775.65575436,3983111.976716378
2005-09-01,31129607.422524583,0.0,1808378536.550873,363965439.75149757,130494132.52372564,1896720.0736009083
2005-10-01,88988748.38827346,0.0,1863826721.8650978,177010308.07660398,273285424.11148816,948360.0368004541
2005-11-01,34362185.94385877,0.0,1898541159.1168222,125456008.39920005,165159977.08437183,0.0
2005-12-01,71243071.30405295,0.0,2009183288.0323958,176765398.3204158,358202223.4651034,0.0
2006-01-01,167202997.6974581,0.0,2144230666.4702995,121875273.50040019,424125649.6357611,0.0
2006-02-01,95691852.79790126,0.0,2144276794.2151415,207375759.95788231,301576905.01558,0.0
2006-03-01,342256639.8363895,34590.84550479365,2268102990.087367,137487695.64614096,603071163.121742,0.0
2006-04-01,195904434.5400699,0.0,2310903388.019338,242149545.59967044,476993886.78343827,1136810.152061404
2006-05-01,69231968.8426824,0.0,2195698619.311826,328539180.62874514,238085533.77837774,2955706.503633178
2006-06-01,41001542.339080736,0.0,2041438578.1635754,348487775.0919843,162600679.27224636,4547240.608245616
2006-07-01,47691814.409948386,0.0,1904981083.4804642,463214829.35439974,257976832.58577362,5911413.007266356
2006-08-01,17158448.968115598,0.0,1754861892.0741785,510600736.63155335,72123664.60074852,4774602.800748366
2006-09-01,48924523.92744344,0.0,1743272363.4845622,283909947.5621023,180758068.77635416,2273620.304122808
2006-10-01,143817835.61942753,0.0,1851885733.8425915,198743543.22439995,431937904.43733937,1136810.152061404
2006-11-01,28199390.313734166,0.0,1838134720.0340207,166239183.03790587,150976231.7014822,0.0
2006-12-01,288782299.91412956,0.0,2098274633.8157423,101135274.51854111,650057488.2143927,0.0
2007-01-01,216334494.48160884,0.0,2233161518.968183,68063072.69741185,419284452.33145946,0.0
