Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,366286521.9214429,0.0,2584721708.0955415,60774943.82149017,587066890.6327472,0.0
2005-02-01,376431672.77632457,0.0,2649230810.960757,86264493.99014126,527205269.6316803,0.0
2005-03-01,319551858.6226097,0.0,2642803295.5610547,207383624.81947505,513313869.7044379,0.0
2005-04-01,526178552.7373253,0.0,2655160940.529678,277189930.80458045,796266136.3949519,948360.0368004541
2005-05-01,472023226.4698918,0.0,2633893364.1807256,463477556.9836472,877491634.5139971,2465735.9977929792
2005-06-01,28651196.283829737,0.0,2388035816.237309,559795508.2022738,262539388.14015594,3793440.1472018166
2005-07-01,8349915.826356417,0.0,1811843231.3105314,801439343.313812,58266044.51414154,4931471.9955859585
2005-08-01,24647571.74233103,0.0,1690075775.9186823,458293506.56109065,182971775.65575436,3983111.976716378
2005-09-01,18401987.308346335,0.0,1624043444.293799,312603770.377137,130494132.52372564,1896720.0736009083
2005-10-01,60974964.85880821,0.0,1707221240.798935,155268396.0849805,273285424.11148816,948360.0368004541
2005-11-01,27377416.125483323,0.0,1732237051.6933353,132854577.51402345,165159977.08437183,0.0
2005-12-01,103972732.63829534,0.0,1904545784.6961586,81923200.14444709,358202223.4651034,0.0
2006-01-01,159740816.2685992,0.0,2104773377.9742055,64157240.08911372,424125649.6357611,0.0
2006-02-01,121717264.26473641,0.0,2191411600.967464,94619889.20048617,301576905.01558,0.0
2006-03-01,297272219.27840704,0.0,2365475224.7835755,135743773.4452314,603071163.121742,0.0
2006-04-01,212087113.0159877,0.0,2433073282.502007,210266084.6437726,476993886.78343827,1136810.152061404
2006-05-01,65782185.581506856,0.0,2314649419.1764927,341564389.78892577,238085533.77837774,2955706.503633178
2006-06-01,34173586.9310101,0.0,2058968032.296535,496160571.2990586,162600679.27224636,4547240.608245616
2006-07-01,74975955.51050054,0.0,2009813938.8196099,335899953.8896704,257976832.58577362,5911413.007266356
2006-08-01,13270239.810894929,0.0,1825709690.6569896,420676763.89710593,72123664.60074852,4774602.800748366
2006-09-01,40724348.43981129,0.0,1824560850.523253,213157132.30850977,180758068.77635416,2273620.304122808
2006-10-01,143531704.99958298,0.0,1996505557.6595845,126355089.59427446,431937904.43733937,1136810.152061404
2006-11-01,34081802.648068935,0.0,2007122602.2934792,117267596.5432394,150976231.7014822,0.0
2006-12-01,322647437.46694773,0.0,2263897394.96225,70635258.07867447,650057488.2143927,0.0
2007-01-01,245215145.9532647,0.0,2376880835.621347,61085865.719098106,419284452.33145946,0.0
2007-02-01,239631342.0116455,0.0,2449852845.3512063,93092976.1361177,405696327.87762237,0.0
2007-03-01,264210310.9223777,0.0,2452057031.578543,274146515.833286,530136478.9108862,0.0
2007-04-01,44560523.822729364,0.0,2370068169.80427,254529427.227843,182910573.9669592,1157197.0548416865
2007-05-01,45979333.93845916,0.0,2161645699.8147526,407224187.8008235,172451657.13282216,3008712.264423607
2007-06-01,55058807.14067694,0.0,1938663519.8499978,531115307.46943516,234639120.07622743,4628788.219366746
2007-07-01,41199224.22508098,0.0,1772441519.354568,454976644.25012547,143101808.321514,6017424.528847214
2007-08-01,16089034.415131634,0.0,1695440268.715779,292674687.3461726,67299391.4578543,4860227.549613382
2007-09-01,34404130.149730995,0.0,1647408355.3386059,303138026.1625649,149840756.83910105,2314394.109683373
2007-10-01,65879438.39087506,0.0,1700620289.6367936,207384178.43640032,288719381.6735268,1157197.0548416865
2007-11-01,12197855.530904165,0.0,1687232672.5139384,103516405.33181188,70341123.50868441,0.0
2007-12-01,413382473.68367213,0.0,2172623625.0154815,39717463.40116082,938490889.586373,0.0
2008-01-01,225645816.94471297,0.0,2348803544.2541556,45834663.19483923,447660399.3782297,0.0
2008-02-01,281053991.7352236,0.0,2461744046.4032764,86367212.86034499,480361706.7446884,0.0
2008-03-01,125795072.74105594,0.0,2457914311.811009,120424027.2337883,238845748.30661315,0.0
2008-04-01,10306521.945256533,0.0,2353037242.5930057,199672657.89544308,70513714.33193149,1161681.0706554018
2008-05-01,54650188.61198817,0.0,2313226068.871346,233742048.34054905,206380072.21341753,3020370.717306234
2008-06-01,53741857.49386544,0.0,2136134673.2796602,397793807.80463564,187634746.61183214,4646724.282621607
2008-07-01,11692628.53701839,0.0,1863192562.0399365,499922459.2607607,46257026.760966,6040741.434612468
2008-08-01,41807464.27845047,0.0,1835080327.9755673,322542616.899185,181157778.28434217,4879060.2191936085
2008-09-01,4460464.552348554,0.0,1768712508.1415136,184703928.45549047,25399118.530807573,2323362.1413108036
2008-10-01,103947259.31722464,0.0,1885007644.5298893,164028094.6502276,364565553.8370297,1161681.0706554018
2008-11-01,101632240.72570452,0.0,1971062784.761449,120701118.03192158,306234338.29688334,0.0
2008-12-01,122436475.61392073,0.0,2081948718.6742675,70333683.51051769,302393659.40221703,0.0
2009-01-01,302715292.0915257,0.0,2250544764.3820505,59547909.86951372,530698797.6702306,0.0
2009-02-01,266462336.6931281,0.0,2353847981.1704655,116955942.71373327,485777440.07376343,0.0
2009-03-01,43101301.88424288,0.0,2152996354.432487,413783502.5153409,230229620.15820864,0.0
2009-04-01,348420923.00863284,0.0,2342598025.88554,214704502.51313707,736792772.8951753,774279.3499489315
2009-05-01,70149695.19930597,0.0,2258490629.4483337,315252396.22311395,253247423.4244359,2013126.2014567466
2009-06-01,303565384.8392822,0.0,2385715216.19766,273804937.8140234,672843642.7770197,3097117.399795726
2009-07-01,41771392.79158941,0.0,2210917854.264458,366375236.1276083,137166950.4622489,4026252.402913493
2009-08-01,14880088.999945141,0.0,2095398238.5051007,275541359.97767043,90405520.40601541,3251973.115759179
2009-09-01,33593259.582219385,0.0,2061830903.2898493,204056849.91050974,143978247.27039248,1548558.699897863
2009-10-01,132438274.25706355,0.0,2159948477.1260343,150965358.24900392,364494780.7469703,774279.3499489315
2009-11-01,8800264.608079676,0.0,2098254797.0373242,151181693.2688158,68794222.19044586,0.0
2009-12-01,391192403.91229194,0.0,2402301442.715143,54084733.285309836,749323782.875416,0.0
2010-01-01,498713552.8896631,0.0,2569481768.7068906,49916475.98334908,715810354.8647612,0.0
2010-02-01,152448203.9502105,0.0,2584906807.817413,69541991.17366275,237415234.23439676,0.0
2010-03-01,323556491.11791694,0.0,2607530304.606543,117336398.78218822,463430578.052402,0.0
2010-04-01,265733793.8175923,0.0,2594384881.3353715,197934725.51578826,436687159.8990642,823800.2030042381
2010-05-01,375311391.5608605,0.0,2592219302.1130133,306340328.2054987,649025546.2771493,2141880.4447615994
2010-06-01,32591799.32275339,0.0,2369219679.5316963,471508829.299937,213416129.09396592,3295200.8120169523
2010-07-01,25683752.035215974,0.0,2048464848.1506574,566155751.6463604,144415892.71997866,4283760.889523199
2010-08-01,14225943.787396675,0.0,1898246248.690387,363842151.77928644,98105578.58589359,3459960.666035677
2010-09-01,2636155.7539057103,0.0,1736406176.4011416,318838369.5316,33839793.72088853,1647600.4060084762
2010-10-01,94542088.89417386,0.0,1930876788.1201718,210250264.2277805,487789143.8546027,823800.2030042381
2010-11-01,313498064.81111443,0.0,2272663469.5198784,104780069.8741726,759850601.0030059,0.0
2010-12-01,998339530.9692216,6478834.221380358,2642452033.9171386,68729047.01243922,1443335976.600302,0.0
2011-01-01,109243874.52133673,0.0,2644305685.636914,66419152.101866655,177516678.3429791,0.0
2011-02-01,177937924.81019968,0.0,2643299442.229656,141162684.7660393,318094366.16897875,0.0
2011-03-01,256811229.5834636,61794.92073926535,2628793406.790484,194483667.72311413,430833937.92721653,0.0
2011-04-01,622245403.7542499,0.0,2660930107.957981,235381816.2016548,874115316.9805443,695559.2928780542
2011-05-01,1194111705.4118266,2902792.934604323,2695770093.4914694,365594088.9872707,1580374610.9749365,1808454.0845881547
2011-06-01,10031730.78838762,0.0,2259583774.051006,611017781.4957576,109424125.48448905,2782237.171512217
2011-07-01,43768749.62297065,0.0,1958011570.798796,686518103.5702505,284672204.10985905,3616908.1691763094
2011-08-01,19070449.317027144,0.0,1700076616.3472672,593477980.3526353,127874122.9421525,2921349.04030121
2011-09-01,14522307.885957768,0.0,1595305656.015295,342745803.2935529,100421397.31165507,1391118.5857561084
2011-10-01,61262064.78733313,0.0,1671086071.9136844,170934917.0425884,277894463.59300727,695559.2928780542
2011-11-01,67220662.88661312,0.0,1768967089.5219896,108827130.51163928,262907986.9651189,0.0
