Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,462748548.8267073,6299393.888522076,655269058.6499689,11134204.048734788,486982044.50242853,0.0
2005-02-01,327877779.74288833,1900568.1676945984,656703395.0998586,26573251.098896515,357787088.4996824,0.0
2005-03-01,263333442.9937359,4370607.495939438,656907033.1865228,65912865.688861385,333820888.6685476,0.0
2005-04-01,64748403.02465572,274052.75856529264,637851237.7115909,96551060.95701316,133522819.62556852,8996395.78017357
2005-05-01,90506783.19408858,41193.16186494952,642470112.5131319,120834377.74738172,192611888.96735144,23390629.262329005
2005-06-01,19754167.80020066,0.0,527453430.53913975,199930170.63751477,68676335.12211862,35985583.12069428
2005-07-01,13521863.07673397,21401.989410877726,354997035.6242537,240454223.13567638,31530962.149495997,46781258.52465801
2005-08-01,11016792.780561134,0.0,250451550.955721,185838286.07675505,27464002.26526897,37784864.250693955
2005-09-01,3687978.1221686387,0.0,246743391.34450215,101920584.38733295,75477668.41571884,17992791.56034714
2005-10-01,11903892.835658006,0.0,310853126.92207396,70399254.00102822,137388159.27812433,8996395.78017357
2005-11-01,17577425.388959408,0.0,473907111.1239775,41848853.47180932,222472488.90549174,0.0
2005-12-01,201932461.4578253,3888702.2431454277,621684245.8427646,25354110.81613979,378953543.19292635,0.0
2006-01-01,348824271.2548053,1846903.8394190827,653088324.2054057,17220890.19032006,399298384.46056706,0.0
2006-02-01,179011041.95857328,114499.03639958314,655751118.8090206,33357062.54576581,215145950.22582227,0.0
2006-03-01,387720373.9404113,6617776.3764166245,656785086.5694431,49852006.86108119,445225772.68757945,0.0
2006-04-01,144399479.61220452,1906513.4021458915,656325356.2439734,100818461.06151123,237874725.72261542,8790432.358718175
2006-05-01,5094129.451368925,0.0,586926388.4693238,128818073.52764381,41654967.57782173,22855123.749054797
2006-06-01,6933365.944101333,0.0,410923919.6334739,247897660.56828162,43417321.80489157,35161729.4348727
2006-07-01,13456767.966380658,0.0,249516923.72779658,230031093.35736072,19347840.38926035,45710247.498109594
2006-08-01,8314795.97850482,0.0,186967034.493172,168903229.91001904,39762384.475496754,36919814.75077868
2006-09-01,11590831.8170636,0.0,231503082.62743977,106177099.66448654,143510783.34173602,17580864.71743635
2006-10-01,17939837.036327984,0.0,377711720.1439001,53921551.35829904,209273720.40607816,8790432.358718175
2006-11-01,29603578.446274802,0.0,523691962.9538098,26506717.91512692,202090834.19938952,0.0
2006-12-01,92742657.04625815,0.0,615667576.6314648,19919657.711434815,204639450.78765807,0.0
2007-01-01,68997064.34619758,0.0,635025346.9582223,19167293.727906343,107523075.75065649,0.0
2007-02-01,248475029.6222839,528390.3308512608,652341515.4080641,29610984.325085994,295932439.08631086,0.0
2007-03-01,132626868.7246582,0.0,653511103.3089716,53884935.28234202,187681711.86560792,0.0
2007-04-01,11639425.22149608,0.0,626582754.0683761,105011313.5721244,80547545.75229412,9167943.523449594
2007-05-01,5162717.8468123535,0.0,575830048.6809475,164780248.66462633,95246714.05559842,23836652.55773255
2007-06-01,8749962.117471639,0.0,481210152.0770137,187658013.55974495,64874880.52806997,36671774.09379838
2007-07-01,16684924.491442427,0.0,327869114.5476348,230864507.42010194,40482566.44921772,47673305.1154651
2007-08-01,14323504.062739074,0.0,241488760.5002659,199494022.82403535,60852806.75314746,38505362.06363138
2007-09-01,11582975.298822591,0.0,290438431.2298744,115431977.0601701,155924542.47548795,18335887.04689919
2007-10-01,15800694.204765487,0.0,371401558.0934125,81487818.30151598,169001945.15510198,9167943.523449594
2007-11-01,5558370.944613184,0.0,407486338.69659567,27659699.593375962,69203259.91811018,0.0
2007-12-01,315705851.9710558,5721094.779225722,645673058.4578838,9383941.814418362,569002202.6960595,0.0
2008-01-01,523650592.9333723,21880124.761568062,654280753.4789947,9963443.145570582,564103794.3699496,0.0
2008-02-01,455344741.04771376,940782.2949753494,656530908.345573,17843654.59841448,476381530.6524972,0.0
2008-03-01,171357356.69536316,0.0,656699153.8109235,52559310.898872495,224084840.79692876,0.0
2008-04-01,38014565.51974358,0.0,641664073.7978288,99291207.94876735,113549225.85855699,8718600.93935091
2008-05-01,67173418.67990173,0.0,647147795.6105846,126408373.63787426,176397749.94758472,22668361.97665357
2008-06-01,14952803.791316878,0.0,555454873.1902981,174829060.93914446,63205446.55863604,34874403.75740364
2008-07-01,13962396.058623796,0.0,336094696.19452614,289021340.4209012,37333244.425099075,45336723.95330714
2008-08-01,9677298.536467645,0.0,224519746.95259422,216373109.30706352,59019112.92194572,36618123.40996969
2008-09-01,7899418.3420789065,0.0,232950060.8587233,81205542.68884654,75089510.45193301,17437201.87870182
2008-10-01,6515534.846315084,0.0,267961787.66928154,44562886.99445707,77055971.98934278,8718600.93935091
2008-11-01,8718015.81590214,0.0,379009943.2584263,22264538.905571822,142030528.22422796,0.0
