Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,445500590.1653007,3168036.8381826906,663302741.4580152,11085917.815341176,463111481.5993569,0.0
2005-02-01,301210355.9769804,817992.2601573563,663614514.5898851,27561837.809749007,329917437.00577533,0.0
2005-03-01,237881271.3665383,2867634.008632924,663614514.5898851,66938072.70189021,307686370.1280947,0.0
2005-04-01,47459203.524821624,0.0,638134483.9465133,98382585.8578432,110932528.44936503,9444443.307089102
2005-05-01,85694316.26489542,0.0,642656300.7401993,120785944.15596075,186475833.35602686,24555553.520431783
2005-06-01,18370517.95738812,0.0,541950096.0965949,198334372.00780404,78155724.61849622,37777773.228356406
2005-07-01,13967849.835707847,0.0,374107150.20214075,240546463.42895705,34884996.43864537,49111107.040863566
2005-08-01,11524009.336208833,0.0,279878393.97628826,184634309.59130192,41816313.90205164,39666665.09515126
2005-09-01,3214112.1551627005,0.0,275467039.72560066,102926767.60591368,74067730.37487713,18888886.614178203
2005-10-01,14755300.409785492,0.0,341157070.28152144,70980736.2076157,141981486.15941128,9444443.307089102
2005-11-01,22116448.463691328,0.0,492066938.3327185,42277984.066815674,215294219.19973147,0.0
2005-12-01,209631337.21211419,1260735.9048124899,645404068.997201,24704273.210164692,388959245.49899256,0.0
2006-01-01,318661130.36106914,776408.1742413068,663234237.4702616,17149530.62730196,354432171.019842,0.0
2006-02-01,180713527.17923233,0.0,663614514.5898851,33708874.89098041,214805048.2582271,0.0
2006-03-01,356216745.2082526,2436496.7078651795,663614514.5898851,50969517.11436077,409646473.0102782,0.0
2006-04-01,128033368.51091675,891140.6458083646,663149563.7773567,102420743.48981175,221616491.5781127,9277700.275794335
2006-05-01,6310495.541012005,0.0,597830822.5428171,127731363.20715293,44545739.627734296,24122020.42712402
2006-06-01,8054157.924761985,0.0,438914932.9104468,248079906.017702,60059477.64913225,37110801.10317734
2006-07-01,15597295.470916083,0.0,304858129.2428865,230142224.94949815,55788070.39018772,48244040.85424804
2006-08-01,7560880.576699399,0.0,229944086.2798828,168577816.8990039,35656287.427237414,38966339.9659384
2006-09-01,11086942.152759098,0.0,266497805.519601,106030756.00354503,134456367.41881907,18555400.55158867
2006-10-01,19382441.83492932,0.0,410654884.7205637,55140577.71697255,209404841.65089533,9277700.275794335
2006-11-01,38011643.11857707,0.0,538657781.5179752,27158681.72757648,193175276.71438026,0.0
2006-12-01,96097758.24566624,0.0,631818159.6356114,19952160.692988236,209229716.49773514,0.0
2007-01-01,65987236.73788492,0.0,650282252.4601314,19380074.385796078,103842094.08261347,0.0
2007-02-01,225869047.27475813,295351.31587431335,661033187.0532582,30612556.148823533,267551985.20199522,0.0
2007-03-01,127734153.59505518,0.0,660508890.9440941,56341441.02205489,183546350.32537115,0.0
2007-04-01,12467629.747281674,0.0,634999951.7640193,105879934.74312943,83134242.51996058,9675922.15582724
2007-05-01,5771778.1461379,0.0,591647916.6289574,166063011.02313718,103301430.39538051,25157397.099735968
