Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,411815006.5150498,2428328.128065043,654805617.8725871,33586308.42430588,463111481.5993569,0.0
2005-02-01,265305273.0364804,707049.1408632387,658562508.4740472,60145917.15531763,329917437.00577533,0.0
2005-03-01,179329334.01054224,2770452.7889858647,656640857.3132746,127522266.54529414,307686370.1280947,0.0
2005-04-01,21958723.140576318,0.0,581028281.5863833,174057065.348149,110932528.44936503,9444443.307089102
2005-05-01,29334348.309027728,0.0,549793407.5632865,212951402.18764707,186475833.35602686,24555553.520431783
2005-06-01,15181595.438604617,0.0,425778011.0954376,224822186.23657253,78155724.61849622,37777773.228356406
2005-07-01,8956060.158400878,0.0,207660395.62315914,336676981.1296158,34884996.43864537,49111107.040863566
2005-08-01,9216157.756399894,0.0,141083645.11437613,242099110.2195057,41816313.90205164,39666665.09515126
2005-09-01,3818013.583232947,0.0,132274926.91784027,143209862.9264392,74067730.37487713,18888886.614178203
2005-10-01,10526477.329983283,0.0,182284557.82460487,91108412.72369412,141981486.15941128,9444443.307089102
2005-11-01,6136446.733907493,0.0,354401603.2790837,37051821.550282374,215294219.19973147,0.0
2005-12-01,116190941.6858084,667571.523251042,602333108.9315982,24149959.110611744,388959245.49899256,0.0
2006-01-01,286166331.7798973,756435.2160615457,645170607.0508025,24660602.966956872,354432171.019842,0.0
2006-02-01,154764407.823191,0.0,650508430.2785221,54706358.14398434,214805048.2582271,0.0
2006-03-01,319489885.55446696,2140263.1015639347,655576463.357817,82945684.22691764,409646473.0102782,0.0
2006-04-01,46122994.14962765,930654.4363966,621080421.8360522,218383482.7617491,221616491.5781127,9277700.275794335
2006-05-01,0.0,0.0,379951771.7274974,309874478.6151687,44545739.627734296,24122020.42712402
2006-06-01,0.0,0.0,167839997.5634649,325475879.63359225,60059477.64913225,37110801.10317734
2006-07-01,9031586.695584344,0.0,86886480.67055432,349819310.85896486,55788070.39018772,48244040.85424804
2006-08-01,7874585.238117114,0.0,75174693.94592194,257172384.08289427,35656287.427237414,38966339.9659384
2006-09-01,4944866.215959816,0.0,87797141.4465984,151612997.50956073,134456367.41881907,18555400.55158867
2006-10-01,7205438.407767484,0.0,219166783.45698175,80115909.49581957,209404841.65089533,9277700.275794335
2006-11-01,2197242.4044324555,0.0,383135576.86543185,27021200.84192942,193175276.71438026,0.0
2006-12-01,28118618.34799693,0.0,553495688.5964705,10741782.747913726,209229716.49773514,0.0
2007-01-01,44006933.210010976,0.0,594770379.4597589,18558222.683254905,103842094.08261347,0.0
2007-02-01,179668833.69262552,280829.1535213722,633252882.6159594,49119616.452564694,267551985.20199522,0.0
2007-03-01,80224878.06664525,0.0,627992428.3102797,108618788.31801564,183546350.32537115,0.0
2007-04-01,2349607.6789745917,0.0,528339781.8667083,190865387.0217726,83134242.51996058,9675922.15582724
2007-05-01,196129.68660078864,0.0,405983682.2629472,251550157.6068548,103301430.39538051,25157397.099735968
2007-06-01,3790276.8196290326,0.0,209019818.62543562,323493934.5670588,70119929.65185127,38703688.62330896
2007-07-01,8732160.853442473,0.0,108102169.77718437,336468282.1092078,39320427.84976866,50314794.199471936
2007-08-01,11586144.27331323,0.0,93590935.40734424,251575141.13490206,65255879.18079804,40638873.01919721
2007-09-01,7713481.128958262,0.0,120495785.11930153,165089461.41169414,170567879.01326263,19351844.31165448
2007-10-01,3730278.8617242672,0.0,187865212.1458093,106034118.92000784,166980570.18777904,9675922.15582724
2007-11-01,1010580.6324415505,0.0,223851066.32638156,46898495.32472155,82691051.61411542,0.0
2007-12-01,109685725.32137284,0.0,607465260.8939179,19569237.74543529,512915525.0862155,0.0
2008-01-01,487037399.1104701,10100551.229205417,648598423.6208103,9433123.320015684,547731074.3095433,0.0
2008-02-01,409928985.4069006,264876.34260530275,655725060.5310785,38062516.0673569,455400813.510728,0.0
2008-03-01,139828600.43740022,0.0,643195506.456354,86414353.9277098,213672356.97126853,0.0
2008-04-01,4530077.551765958,0.0,496938703.9967218,223383804.1261882,72385246.56768502,9198676.778183656
2008-05-01,12757073.62270382,0.0,464279893.0467798,222259132.99178022,178392724.3431888,23916558.997502204
2008-06-01,8058601.911802746,0.0,238329495.99184015,320068195.5773647,58800645.85627489,36794707.11273462
2008-07-01,7304938.841679352,0.0,92054827.17414102,385150447.34553725,43547446.43131766,47833117.99500441
2008-08-01,12022127.988609111,0.0,86585973.29387127,245114215.4800157,75488059.98183313,38634442.60778048
2008-09-01,2609057.9684139863,0.0,85626034.9849031,135037223.4759765,53378644.28783097,18397353.55636731
2008-10-01,4310267.30926976,0.0,110060748.67682889,65487442.19353725,83519122.66504505,9198676.778183656
2008-11-01,3546705.144804568,0.0,219911895.05996272,29860177.233937256,143257416.85491768,0.0
2008-12-01,58833706.29750759,0.0,589204339.5320709,11487767.912376469,439642844.09759575,0.0
2009-01-01,362566375.8245961,532238.938810005,650383270.5776144,21949128.08709019,446269050.2148654,0.0
2009-02-01,229159909.91864726,185865.85678823094,654125627.3518603,40175155.776941165,273269313.58529896,0.0
2009-03-01,205972188.9308403,181266.58196210174,653075346.7318655,104218757.09633723,309282466.2019769,0.0
2009-04-01,148070592.41878912,826588.1929712425,653760903.0442755,216995364.40976468,358968750.4403459,7591375.8662944585
2009-05-01,728582.8631091404,0.0,498024138.79251945,279767241.1141176,104954915.51471703,19737578.452415206
2009-06-01,8231849.89826544,0.0,380605317.9812078,319378264.72032166,179783135.9086031,30365503.465177834
2009-07-01,5274708.274319766,0.0,143213138.6015051,337420068.9154353,20808236.31308357,39475156.90483041
2009-08-01,461556.29225009435,0.0,81667839.45942546,312752295.125514,26366718.736687344,31883781.670725025
