Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,585051455.3192971,53506444.657922275,658735171.5628223,20605845.368096795,690326341.550678,0.0
2005-02-01,336547428.09526247,725743.9039563738,658755334.4296838,11284643.481709085,351437393.02500653,0.0
2005-03-01,173851998.08827662,0.0,638571558.6990902,86676416.01491356,242345935.84078202,0.0
2005-04-01,18787515.365917094,0.0,582085067.861467,149111739.97278565,108086504.67072076,1854570.095310233
2005-05-01,5162152.949063452,0.0,452813607.99155515,273958143.796947,139430267.16713253,4821882.389337563
2005-06-01,4018232.118623802,107292.80344303764,250434015.34830102,281536226.4918575,53941011.507619545,7418280.381240932
2005-07-01,4908861.094999982,334588.5260775601,90123404.22281854,301431541.29905635,27513026.53776673,9643764.778675126
2005-08-01,4051992.9106333833,144810.5882140968,54887583.55887599,242098928.09140137,31078563.338973057,7789194.781464364
2005-09-01,2814485.9560260237,0.0,55787603.81379179,177999193.9422858,114441828.68437569,3709140.190620466
2005-10-01,1717640.5357670789,0.0,74051373.68195386,97490619.43035829,102632580.28953809,1854570.095310233
2005-11-01,3280341.3066155654,0.0,253355450.4021071,61745557.80829149,245416412.55060288,0.0
2005-12-01,150294147.66263387,158559.8081276188,539708307.4899474,38096983.62110922,477930940.74060786,0.0
2006-01-01,315292429.5390856,533082.1049754354,583924158.7658836,17572783.66036054,380834514.1933956,0.0
2006-02-01,189015238.7392707,0.0,567509097.7799753,43880809.35846466,213333486.53057367,0.0
2006-03-01,351221696.93117857,1205868.4886178733,590289380.684636,88238604.19111313,466057978.1257152,0.0
2006-04-01,73740286.48320289,0.0,557058845.7978926,172029572.59614614,204785327.76632157,1710594.6226373059
2006-05-01,1430505.9008366072,0.0,316314051.8894288,305071681.91963655,36710949.742804684,4447546.043184705
2006-06-01,3216234.301038224,36385.036013689576,130919105.95650505,302030443.93377256,51935240.62406408,6842378.4905492235
2006-07-01,5325875.90377127,257491.65242080326,84407544.17694096,270855390.9775075,92537978.79030323,8895092.08636941
2006-08-01,4085201.359031307,90147.59052555254,60849996.9129596,251413492.78066015,63626450.86988514,7184497.589668253
2006-09-01,3619686.4055450647,0.0,70187389.02739492,152046994.0932823,126269591.49354805,3421189.2452746117
2006-10-01,11073615.120057663,0.0,244399993.91132864,103302864.72071767,287291661.9217028,1710594.6226373059
2006-11-01,14184250.36820959,0.0,455160531.3774596,60398880.08237841,286216387.0768322,0.0
2006-12-01,53822078.65026902,0.0,570713071.4042923,20056472.041734554,190561175.2676524,0.0
2007-01-01,88366002.79829611,0.0,595553419.5780917,19270869.076798502,133526213.77669188,0.0
2007-02-01,216616389.87429553,0.0,601179955.871335,60972073.05668208,285585443.25630146,0.0
2007-03-01,111563069.622066,0.0,573524376.2428443,123331231.92078209,204125069.7625722,0.0
2007-04-01,2490644.8135608756,0.0,473724489.53539103,227067439.89530325,111657377.06605838,1945760.6046228842
2007-05-01,2436146.9713069308,0.0,332178787.7807187,264135891.84131038,90079030.64443631,5058977.589008937
2007-06-01,3819377.35710488,112182.66677354042,181625053.28534928,243514720.66026405,27792032.618014786,7783042.418491537
2007-07-01,5665434.453513833,575610.5786451667,86529759.29990107,248468241.27002087,46353513.37267943,10117955.178017873
2007-08-01,5121127.86058895,240233.24401060172,62981853.07314252,232587209.16504905,91083902.80570023,8172194.693697002
2007-09-01,3872753.557769921,0.0,85754210.67162624,178521033.23847124,180097852.29824919,3891521.2092457684
2007-10-01,3428971.0672245896,0.0,149524118.44987568,99356660.5839927,159333428.94472665,1945760.6046228842
2007-11-01,1893873.8970416407,0.0,185776802.79002586,51373076.74217404,84463249.72596349,0.0
2007-12-01,112279972.89479512,223998.09982104797,574369744.5373504,19472276.856657334,523622574.93025947,0.0
2008-01-01,528469566.32116234,45958334.219797924,652205782.9039581,0.0,657425085.1446398,0.0
2008-02-01,593394577.0416583,10836051.836889235,661276748.9148729,3507329.828509313,621378768.631205,0.0
2008-03-01,211601653.71267125,0.0,659572932.5371845,45228315.89220678,256947695.16714576,0.0
2008-04-01,8710383.64680398,0.0,566501871.4631995,182365168.7404027,92187643.8701268,1750649.7678794805
2008-05-01,6215880.145888798,0.0,472615642.06519496,224643462.97253513,128012709.95882241,4551689.472300676
2008-06-01,3684659.469593142,66292.44740152296,281938572.3364275,254907911.0161016,39433258.064337395,7002599.071517922
2008-07-01,5083450.391221336,352041.46752795164,123453491.81571136,268486047.3109062,30432316.900502298,9103378.944601351
2008-08-01,5171563.868738495,148902.33234961098,94255526.52743855,217581437.46578994,93607777.66884752,7352728.875451962
2008-09-01,2465662.125200745,0.0,83973869.40798685,165854449.71048874,75302512.0688159,3501299.535758961
2008-10-01,2019431.3495074802,0.0,99592375.98749207,78511340.06937684,79097227.2051201,1750649.7678794805
2008-11-01,1531043.1791556738,0.0,167775789.8138833,43577971.28793742,111392896.30139665,0.0
2008-12-01,68446942.5007366,926.3552329698553,535386969.64385456,27593057.151530854,467454809.68407416,0.0
2009-01-01,284607909.8061283,3505.7677292626327,616147077.3751281,7097251.5187701,375675636.920516,0.0
2009-02-01,283067672.75267935,0.0,625113796.9963337,34877692.094226375,329312084.5153681,0.0
2009-03-01,234051490.9910487,1324.9870969916321,603579572.0204062,92728012.41674583,304959232.0687736,0.0
2009-04-01,209257737.0466787,172644.8387357107,609314032.112106,198309748.69296923,409529632.0013988,1714776.0622339789
2009-05-01,3372157.0890041688,0.0,470264537.21067584,244343618.99659917,94364286.19594635,4458417.625542236
2009-06-01,6517284.678605881,133018.8042330718,390376638.152383,285294578.79114556,196614798.06505436,6859104.2489359155
2009-07-01,4456513.449468141,204887.5273230113,167612310.78087634,304255838.7318696,25278885.52461781,8916835.251084471
2009-08-01,3721089.373892718,52572.87226020721,96423766.21594386,245682803.37017584,47933564.64699375,7202059.282881805
2009-09-01,3071644.169621322,0.0,103613481.62777764,174150227.6961621,141432506.0768879,3429552.1244679578
2009-10-01,2218435.606831347,0.0,119318601.62078564,93405139.30142729,87867858.34330758,1714776.0622339789
2009-11-01,542611.364430141,0.0,134096798.43896796,65583947.56714382,65791266.80881223,0.0
2009-12-01,27809318.834333323,949.3428308980465,470615730.80992115,41319094.51517676,407986086.7241172,0.0
2010-01-01,215886986.953591,1820.5344641705294,632103315.5326906,927766.7846208329,380869262.89588356,0.0
2010-02-01,139597666.3301427,0.0,636936945.6850979,4086866.279732841,149630546.38415372,0.0
2010-03-01,149290843.34158966,0.0,625822159.6001364,73236229.91754061,213085947.68131444,0.0
2010-04-01,241135620.50880745,186979.90760208774,601150352.0050792,187145780.2563958,400418381.5435505,1585719.0092144632
2010-05-01,7588500.403304635,0.0,525960473.5955465,226213152.11280888,147770171.11134952,4122869.457078094
2010-06-01,3609695.2864564634,0.0,384151334.8111914,255077804.64085555,96032594.04727764,6342876.036857853
2010-07-01,4891698.498949631,95068.4483441256,221316505.29359385,285683070.44122565,86690253.16486028,8245738.914156188
2010-08-01,5403580.675652645,24399.09537271639,186363038.82990322,241507165.0881975,167189226.89332083,6660019.661987396
2010-09-01,1689768.8962253793,0.0,142936241.93183765,127016213.79426733,18499308.66200423,3171438.0184289264
2010-10-01,21226286.1172169,6930.539467465543,379176562.29978114,92246492.31498669,349942495.8342234,1585719.0092144632
2010-11-01,108554729.64194605,90858.62079360097,571576434.8562701,57009547.20017531,360006115.98375714,0.0
2010-12-01,654513962.4077034,316071271.3589091,660166797.6454225,14298810.844814226,1082228323.9368267,0.0
2011-01-01,153732876.42405778,0.0,658337991.9360669,5132214.454971324,158342306.98946956,0.0
2011-02-01,388134444.4547029,0.0,661352010.4304719,0.0,394475817.372364,0.0
2011-03-01,378254581.3641327,552688.1182935699,657468121.8936095,21338908.30510732,398994812.067479,0.0
2011-04-01,261117308.8782517,1510991.9823381496,646936663.9368756,136180866.90736035,387869483.207026,1763943.577074363
2011-05-01,104760722.71287099,0.0,646024864.5217186,216234440.09458345,315413957.8764363,4586253.390878913
2011-06-01,3357309.845343454,36757.18201383117,427175916.80207294,299904866.4887045,70039074.08238132,7055774.308297452
2011-07-01,7366946.006217726,292822.80214447685,313992675.2962551,338967448.1104091,214375054.87388173,9172506.781757826
2011-08-01,3185547.7043931857,37019.24181092837,138652587.9600838,303469121.8143058,36248445.15964432,7408563.063468565
2011-09-01,1666995.9934102816,0.0,101405937.697183,195584237.25390893,54537187.502023384,3527887.154148726
2011-10-01,6649232.130480897,0.0,228920849.41634807,103356379.58577313,235949121.84433272,1763943.577074363
2011-11-01,10659919.452161742,0.0,404245310.6435214,64667298.87100128,251519488.83918902,0.0
2011-12-01,13927071.219621275,0.0,470780375.9725136,21800871.70142236,102700909.4302839,0.0
2012-01-01,160222077.69182014,0.0,604723428.3631004,30741123.784301486,327351774.5328599,0.0
2012-02-01,240807489.54901662,0.0,631336553.0918113,25966031.690342393,295395343.43740374,0.0
2012-03-01,226010301.94035727,0.0,620533033.9108309,139976597.022055,353872059.5201128,0.0
2012-04-01,26534102.792746678,0.0,567280404.6016519,178574264.71947592,143970720.1504159,2241329.5235374696
2012-05-01,2698773.804690534,0.0,386275352.9693192,231115749.57125837,30360649.173610304,5827456.994031346
2012-06-01,4831457.567747522,206818.66241536895,197356168.43564546,243186496.18766263,4393.779426191955,8965318.094149878
2012-07-01,7579822.980919578,1371706.1334947327,150941973.86968794,254719797.5945229,156453893.09279224,11654913.988062693
2012-08-01,6077953.476311042,388720.42373343976,108424856.27261353,242391868.81897447,110982442.38115242,9413584.350496737
2012-09-01,5717130.253351223,0.0,118442025.82800259,157888970.70847505,140289730.4699501,4482659.047074939
2012-10-01,2178774.7278963565,0.0,125027828.68730003,98381352.63504148,78625189.10853884,2241329.5235374696
2012-11-01,6058120.064991325,0.0,284286576.15399027,56845797.63655425,220864384.81682283,0.0
2012-12-01,192593388.20435232,353701.9474022327,586664346.1721028,17755553.73181325,516571324.69130975,0.0
2013-01-01,156692595.95357296,0.0,619360190.4815557,5763833.591378432,197119962.50937337,0.0
2013-02-01,121733882.12748957,0.0,609768312.5211543,36725364.99712383,149722694.00827727,0.0
2013-03-01,137661828.00444117,0.0,608891443.5393684,78953989.31104217,216004889.03893843,0.0
2013-04-01,212581016.46444774,27804.099190140063,632289862.8115973,168290885.372909,402268381.57124376,1501918.289267324
2013-05-01,2081968.0416957315,0.0,486216970.29724014,234979080.1586471,78655585.46031709,3904987.4896609094
2013-06-01,2369394.9671372217,0.0,257880944.58668151,253874825.89009282,0.0,6007673.157069296
2013-07-01,4663002.6379464315,134071.49389505014,155832706.92914787,270342975.6373763,113287189.81632254,7809974.979321819
2013-08-01,3523184.2338521313,0.0,106015831.6673168,257032702.89084584,121793946.36569692,6308056.83923934
2013-09-01,6802689.943720402,0.0,207990620.8270612,170586280.40671453,275199544.19203806,3003836.578534648
2013-10-01,6121226.40866742,0.0,278567767.68771434,108657960.37370417,181670947.32007608,1501918.289267324
2013-11-01,16238606.308869742,0.0,404355073.6795111,59341695.103970185,201422938.25258642,0.0
2013-12-01,61672986.06140493,0.0,554913472.1166317,32426080.890040584,245936911.1022467,0.0
2014-01-01,194596350.9168915,0.0,610464587.8300525,49655523.886912666,301971701.03023475,0.0
2014-02-01,415383227.9004745,3679576.0700830105,625337584.6529269,59800243.03663222,497622678.09745,0.0
2014-03-01,165806410.39810377,794903.3574007822,594327926.508166,107063881.46790455,240473812.29482794,0.0
2014-04-01,78612541.68079485,0.0,548054977.5843993,198610135.62046292,219713421.16327128,1602886.8912407882
2014-05-01,2265253.325597091,0.0,429674399.2827356,250060492.21651518,112905861.88816936,4167505.836235594
2014-06-01,2698418.7482277555,0.0,218713097.37843508,268982445.953016,13747722.923899425,6411547.564963153
2014-07-01,4345466.275043801,174772.17711811853,91833874.34985274,305390017.06312174,75214332.22518744,8335011.672471188
2014-08-01,6670809.179142179,165389.9829068529,133674441.54716715,272883207.2535808,294722464.1024021,6732124.994060047
2014-09-01,13617912.480984818,0.0,263229840.67182326,197385517.08644038,337211688.59075487,3205773.7824815763
2014-10-01,507299.7621815656,0.0,185154252.753888,114412581.47646928,16247107.541680112,1602886.8912407882
2014-11-01,13543474.756219773,0.0,355445932.16169363,55014591.243394926,240477442.80314702,0.0
2014-12-01,162436810.57754287,262.2365170457604,592197726.635291,31676436.536099523,434985898.73103935,0.0
2015-01-01,115879221.95766073,0.0,612631538.2915316,43986183.54001142,181594920.16623163,0.0
2015-02-01,180770984.06718287,0.0,612204696.7993652,79837338.35310996,261705093.93237817,0.0
2015-03-01,87400214.23665303,0.0,596956057.0018635,171730169.51147532,241471040.96809435,0.0
2015-04-01,10319730.151064936,0.0,531926096.3695176,206470993.92688805,139874659.33810773,1752372.9650877055
2015-05-01,37206225.893108256,0.0,566151956.7108936,265225244.54550862,328353077.53865767,4556169.602466152
2015-06-01,3207220.7892444874,22811.482441234857,299332691.3578681,333519091.3991068,39135272.3968399,7009491.860350822
2015-07-01,5557742.809767594,231799.5853142324,178147803.95813808,294504651.84547704,123093394.46758148,9112339.204932304
2015-08-01,7589989.236788002,168363.27153617653,170370118.72562164,207289173.1648731,147147219.3998149,7359966.331637058
2015-09-01,4191033.8791063544,0.0,167955499.509826,129613240.31494206,90377109.06650141,3504745.930175411
2015-10-01,7413047.832973575,0.0,199501524.73734903,86807195.52176028,114737465.51819415,1752372.9650877055
2015-11-01,28236033.429154295,0.0,362373096.0288738,60695887.89592096,252398313.7745211,0.0
2015-12-01,186003837.16135344,117243.96824849622,624760809.3680627,28250420.486701738,480628091.8325937,0.0
2016-01-01,324739971.4499498,0.0,644583000.9080989,10194776.212872054,357939410.9824989,0.0
2016-02-01,164766244.07682824,0.0,633287755.4837071,54565800.83774164,209653233.90627915,0.0
2016-03-01,238568301.8939508,102525.20332171884,622357325.5849975,124509199.59495458,353515358.8368918,0.0
