Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,597263212.1923023,43570415.28757647,661424138.3421443,41214451.953335546,690326341.550678,0.0
2005-02-01,294789102.8729904,167853.65073691294,661526611.3248295,53603617.306501254,351437393.02500653,0.0
2005-03-01,147201927.990493,0.0,655679908.4587073,99231606.71247758,242345935.84078202,0.0
2005-04-01,26141304.868750088,0.0,638856002.0286471,101046262.74084249,108086504.67072076,1854570.095310233
2005-05-01,27435715.67532524,0.0,622222026.7996917,136701905.17192286,139430267.16713253,4821882.389337563
2005-06-01,5196054.726122613,88277.68406803763,468360180.40481186,217261719.78728274,53941011.507619545,7418280.381240932
2005-07-01,5137615.538813598,319576.5943275601,245841882.71741652,279149825.2651649,27513026.53776673,9643764.778675126
2005-08-01,5008920.966980902,143809.79983909678,172116076.29801282,194379503.3694562,31078563.338973057,7789194.781464364
2005-09-01,6015230.2592118345,0.0,177616450.21001896,148965029.44170207,114441828.68437569,3709140.190620466
2005-10-01,2260157.394249213,0.0,183016017.99245107,110084452.99663086,102632580.28953809,1854570.095310233
2005-11-01,7454305.039938486,0.0,351759546.0704426,68214078.19639607,245416412.55060288,0.0
2005-12-01,165950616.05198973,328775.7007781025,602219711.405226,57644956.2318872,477930940.74060786,0.0
2006-01-01,281290538.1993094,103600.43330692634,631180309.1842062,66842898.474194944,380834514.1933956,0.0
2006-02-01,129544151.12328707,0.0,619875821.6842449,93458610.84885891,213333486.53057367,0.0
2006-03-01,359846357.69828016,328419.74302645336,646965525.5120804,75647361.85314566,466057978.1257152,0.0
2006-04-01,106935488.22181663,0.0,639178054.9551555,108795179.74174035,204785327.76632157,1710594.6226373059
2006-05-01,4819483.467469146,0.0,514823784.7386261,167881650.93017396,36710949.742804684,4447546.043184705
2006-06-01,4327546.4356693635,43390.61238868958,335995527.43091047,245838014.37182736,51935240.62406408,6842378.4905492235
2006-07-01,16844030.749549706,332499.98297056387,237844986.97738677,224989357.6851841,92537978.79030323,8895092.08636941
2006-08-01,9006281.090361947,109162.70783805255,203289013.1906181,183638647.776447,63626450.86988514,7184497.589668253
2006-09-01,10894660.9760033,0.0,218356582.49680448,118279210.59794953,126269591.49354805,3421189.2452746117
2006-10-01,46936251.26700956,0.0,380244047.785783,79509165.66678251,287291661.9217028,1710594.6226373059
2006-11-01,44699571.311437264,0.0,557456399.936252,63320087.86382837,286216387.0768322,0.0
2006-12-01,77325596.6801637,0.0,617460122.8787311,52459847.384665936,190561175.2676524,0.0
2007-01-01,68962025.42373334,0.0,633290260.9290513,47786630.76436383,133526213.77669188,0.0
2007-02-01,205632824.43911803,0.0,646857291.3129774,63857143.78550956,285585443.25630146,0.0
2007-03-01,117374273.31947516,0.0,638193147.9799,96410212.522274,204125069.7625722,0.0
2007-04-01,20194781.37353425,0.0,619798702.2628398,115767590.44533162,111657377.06605838,1945760.6046228842
2007-05-01,5573599.488887107,0.0,544953637.1640189,172442895.44206646,90079030.64443631,5058977.589008937
2007-06-01,4037720.3940790244,91165.9685860404,349683565.0814065,245369964.11227474,27792032.618014786,7783042.418491537
2007-07-01,6455892.268265611,585618.6482076666,219330409.5407709,221025568.54133335,46353513.37267943,10117955.178017873
2007-08-01,6840160.350974945,224220.5248231017,183015453.24990714,197977580.74564636,91083902.80570023,8172194.693697002
2007-09-01,11017991.272394089,0.0,222419006.57060322,140760749.06371278,180097852.29824919,3891521.2092457684
2007-10-01,10246184.229699476,0.0,279038184.97121733,98344887.64206143,159333428.94472665,1945760.6046228842
2007-11-01,3970185.273599564,0.0,295982022.04355353,73298725.42344265,84463249.72596349,0.0
2007-12-01,177697835.5626731,347583.54229136044,620095931.3943163,18430878.31793237,523622574.93025947,0.0
2008-01-01,541366532.4557955,32365866.20938351,659007123.777434,39834518.2475222,657425085.1446398,0.0
2008-02-01,543661950.4491367,4723007.767685009,661547089.6833378,66102174.682746604,621378768.631205,0.0
2008-03-01,184275522.16317958,0.0,661499377.800147,70949384.80076367,256947695.16714576,0.0
2008-04-01,20838786.624994855,0.0,627397980.4840888,109045340.77996881,92187643.8701268,1750649.7678794805
2008-05-01,16255254.935599633,0.0,602930761.7427728,144976015.01109752,128012709.95882241,4551689.472300676
2008-06-01,4066086.391770789,39147.944310851904,431582532.6657639,222303566.99843842,39433258.064337395,7002599.071517922
2008-07-01,5331507.484420302,308602.240679281,237395100.42648193,255167780.66339234,30432316.900502298,9103378.944601351
2008-08-01,7242350.522324565,101864.95697461098,182746793.68432227,219407188.84191006,93607777.66884752,7352728.875451962
2008-09-01,5173847.388082871,0.0,171946622.13438687,138759807.32964456,75302512.0688159,3501299.535758961
2008-10-01,3407960.5149321337,0.0,181956035.72104752,81628917.79109,79097227.2051201,1750649.7678794805
2008-11-01,2331629.9460181207,0.0,235409116.94927716,60364385.65295106,111392896.30139665,0.0
2008-12-01,90740444.89281434,0.0,574802728.2279547,33624133.50204097,467454809.68407416,0.0
2009-01-01,239465347.3856436,0.0,638944842.5297891,69639049.12703729,375675636.920516,0.0
2009-02-01,251215544.61358708,0.0,652407955.6637021,62145929.16246587,329312084.5153681,0.0
2009-03-01,227851361.27657816,0.0,646621588.2743484,81182661.3090029,304959232.0687736,0.0
2009-04-01,279802382.36949927,224416.13419060418,653844804.6614596,124483521.67348748,409529632.0013988,1714776.0622339789
2009-05-01,13731327.818567036,0.0,594463559.5990045,149576720.77068856,94364286.19594635,4458417.625542236
