Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,554917432.2615473,24485953.615989123,653216925.4132484,26161408.751019616,635677463.1570222,0.0
2005-02-01,259410548.1487783,0.0,652218648.0623382,41999515.997694105,303547923.49397206,0.0
2005-03-01,153143748.92125538,0.0,637324176.8219806,94419534.05828236,235202410.26385516,0.0
2005-04-01,4944204.457149759,0.0,590872664.4920704,129564847.00385097,87475446.11083175,914778.2246043171
2005-05-01,7176581.509964757,0.0,552497362.7900672,151587465.4948157,117509855.28873037,2378423.477317922
2005-06-01,6139840.064798185,0.0,451001566.3901805,197301009.22520012,92848167.03857821,3659112.8984172684
2005-07-01,3877672.708078536,0.0,270612303.08661574,242595511.44840798,42240559.72107341,4756846.954635844
2005-08-01,5282497.947734809,0.0,207278994.3076963,182566926.49581185,81857529.02680169,3842068.9255245444
2005-09-01,8696009.0153927,0.0,226856524.85492525,97229435.23710586,109034638.40362439,1829556.4492086342
2005-10-01,4692884.905832624,0.0,256929190.85517502,82228514.73160782,110020844.89755912,914778.2246043171
2005-11-01,21185605.582494665,0.0,421144656.1907155,49632427.358086295,235415358.25586614,0.0
2005-12-01,204869586.6469673,1073997.509500988,589508311.1155764,44294660.461827435,422656493.0221989,0.0
2006-01-01,283040262.9354748,0.0,611936097.8337408,32877539.7436157,342571014.22952944,0.0
2006-02-01,148911167.38575864,0.0,607849745.8343393,50153488.89583527,197450978.33736074,0.0
2006-03-01,349667183.6982025,0.0,625928648.9263396,56580161.59760782,428295924.62675387,0.0
2006-04-01,89139316.58135833,0.0,611600690.9834797,106513065.16119213,182610316.92762682,843791.4324308316
2006-05-01,2102817.1468521603,0.0,503965679.5520069,141724699.42830583,28643566.60697669,2193857.7197287856
2006-06-01,2442834.692845476,0.0,344192881.3778953,231184827.49890965,56467697.93238231,3375165.7297233264
2006-07-01,4375497.983637455,0.0,231688535.54386252,227576200.0566197,86761846.61206488,4387715.439457571
2006-08-01,3092636.7987950006,0.0,195747394.58246338,177478556.49790585,94892431.71723743,3543924.0328774597
2006-09-01,4430623.3773678355,0.0,219637937.9146014,111192609.46309803,130049946.39934865,1687582.8648616632
2006-10-01,31760312.444364283,0.0,389386860.63720274,70395849.71787451,271916872.31909114,843791.4324308316
2006-11-01,60190530.12931731,0.0,553083903.7364806,51764090.11250982,276268104.9842867,0.0
2006-12-01,95188836.68601143,0.0,606547329.7766539,35995651.66528628,186065042.49247947,0.0
2007-01-01,79806211.9812442,0.0,618064882.125364,31329333.380243145,123665738.70826605,0.0
2007-02-01,211366336.17902288,0.0,625326577.4710613,45639622.611466676,267153627.96316388,0.0
2007-03-01,113064000.56765099,0.0,610424282.184553,85927827.9636549,184495006.5829314,0.0
2007-04-01,5444878.165357419,0.0,561891727.622866,133978954.49245489,84865958.05015759,981943.8985728794
2007-05-01,2200987.657814974,0.0,481859672.6172794,170412419.15948236,81868205.75025411,2553054.119973101
2007-06-01,2604829.82549715,0.0,357585263.0896602,184991083.81045488,42660864.47079494,3927775.5942915175
2007-07-01,4246826.298946375,0.0,236632138.67845088,215097920.4907843,65910350.50711857,5106108.239946202
2007-08-01,3264379.3289112737,0.0,182982045.5101144,217249965.8068,119689683.02320562,4124164.4829535335
2007-09-01,3841841.395246317,0.0,201976457.55704433,165606956.33790597,171693707.19897893,1963887.7971457588
2007-10-01,5599396.448913819,0.0,272894673.2741737,91056042.5452157,160295361.32346997,981943.8985728794
