Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,595577244.3846481,19772162.34364508,652727321.2144854,5883573.114298039,631943502.744869,0.0
2005-02-01,313582113.4453062,31616.492693711603,652851182.9051924,3803703.8579215687,322060768.69824004,0.0
2005-03-01,219681124.30030966,0.0,652047052.6095082,8005488.684180393,229428945.33633795,0.0
2005-04-01,81554005.47811249,0.0,647193021.8214169,14128445.545043139,91229952.55527984,914778.2246043171
2005-05-01,101886339.47363925,0.0,630986454.6328275,30729610.51517647,115494942.40391374,2378423.477317922
2005-06-01,67308266.00550686,0.0,603760522.9771805,45671916.915968634,77835678.60634102,3659112.8984172684
2005-07-01,47202701.18925696,0.0,587158419.5860922,53489757.640909806,53145769.915621996,4756846.954635844
2005-08-01,58963311.15037604,0.0,581746053.0582837,43787893.5995451,67526807.74901839,3842068.9255245444
2005-09-01,94783678.45893754,0.0,581530028.6833128,32225097.257913727,110383475.08721057,1829556.4492086342
2005-10-01,97921051.9667328,0.0,585874759.6755712,12492241.845905883,113950832.70299482,914778.2246043171
2005-11-01,192842227.24262333,0.0,600067476.553883,11911349.385960786,221400963.95972705,0.0
2005-12-01,393570246.9046222,4778996.933649907,623039579.5571105,9217609.20916863,435724613.1887629,0.0
2006-01-01,322991563.98364353,46294.169381548214,631112507.9193135,7475683.54450196,344186655.7094827,0.0
2006-02-01,203519075.91817296,0.0,632252508.375193,4257809.006894117,212174095.15323088,0.0
2006-03-01,401171573.9227243,151675.95805786684,636215958.2688102,10846780.655568628,420290624.6668376,0.0
2006-04-01,166498484.73413533,0.0,630694214.374553,16048107.539552942,178413973.01322222,843791.4324308316
2006-05-01,28725100.234026153,0.0,615742501.2700163,26357877.843388237,33901198.71719154,2193857.7197287856
2006-06-01,59443001.02526771,0.0,595202268.7785261,46062233.03083136,68985253.18888554,3375165.7297233264
2006-07-01,78748229.52293234,0.0,586229455.3992076,48026515.77876863,90066785.9810539,4387715.439457571
2006-08-01,71752918.82154576,0.0,582770303.4704012,42773851.773200005,83887825.686024,3543924.0328774597
2006-09-01,115137172.64312069,0.0,583629927.7107935,31079266.137505874,134573231.9749665,1687582.8648616632
2006-10-01,247330117.44635543,0.0,596918388.8158412,23946520.18458039,287245961.78141505,843791.4324308316
2006-11-01,233352597.18510208,0.0,614135814.8792855,9034043.376290198,262298534.45523983,0.0
2006-12-01,167178062.7090234,0.0,626646376.225496,4463574.057898039,186153031.67727426,0.0
2007-01-01,116823379.1888767,0.0,634141312.1784546,3444781.8410274507,129065560.13091096,0.0
2007-02-01,261188059.8541243,0.0,638361101.0785463,5446719.479537254,275139434.28532904,0.0
2007-03-01,180086212.34050518,0.0,637375208.0398703,8996620.41287059,189701109.4827278,0.0
2007-04-01,87957155.66288657,0.0,631606854.9756734,16961694.798384313,98847883.379387,981943.8985728794
2007-05-01,77063089.28726062,0.0,613690225.5856678,37187270.03220392,88963440.39680365,2553054.119973101
2007-06-01,43631968.04655967,0.0,595070704.2063522,48364831.65127059,51801203.55172232,3927775.5942915175
2007-07-01,61020393.21172347,0.0,588111375.223807,45355747.28447844,69435454.69343533,5106108.239946202
2007-08-01,94679930.65762453,0.0,584726176.8494275,44223709.46504314,109791748.5835963,4124164.4829535335
2007-09-01,162856852.8559644,0.0,586983552.6355315,32671453.384054895,190056860.2062105,1963887.7971457588
2007-10-01,148322590.1761276,0.0,591545200.0347914,21193894.869686276,172449500.3281132,981943.8985728794
2007-11-01,79116896.3355064,0.0,592736912.0543258,10657416.648721572,90159514.0297677,0.0
2007-12-01,450549312.1948705,1002075.0659174589,635189281.2029037,3614750.311545098,502826459.5203864,0.0
2008-01-01,591878197.2846274,33860777.61253896,651483578.6163992,855911.802847059,650680811.1348529,0.0
2008-02-01,557216281.5303979,1463340.7538995252,653471355.0657316,5112712.626823529,572104686.8942825,0.0
2008-03-01,238831054.9441675,0.0,653756037.3043841,3176753.6125803925,244613564.98083618,0.0
2008-04-01,77347074.08088347,0.0,650222795.8817734,6762372.501607843,80803137.92474777,870148.8220191732
2008-05-01,108656996.60670194,0.0,642740630.871439,21870402.000015687,122276737.4454576,2262387.0285716527
2008-06-01,44410900.92876193,0.0,612116552.0180701,42382111.679019615,51997373.398022555,3480595.2880766927
2008-07-01,48409270.08953163,0.0,590243054.9119891,50278535.327317655,55499193.10546977,4524774.057143305
2008-08-01,87354558.49229409,0.0,586259165.5911585,45025984.3189647,101733437.77635157,3654625.106005087
2008-09-01,67407316.89123726,0.0,584257741.3464979,31954760.443286277,79191710.02223572,1740297.6440383464
2008-10-01,65087372.781771466,0.0,584671613.0705233,16679300.224243138,75723650.23340888,870148.8220191732
2008-11-01,100863215.20779166,0.0,589195937.845021,12075080.45087059,116909735.58294433,0.0
2008-12-01,386212973.8105945,236992.58425311756,624155554.7168056,4804611.3670431385,430523446.31220055,0.0
2009-01-01,351176189.4544591,0.0,641874856.9959832,4645836.537113727,379032773.6591651,0.0
