Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,79228062.7019365,0.0,440886393.2915635,13656519.868200704,106008014.86234406,0
2005-02-01,97336673.45746416,0.0,448367473.68819404,13936870.914327955,118754624.7684226,0
2005-03-01,87401692.79032804,0.0,451847706.3900013,22824564.19383822,113706489.68597344,0
2005-04-01,111505205.46678212,284.4502094466761,450467894.743211,51131578.3405093,161207040.86588734,0
2005-05-01,52690282.04279803,0.0,448331845.11622316,41496995.422464736,91811052.12263978,0
2005-06-01,18753912.35255654,0.0,432178523.4185252,39039639.113559216,40946618.41305452,0
2005-07-01,14718019.924391821,0.0,407093286.1523608,46742738.1868542,27803241.117017478,0
2005-08-01,6497466.475959405,0.0,390701886.148913,41944430.41593975,21591832.09342902,0
2005-09-01,13117261.353917396,0.0,388668762.8133167,24106317.401408322,28690860.07790546,0
2005-10-01,25199394.45410866,0.0,396037038.2613366,14695638.048770828,44836238.903759584,0
2005-11-01,738672.8893315637,0.0,380720459.65152043,24082998.988262966,5556523.4206237495,0
2005-12-01,3128654.2540988703,0.0,382292137.3005388,19873853.085859314,24395824.944905773,0
2006-01-01,20616240.065441027,0.0,406909489.63705325,17074190.179559298,62307782.58151493,0
2006-02-01,24957727.541871525,0.0,414900880.60594994,11995345.810295342,44944464.32106342,0
2006-03-01,113299310.34396245,0.0,435342706.8435395,20081604.879201476,152438237.93030614,0
2006-04-01,23487828.6026996,0.0,426106998.72529966,33446611.04649168,43244795.73696933,0
2006-05-01,10265965.29415275,0.0,409959419.7349632,33353189.982821062,24667472.562966455,0
2006-06-01,956277.1051529575,0.0,385636272.77962625,37323885.81642529,9276251.682162121,0
2006-07-01,19548977.37033783,0.0,387197440.6126685,55232545.151380196,70029944.89067799,0
2006-08-01,1376888.9344268464,0.0,368817494.19048095,40655762.83807009,9206377.635959927,0
2006-09-01,5354913.579878096,0.0,367209887.4909805,23358206.026951224,22828200.173845693,0
2006-10-01,63812457.71030852,0.0,397437941.80588835,23665444.20415245,117407589.13106698,0
2006-11-01,2091084.189473202,0.0,386540207.05736375,22745620.16346787,12566035.974841386,0
2006-12-01,71070003.57346588,0.0,420897403.29198515,17367753.779184047,122794953.58727202,0
2007-01-01,54829701.12168198,0.0,436086397.0083243,10649973.229428425,80668668.06744936,0
2007-02-01,54681518.90447608,0.0,442396201.09120816,19682487.061988454,80673810.04934865,0
2007-03-01,80882579.47129382,0.0,441158378.67997766,31464540.155014195,111100100.58001362,0
2007-04-01,5155245.024283595,0.0,423171445.93398756,48258053.45096473,34084287.94910367,0
2007-05-01,7399376.658910453,0.0,413500158.5668901,27770313.706809103,23059493.365532465,0
2007-06-01,12745579.116890822,0.0,398441164.03238964,36424395.96763556,26650661.369352512,0
2007-07-01,6545956.052914927,0.0,379628510.95326924,43014301.743406154,18529472.41869492,0
2007-08-01,10191844.912934635,0.0,372270665.15324163,45278337.776680395,36175047.988430515,0
2007-09-01,23339248.430372708,0.0,375673631.5820972,38654101.23152449,55906989.37665791,0
2007-10-01,2234729.609328157,0.0,361785715.98887193,33795060.01298948,12718802.739536779,0
2007-11-01,160253.86673081483,0.0,350878248.38324803,22989903.491717696,6921064.586347487,0
2007-12-01,86894611.11255825,0.0,415493880.25454307,14186505.953435779,165696748.937289,0
2008-01-01,32786863.990022987,0.0,427498237.0574213,15326921.01752746,60118141.81042901,0
2008-02-01,59206946.00582344,0.0,441218818.66229504,18700214.11783064,91627741.7285279,0
2008-03-01,38002207.04185383,0.0,439941651.4985212,16075252.121672548,52800291.99975222,0
2008-04-01,41736.33711653404,0.0,400537989.02265316,53271612.00209899,1187624.4567562891,0
2008-05-01,7155132.198050322,0.0,398974456.18184465,43001415.25244954,37351324.263559744,0
2008-06-01,12668991.501829226,0.0,396974956.73710495,30632682.453047067,35496980.883662224,0
2008-07-01,1495843.633890994,0.0,372580014.8851514,38782316.61977646,8668615.735360544,0
2008-08-01,12569981.242439443,0.0,372765206.07076645,33635418.65949043,42320780.34299789,0
2008-09-01,1758350.5644249562,0.0,362441723.32073236,26793073.404385775,12458839.658420393,0
2008-10-01,12434822.326538172,0.0,370278798.1660588,36005874.96113184,52262550.88222453,0
2008-11-01,23033418.439669,0.0,380220121.0970051,20600625.057047565,51766453.578104876,0
2008-12-01,20945813.33820603,0.0,392959235.2274076,21024564.046622034,53872000.76976533,0
2009-01-01,73011102.38999495,0.0,420364834.931157,13413781.02536345,113830483.1191077,0
2009-02-01,81712502.22501807,62910.692269006635,426509441.89217,13163523.430643875,101083543.30894418,0
2009-03-01,2351513.0683350316,0.0,404099952.11919475,43958650.597103946,15581471.870048735,0
2009-04-01,65360120.21390499,0.0,420267892.82396805,55715091.480033405,136588715.202106,0
2009-05-01,6625820.145829494,0.0,404458507.2009485,42605335.708604634,26861736.272866987,0
2009-06-01,55634805.191154465,0.0,405736591.3095508,54123741.77405974,103687755.36357647,0
2009-07-01,11441151.168924224,0.0,394103527.01526946,43392280.48310764,32917366.710997507,0
2009-08-01,1152684.7463639728,0.0,367802461.9697895,38234796.24135119,6001612.894842901,0
2009-09-01,3833012.324094152,0.0,364688980.78431416,24267144.924204662,19034605.15021162,0
2009-10-01,33589399.22848206,0.0,381609697.07403374,16839893.742772315,66292621.33473916,0
2009-11-01,757451.0908871255,0.0,356243624.3424471,35507116.65065813,8390039.576818425,0
2009-12-01,55367217.325486705,0.0,405512237.5738529,14946015.70100611,119581846.25789875,0
2010-01-01,76926865.61956127,0.0,430609563.28112894,19878856.93230686,121903048.25914446,0
2010-02-01,59905227.469049394,0.0,437227649.1325315,13691757.872585036,80215071.19303739,0
2010-03-01,64383386.106563166,0.0,420992820.82543147,46306216.03304879,93761547.88176659,0
2010-04-01,25658786.448197648,0.0,402370271.006132,71966147.4665897,60287605.39348435,0
2010-05-01,40112999.778776556,0.0,409116658.96915567,53925780.42877942,98007214.512274,0
2010-06-01,13929340.576350199,0.0,401946778.2111409,37965493.04143409,38196801.85060022,0
2010-07-01,16964500.234554723,0.0,394954425.0178511,26045954.172297,31028728.773747876,0
2010-08-01,6624876.48631722,0.0,371351118.7603442,43755066.31317966,19540629.051716276,0
2010-09-01,1810899.5509395692,0.0,358495168.24178886,23408399.172670588,4977574.437117421,0
2010-10-01,43374436.22032057,0.0,395902205.13716245,22650342.875017382,103045185.23752496,0
2010-11-01,71815209.14320537,0.0,419208771.6148994,15876477.193730135,110987083.94364768,0
2010-12-01,233846841.59840748,1279255.700226531,447629972.47431517,10465508.619515175,274012806.7775649,0
2011-01-01,32995518.792626455,0.0,449484746.4026352,6224676.839304905,41074969.560251534,0
2011-02-01,59137465.30844127,0.0,448313885.90839666,27578689.430311754,85545294.24451455,0
2011-03-01,20644463.360074837,0.0,424307281.70957506,57854981.13771641,54492840.29896885,0
2011-04-01,83423822.45910951,0.0,422300660.3170415,61003927.46256069,139358527.01515877,0
2011-05-01,133134903.07340366,274964.06586492737,425091527.111055,116658818.03553657,249898690.3864538,0
2011-06-01,1083471.5701157474,0.0,387470207.8549382,67095243.12878014,19843224.688230053,0
2011-07-01,25406421.14243625,0.0,395589427.4418213,64102073.16995585,86639140.67870592,0
2011-08-01,6916458.219919275,0.0,378758180.2339714,39687663.31711784,20906520.341380548,0
2011-09-01,24164866.640858598,0.0,387219938.930094,16970475.832459312,48087498.373812914,0
2011-10-01,36371036.46129931,0.0,401253581.1254846,14802843.98682402,65042877.797114104,0
2011-11-01,25444067.002486296,0.0,406552071.703077,16800491.235176727,47308405.63680801,0
2011-12-01,32102439.04194481,0.0,414501896.42780983,12157395.4712213,52209659.23789913,0
2012-01-01,15310709.188923681,0.0,414302698.9998754,25661346.769124985,40769649.20614786,0
2012-02-01,53782269.667489365,0.0,424824552.9819663,65479676.22597241,129770758.34660569,0
2012-03-01,13241639.57809121,0.0,399990555.5024127,81458525.53447983,69628842.21382278,0
2012-04-01,5186609.806248409,0.0,397660901.08670783,21094250.119219344,23427305.827752292,0
2012-05-01,0.0,0.0,374172505.64314723,26165464.16783354,304655.89939740946,0
2012-06-01,0.0,0.0,354691831.51619875,28263046.79465439,0.0,0
2012-07-01,6668402.795415764,0.0,370428454.6792575,26518191.428509083,46670017.730522156,0
2012-08-01,10729586.487565711,0.0,366829490.2138542,37657349.79552377,39746684.2757025,0
2012-09-01,37535492.504359506,0.0,386979681.8064806,25249977.535915926,82217169.66162975,0
2012-10-01,9673918.66037083,0.0,380430727.5239502,34537416.781129666,33664208.18777312,0
2012-11-01,34861675.98604666,0.0,394787676.6057394,32426223.587116174,80585051.05780262,0
2012-12-01,145072548.35997105,13854.935340964808,430883562.49655175,17462030.715594612,198644319.90171918,0
2013-01-01,99401667.7068603,0.0,441821546.94598913,8970223.103604157,119309875.25990203,0
2013-02-01,39609523.89622027,0.0,445675969.5491786,20237119.211771805,63701065.71118138,0
2013-03-01,15625399.869022595,0.0,427813895.7304883,46447097.39472351,44210423.44505574,0
2013-04-01,34560770.72776307,0.0,417491829.3223802,72173544.9837386,91712156.81462851,0
2013-05-01,19387299.126999274,0.0,414522472.6351292,44623762.29013157,53337720.87758693,0
2013-06-01,36042.569093563565,0.0,389053589.2754352,38811111.959844366,126735.53803275886,0
2013-07-01,25275414.780968826,0.0,390131420.3118741,35997859.36581279,57316404.69856104,0
2013-08-01,13594887.69358522,0.0,381087163.5004706,49538767.82397059,50668350.41795731,0
2013-09-01,57767284.50820379,0.0,403027850.68367857,48771718.41670758,126753643.36470589,0
2013-10-01,7326467.989081038,0.0,397194926.1282408,33569415.8300076,33606499.80860327,0
2013-11-01,51234794.8368545,0.0,414763692.5722182,24457703.283256106,93028645.13832076,0
2013-12-01,63480449.840256214,0.0,429481763.83867645,12952774.507893369,91151295.61460778,0
2014-01-01,66082402.52714436,0.0,437586648.21084183,13017771.68425465,87205058.58356443,0
2014-02-01,36624521.67384437,0.0,439349539.5158247,12116046.689219829,50503459.668046996,0
2014-03-01,20025926.347025238,0.0,428654402.72621423,31238260.186774764,40271043.79538991,0
2014-04-01,3085344.2767230743,0.0,402931162.8162395,60341204.0658419,28190178.26307708,0
2014-05-01,4182479.564710471,0.0,387104510.367525,61605472.49139045,30939072.929861814,0
2014-06-01,749505.5720341684,0.0,356719499.08131063,48642557.45597578,9072045.116032222,0
2014-07-01,6720722.141308762,0.0,355568785.71446806,36195710.59985445,33634851.54413703,0
2014-08-01,76771255.88323191,0.0,391988817.2142923,38525458.16116616,151432869.8122272,0
2014-09-01,88711137.99326655,0.0,414107589.2218876,32056319.105878413,142701261.65532953,0
2014-10-01,396954.70524437143,0.0,380107196.3600868,39145451.065989204,3543937.615112561,0
2014-11-01,807228.0677968821,0.0,368130823.5800357,28226326.877743863,14474288.569123022,0
2014-12-01,8482236.23165339,0.0,389213547.6735994,18681040.2504843,47691114.07364863,0
2015-01-01,25630677.579118807,0.0,408486676.6383013,10611982.70323995,55515789.247060776,0
2015-02-01,11047304.304418806,0.0,406112856.02529514,18955935.11941348,27553291.965329617,0
2015-03-01,10399097.387676518,0.0,403162888.79958117,24489044.175394647,31061524.294478726,0
2015-04-01,9852028.916502727,0.0,397134555.9830246,34833812.12218801,35612512.471556626,0
