Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,22878508.723657753,0.0,381308960.088513,49925594.97607841,117126929.33214265,0
2005-02-01,21877733.14877203,0.0,400124424.03096175,66319692.00491765,107012889.09613839,0
2005-03-01,7019294.543072863,0.0,389479608.56513727,95436403.39301962,90146408.93444544,0
2005-04-01,18029206.823166765,0.0,391856522.14540243,119337063.10374904,136823593.19962135,0
2005-05-01,3529620.857432935,0.0,362734524.74278194,142339245.05474508,109818748.72464047,0
2005-06-01,1927821.4615736194,0.0,322711025.5931134,101920122.06098825,51529339.841948844,0
2005-07-01,456641.6173765818,0.0,287795394.92633784,72399747.72081569,14010824.92633484,0
2005-08-01,2753034.1322926595,0.0,281978148.4210368,74094542.46138826,46578472.93250267,0
2005-09-01,1741570.0746627299,0.0,271532318.15949875,61809084.241568655,31904758.835219927,0
2005-10-01,7310585.94362012,0.0,286853582.4807812,49196818.72152941,67314710.45856364,0
2005-11-01,391906.0106499357,0.0,278191019.78656024,34249418.326917656,19583967.084006757,0
2005-12-01,1247625.6411179407,0.0,282371385.59633887,28019270.93613333,31495510.00750219,0
2006-01-01,3495680.3512591873,0.0,297792344.8189638,45690729.532737255,63356413.23875548,0
2006-02-01,570752.5009830524,0.0,285346343.6350755,64971086.290219635,46972186.12449354,0
2006-03-01,17547780.434259955,0.0,325582241.7198778,83622364.17083135,141080414.13487077,0
2006-04-01,2845967.4049901585,0.0,299130224.79377675,102255129.91518432,69294127.01731205,0
2006-05-01,357423.17939067085,0.0,257933594.58156207,93858303.08539608,23685618.305595968,0
2006-06-01,311130.66967114096,0.0,236545221.54337496,68934190.1336392,12091544.173132686,0
2006-07-01,4528178.882728275,0.0,249681745.77426845,64597358.334611766,57463872.56611721,0
2006-08-01,536556.9524429755,0.0,236104445.1436734,68881334.8304314,17053014.509433754,0
2006-09-01,3911304.283278473,0.0,244661035.47313595,39622242.45465882,39543477.75607616,0
2006-10-01,13924563.048995156,0.0,270759687.1978426,64514329.98074509,102843969.94976291,0
2006-11-01,723815.2359972978,0.0,262686769.1006264,37421266.59219608,23051539.65156637,0
2006-12-01,27297909.426052604,0.0,321755748.7796493,36147193.314643145,122514082.41971856,0
2007-01-01,7834739.243869545,0.0,332016065.5216456,54509366.58367844,72604422.56954424,0
2007-02-01,3498503.9756917055,0.0,325470163.2843736,75151877.58359216,71503530.27270073,0
2007-03-01,12812110.82729325,0.0,333247560.87048846,89265994.01611766,107031021.30454777,0
2007-04-01,145215.33627035332,0.0,283432018.12519586,103828627.62374903,39215956.77037004,0
2007-05-01,303046.2683754965,0.0,250648596.92426717,81680665.00719213,19873908.18051768,0
2007-06-01,621102.6180197736,0.0,244334660.7088169,58476878.68535687,23355317.91528106,0
2007-07-01,1411988.7614906626,0.0,246330491.43915135,52985594.678196065,29485207.859399468,0
2007-08-01,3459875.236230793,0.0,247726603.49751824,55056528.2895686,33493412.381727803,0
2007-09-01,6169264.713612748,0.0,253152296.08026132,53149930.7572,50858226.43492432,0
2007-10-01,1506631.559099342,0.0,249935697.35317165,51762618.096933335,36480835.66715706,0
2007-11-01,194079.95670782326,0.0,240823158.2673278,31821273.87985882,8028863.277574923,0
2007-12-01,42156134.95191376,0.0,341556481.6215874,18400183.912996076,161289642.21916944,0
2008-01-01,16124228.888871565,0.0,360341719.6315959,45569792.70811765,80479259.60699761,0
2008-02-01,17389780.00526095,0.0,369072567.6678128,75638742.84559217,101750739.7555274,0
2008-03-01,993018.5229217976,0.0,331961824.52800125,82978727.96483923,45877421.617265046,0
2008-04-01,0.0,0.0,274847811.87875235,68646012.5662902,3655827.0671812883,0
2008-05-01,471830.6497335151,0.0,260910019.4943506,65901801.57730194,34694262.17668981,0
2008-06-01,2389907.461632394,0.0,255883596.21451503,68506823.8584157,42246053.3865937,0
2008-07-01,3838824.1628312874,0.0,248598683.73261195,55308415.92927843,24003294.228832465,0
2008-08-01,2035059.7129687741,0.0,243329635.05997783,54477142.0879451,20557379.552975453,0
2008-09-01,3152111.0685571595,0.0,241317738.90640664,61874863.14002354,39780865.1323393,0
2008-10-01,6517711.458662877,0.0,248806045.79965794,49548848.96675295,55988148.92844294,0
2008-11-01,8535927.020815754,0.0,271938448.88457453,32030073.75557646,63123665.27507679,0
2008-12-01,9789415.827569235,0.0,284925194.5818312,34762228.07032156,56743070.94227199,0
2009-01-01,38830455.942341566,6438.618776694936,339450654.36855584,45239204.499772556,138588892.38807887,0
2009-02-01,20958232.7789053,0.0,340509591.2439127,65584604.07556079,87197631.8869479,0
2009-03-01,0.0,0.0,281761566.5497129,91392044.06741962,23479540.722623624,0
2009-04-01,8828749.239421912,0.0,304390346.51967686,95997411.42601568,122975003.67907327,0
2009-05-01,701598.8966570986,0.0,268868134.4387506,84737129.9378039,29993044.483630247,0
2009-06-01,9906984.48682898,0.0,278093534.45092964,65942417.240203924,75410931.53563431,0
2009-07-01,9673889.39400474,0.0,271027247.1183044,55694851.32552157,37795498.98921891,0
2009-08-01,2887006.891475683,0.0,263783855.2588781,53022558.24565489,20439820.76922952,0
2009-09-01,3148552.2816018104,0.0,259685850.08736247,48849983.80985882,24375470.71266531,0
2009-10-01,15806683.309096906,0.0,275266071.28803134,37617312.26483921,64648001.563988686,0
2009-11-01,501297.07369275007,0.0,261826295.70460868,36925860.47891764,13644459.334926022,0
2009-12-01,22523273.24399778,0.0,318595090.38999236,34724652.18241569,114016720.11179706,0
2010-01-01,10709154.6236493,0.0,338484063.3904686,47676313.226062745,78274440.85018823,0
2010-02-01,5667837.734114342,0.0,317627028.5652579,65105884.5814745,49189695.32528164,0
2010-03-01,964821.675195063,0.0,293487309.7252681,100847461.32057256,69854574.8658423,0
2010-04-01,357118.6192295705,0.0,255716698.0797847,95988534.54201572,41606738.844911925,0
2010-05-01,1458725.7878145329,0.0,244624579.50730282,99223505.30144313,73645021.20354986,0
2010-06-01,688701.345947387,0.0,223644157.4001246,68131999.54018039,20404690.04940995,0
2010-07-01,1644643.1834822134,0.0,219898689.14556897,48887771.6197647,21507952.053389687,0
2010-08-01,1464928.3759184298,0.0,213304138.3743512,53116537.25999999,16539396.487538062,0
2010-09-01,0.0,0.0,204417325.31565577,42241957.030023515,11598.842959593945,0
2010-10-01,6028682.415704764,0.0,230332718.67260095,46219569.75000784,76288242.89491044,0
2010-11-01,7748018.282782989,0.0,265986365.33984286,51160494.54861176,94084920.65875241,0
2010-12-01,83164512.72451521,0.0,390936352.5169983,35375710.03966274,243490209.94133344,0
2011-01-01,3821683.677318334,0.0,371508137.7048104,58003703.63772548,42397172.50285595,0
2011-02-01,16657206.04331608,0.0,378085447.67757565,72549947.79468235,95784463.81076367,0
