Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,25384563.254489247,0.0,340920141.4303037,36523328.18098823,117126929.33214265,0
2005-02-01,26667196.63653895,0.0,359062133.4808365,62203700.40906665,107012889.09613839,0
2005-03-01,9919205.994570052,0.0,347852208.01412475,92009273.75258821,90146408.93444543,0
2005-04-01,4546728.257824548,0.0,280410530.7026237,208810646.3610745,136823593.19962132,0
2005-05-01,5741028.58010369,0.0,220408000.08917868,184443608.7939294,109818748.72464047,0
2005-06-01,297730.96798063477,0.0,175819821.79774648,135598639.2503843,51529339.841948844,0
2005-07-01,63667.544596518535,0.0,168315774.11290962,52872067.49407059,14010824.92633484,0
2005-08-01,1542648.8846647143,0.0,184252862.63072038,48185754.791349016,46578472.93250267,0
2005-09-01,1550674.8001742659,0.0,189138519.51159018,40600071.713019595,31904758.835219927,0
2005-10-01,6428243.353656267,0.0,219493569.22653723,33077725.714964706,67314710.45856364,0
2005-11-01,1423548.7087674001,0.0,216185481.57275116,26562250.859482348,19583967.084006757,0
2005-12-01,2469266.8484264463,0.0,224986655.54080534,22051622.20811765,31495510.00750219,0
2006-01-01,10159075.832849048,0.0,265323831.7772921,12860161.169419609,63356413.23875548,0
2006-02-01,5810141.47797069,0.0,272093196.0865116,34903955.97050196,46972186.12449354,0
2006-03-01,22986373.990983978,0.0,282058409.5663045,119817362.70363133,141080414.13487077,0
2006-04-01,416629.2612640916,0.0,199984133.47239172,207434295.51345092,69294127.01731205,0
2006-05-01,234250.28127671435,0.0,157358693.05154225,104047041.46681571,23685618.30559597,0
2006-06-01,0.0,0.0,110935803.41462846,135354097.63629022,12091544.173132686,0
2006-07-01,0.0,0.0,113554812.26514146,94944621.97195292,57463872.56611721,0
2006-08-01,0.0,0.0,100790617.644401,66885233.72135684,17053014.509433754,0
2006-09-01,0.0,0.0,114142588.25646748,36409926.13094117,39543477.75607616,0
2006-10-01,3608943.9746520277,0.0,165538352.11250854,48757093.241874516,102843969.94976291,0
2006-11-01,339205.8630226428,0.0,165614457.76300222,23900255.461843137,23051539.651566375,0
2006-12-01,9824790.314693809,0.0,260963756.7812975,17339993.086729415,122514082.41971858,0
2007-01-01,12884311.334587049,0.0,307232016.00754106,13451852.008713722,72604422.56954424,0
2007-02-01,19109325.985497408,0.0,329679366.03097177,29946854.263772555,71503530.27270073,0
2007-03-01,20533606.384610195,0.0,344106831.3285015,72069949.62240785,107031021.30454776,0
2007-04-01,1977156.2602661317,0.0,269398406.0304692,112488316.8145569,39215956.77037004,0
2007-05-01,1587211.8226132584,0.0,203230119.5678475,104870099.07927057,19873908.18051768,0
2007-06-01,1596146.7477043811,0.0,181151090.73897713,87753887.46766272,23355317.915281065,0
2007-07-01,1368940.9127125144,0.0,172347743.32421345,78943678.80635294,29485207.859399468,0
2007-08-01,1309647.5105600848,0.0,171965960.97141942,61153914.46716077,33493412.381727803,0
2007-09-01,1149379.524848627,0.0,179935292.5348136,53658783.76328628,50858226.43492432,0
2007-10-01,1771940.1450182104,0.0,185193765.7592132,38118732.83214902,36480835.66715706,0
2007-11-01,373687.28826190036,0.0,183170473.44717628,15163584.95242353,8028863.277574923,0
2007-12-01,32116018.384416834,0.0,306603272.4185407,5740824.863388235,161289642.21916944,0
2008-01-01,24037902.913992517,0.0,347220343.6922596,15824285.41928627,80479259.60699761,0
2008-02-01,35057089.0853287,0.0,359870283.6322308,54043710.73022743,101750739.75552742,0
2008-03-01,1600080.5389769394,0.0,320499459.8282985,84461605.93974906,45877421.617265046,0
2008-04-01,0.0,0.0,215867115.14214635,124932217.12428239,3655827.0671812883,0
2008-05-01,4747.96260457174,0.0,157829707.6337525,124989476.01578042,34694262.17668982,0
2008-06-01,352191.08824882354,0.0,168963452.22985184,56544085.677952945,42246053.3865937,0
2008-07-01,992778.2558474601,0.0,157902393.4669497,78480141.88198432,24003294.228832465,0
2008-08-01,0.0,0.0,138184764.44256362,86532261.4297804,20557379.552975453,0
2008-09-01,78269.792331632,0.0,137495990.77488723,65398727.86359999,39780865.1323393,0
2008-10-01,529274.2221112482,0.0,137260893.00109553,70009990.29760787,55988148.92844294,0
2008-11-01,1627729.062124711,0.0,173649194.1047395,27253698.02276863,63123665.27507679,0
2008-12-01,5657722.929091086,0.0,215352036.7779555,9385745.307168623,56743070.94227199,0
2009-01-01,31172235.47005418,7282.139639440034,294767214.93327403,27994196.62306667,138588892.38807887,0
2009-02-01,34097287.923842855,0.0,306634700.94427764,41966326.47069803,87197631.8869479,0
2009-03-01,286655.8225377759,0.0,256673302.92828876,85232651.12552154,23479540.722623624,0
2009-04-01,197891.1762392497,0.0,203796321.6450819,207806109.14065886,122975003.67907329,0
2009-05-01,739822.0928606219,0.0,167391569.92679632,94618138.34369412,29993044.483630247,0
2009-06-01,4066250.631113558,0.0,170740571.710428,92906715.93772548,75410931.53563431,0
2009-07-01,4216804.822400068,0.0,177390606.19841516,54628029.743411765,37795498.98921891,0
2009-08-01,811614.9586228561,0.0,168145566.15859905,70060884.63345097,20439820.769229524,0
2009-09-01,559443.0052276764,0.0,167921201.62770486,43166033.6054745,24375470.71266531,0
2009-10-01,9307412.950305555,0.0,204872948.98214072,18824830.249945093,64648001.563988686,0
2009-11-01,571578.4510734761,0.0,201946015.03058758,17158642.790258817,13644459.334926022,0
2009-12-01,25719721.66575232,0.0,281872280.8175422,8370732.659090193,114016720.11179708,0
2010-01-01,25859917.485137302,0.0,318772437.6944362,15514366.488156863,78274440.85018823,0
2010-02-01,16066424.004725551,0.0,312276987.7128433,39618721.30214902,49189695.32528165,0
2010-03-01,2624512.26989281,0.0,251793977.28374475,134342189.7598431,69854574.8658423,0
2010-04-01,92235.55811422996,0.0,145979315.4336751,199537570.13778827,41606738.844911925,0
2010-05-01,170937.13576648626,0.0,86093278.70939994,217019195.70599997,73645021.20354986,0
2010-06-01,0.0,0.0,87840622.20461053,59107720.5494588,20404690.04940995,0
2010-07-01,0.0,0.0,93672270.04681745,47243523.82473725,21507952.053389687,0
2010-08-01,30285.718775142945,0.0,82395542.90257387,73111347.33408628,16539396.487538062,0
2010-09-01,0.0,0.0,72171785.2844282,45438667.24794511,11598.842959593945,0
2010-10-01,1435700.5276516476,0.0,125789462.49724272,22319046.382227447,76288242.89491044,0
2010-11-01,1932974.6650810344,0.0,207520472.59365922,10420935.897254895,94084920.65875243,0
2010-12-01,57094348.04192735,304071.9705771081,383255528.8814764,10356733.641011763,243490209.94133344,0
2011-01-01,16763200.036250511,0.0,389821310.8554075,19068190.492674507,42397172.50285596,0
2011-02-01,46869851.01693078,0.0,399937024.5202677,38798899.128972545,95784463.81076367,0
2011-03-01,16760439.138669174,0.0,370579898.3591763,97513045.80650197,84916358.7840796,0
2011-04-01,7968642.189788112,0.0,340306522.4728658,155399829.80269802,133095096.10617575,0
2011-05-01,25517060.014748022,0.0,340962710.53511345,192064325.83185884,217082563.62576246,0
2011-06-01,123482.28549689119,0.0,194444041.39077467,196886444.004596,23783225.929765612,0
2011-07-01,222722.1785430996,0.0,151047902.0778246,164708574.9885804,74649623.70563684,0
2011-08-01,416339.8734702006,0.0,160045529.21154934,49455470.6219843,42367768.56111063,0
2011-09-01,1655329.6662347973,0.0,176575492.12371552,23724132.737921566,37121500.20898041,0
2011-10-01,5985968.272770817,0.0,211873446.43477562,28931073.55495686,69207371.08937992,0
2011-11-01,4037108.8227383997,0.0,238891049.55298722,31077264.984564703,61308993.09178818,0
2011-12-01,6039754.962500117,0.0,271106638.0195694,13197817.055396078,51453160.484478354,0
2012-01-01,9115618.375327101,0.0,286401580.77213687,37651896.54101961,61543172.31212849,0
2012-02-01,54108308.499878414,0.0,350108667.8844451,26819564.897215687,144634960.5094024,0
2012-03-01,14189267.983008016,0.0,309253944.08058804,114634772.8097412,86120116.68931414,0
2012-04-01,3278502.416474788,0.0,244595737.2445908,119559909.93665098,44782424.49906958,0
2012-05-01,19663.971905940485,0.0,198631209.16183716,64840226.1714196,4466897.6722555775,0
2012-06-01,0.0,0.0,184986702.94317856,31102775.881231368,0.0,0
2012-07-01,5038426.207010573,0.0,204204313.79605713,43124759.9993098,53985875.76478935,0
2012-08-01,2731101.561848923,0.0,197256867.35349688,60284122.98190589,38553737.65479363,0
2012-09-01,5804723.389540405,0.0,204150800.6880856,61693116.292392164,65251049.43130622,0
2012-10-01,4229556.3825169,0.0,200504403.32564962,52037227.726996064,48445483.225999154,0
2012-11-01,7293351.115780394,0.0,226512037.21706742,42644368.15109804,73888579.94508788,0
2012-12-01,55978639.351962835,0.0,355221602.45032436,14160507.07580392,198848711.66102374,0
2013-01-01,78923499.55800068,0.0,410060560.00323737,7528635.205137254,141291092.31605092,0
2013-02-01,35272649.970351875,0.0,424728438.6834773,19068609.471788235,69009138.12237994,0
2013-03-01,7682116.366001911,0.0,385446262.39563257,85310607.32485491,53710547.40301219,0
2013-04-01,3383340.814043849,0.0,324002349.98352766,152346397.16900396,94282396.63851917,0
2013-05-01,37460.72931508456,0.0,259330548.893153,108989015.89312945,40597671.62506746,0
2013-06-01,0.0,0.0,213486668.76252252,57542863.22869019,0.0,0
2013-07-01,2324753.3032481447,0.0,215571768.80661893,75584525.90796863,55000866.18109213,0
2013-08-01,226862.14037453686,0.0,175432300.2429868,109229466.15317646,33279584.90260989,0
2013-09-01,4170889.7581485715,0.0,194506466.1962309,82637413.11923921,96855162.00013992,0
2013-10-01,209328.76084905388,0.0,188631672.97147423,44626719.420831375,29525911.58913763,0
2013-11-01,13212771.557010202,0.0,263961367.985197,23388923.57737255,111871562.44183616,0
2013-12-01,22319945.11094582,0.0,323026434.28641087,20035612.04614902,101420623.45830871,0
2014-01-01,21621985.05363236,0.0,356465820.07727695,22585583.002454907,77646953.8469533,0
2014-02-01,13851908.942087542,0.0,354173706.0657403,50118055.964117646,61677850.894668646,0
2014-03-01,1396607.544392276,0.0,318610564.4249002,87858563.72989807,49269961.97183327,0
2014-04-01,1455546.0204383228,0.0,267742753.52078626,108943991.46058036,50433373.38909274,0
2014-05-01,0.0,0.0,208349959.7808094,124597085.397302,45522601.588572174,0
2014-06-01,0.0,0.0,158749602.0440511,117190491.40385096,13521958.50955962,0
2014-07-01,820118.7736463493,0.0,176086795.93212253,60916778.7939843,56729909.833263785,0
2014-08-01,13265225.781860946,0.0,234132795.56464612,42610801.70761569,108776571.44777721,0
2014-09-01,29063048.55979211,0.0,292623527.9065841,41070958.55463529,127943881.795605,0
2014-10-01,0.0,0.0,258189200.92609072,38450980.01736471,126912.41191075523,0
2014-11-01,827765.3390697846,0.0,267731197.39474323,11027383.54181176,21008079.589528248,0
2014-12-01,27902579.132252052,0.0,325551366.2867057,9876873.722211763,95599621.74642622,0
2015-01-01,9378375.356634054,0.0,332360375.68952966,32065762.082133316,48253146.84159138,0
2015-02-01,4921186.166965579,0.0,316525273.27795666,60714556.47573334,47904734.21583184,0
2015-03-01,792751.1215029175,0.0,282761572.0437843,70001922.28722352,25938841.410116784,0
2015-04-01,682458.4988433713,0.0,245871591.88806325,98341446.91646273,41769444.226191185,0
2015-05-01,2310641.1618402493,0.0,215994872.76398522,199589748.31254905,148093630.51299262,0
2015-06-01,0.0,0.0,112985549.60653284,220044867.74605495,21008493.06751111,0
2015-07-01,0.0,0.0,105642054.88520208,65833106.89056471,22718091.998878047,0
2015-08-01,0.0,0.0,106210818.97317067,64599034.555003926,31359015.465108924,0
2015-09-01,0.0,0.0,89806524.68301716,74478640.65060395,8392410.404079493,0
2015-10-01,0.0,0.0,129804627.32064581,52803517.75782746,90260900.7079016,0
2015-11-01,6119.207382279862,0.0,150332425.0058524,38284181.84437648,56342083.15928456,0
2015-12-01,2149676.6768821483,0.0,231322019.7018177,22789837.799145103,105822786.98716132,0
2016-01-01,37849077.06651299,0.0,357206787.49803114,18990225.638486277,182724070.50121272,0
2016-02-01,2578982.2385928477,0.0,309710729.2730357,82281734.38679999,37364658.400397405,0
2016-03-01,8904249.724040259,0.0,297628531.5432831,77598537.44556078,73826192.66744728,0
2016-04-01,14963181.2041503,0.0,301021845.67898166,91498495.16636866,106010245.75361007,0
2016-05-01,266406.4667752627,0.0,197708759.1459578,175602925.02410194,40813213.28917709,0
2016-06-01,256025.2572371683,0.0,143066774.00361428,121945560.88412552,25736596.22632839,0
2016-07-01,188818.1578132581,0.0,129153730.02826774,47145208.4406745,6965353.531312903,0
2016-08-01,0.0,0.0,107662192.8882677,88160442.19981176,13146865.099794751,0
2016-09-01,0.0,0.0,114020014.57865119,49383474.57675295,36526079.03481246,0
2016-10-01,9490.535224655318,0.0,117935717.65361156,36991155.56385881,28583427.989393644,0
2016-11-01,1010011.9238718743,0.0,149336351.2414897,9694728.39773333,41746489.359655485,0
2016-12-01,7490299.104486553,0.0,227770533.44346467,9368344.130494118,95292825.4369556,0
2017-01-01,43391413.72983959,0.0,353938134.65660214,20233269.615137253,189792284.5581143,0
2017-02-01,38720048.09021995,0.0,373176740.5842036,37681752.00509019,95640406.02291167,0
2017-03-01,57583589.20579778,75691.86869723733,388636347.0585704,78327037.22321568,151445924.77207747,0
2017-04-01,26132.746081208148,0.0,276355784.9568038,165518054.81991374,53167476.8371395,0
2017-05-01,0.0,0.0,153463529.39103878,146551850.2723686,11380365.650022358,0
2017-06-01,0.0,0.0,107791778.29112405,89632175.28884704,477355.32316186297,0
2017-07-01,0.0,0.0,116428311.43982318,89053953.3569255,51753905.42730099,0
2017-08-01,0.0,0.0,99611272.9386577,98017767.05335686,22579726.78588881,0
2017-09-01,405360.4248699394,0.0,123696716.8979926,58090840.51258037,70196968.77409291,0
2017-10-01,0.0,0.0,103258602.54725012,41494661.85124704,255291.1633876639,0
2017-11-01,0.0,0.0,103567370.52503261,16891297.55327843,13034512.94874928,0
2017-12-01,0.0,0.0,104500504.83771177,16897272.26422745,15194268.319117282,0
2018-01-01,670750.5220022788,0.0,159223627.05680865,33285660.12229804,88679532.86339721,0
2018-02-01,1905325.7411803412,0.0,178464018.3171929,46443063.227694124,66485992.36548033,0
2018-03-01,1304905.0767953377,0.0,155571596.31464526,139107759.18322355,103620834.72438028,0
2018-04-01,0.0,0.0,82173207.72003514,195458959.34816468,44222636.17124762,0
2018-05-01,238586.54865392426,0.0,75877839.2204178,187282832.6428706,125752827.37230742,0
2018-06-01,0.0,0.0,59567960.87550745,114749353.51385102,0.0,0
