Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,78983396.17961481,0.0,438242749.68470407,16208350.896501955,105466169.62295945,0
2005-02-01,84966042.02595316,0.0,446149809.5249272,17319900.4432549,110193002.30943117,0
2005-03-01,61438139.7315192,0.0,448070127.0524502,28113596.843615696,91472054.10265794,0
2005-04-01,97272512.16683763,0.0,452379354.79338264,40836125.3424157,142417865.2501858,0
2005-05-01,46210867.075878024,0.0,451577823.6708956,52111703.65177253,97521039.60516351,0
2005-06-01,14131263.29767096,0.0,425611053.1407875,63742540.688784316,49822427.85716046,0
2005-07-01,2467032.6939208945,0.0,387543841.54996496,62679313.14509806,12771863.205501197,0
2005-08-01,10529766.192770272,0.0,374936153.9963175,46329912.92501177,30633514.016453456,0
2005-09-01,9733772.733974606,0.0,367787987.51276785,40245085.94557646,29761026.82944635,0
2005-10-01,22888941.852806214,0.0,375006049.0068475,30615809.096407834,55117096.909474485,0
2005-11-01,3859948.697389181,0.0,367861362.5549736,27319523.970494106,16861979.593524497,0
2005-12-01,12263391.790422395,0.0,373197847.5612376,20370163.87938039,36934612.92659867,0
2006-01-01,28593929.116518233,0.0,389171558.0088369,19029843.576023526,63597483.140141055,0
2006-02-01,23301821.619679186,0.0,393776656.4275276,19647788.138901956,47084592.521277905,0
2006-03-01,92983888.10791233,0.0,422204543.0102457,24617378.899121575,146029153.58975202,0
2006-04-01,33598133.29996648,0.0,418714422.1823679,35241205.71596077,65175233.94498747,0
2006-05-01,11077366.33830045,0.0,403819613.2697519,43383418.22763136,32568696.33316704,0
2006-06-01,4390437.376374628,0.0,386176846.4677758,49980294.97672941,20268346.34356281,0
2006-07-01,34721623.39522699,0.0,393972906.977427,41851367.64934901,76069686.14834839,0
2006-08-01,1444503.49214001,0.0,375430438.01564974,42320147.744611755,7514670.067271084,0
