,Date,precip_and_snowmelt_input_Upper Colorado Dolores_mean,irrigation_Upper Colorado Dolores_mean,AET_Upper Colorado Dolores_mean,soil_thickness_Upper Colorado Dolores_mean,soil_porosity_Upper Colorado Dolores_mean,field_capacity_Upper Colorado Dolores_mean,wilting_point_Upper Colorado Dolores_mean,Geo_K_Upper Colorado Dolores_mean,Runoff_Upper Colorado Dolores_mean,Recharge_Upper Colorado Dolores_mean,Soil_Water_End_Of_Previous_Timestep_Upper Colorado Dolores_mean,Soil_Saturation_Percent_End_Of_Timestep_Upper Colorado Dolores_mean,precip_and_snowmelt_input_m3_Upper Colorado Dolores_sum,irrigation_m3_Upper Colorado Dolores_sum,AET_m3_Upper Colorado Dolores_sum,Runoff_m3_Upper Colorado Dolores_sum,Recharge_m3_Upper Colorado Dolores_sum,Soil_Water_End_Of_Previous_Timestep_m3_Upper Colorado Dolores_sum,Upper Colorado Dolores_area_m2
0,2005-01-01,64.25541609933038,0.0,17.51705227077978,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,2.875695983175233,26.081580775635352,63.210008351141724,52.30618793016076,727756869.0047462,0.0,198399883.33554524,32569251.292989932,295400113.0764208,715911520.7970103,11354975180.424055
1,2005-02-01,40.32732034068942,0.0,27.042979024626504,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.7456106052233807,16.104739696665693,59.92076739362312,46.343125713824584,456737207.60967517,0.0,306289011.6660625,8444050.18948859,182397160.1678818,678653489.0282887,11354975180.424055
2,2005-03-01,32.01976151170977,0.0,39.298729555530734,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.30109058613053125,5.858481743399918,48.380177922166105,34.31335430130827,362655036.2069009,0.0,445094282.3182043,3410046.676738652,66352093.90968263,547948977.7210561,11354975180.424055
3,2005-04-01,21.609244911656447,0.050582298083492974,54.35807160687009,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.06869181988371038,1.0258031611018077,27.84733950231913,15.676174536144492,244742436.5115035,572911.6970616867,615650794.4118583,777930.0566329208,11617995.005457332,315399324.36992884,11354975180.424055
4,2005-05-01,12.314975128868694,0.1315139687512992,62.45917067173354,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.1948423877438881,11.348093914642567,6.100378337779239,139476610.57175153,1489570.3413936603,707398389.1784859,0.0,2206758.581512518,128533240.24718075,11354975180.424055
5,2005-06-01,31.64437911286511,0.2023291923339719,58.78289929585336,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.3285612622568086,9.849057499786868,6.2882328002159955,358393799.11010075,2291646.7882467466,665759677.0993569,0.0,3721354.440945742,111555685.42320858,11354975180.424055
6,2005-07-01,13.441433564952758,0.2630279375025984,66.95864535598527,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.15230993632152612,7.101234728856764,4.393195570267023,152233409.1679974,2979140.6827873206,758356630.3438206,0.0,1725135.9998689794,80433557.99365146,11354975180.424055
7,2005-08-01,37.18149581591418,0.2124456389944048,54.29041391900452,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.6989087605601666,9.818657864238622,7.281680387188391,421120940.3950425,2406228.9809089797,614882004.3374668,0.0,7916287.83064046,111213541.9664754,11354975180.424055
8,2005-09-01,48.84487015358012,0.10116459616698595,46.18822696620843,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.039525606973230626,1.9131267197550172,16.210001432124038,13.475955520993885,553208574.144168,1145823.3941233733,523120432.82709014,447612.42184545076,21668457.13693369,183599736.6182183,11354975180.424055
9,2005-10-01,37.21574664891274,0.050582298083492974,36.986781416489706,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.06789458048092295,2.0703232431020795,18.72234545164952,15.542700909416856,421493887.8853783,572911.6970616867,418907201.8442507,768932.9486743563,23447811.75334204,212051181.44915557,11354975180.424055
10,2005-11-01,10.264176504808237,0.0,21.75179762303939,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0018935402116183509,0.31405959694093316,14.636689258824937,10.934731582522586,116250476.34547074,0.0,246358654.8564313,21446.35589489492,3556975.325380029,165778727.11339763,11354975180.424055
11,2005-12-01,19.520126138339318,0.0,16.630699303304656,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.011284367023552304,0.9827959484253251,18.71261998656999,14.878226843295103,221075595.34072104,0.0,188359626.23988235,127807.45280760713,11130279.7715392,211936208.6973323,11354975180.424055
12,2006-01-01,11.89037184619662,0.0,20.863678700495534,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.5357490092495485,16.627095821337335,11.550699404263419,134668583.9132809,0.0,236302827.89457262,0.0,6067619.778869543,188315290.6079745,11354975180.433405
13,2006-02-01,2.7983061670404057,0.0,28.99616258708693,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.1042372857584888,10.94415137670702,6.260528903927135,31691641.44699457,0.0,328407185.48548985,0.0,1180542.701305538,123952424.42164037,11354975180.433405
14,2006-03-01,45.140439154339404,0.0,36.12521143027459,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.13245438400770626,2.5127983844687214,20.91500016870993,15.425308545266688,511251427.3073362,0.0,409152326.17796886,1500053.3604148668,28458893.298520345,236878922.35400596,11354975180.433405
15,2006-04-01,10.26348324951707,0.053962939332101,49.08615178272048,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.029438797711071704,0.4235992504224266,10.205540888455541,6.082009205878233,116239472.93074298,611201.1088357555,555940291.8202586,333391.53248701495,4797300.205593719,115588789.89037277,11354975180.433405
16,2006-05-01,1.2130101511431588,0.1403036407242811,56.91793897395779,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.047341164949665414,4.855734367928742,2.78994605493284,13737648.220737355,1589122.8655364073,644637987.0830355,0.0,536211.3340890614,54999599.999592304,11354975180.433405
17,2006-06-01,8.651022043041923,0.215851757328404,52.44376886107077,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.08592092226639163,4.52872965229102,2.6145425555148902,97979019.87180167,2444804.435343022,593961846.4935141,0.0,973175.0886928762,51296189.47374103,11354975180.433405
18,2006-07-01,45.00475507013168,0.2806072814485622,53.892932454081446,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,1.1099385563028772,11.844440876192417,10.029198009266436,509714329.52149594,3178245.7310728147,610375493.9828784,0.0,12571448.19386488,134155403.9161365,11354975180.433405
19,2006-08-01,38.1399902280538,0.22664434326498478,51.52626206177119,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.03398766470121583,1.31374856207511,12.749790908503076,10.170978167374214,431966843.6803952,2567044.6352462173,583571611.7886351,384911.36538167915,14879801.575724518,144409502.8654332,11354975180.433405
20,2006-09-01,48.350137468941135,0.107925878664202,47.55114190976494,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.17047466593100655,2.4611016417504583,17.049078355108485,14.74738823131136,547606187.1681715,1222402.217671511,538556027.2765807,1930646.1415860348,27874707.99084537,193103501.77128324,11354975180.433405
21,2006-10-01,113.48504402876031,0.053962939332101,33.647129391602405,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,7.129192838162545,25.490939754837363,64.32082333859864,57.50693834561944,1285334930.61968,611201.1088357555,381086202.8309095,80744671.63161126,288719177.09871244,728499581.9385647,11354975180.433405
22,2006-11-01,13.850542905998546,0.0,22.235483029693377,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0023603698509749088,4.994497286060306,50.939025558992554,38.38357226343758,156867039.4531969,0.0,251837386.1014434,26734.55002386601,56568026.11552821,576934474.6247665,11354975180.433405
23,2006-12-01,14.047098063316396,0.0,15.23321783838159,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.008226241477877217,1.946935239621397,48.08055587691436,33.715958953470924,159093203.74130425,0.0,172532587.14599207,93178.50739145419,22049613.999495994,544555704.1518856,11354975180.433405
24,2007-01-01,19.496825025281016,0.0,19.853522596028466,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.08647256864976527,5.2362741453595225,44.004650187483584,28.937586499850482,220819098.41120076,0.0,224862989.10210994,979406.4740481463,59302058.305036865,498392496.87135917,11354975180.433405
25,2007-02-01,14.209612887452236,0.0,27.170023471554725,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.006046141942088816,1.1737100939630194,34.21078861610517,21.407504589180338,160935843.18304485,0.0,307727323.4066278,68471.97183426096,13292705.10278097,387467772.103897,11354975180.433405
26,2007-03-01,17.089442368888136,0.0,44.68425915576914,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.1002064813189971,0.5101686099625448,21.167997662750057,12.321868098620891,193550976.94327527,0.0,506089778.30070597,1134828.6944309345,5777791.054137504,239747448.1313447,11354975180.433405
27,2007-04-01,31.25719979091113,0.046780829883573107,57.93281174322866,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.031327326466222036,0.38091847794237954,14.468038324647488,8.543985749366387,354020338.11788553,529854.1991299209,656140783.6351689,354778.93770664354,4314330.242516813,163867977.4001125,11354975180.433405
28,2007-05-01,20.10273377883011,0.12163015653184506,62.078178905405935,290.2113938307999,0.4617217873741756,59.72792066876248,30.877659128871755,15380.403881987282,0.0,0.03708273589169848,8.353596628194097,4.915665919573089,227683161.42730674,1377620.9045347325,703087334.0981326,0.0,420054.8888098089,94616882.78777285,11354975180.433405
