Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,608543688.8200896,14558620.280335048,1458507414.8374069,18578998.554813456,706265411.0901039,0.0
2005-02-01,309260301.49871945,633945.4290540599,1467995292.7364194,27772372.120779347,347286982.98847175,0.0
2005-03-01,255907396.40232962,8679053.640919654,1468535988.197368,108303443.30980107,373442429.2609567,0.0
2005-04-01,219338028.1867701,379215.1336505086,1459582789.477884,204146593.83665708,400128487.7722189,14869602.765134377
2005-05-01,164912863.92974913,3335671.453461382,1461213472.5907562,259459641.8766038,390736512.9774028,38660966.62297442
2005-06-01,46436438.818096794,0.0,1373270813.332024,346923041.1805927,245630996.1099257,59478411.06053751
2005-07-01,4510613.009552964,0.0,975892104.8699743,483931201.30937564,9677825.89404347,77321933.24594884
2005-08-01,10497968.7474726,0.0,824323607.7905233,301989908.04779613,78344912.98809142,62452331.32217027
2005-09-01,4202957.968536127,0.0,757859067.6467276,198877444.8542746,79645216.12066232,29739205.530268755
2005-10-01,7531842.975439471,0.0,799803699.2697797,104479253.27099484,132774757.35746321,14869602.765134377
2005-11-01,80355356.86569573,1812971.7834722744,1205597851.9002476,54651287.86428397,542693389.4523118,0.0
2005-12-01,502379393.2514096,41415151.22493776,1415415578.9077818,32792953.6256604,786629157.974874,0.0
2006-01-01,618998463.3729321,12903928.310248177,1463173698.848117,27732607.20903877,707661241.4459717,0.0
2006-02-01,298473982.61461365,1205012.6046995055,1470003939.0164115,49158948.86074559,355784148.6981546,0.0
2006-03-01,502685108.6388035,14596695.482049843,1474111009.1352046,75237938.34520222,596768077.388836,0.0
2006-04-01,138448623.19173798,1617940.07692456,1438328171.0601366,177687771.77679682,266025761.5308272,15897704.094760086
2006-05-01,16795139.594135012,0.0,1324527793.4651735,272878458.66826046,134398274.78098205,41334030.28570754
2006-06-01,12291634.346795022,0.0,1101030859.9831252,403366338.8945508,126636605.108351,63590816.379040346
2006-07-01,17113336.638883572,0.0,892941201.2418042,383300420.5550485,92593723.71313985,82668060.57141508
2006-08-01,18626094.486033674,0.0,789683770.5026141,333568109.4325063,137122144.85698074,66770356.294260114
2006-09-01,43528338.220872946,0.0,944234500.2894868,212485599.24746558,378137533.3978222,31795408.189520173
2006-10-01,58112302.408934,72055.71605961841,1111492893.498172,131234038.64932117,340606196.3933151,15897704.094760086
2006-11-01,231603763.79398212,4809253.784226812,1339044880.6481311,58966368.839437515,523080161.8898819,0.0
2006-12-01,210061324.427757,278.0577489953156,1403701616.7245543,33729893.02775576,308560065.1287522,0.0
2007-01-01,205203373.15250218,0.0,1435789875.960159,19519791.92253412,256928896.6520146,0.0
2007-02-01,424432933.37237835,1895329.3721650317,1461013553.6246393,60960156.537057236,512700939.61627626,0.0
2007-03-01,191864860.30759013,278.5343774000537,1463402758.4622896,126080125.33724914,320399341.79654175,0.0
2007-04-01,45270780.16029533,0.0,1392762479.4385703,207077990.40942225,164754852.35893923,16841378.040208753
2007-05-01,16739763.848538276,0.0,1274555822.9231236,345146303.9179032,199564112.80518386,43787581.72209182
2007-06-01,8881144.247693608,0.0,1060371961.2478256,331974947.4257043,56330328.937900715,67365512.16083501
2007-07-01,19905430.33823816,0.0,855385728.9378049,402985928.61542106,118978361.26291627,87575163.44418363
2007-08-01,19776245.022706285,0.0,722067991.0471847,379573080.2500222,153387037.3335909,70733786.9133401
2007-09-01,19477217.181651935,0.0,762598497.2322093,247779507.9468569,261490985.64371747,33682756.08041751
2007-10-01,37198968.97528564,0.0,924871228.9463344,130808848.59043656,312721466.7701104,16841378.040208753
2007-11-01,19368350.015477464,0.0,973180082.8827895,46821778.70195499,113725552.4206612,0.0
2007-12-01,340442078.4179639,11340224.569100698,1309552267.3475935,18612181.39168866,707018467.0659436,0.0
2008-01-01,783622401.270999,44453684.995435186,1457966922.129063,17094044.036479343,993942813.1828067,0.0
2008-02-01,644321759.6213133,7430569.044812173,1475093229.1523201,16636386.941509316,685775915.7230957,0.0
2008-03-01,303972199.5929886,551740.5480371683,1476220075.8255036,72748500.82524781,378434145.5165543,0.0
2008-04-01,85394240.11053164,21006.154746957003,1456794118.0254605,139371543.25852162,189927157.7162455,15349626.299148863
2008-05-01,126659532.46979122,0.0,1455684957.0030222,198377265.0706934,283837146.17158204,39909027.49720988
2008-06-01,8061976.919905448,0.0,1219766524.8406665,397430471.7262026,107383704.54978888,61398505.19659545
2008-07-01,8407577.101093022,0.0,840694271.8956791,471356660.9664526,9968952.830449484,79818054.99441975
2008-08-01,18409391.51372016,0.0,724805483.4754913,361381695.1378651,161668981.285392,64468431.237064965
2008-09-01,9670427.750155577,0.0,710649998.1584839,227689239.71763188,173346547.63130516,30699252.598297726
2008-10-01,10559703.995092904,0.0,774263366.6732955,122444903.93550853,176698966.2384904,15349626.299148863
2008-11-01,22132615.80695477,0.0,968307966.1780516,50777416.50133149,266967350.57884312,0.0
2008-12-01,320267449.46441746,7830140.346912866,1363070266.8975713,29757652.56130458,752879716.2447654,0.0
2009-01-01,470403519.08413196,6597586.220370029,1444200194.2013,46866428.61408125,605088916.9343196,0.0
2009-02-01,412616069.52799845,690073.3841558852,1463302612.5889318,47253396.78461834,479782450.4379893,0.0
2009-03-01,576696191.7905256,3267826.3209268968,1472215049.9991,85571879.71264197,674664130.2581764,0.0
2009-04-01,408669516.89486563,9414656.202866798,1473256530.0574992,162476513.57311147,566964390.7854509,14676571.754925855
2009-05-01,25762057.0421583,0.0,1368126703.332724,289094561.3781397,171250797.0572619,38159084.49711322
2009-06-01,115919118.71693541,20416.322408547956,1402988495.8213303,408266944.2083284,500297250.9327769,58706287.01970342
2009-07-01,9638814.670206053,0.0,1048478608.2240217,474223477.53424054,51000670.78623581,76318168.99422644
2009-08-01,15626683.406853255,0.0,868973055.7423956,347894516.98033977,109998386.61574745,61641598.44995986
2009-09-01,4521392.8915769765,0.0,849607214.2588153,222893221.74008867,170651534.5895542,29353143.50985171
2009-10-01,28819503.572475675,2070.8769484852055,1041534308.6961272,106255249.00108247,311600509.5784999,14676571.754925855
2009-11-01,23362474.887960084,0.0,1129567943.0776005,52223674.72519272,163295481.52879095,0.0
2009-12-01,226177490.71808118,737635.4229209126,1357465827.2729676,24912201.059415173,479888743.4384648,0.0
2010-01-01,268588154.0148753,557580.946038944,1406368965.9040277,30752327.048329685,348875400.6720946,0.0
2010-02-01,222959952.34948844,4565.550091903407,1436372550.6926544,32656450.13555894,285690137.322391,0.0
2010-03-01,196835850.83913717,173188.6721894958,1453049981.1620648,119828355.45215492,333616679.9119424,0.0
2010-04-01,560677670.7233675,14179811.6081451,1462769784.6211255,194644878.85549653,765883944.2899743,13444617.619364714
2010-05-01,279829921.10553217,145430.0741062161,1463639237.516833,230611733.29455602,476378133.5110801,34956005.6659051
2010-06-01,26117745.237624433,0.0,1328100838.633044,415987409.78687817,252135531.8447764,53778470.47745886
2010-07-01,5288393.561521423,0.0,959568370.6971769,481728188.2468639,43774797.98593499,69912011.3318102
2010-08-01,7658692.6242782045,0.0,774967985.7741776,403068138.9282572,149763605.95324448,56467394.57166671
2010-09-01,2582247.080336661,0.0,697903297.5134673,185348795.59519458,46955678.73074134,26889235.23872943
2010-10-01,40372858.05515226,956046.1792002723,1009082600.2517097,109128813.12740576,448139329.5967186,13444617.619364714
2010-11-01,304927520.0226994,14313505.56375156,1340720940.347678,63707267.20633579,714717133.546823,0.0
2010-12-01,1083890801.0881977,128898116.19439542,1471078516.0113552,17352334.27526463,1360976785.3547764,0.0
2011-01-01,420830230.0952766,1083592.286013036,1474706427.839134,14341735.123924037,439997775.7632814,0.0
2011-02-01,560412204.902695,7364114.270192865,1476775860.784807,28260316.3571345,598228800.3846711,0.0
2011-03-01,707126111.0538186,20689845.12910139,1477934392.2616808,52242174.077366374,781424113.9678328,0.0
2011-04-01,646027031.064197,51496336.14612122,1478161157.6028302,73104273.56184298,756498363.2340227,14497004.707272341
2011-05-01,476331701.3312911,4875753.131073538,1478317502.9427207,168756406.79561576,612587734.0575017,37692213.028531745
2011-06-01,6804049.300016152,0.0,1250358556.5411515,366967993.77561533,87337474.57133126,57988018.829089366
2011-07-01,11601024.33284943,0.0,949119424.8049562,511143516.3439977,144242578.53991532,75384426.05706349
2011-08-01,9483396.833715457,0.0,755417239.3139473,409571739.8027875,145459550.6831774,60887418.62454309
2011-09-01,4652467.273370519,0.0,673477346.2793306,254651782.3747195,115128256.25430016,28994009.414544683
2011-10-01,25150037.838322528,0.0,843894721.2331758,141314617.30273476,321378699.27350533,14497004.707272341
