Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,563437598.3959217,10303907.038517376,1441960832.8814595,25161536.821294125,721224973.2061496,0.0
2005-02-01,299002656.5501834,0.0,1463110586.4996672,3772978.3129647058,324520684.1990871,0.0
2005-03-01,333124785.9537839,5086838.823934802,1468520789.1165323,21358961.807403915,365208677.91649896,0.0
2005-04-01,241701045.5254176,0.0,1470235900.985445,121302403.9205961,349838026.0198687,15736364.608215608
2005-05-01,177690455.5580055,498919.82961401634,1441632962.03911,268118866.40018815,377570389.859086,40914547.292913854
2005-06-01,100414454.00999674,0.0,1275558557.7739127,375909187.34117633,247594854.80670258,62945458.43286243
2005-07-01,16964442.100315303,0.0,1037022174.7788961,338790725.16348237,30159406.964829415,81829094.58582771
2005-08-01,35726074.52934469,0.0,913172279.6373982,258773293.31501955,80507541.62340815,66092730.76524326
2005-09-01,36051307.10844834,0.0,867913877.2626677,156416485.64057252,95539993.39509852,31472729.216431215
2005-10-01,58306012.29561601,0.0,874472522.7323655,93705207.7636235,138729782.31865406,15736364.608215608
2005-11-01,250893801.4009046,340851.36158960836,1042876343.6327822,68287592.63429813,488615621.8840511,0.0
2005-12-01,447144708.47892195,39731511.033380665,1259693028.1934798,31842860.49178824,736526113.006486,0.0
2006-01-01,498552579.68113846,7305486.132755638,1408329519.27377,10373473.666274512,666319777.725444,0.0
2006-02-01,271854385.6004948,49347.447013218225,1443129539.879313,14331739.8736,321469205.4510335,0.0
2006-03-01,529144912.7504354,14031106.509299729,1467323713.2032506,20737555.038345095,588811746.3483205,0.0
2006-04-01,182207837.80415308,676816.6760665935,1449239309.2975254,125937098.62103535,274149836.3591025,16766851.411832161
2006-05-01,44669137.0403308,0.0,1358605631.175695,197939112.34600002,108442114.23208793,43593813.85427782
2006-06-01,53946351.0158063,0.0,1200485820.7194495,300289327.8264159,129070497.23507804,67067405.647328645
2006-07-01,39702531.025808446,0.0,1066976549.4579111,272399823.2685256,78144300.70893359,87187627.70855564
2006-08-01,66707073.69196853,0.0,974862979.7841246,280590088.2781491,155594356.78260937,70420775.10392165
2006-09-01,152412326.8602232,0.0,996782028.90208,215352521.1497334,350122093.486533,33533702.823664322
2006-10-01,149554939.4457992,0.0,1031929216.0151516,154694412.1271609,322264071.15310276,16766851.411832161
2006-11-01,280345005.8302808,1375068.5010438305,1183630036.9290664,77405553.73939614,511689061.4253925,0.0
2006-12-01,175982661.91383082,0.0,1276716489.4553905,20142744.297498044,289723171.5193678,0.0
2007-01-01,160071968.87009022,0.0,1340796515.3917084,9819915.920745097,234457822.70877713,0.0
2007-02-01,384251188.6730607,401677.0013689887,1420986957.172921,16302875.94465098,481923797.6313511,0.0
2007-03-01,237783318.62996545,0.0,1438877472.2447934,52477914.3971451,308729427.5480901,0.0
2007-04-01,102002612.70711055,0.0,1407461174.7966084,113120508.94555297,165390979.476884,18315407.407920927
2007-05-01,89083113.04839556,0.0,1279614781.0827997,260633608.89460397,174238147.69253045,47620058.12651862
2007-06-01,36080006.95153501,0.0,1092131892.539411,297803165.66984326,62944285.89400174,73261629.6316837
2007-07-01,65073087.98316355,0.0,991454518.705823,271873232.16889393,116040456.09514064,95240116.25303724
2007-08-01,71484279.89542596,0.0,929261019.742939,261103688.28944305,158338675.43142956,76924709.94157082
2007-09-01,106854205.68263157,0.0,928573913.1551135,201874076.75814897,256928734.31950414,36630814.81584185
2007-10-01,139321228.76939908,0.0,952188673.507545,147058617.0023295,288430080.4656957,18315407.407920927
2007-11-01,49842383.7737667,0.0,961521951.6040785,43259223.93381177,100116810.19546486,0.0
2007-12-01,377493233.06060076,7616183.410036949,1219033779.1627781,34367520.55283139,678582108.2589942,0.0
2008-01-01,696696947.9044838,36350788.53577563,1446229119.4057653,1891269.9501803922,964474658.5029967,0.0
2008-02-01,622559615.741183,6105581.768426996,1477097465.6304262,2752428.406541176,663813795.0005932,0.0
2008-03-01,350562424.2948232,0.0,1480075829.9619358,3583272.866478432,357809331.6919078,0.0
2008-04-01,146782438.02814034,0.0,1477768019.7873755,48673037.77276079,176566648.28041252,16626872.246631658
2008-05-01,162543729.84722763,0.0,1454129270.509597,192695261.8240159,288824203.1813963,43229866.84875053
2008-06-01,49457666.15376898,0.0,1263405563.630766,310790913.7815689,102935229.2300959,66507488.98652663
2008-07-01,16595908.938011205,0.0,1030847674.6353441,335945190.341114,30264054.802934106,86459733.69750106
2008-08-01,58048424.46017039,0.0,951711235.8727065,238089342.1262431,130567101.21146412,69832863.98895006
2008-09-01,81871927.6548662,0.0,917862400.3425771,210397918.17451763,214590783.6189068,33253744.493263315
2008-10-01,66794284.77012738,0.0,934411514.9328662,105174462.26169415,168732939.16717127,16626872.246631658
2008-11-01,117072357.74689604,0.0,990236325.0526145,75413251.30876866,248692644.41264492,0.0
