Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,454273564.30648166,11273562.307513403,1365373249.7557828,8638103.578227453,690136664.91035,0.0
2005-02-01,261201110.93039358,0.0,1410734668.1585488,6588078.018203921,313795566.73286504,0.0
2005-03-01,231737882.25379154,5371910.81599627,1386327032.4452157,140656975.75949025,352965109.77067876,0.0
2005-04-01,81777966.21278156,0.0,1329868012.42815,350210111.434902,359346785.7351404,15736364.608215608
2005-05-01,25919829.777265273,315548.6708237276,1241337316.900123,477587212.5313647,374317392.0533406,40914547.292913854
2005-06-01,11330412.488085408,0.0,1001383318.3794398,528620124.6113256,233938217.42861345,62945458.43286243
2005-07-01,10815132.452202218,0.0,613966943.9138464,516139233.64210206,24740071.506766964,81829094.58582771
2005-08-01,16477609.218379723,0.0,467320826.45615786,354264941.101153,72449556.93401855,66092730.76524326
2005-09-01,6448123.213398723,0.0,429197956.3968634,217706608.05584317,93977482.63354258,31472729.216431215
2005-10-01,6184084.547679176,0.0,441498088.975923,151615458.24839994,136714767.7632989,15736364.608215608
2005-11-01,37537806.61020064,275599.25242744567,819664950.1603013,82624565.128102,499143315.42856723,0.0
2005-12-01,274018320.0374283,28912137.820621204,1165431410.6312778,31761040.36997647,681361994.3458071,0.0
2006-01-01,421640419.45639986,8107262.310416351,1340275774.9494395,429946.76009411766,606154574.9527637,0.0
2006-02-01,247089827.20984915,0.0,1374834693.55316,39131778.433929406,320902757.593232,0.0
2006-03-01,374255999.1148386,14510467.587297574,1377544521.7366672,166546711.0492078,557356647.6517745,0.0
2006-04-01,90810204.26212887,593530.8695212902,1211560737.4520931,341812280.01497257,249285645.30210194,16766851.411832161
2006-05-01,2159933.4915075195,0.0,912047682.6825315,451558815.1957491,105472847.21208483,43593813.85427782
2006-06-01,7036911.441960049,0.0,654942273.2151921,482976016.96392936,144982313.56177068,67067405.647328645
2006-07-01,23991925.748627413,0.0,478611648.5163448,408593273.1418039,98527409.18729731,87187627.70855564
2006-08-01,28751813.66536712,0.0,429720560.29192287,334736052.25028247,148692451.33000925,70420775.10392165
2006-09-01,30249673.75390783,0.0,561760561.3198489,222384534.10568625,346623080.03638524,33533702.823664322
2006-10-01,23897290.61714733,0.0,679158891.1407545,175458841.03442344,296297661.87377894,16766851.411832161
2006-11-01,100214406.68181337,1070458.9968282199,988154366.2020228,97927867.72852553,508794004.8981418,0.0
2006-12-01,118881620.94015422,0.0,1120452349.0026774,34166803.77858823,285774721.204394,0.0
2007-01-01,145463623.77897543,0.0,1191305656.3463426,25724817.986054905,242374327.96050704,0.0
2007-02-01,303979847.2179347,863325.7864814153,1278885298.9894521,80937456.86152165,473826204.49435747,0.0
2007-03-01,95816120.55427104,0.0,1257024544.2139952,218777481.9136077,291342770.6048203,0.0
2007-04-01,41006103.744596645,0.0,1048900008.4554985,351243701.9669252,158830553.12050924,18315407.407920927
2007-05-01,4024760.1176204677,0.0,842554618.7873802,443942512.22625136,176650712.37687477,47620058.12651862
2007-06-01,10999020.04965793,0.0,605338692.015126,409794440.65390587,59655439.93284969,73261629.6316837
2007-07-01,34996117.71241734,0.0,451474507.30729073,395593445.40482366,106670732.72913294,95240116.25303724
2007-08-01,36079071.867982626,0.0,399625781.06509745,336345567.9584079,168489855.34835887,76924709.94157082
2007-09-01,19716616.377236325,0.0,430971541.0766516,240830440.7331215,226620024.3839221,36630814.81584185
2007-10-01,27264028.39661143,0.0,547848084.5558766,167352236.85340402,284283802.52949035,18315407.407920927
2007-11-01,5182397.911395684,0.0,565266632.796219,102154424.13750583,113657267.34973797,0.0
2007-12-01,157593907.28049815,5911468.357435804,1032659144.5761024,46204031.92159991,678597503.643636,0.0
2008-01-01,563994816.4571836,38721569.988001645,1366678107.8780284,0.0,938872064.7512375,0.0
2008-02-01,538677209.2877938,6858312.533164806,1457187304.1916635,63325.43529411765,637599627.9690092,0.0
2008-03-01,291713398.3107367,0.0,1471521817.3253543,44317375.36033723,350772938.60906607,0.0
2008-04-01,49989262.28649173,0.0,1287627841.4142158,311419760.7606823,159988623.52395925,16626872.246631658
2008-05-01,42066159.24164849,0.0,1210654835.530215,357590924.88851774,279167343.6611059,43229866.84875053
2008-06-01,13542904.425732626,0.0,917982237.1439844,454828173.87108207,106994556.13887101,66507488.98652663
2008-07-01,29671972.32268304,0.0,644427792.4538163,373541261.5279371,23724619.250754546,86459733.69750106
2008-08-01,38395028.47962535,0.0,595196000.5060927,299065169.0713332,184372077.03197694,69832863.98895006
2008-09-01,9604948.569081225,0.0,529143211.1013738,251904260.1157489,116571111.52842538,33253744.493263315
2008-10-01,13434410.755069438,0.0,568062747.5685265,146922474.69028237,176272547.81045294,16626872.246631658
2008-11-01,15176037.875063434,0.0,725785697.9099092,74641884.31789018,247513480.1269474,0.0
2008-12-01,184501842.57922474,5958298.711568754,1190910166.7592614,47243364.859270565,704222814.8358887,0.0
2009-01-01,412582853.47899157,4734592.945049954,1371247373.176332,2977113.2950588237,601498965.0218923,0.0
2009-02-01,345248542.0429982,0.0,1420579246.8651528,65551086.89741962,460531835.2472937,0.0
2009-03-01,430724254.38311905,2449174.2221197174,1435245267.4620728,175131685.46576458,623077778.1322246,0.0
2009-04-01,207846181.09276494,9075635.43979652,1403055206.2150247,322250952.75551397,490630942.1390486,15858811.21498847
2009-05-01,9490723.523700485,0.0,1156325585.0973818,439448024.4302822,158145297.14426523,41232907.354321145
2009-06-01,41645441.33434862,0.0,1140514877.3763683,512887463.4108785,473745290.2026833,63435244.85995388
2009-07-01,22973906.758261334,0.0,804729971.5812973,478186533.46131766,65125631.99318992,82465814.70864229
2009-08-01,29293668.011342883,0.0,673411166.7382202,330249089.6808391,115428765.154039,66607004.45622024
2009-09-01,12007101.581166048,0.0,655960577.6768873,235946740.39590597,176144200.1316397,31717622.42997694
2009-10-01,25252808.876122855,0.0,781176868.8076334,165526083.68891755,298625449.9127518,15858811.21498847
2009-11-01,8715682.491049558,0.0,805998268.3411994,135059773.49699605,163518906.16275254,0.0
2009-12-01,92055029.55441208,7525.534945213019,1128652908.5988278,57674785.25546664,473192782.08911896,0.0
2010-01-01,180752455.86946255,0.0,1279102741.34269,622967.5673647058,332436453.96642566,0.0
2010-02-01,166510849.81091115,0.0,1324978396.845632,70404699.2345255,283083736.5968013,0.0
2010-03-01,179789446.19523892,0.0,1277002373.9615982,188126928.68591368,319602049.1979257,0.0
2010-04-01,388606152.3402732,14908593.738017075,1293184356.0101674,309544558.2762589,713682532.2871579,14576323.1312804
2010-05-01,104265480.00864117,0.0,1262631736.9049795,405781723.82631373,439034901.92272455,37898439.67034046
2010-06-01,19915754.54756376,0.0,1099361455.3530407,474324333.6090351,264310084.13664332,58305292.5251216
2010-07-01,19387216.525874518,0.0,813950292.4207768,438169818.26382005,69507199.88271126,75796879.34068093
2010-08-01,28949076.04820143,0.0,738399766.8575227,319590982.70150596,181981335.07802588,61220556.9579863
2010-09-01,5369113.624158088,0.0,666834091.9495636,190088155.87774888,50550377.299365036,29152646.2625608
2010-10-01,47443846.4399292,0.0,925252763.099719,124488444.2307922,415302010.63178307,14576323.1312804
2010-11-01,291665848.460104,10702255.441025535,1271937994.496816,69720276.2899529,720051329.5287352,0.0
2010-12-01,1020150569.1907438,108689729.9752868,1466923895.0454621,4384738.080603923,1331823966.5268705,0.0
2011-01-01,444213807.50335383,0.0,1478607955.5426085,0.0,457106721.7116138,0.0
2011-02-01,570003164.4899303,5655387.072804621,1481253059.0504158,1032984.6709176471,580638795.0609062,0.0
2011-03-01,696410941.9068524,24823129.43577409,1482156470.2828581,22328990.365435302,745762407.0417074,0.0
2011-04-01,483452612.844018,46956668.487570554,1457195234.3146713,199001725.19051778,689021451.0074602,15692057.961005727
2011-05-01,236207206.23396116,5118553.187931394,1460686325.5034025,358758103.86640775,563528034.2138778,40799351.98044463
2011-06-01,8270220.945937388,0.0,1085696884.943615,521333077.2264234,90625120.8578169,62768231.84402291
2011-07-01,25205466.25460772,0.0,810110718.5832942,485786515.00151336,148993783.4087614,81598703.96088926
2011-08-01,18539826.372792702,0.0,658484509.0541351,378553311.76194525,145074288.01006696,65906642.17585592
2011-09-01,5353841.132338782,0.0,571554392.3313998,276368364.8627215,118008663.76862185,31384115.922011454
2011-10-01,20676209.061846834,0.0,710684904.1925822,173407681.95313728,317030738.76089597,15692057.961005727
2011-11-01,89352515.04494363,0.0,1126898055.9741385,102791380.75244696,609419480.3785534,0.0
2011-12-01,51050594.93697683,0.0,1229891447.0041397,27771333.79715294,182154334.8988931,0.0
2012-01-01,443275831.75355643,625620.6008435559,1423166522.1699681,17397251.769356865,656108824.9566752,0.0
2012-02-01,454319519.000028,847798.8636198335,1455055014.718137,39173510.623184316,527302441.31053275,0.0
2012-03-01,194685909.41688168,0.0,1403488896.0706291,221476884.295451,364029464.3185734,0.0
2012-04-01,62170055.27110727,0.0,1284473614.155875,303355662.82672143,225284203.12756276,18625355.357337207
2012-05-01,5825939.407308973,0.0,1083651573.7773325,386334649.86302745,134434027.331955,48425924.42125051
2012-06-01,12586931.580472948,0.0,774997985.711246,385230339.27783555,601453.0066904358,74501421.42934883
2012-07-01,38758131.47153068,0.0,665964006.7803689,334263484.5951843,144599574.55610397,96851848.84250101
2012-08-01,29134755.79252418,0.0,533317738.7017265,302952215.79113704,56346920.5616112,78226493.89640085
2012-09-01,17108782.10572184,0.0,513633658.44478136,180782979.93142748,106618545.97240798,37250710.71467441
2012-10-01,47729752.0710214,0.0,766013905.779076,132254099.77612555,414763708.76696813,18625355.357337207
2012-11-01,43999812.812977925,0.0,900969371.7176756,97159059.04709804,276173785.4903104,0.0
2012-12-01,272506620.08439004,7797596.728040775,1266463181.0064032,38681733.37472158,685848087.9129031,0.0
2013-01-01,213808573.4603257,0.0,1356458648.025108,8435131.75967843,312562996.4643566,0.0
2013-02-01,202281261.02643043,0.0,1404740919.2421186,19245587.71526274,270446343.20027345,0.0
2013-03-01,217449329.19776484,0.0,1412323242.0683732,146175552.6544,371400453.1871401,0.0
2013-04-01,251318449.73316374,10033726.298441298,1409753424.4874218,268840122.2299216,513705191.35050565,13568759.221628655
2013-05-01,10033496.432396252,0.0,1217987784.5673435,357558300.83925474,139192841.89108798,35278773.001033105
2013-06-01,3797491.566270479,0.0,877691632.6781476,396224518.6775605,685076.0035951657,54275036.88651462
2013-07-01,30327152.94354656,0.0,781563938.7633506,290115994.8886904,142116068.13825783,70557546.00206621
2013-08-01,20796333.11507816,0.0,666159234.5040221,296531594.1053491,102024376.33469054,56988787.20758373
2013-09-01,42663653.64026665,0.0,875219974.6602976,245724949.0466353,470103207.94228923,27137518.44325731
2013-10-01,59377122.47818884,0.0,1028773921.2511356,157141741.64890966,356780341.77544534,13568759.221628655
2013-11-01,87911732.45942461,0.0,1184642837.8076143,96063699.19430593,340056401.3522392,0.0
2013-12-01,323251740.9900028,0.0,1390323861.2725232,43238988.7453176,573887627.8785484,0.0
2014-01-01,507766012.6487408,194851.6348268855,1443201013.8564432,1205737.068,563285608.5125208,0.0
2014-02-01,842363517.6982259,31286090.360185068,1471440906.2494988,65331119.06896467,968914834.8859681,0.0
2014-03-01,399062891.4148566,3797076.9313618275,1473884789.0338838,209550074.97260395,616019619.9559767,0.0
2014-04-01,130901744.54009695,321300.0987077957,1375139993.1430216,282188594.8943217,300927730.59196794,13024410.071790084
2014-05-01,8135964.235027373,0.0,1234223661.9235575,403622179.04388237,235039923.91242954,33863465.77880657
2014-06-01,8362202.451265309,0.0,1012184131.433296,423864528.61129415,155509460.34666005,52097640.28716034
2014-07-01,12665587.171132237,0.0,779211181.2789711,498079466.70946634,196729885.4724891,67726931.55761313
2014-08-01,44964334.03730859,0.0,877346576.5920309,388502207.09396863,470505496.256012,54702522.560903676
2014-09-01,62500814.54401124,0.0,1027722450.7840846,278287927.64341176,464871303.63560265,26048820.14358017
2014-10-01,1473026.2851582018,0.0,915713462.4652039,182711792.2464001,51598422.34199467,13024410.071790084
2014-11-01,141097278.01188996,0.0,1245631818.1358821,91193211.4571608,563566154.6111641,0.0
2014-12-01,314885008.62177056,1770983.6568867671,1408790608.976045,35511645.99602352,516227323.16891116,0.0
2015-01-01,157680171.31596354,0.0,1427862566.0071406,89769704.90072934,266884291.7683161,0.0
2015-02-01,264282911.68424562,0.0,1419399981.819715,138567267.03017256,394723547.94249773,0.0
2015-03-01,97111778.400938,0.0,1348258233.0527682,257524575.1254039,281842822.35506874,0.0
2015-04-01,67404103.08037513,0.0,1308131085.3463721,318376373.28455675,327762400.084851,15069904.837777086
2015-05-01,135620283.06965512,3375233.476029425,1383944459.77221,400942760.04244703,576104144.5925063,39181754.45818988
2015-06-01,4864860.360120537,0.0,1011578690.4471823,525281050.7119608,89560179.53728321,60279619.35110834
2015-07-01,24402931.68798131,0.0,846810936.5293256,395989835.55594486,166681789.92659408,78363508.91637976
2015-08-01,33984793.17054007,0.0,805671251.459369,254378105.05798423,167192064.28811526,63293602.52585669
2015-09-01,13332828.709488338,0.0,794522149.0591301,191214000.17938054,148032468.97591066,30139809.67555417
2015-10-01,10031740.214685176,0.0,792065882.2145163,151141430.9295843,135269059.13039267,15069904.837777086
2015-11-01,33403015.80478476,0.0,994070209.7307862,87333682.44352153,322837171.4972297,0.0
2015-12-01,305070134.8182875,971662.697179742,1316978546.0683143,46120692.303490154,676463252.371837,0.0
2016-01-01,506161808.32849777,723523.5053992566,1428032267.5098324,236246.21413333336,619699220.3151776,0.0
2016-02-01,278722272.63599074,0.0,1430435002.2910326,47714766.97083921,328279931.04318225,0.0
2016-03-01,548315188.0315318,18425356.637954004,1455325529.435527,171760937.57166263,764303327.8851881,0.0
2016-04-01,193082245.34720445,0.0,1397942197.8513815,245097099.78578833,362667348.9519779,17364685.923157964
2016-05-01,83512337.24167475,124121.55773743555,1385694907.0659976,454476822.56306636,480461872.1684007,45148184.50813069
2016-06-01,6154212.177987105,0.0,985608325.0551507,525173482.1404239,55365300.15090869,69458743.69263186
2016-07-01,23820073.94965706,0.0,728669398.2257658,342908830.32992154,3840462.280981723,90296369.01626138
2016-08-01,28677377.862478573,0.0,618223537.1983807,256810249.56003135,60993058.46677731,72931682.0672472
2016-09-01,34797234.804777,0.0,780994024.4069937,198100559.04313728,358452010.5333904,34729371.84631593
2016-10-01,41206175.614603244,0.0,980035526.778063,158709544.3818119,382000642.1284111,17364685.923157964
2016-11-01,72115412.96817712,0.0,1157019546.2358596,103011888.25810984,352433023.52955246,0.0
2016-12-01,530902464.57632107,20413605.566475745,1411643310.53569,29751997.107709773,837281938.0850698,0.0
2017-01-01,1136539912.109041,152118256.09590983,1478276456.490112,710525.2479999999,1359745180.2053037,0.0
2017-02-01,1082703448.1678689,107819990.44276303,1483094023.0995603,15870529.70461177,1214802750.7748578,0.0
2017-03-01,711332410.7222906,10558338.47265745,1483896296.9379387,114015036.98239222,838457476.46723,0.0
2017-04-01,520677417.4130815,3809399.0219590333,1479617494.8429263,321441127.5294351,827418388.7428272,14701104.347337764
2017-05-01,25401148.41545464,0.0,1194144028.537036,492607928.2040706,192937638.70254835,38222871.47482271
2017-06-01,2057253.499911893,0.0,797570612.0942878,509988304.096267,53364258.65984496,58804417.389351055
2017-07-01,11700783.333677348,0.0,560018209.054317,357895737.273851,39309079.886330865,76445742.94964541
2017-08-01,17957654.74279495,0.0,455760311.59004074,299619162.5413802,95174115.95368506,61744637.21827069
2017-09-01,32838876.809637398,0.0,713388924.1203347,201368235.01387444,462527370.9376439,29402208.694675528
2017-10-01,4172807.112059556,0.0,645382237.8807877,139994222.8203608,56095701.077284284,14701104.347337764
2017-11-01,79168804.88863513,2692428.6355413003,957284217.534064,82042485.76647058,476335855.2294423,0.0
2017-12-01,143252311.5189378,0.0,1142854494.0380437,59043436.29407846,388370476.4991422,0.0
2018-01-01,265304004.95879045,0.0,1325207641.823838,46567636.60069804,495182040.6184718,0.0
2018-02-01,428118858.8167921,0.0,1430234044.891646,61342597.614376456,596134802.0982921,0.0
2018-03-01,238275071.13889042,2354759.85736908,1403802843.5119348,169940956.6008235,384088573.9820966,0.0
2018-04-01,124697061.83266217,0.0,1328236702.542646,314549222.49404687,344778049.3055563,17250487.010376807
2018-05-01,14761524.083010394,0.0,1179852561.9554532,416970852.69616467,233375268.2180699,44851265.883490905
2018-06-01,8296357.868314503,0.0,878744953.1901734,441828124.8046039,69688024.6241837,69001948.04150723
2018-07-01,32362303.375202425,0.0,692680600.848648,319525603.9587843,51585681.20708537,89702531.76698181
2018-08-01,32372999.191674188,0.0,619314866.8049704,226220822.22424302,74060809.04859503,72452045.10720296
2018-09-01,10269418.856615622,0.0,550783548.8585341,153298227.28571767,8985626.29257124,34500974.020753615
