Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,520995721.8295359,11007255.079309482,1418989903.4130983,25161536.821294125,690136664.91035,0.0
2005-02-01,279570603.99169517,0.0,1448818459.6178029,3772978.3129647058,313795566.73286504,0.0
2005-03-01,313684881.6624116,5361686.086628089,1461233784.2273037,21358961.807403915,352965109.77067876,0.0
2005-04-01,249733356.99261764,0.0,1464370617.990708,121302403.9205961,359346785.7351404,15736364.608215608
2005-05-01,171249780.65796155,315548.6708237276,1439099734.5607896,268118866.40018815,374317392.0533406,40914547.292913854
2005-06-01,96571013.82589354,0.0,1263276766.079923,375909187.34117633,233938217.42861345,62945458.43286243
2005-07-01,15797464.614692999,0.0,1021310271.0560198,338790725.16348237,24740071.506766964,81829094.58582771
2005-08-01,33932585.82221693,0.0,895765834.8022082,258773293.31501955,72449556.93401855,66092730.76524326
2005-09-01,33798133.33238455,0.0,852722269.4412535,156416485.64057252,93977482.63354258,31472729.216431215
2005-10-01,56732205.60741875,0.0,859222376.3928672,93705207.7636235,136714767.7632989,15736364.608215608
2005-11-01,253379697.16577107,204303.983725336,1035675709.7301819,68287592.63429813,499143315.42856723,0.0
2005-12-01,420703225.8415043,34998853.25763484,1228481073.0482564,31842860.49178824,681361994.3458071,0.0
2006-01-01,443431314.77870524,6836828.27967054,1372861449.168679,10373473.666274512,606154574.9527637,0.0
2006-02-01,259644577.77744254,0.0,1419321157.2371345,14331739.8736,320902757.593232,0.0
2006-03-01,484473396.7398322,14309342.490921102,1456575061.738888,20737555.038345095,557356647.6517745,0.0
2006-04-01,168702290.39198956,583338.3124535847,1427444731.6590014,125937098.62103535,249285645.30210194,16766851.411832161
2006-05-01,43373985.79700829,0.0,1335177416.9265165,197939112.34600002,105472847.21208483,43593813.85427782
2006-06-01,59189334.60419151,0.0,1187623209.4227753,300289327.8264159,144982313.56177068,67067405.647328645
2006-07-01,48856373.29174384,0.0,1065708789.5871241,272399823.2685256,98527409.18729731,87187627.70855564
2006-08-01,65974419.3876054,0.0,967801659.3697758,280590088.2781491,148692451.33000925,70420775.10392165
2006-09-01,153688729.237105,0.0,985766803.3755172,215352521.1497334,346623080.03638524,33533702.823664322
2006-10-01,143464326.50333312,0.0,1002538343.1103827,154694412.1271609,296297661.87377894,16766851.411832161
2006-11-01,279147262.26648015,1228206.8878072766,1152642561.3151336,77405553.73939614,508794004.8981418,0.0
2006-12-01,168765757.694748,0.0,1248951279.894285,20142744.297498044,285774721.204394,0.0
2007-01-01,163052419.253022,0.0,1318013038.0392127,9819915.920745097,242374327.96050704,0.0
2007-02-01,364191352.16118526,652341.4930261314,1409882242.4213984,16302875.94465098,473826204.49435747,0.0
2007-03-01,214247504.61643565,0.0,1433867693.4524584,52477914.3971451,291342770.6048203,0.0
2007-04-01,98870098.64117375,0.0,1399049872.162934,113120508.94555297,158830553.12050924,18315407.407920927
2007-05-01,90484378.55561051,0.0,1272211688.6096375,260633608.89460397,176650712.37687477,47620058.12651862
2007-06-01,35199442.15148359,0.0,1082067998.2635252,297803165.66984326,59655439.93284969,73261629.6316837
2007-07-01,62241976.25020341,0.0,976071747.9830062,271873232.16889393,106670732.72913294,95240116.25303724
2007-08-01,75042215.82998994,0.0,920466516.8828374,261103688.28944305,168489855.34835887,76924709.94157082
2007-09-01,99509736.66245958,0.0,905235472.423664,201874076.75814897,226620024.3839221,36630814.81584185
2007-10-01,137054591.5852602,0.0,927424418.6230431,147058617.0023295,284283802.52949035,18315407.407920927
2007-11-01,54122978.259755865,0.0,944960094.7346432,43259223.93381177,113657267.34973797,0.0
2007-12-01,377763464.88695925,7976453.412320054,1201846919.4319506,34367520.55283139,678597503.643636,0.0
2008-01-01,662237660.0529666,40222504.46167443,1434230834.7142396,1891269.9501803922,938872064.7512375,0.0
2008-02-01,584987105.6752112,6843204.6811391,1475799201.8372366,2752428.406541176,637599627.9690092,0.0
2008-03-01,342507266.7079634,0.0,1479772512.8555593,3583272.866478432,350772938.60906607,0.0
2008-04-01,133242143.81873001,0.0,1474468069.7641053,48673037.77276079,159988623.52395925,16626872.246631658
2008-05-01,155917904.25455254,0.0,1447785391.4017015,192695261.8240159,279167343.6611059,43229866.84875053
2008-06-01,48988722.74364397,0.0,1261608846.2214348,310790913.7815689,106994556.13887101,66507488.98652663
2008-07-01,13858968.387888093,0.0,1026077589.2060376,335945190.341114,23724619.250754546,86459733.69750106
2008-08-01,84999805.38716345,0.0,971240338.2414311,238089342.1262431,184372077.03197694,69832863.98895006
2008-09-01,45140336.87105131,0.0,885443236.5775366,210397918.17451763,116571111.52842538,33253744.493263315
2008-10-01,69320984.7075026,0.0,907637848.2874545,105174462.26169415,176272547.81045294,16626872.246631658
2008-11-01,119403276.61776273,0.0,960020111.7542411,75413251.30876866,247513480.1269474,0.0
2008-12-01,409252275.1274818,8339202.163020634,1212133408.0151,32929421.026054915,704222814.8358887,0.0
2009-01-01,413570451.80274945,4000589.447473197,1381366410.077111,13741598.191937255,601498965.0218923,0.0
2009-02-01,378499183.5887794,0.0,1450416834.2367153,12172802.878854902,460531835.2472937,0.0
2009-03-01,559640424.0230136,2239384.241089163,1471006881.1571398,39553908.53139608,623077778.1322246,0.0
