Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,610390406.3933496,8429927.250052176,1472555431.4092252,46345009.250109784,690136664.91035,0.0
2005-02-01,266528741.66536877,0.0,1476202625.7117856,43039264.857435286,313795566.73286504,0.0
2005-03-01,283032131.12742555,2968973.9247052693,1476220839.8605487,66973784.229050934,352965109.77067876,0.0
2005-04-01,257977957.35870624,0.0,1476958057.0144281,115823449.85003139,359346785.7351404,15736364.608215608
2005-05-01,200322704.93901354,194014.86659566092,1476054156.5379214,215058866.86595303,374317392.0533406,40914547.292913854
2005-06-01,23242580.587540828,0.0,1366273399.6283476,383776750.2742351,233938217.42861345,62945458.43286243
2005-07-01,10432080.240183022,0.0,1037845080.2885315,425962012.45807016,24740071.506766964,81829094.58582771
2005-08-01,17006969.84452014,0.0,886800974.0920422,292938333.1897724,72449556.93401855,66092730.76524326
2005-09-01,8250735.532509315,0.0,842470566.6295501,194449646.75624317,93977482.63354258,31472729.216431215
2005-10-01,12639427.645854259,0.0,880761691.5151662,105867661.57505882,136714767.7632989,15736364.608215608
2005-11-01,75522020.56300364,91233.28071540578,1240948912.482062,62675170.41649413,499143315.42856723,0.0
2005-12-01,429078158.48329353,20386383.897416484,1427217348.7292569,44638855.43909805,681361994.3458071,0.0
2006-01-01,532905990.8198267,4059977.127052984,1458700073.121959,36637893.97949019,606154574.9527637,0.0
2006-02-01,257405502.18837228,0.0,1463409864.591148,58406856.69393721,320902757.593232,0.0
2006-03-01,480648500.17788273,10282531.288504656,1468828763.0708196,60531924.61479215,557356647.6517745,0.0
2006-04-01,160948268.19853827,213908.52557811013,1458291109.328585,115683185.84370989,249285645.30210194,16766851.411832161
2006-05-01,19642356.569946747,0.0,1349801262.3349998,240501028.7474117,105472847.21208483,43593813.85427782
2006-06-01,19266029.23880256,0.0,1192857653.5324805,354103694.3377882,144982313.56177068,67067405.647328645
2006-07-01,25834380.017026007,0.0,1023517725.0138878,342944860.9120157,98527409.18729731,87187627.70855564
2006-08-01,34129469.19740508,0.0,974228117.1623385,275224241.5939527,148692451.33000925,70420775.10392165
2006-09-01,81841673.88056934,0.0,1119484366.3827355,154578308.79923922,346623080.03638524,33533702.823664322
2006-10-01,92479135.04009956,0.0,1238101061.726699,102402714.92694902,296297661.87377894,16766851.411832161
2006-11-01,248075168.51676524,150713.57581699739,1409812066.574104,88185196.89644705,508794004.8981418,0.0
2006-12-01,207237563.9550563,0.0,1438409982.1675735,49446334.49687058,285774721.204394,0.0
2007-01-01,188797386.07872203,0.0,1449586682.9800644,42024599.90148233,242374327.96050704,0.0
2007-02-01,406026645.07981807,63258.65443922029,1459399984.0997963,57177162.601058826,473826204.49435747,0.0
2007-03-01,189736871.8441326,0.0,1460821857.514053,99875092.156251,291342770.6048203,0.0
2007-04-01,69369563.0724566,0.0,1437769803.0205126,133124923.79987457,158830553.12050924,18315407.407920927
2007-05-01,24873218.987878956,0.0,1351172728.203784,289902266.062251,176650712.37687477,47620058.12651862
2007-06-01,10653261.703604717,0.0,1101918076.3494017,381109675.47191364,59655439.93284969,73261629.6316837
2007-07-01,34209019.94430877,0.0,944826697.3165967,335918104.7535923,106670732.72913294,95240116.25303724
2007-08-01,38373612.0561626,0.0,898369954.5931622,279499211.08616483,168489855.34835887,76924709.94157082
2007-09-01,33221275.863745764,0.0,958152974.502791,175401742.4499451,226620024.3839221,36630814.81584185
2007-10-01,58774319.42309126,0.0,1083077143.2243087,119370993.29738833,284283802.52949035,18315407.407920927
2007-11-01,12890335.816410935,0.0,1092176998.9849567,92689926.65576474,113657267.34973797,0.0
2007-12-01,339393880.29133016,6073188.570017801,1395050834.1736062,28674890.657419603,678597503.643636,0.0
2008-01-01,808507646.4684367,36692790.21737008,1467564725.821506,19150208.361403916,938872064.7512375,0.0
2008-02-01,587354886.0933896,4124794.8898464562,1477397026.965774,34882186.07438432,637599627.9690092,0.0
2008-03-01,306539181.6517879,0.0,1478728922.3885305,42300429.30821961,350772938.60906607,0.0
2008-04-01,92244578.24984056,0.0,1469287755.0505931,94087232.64213336,159988623.52395925,16626872.246631658
2008-05-01,155970661.070207,0.0,1464937440.055579,170676171.32697248,279167343.6611059,43229866.84875053
2008-06-01,16608581.367788697,0.0,1255718707.1248527,367813414.83952177,106994556.13887101,66507488.98652663
2008-07-01,10987539.698689757,0.0,934422048.5986643,428989182.5756156,23724619.250754546,86459733.69750106
2008-08-01,30084090.828573707,0.0,877540411.4839482,311453666.2767215,184372077.03197694,69832863.98895006
2008-09-01,17041220.51004652,0.0,858951174.7785281,175160607.79966286,116571111.52842538,33253744.493263315
2008-10-01,24226119.22359861,0.0,920245870.2821108,112718792.04918432,176272547.81045294,16626872.246631658
2008-11-01,34361364.643639475,0.0,1075941749.0920477,57535786.27629799,247513480.1269474,0.0
2008-12-01,337400232.37138057,3970779.6160914083,1398824025.6878033,38510092.942188226,704222814.8358887,0.0
2009-01-01,483496407.0220635,1506218.0216391603,1458725289.829425,55770939.26684705,601498965.0218923,0.0
2009-02-01,394459877.49191236,0.0,1467465188.7196686,56651821.19308238,460531835.2472937,0.0
2009-03-01,543449831.2964188,1131071.7801151294,1472120886.041991,72894819.10706666,623077778.1322246,0.0
2009-04-01,387410265.6365259,7037365.482031126,1470649061.553465,113231779.72299606,490630942.1390486,15858811.21498847
2009-05-01,41857529.86167301,0.0,1409433626.740063,219842526.13447064,158145297.14426523,41232907.354321145
2009-06-01,193619029.0276941,0.0,1442077574.2676284,311192928.34,473745290.2026833,63435244.85995388
2009-07-01,17539049.103753403,0.0,1171282500.4425952,406598469.73393714,65125631.99318992,82465814.70864229
2009-08-01,27926001.72315037,0.0,1049580659.4894233,288588689.8636861,115428765.154039,66607004.45622024
2009-09-01,16053501.600414727,0.0,1065751999.2948316,189199008.24738827,176144200.1316397,31717622.42997694
