Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,268834185.6312209,36890113.55061252,908311885.4438845,70517550.95778044,500555802.4865129,0.0
2005-02-01,131157642.71739976,933257.5285078784,906480985.6398445,134020183.84166269,264280184.28353056,0.0
2005-03-01,69276589.54371245,158156.35743257785,885673138.9342341,193433258.36818054,242060157.56371424,0.0
2005-04-01,18918403.186084088,0.0,713523040.922986,277623134.4608158,122432322.30852035,535831.0187335684
2005-05-01,1889182.6777768342,0.0,555363566.4645746,252998831.2625881,80425667.27031519,1393160.5742133083
2005-06-01,5363892.323315184,0.0,439863153.43299234,333377835.5896705,165891603.04136276,2143324.0749342735
2005-07-01,3581481.302141022,0.0,352890717.50688094,266805425.94930187,70648037.05885763,2786321.1484266166
2005-08-01,10285262.677298361,0.0,360965122.7972646,271775475.9935294,219442975.5404926,2250490.1219905363
2005-09-01,31758286.707980726,0.0,452884049.56633633,158757793.09239215,269863017.5240587,1071662.0374671367
2005-10-01,16146070.670030609,0.0,487638216.58094734,155035602.98901963,195563804.03594705,535831.0187335684
2005-11-01,176717.04005207663,0.0,452934776.1724854,107596215.79161572,61071108.846851185,0.0
2005-12-01,1078745.8029841038,0.0,485461731.05172145,65137908.30030586,97436418.04108705,0.0
2006-01-01,15340519.903727483,0.0,550023504.6042415,68652250.36295685,148427690.08340928,0.0
2006-02-01,1510505.1799985382,0.0,483729187.93201476,94189663.3821804,19311509.011392597,0.0
2006-03-01,69278796.12717195,4096490.9588112165,612672752.8165344,172862242.07981968,369347445.3672876,0.0
2006-04-01,2230405.088573227,0.0,428498685.90651804,323462288.81490993,71510308.21148303,566007.7748477814
2006-05-01,294205.83411805116,0.0,280366138.75974894,329065200.9622117,8956942.141358843,1471620.188958747
2006-06-01,778435.5330221746,0.0,240343671.5334005,290160303.74581164,52072801.7760785,2264031.0993911256
2006-07-01,11566880.690952132,0.0,275669505.3455057,268064121.5503217,242048884.83582804,2943240.377917494
2006-08-01,19244595.399238035,0.0,302612057.2589272,251593323.17025095,231524075.8165556,2377232.6391662103
2006-09-01,27449714.506210122,0.0,359965316.07125753,162545101.71521568,216246174.97194093,1132015.5496955628
2006-10-01,188564169.48340917,0.0,740863410.3917673,160277052.74374124,729173308.7728125,566007.7748477814
2006-11-01,10838666.70191497,0.0,745826094.1103803,121788322.34267445,137589672.76320198,0.0
2006-12-01,39657867.42458329,0.0,802236736.7359003,46791477.40605491,142859987.4561587,0.0
2007-01-01,85369464.30352286,0.0,849462061.1961876,46118571.72025101,178713360.48406178,0.0
2007-02-01,28675044.27286768,0.0,833388588.6828746,100895208.17493334,113496779.93448696,0.0
2007-03-01,7037674.56976059,0.0,704410240.2126962,223547053.0898589,101568322.26697046,0.0
2007-04-01,9375682.026420109,0.0,514201455.48706925,382925519.8169334,191820561.91934496,490353.22558413696
2007-05-01,1628571.376441975,0.0,330121434.2355986,396355003.3438039,138361217.80449435,1274918.3670307356
2007-06-01,177384.545254067,0.0,241797158.73646393,235751827.10529414,29818420.311642323,1961412.9023365478
2007-07-01,5289079.244655445,0.0,277620094.1919475,286313583.72526264,233459341.28644308,2549836.734061471
2007-08-01,11185275.49511616,0.0,325182549.96392316,252543950.75963128,258728368.86695704,2059483.5135489646
2007-09-01,18809271.494517583,0.0,405209194.44503856,180972474.04497263,266147369.41230738,980706.4511682739
2007-10-01,4526726.656836638,0.0,396095532.1339237,138231588.62748247,111783464.81904475,490353.22558413696
2007-11-01,2390694.8744710144,0.0,420995319.96352804,51286990.77987453,75743120.84507626,0.0
2007-12-01,117387348.44860066,139325.2447152466,726343613.9531139,33033677.376211785,455908645.0591137,0.0
2008-01-01,192739758.89807326,13414767.438061759,856044770.7652373,26363606.763254885,362219289.9115139,0.0
2008-02-01,159050803.0865275,556374.8545038924,889282310.7822487,98439131.2863294,291283849.24437195,0.0
2008-03-01,11951535.955231123,0.0,782068981.3904616,164189968.21353722,68928174.77698043,0.0
2008-04-01,6894654.9168887995,0.0,569521913.6999573,322212131.1401333,108538093.07757454,555132.9546468263
2008-05-01,2170159.5252785506,0.0,441939719.30597466,311775152.21089417,136150220.5866319,1443345.7227255085
2008-06-01,3278201.123646017,0.0,325234709.3318163,325498536.6481491,111028989.35008487,2220531.818587305
2008-07-01,1721083.3399508928,0.0,232888129.21874818,333484600.4173489,78090064.81954902,2886691.445451017
2008-08-01,1408369.8534849447,0.0,209588809.5089388,328701738.39811754,174073413.13089526,2331558.3801878938
2008-09-01,646705.3370903073,0.0,186536687.71809173,187341933.54397637,61324957.27695867,1110265.9092936525
2008-10-01,869253.3119858687,0.0,181162561.148746,140722619.42596084,97187335.90805295,555132.9546468263
2008-11-01,3867159.776278404,0.0,293925124.7798823,59220785.04417255,175850508.45158735,0.0
2008-12-01,59184421.344862424,0.0,651409266.095676,34203351.068894126,450871913.72955,0.0
2009-01-01,26010035.01579648,0.0,628366631.9710128,90588482.51072936,93504723.52847263,0.0
2009-02-01,26652676.181093596,0.0,563864759.953174,122196682.9347059,83732528.88741289,0.0
2009-03-01,15909260.085891854,0.0,421398482.1225698,264119272.39543545,110738456.79785427,0.0
2009-04-01,3785555.360402635,0.0,314935154.1164169,343500314.73076075,157600919.2460976,472570.29807149974
2009-05-01,5489873.512084952,0.0,330531669.063109,285181346.8506667,265733511.18412915,1228682.7612290657
2009-06-01,2154617.0438332646,0.0,249986620.55779448,387201362.8106593,153895380.4828799,1890281.192285999
2009-07-01,989642.9450252278,0.0,175613597.26296222,379215683.95910573,58338503.158747144,2457365.5224581314
2009-08-01,969876.2398643246,0.0,160025121.25029996,194784109.43845493,36172501.77957081,1984795.3244398637
2009-09-01,2691558.7289654035,0.0,189221611.38131422,109413984.35487063,107686359.11374512,945140.5961429995
2009-10-01,2435061.665682431,0.0,203441952.46266174,159594873.2122276,151360671.6643595,472570.29807149974
2009-11-01,3561404.3614281137,0.0,259084051.45726973,53566853.22413335,111607128.46182147,0.0
2009-12-01,73075399.47326298,0.0,644004601.6153796,54394921.87199213,512390871.5033648,0.0
2010-01-01,158996998.52480006,1832672.8521774434,798084408.7853802,38800564.51945101,353710043.0664298,0.0
2010-02-01,254530590.97451884,1841738.6350301094,887214634.8792989,66223049.699380405,411725605.40284806,0.0
2010-03-01,132009202.28878841,750456.0181547607,887679835.3649008,155417439.40265116,288642298.1951968,0.0
2010-04-01,12212083.767378656,0.0,641406620.9848695,359484680.94328624,119942300.0603966,438349.5609967155
2010-05-01,181269.83202936072,0.0,437144403.5642444,255726958.50029016,29313146.882438075,1139708.838483555
2010-06-01,1761619.418329586,0.0,347987171.74611264,204996149.353804,64303190.0438753,1753398.243986862
2010-07-01,1135193.7142063065,0.0,256910602.85096127,353392497.06899595,127374535.58485845,2279417.67696711
2010-08-01,5900034.157280926,0.0,281139803.41922927,239642644.12025094,214933806.199554,1841068.1236682292
2010-09-01,4655565.079103262,0.0,283323502.71421987,174389277.34273714,117103721.03159067,876699.121993431
2010-10-01,15018549.745623235,0.0,395960333.2311881,122523363.24718434,248936591.5313687,438349.5609967155
2010-11-01,11036777.679718988,0.0,485200999.990625,72435879.89400008,172598149.84235016,0.0
2010-12-01,142665809.47666013,5202556.597580762,778016897.2865694,40312028.8583216,480996292.22850597,0.0
2011-01-01,19123749.75215801,0.0,757894515.0786995,56386094.17068237,55387461.71497082,0.0
2011-02-01,39760981.128778644,0.0,686734969.1093764,145959292.94116858,114173112.70103407,0.0
2011-03-01,20888538.11194229,291286.88771162456,534392080.4728307,239703307.1365962,99696706.50336353,0.0
2011-04-01,18007798.641178384,219034.0321129461,324107259.66237426,474656113.62205505,213712053.23911875,425020.21793852176
2011-05-01,4615276.035778468,0.0,307319836.49179405,282693712.90430576,204129496.5457068,1105052.5642505798
2011-06-01,239484.13216533736,0.0,247796747.76227543,237023193.73923936,62735928.71191481,1700080.871754087
2011-07-01,7895904.25031354,0.0,320761902.31202155,260726638.52567062,286906214.3884125,2210105.1285011596
2011-08-01,5842788.226075744,0.0,320633838.19418794,198954254.20261177,133012597.5886547,1785084.9418299969
2011-09-01,16657269.686283698,0.0,360967234.6237582,153795759.3975373,183378950.88468885,850040.4358770435
2011-10-01,14400581.676955497,0.0,414891590.92256665,136041481.10757652,199880464.0584585,425020.21793852176
2011-11-01,6417995.58570789,0.0,438521779.70208293,146721364.80382743,168615012.4405357,0.0
2011-12-01,27013332.07520129,0.0,553051633.6539717,47255088.59817255,188798274.62526253,0.0
2012-01-01,50232786.2898068,0.0,628766167.8022144,41930482.960682385,167877803.3987318,0.0
2012-02-01,99791961.25734141,266364.48302956665,723484210.8633192,49223379.31297252,243999748.11444855,0.0
2012-03-01,22223583.864100356,0.0,650115844.635315,188803524.36316088,132200372.52481705,0.0
2012-04-01,1396960.192891065,0.0,468213320.68760324,297841234.6788708,65534610.8102834,542908.526279288
2012-05-01,0.0,0.0,295253287.1628836,302249794.00354505,433358.6976295005,1411562.1565216251
2012-06-01,1154.3856046656613,0.0,231196957.08161646,285148579.6744391,2903941.913036345,2171634.105117152
2012-07-01,3825917.811868436,0.0,241245217.26129985,316396344.11007047,218925638.86238262,2823124.3130432502
2012-08-01,5392837.507929484,0.0,223077401.14306214,287478354.6195767,153412089.965135,2280215.7534151897
2012-09-01,4209655.446151398,0.0,224004080.60211924,169758453.0552706,106965481.95339714,1085817.052558576
2012-10-01,87121.05474841305,0.0,191472223.57971266,174878467.43969417,77820116.35378616,542908.526279288
2012-11-01,699557.8170283565,0.0,212023753.13249326,59551651.766698055,72792644.42489633,0.0
2012-12-01,18583630.42790883,0.0,484122387.61225325,12824178.283443138,303506443.191112,0.0
2013-01-01,56414513.424710765,0.0,656672593.4421103,11837394.963921567,240802114.2184895,0.0
2013-02-01,60277034.73854696,0.0,761809580.8101141,43402309.547152966,208816331.65370438,0.0
2013-03-01,24656609.996178478,0.0,670191925.2484444,149782273.55290195,81546590.21616785,0.0
2013-04-01,15597835.893177425,0.0,602403424.533683,188018912.74143526,126580641.77863832,445005.5404505158
2013-05-01,14772272.320698481,0.0,547491051.9437084,192954008.15601557,138370125.1460308,1157014.4709173946
2013-06-01,1354384.9084085978,0.0,448916381.1078525,152075957.16416478,1011.046913488144,1780022.1618020632
2013-07-01,8238101.6480700895,0.0,376236562.5087623,412170787.8093807,270065077.23268485,2314028.9418347892
2013-08-01,12357169.026894936,0.0,407189545.6233003,271372828.39938825,294248966.43182474,1869023.4015106312
2013-09-01,69766486.23730114,0.0,598212466.7455276,168993808.2204942,428868113.6118933,890011.0809010316
2013-10-01,50136610.3696281,0.0,679714052.1825815,143940586.8183137,275124130.4736702,445005.5404505158
2013-11-01,162888150.12576324,0.0,849592439.9225422,72304729.44366278,405071267.30938756,0.0
2013-12-01,120444671.8358216,0.0,891860554.5125395,59874151.86494907,222586938.29076806,0.0
2014-01-01,33539591.76349519,0.0,884920292.9565759,82710516.59534897,109309846.80287963,0.0
2014-02-01,43981539.30190691,0.0,889783802.5546993,105130854.4494432,153975903.34947333,0.0
2014-03-01,11627262.875365885,0.0,734859374.8841494,201248914.21040785,57951749.41522372,0.0
2014-04-01,6120299.603395396,0.0,627365179.4948331,253571704.44799232,147861059.49576133,385159.88634209655
2014-05-01,6251624.350977776,0.0,441200020.15884244,499386076.4744787,242978410.50910285,1001415.7727322106
2014-06-01,543255.1250493622,0.0,297516760.24590397,280593483.3487686,329457.323540255,1540639.5453683862
2014-07-01,0.0,0.0,189084535.61794224,440788851.73635304,180375522.37209922,2002831.5454644212
2014-08-01,3909457.7449671463,0.0,285841572.1590428,271794763.0227998,351543911.9577115,1617671.6001169013
2014-09-01,19744037.064425323,0.0,441175709.5801306,177118390.53206274,347819645.2161587,770319.7726841931
2014-10-01,0.0,0.0,355620303.00842327,147751380.7772392,30535711.4921856,385159.88634209655
2014-11-01,144094.76281137276,0.0,370412240.3533938,86962962.18047847,99059901.30640182,0.0
2014-12-01,26795426.902060285,18259.30582446827,550172448.4779238,27477472.484603927,234051366.81701857,0.0
2015-01-01,70020007.79073098,0.0,725144410.4195765,54057099.08684709,299049068.8192314,0.0
2015-02-01,92652144.33891644,0.0,797890493.9101095,109791429.97567056,275189657.8051198,0.0
2015-03-01,22187166.59167597,0.0,681414338.2221992,210916633.30158454,116389271.5541392,0.0
2015-04-01,24157572.66772588,0.0,671899757.9448731,235553745.44157642,246824655.8196724,406752.5530929916
2015-05-01,48302568.58526194,0.0,661432315.8722241,290236098.21004707,313502181.5781316,1057556.6874103767
2015-06-01,69979069.64148459,0.0,659780584.6000274,258780263.52368635,315875363.2606566,1627010.2123719663
2015-07-01,32018029.88569296,0.0,602594176.9078437,390644865.0814433,341052169.6139309,2115113.3748207535
2015-08-01,5805287.163802974,0.0,467328433.0248913,348558110.4658587,164469744.05931056,1708360.7185593063
2015-09-01,1038887.8447177615,0.0,375309284.0034394,276013177.6313256,116689411.43432924,813505.1061859832
2015-10-01,44464687.822943114,0.0,620241922.9339464,121956439.52111366,410947013.72147083,406752.5530929916
2015-11-01,84496002.45607235,0.0,769750142.4630536,74752570.8661255,308756792.8513058,0.0
2015-12-01,219012106.215812,2808131.6268446213,878629735.9803736,42081941.98402357,372781773.3440012,0.0
2016-01-01,253280379.8656397,0.0,924327582.8733531,54863609.14267455,353841835.90129334,0.0
2016-02-01,38173483.591481626,0.0,861415741.1608385,188071598.4307924,163333240.3097587,0.0
2016-03-01,39501479.20531978,0.0,692548376.5125943,284260537.1996391,154894651.75671402,0.0
2016-04-01,14833814.202358548,0.0,621642042.8347332,265853057.14340416,209362073.92013565,418463.7477657728
