Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,368764643.4406973,17407127.3560728,1230388836.1922817,89165971.05088258,534760789.30498874,0.0
2005-02-01,118212580.86753583,0.0,1233865261.1944327,87535883.40086168,207625401.7432449,0.0
2005-03-01,172007841.23868787,2637881.7860183204,1228896789.6993194,127501738.02746636,292680037.17544156,0.0
2005-04-01,106833954.17239967,197458.13369101722,1214083403.2641168,144836304.60040832,228654017.2148189,2195626.2339967676
2005-05-01,87859782.07263839,2330924.3957174527,1168493126.8636272,228221211.10078132,256320704.67078754,5708627.916469621
2005-06-01,10652843.031690426,0.0,1016112796.1709749,319224490.5390186,148571385.1913681,8782504.93598707
2005-07-01,2470946.1991589135,0.0,774699541.1010501,371911633.78387284,56450475.16019252,11417255.832939241
2005-08-01,7331865.627515441,0.0,716638614.4832739,263252835.22652218,132605059.27879317,9221629.835179407
2005-09-01,11574056.774513315,0.0,703778500.2231045,221061206.58715686,156692466.99637458,4391252.467993535
2005-10-01,31144438.928869274,0.0,748286327.1347247,176984747.23079443,230013958.89044654,2195626.2339967676
2005-11-01,14830266.052976249,1499.6172720105449,805016219.3685628,106685514.05613212,169101739.75786066,0.0
2005-12-01,37193803.71466185,408657.17500739655,845079461.5487168,97144324.5261973,165217907.76812023,0.0
2006-01-01,53045009.11409989,17279.86129311899,880381947.4094026,92010945.6917736,171460849.17322427,0.0
2006-02-01,32583915.888769593,0.0,860636495.2114766,135580373.09036186,126959062.94745119,0.0
2006-03-01,162770199.78402543,4630266.013534504,1026322593.9977207,112618436.55614917,441822653.8988279,0.0
2006-04-01,61852266.12637353,621893.3438985924,992534621.5951294,168754450.6325918,180247581.75367317,1810650.247757342
2006-05-01,14275156.716802942,0.0,889040848.6881732,240048043.7154166,95050437.27020197,4707690.738541816
2006-06-01,7080473.847173465,0.0,749954143.248285,325679744.0506636,73550019.76297,7242600.991029368
2006-07-01,11247705.658838056,0.0,681975512.5936629,299628554.56002915,121661499.6320404,9415381.477083633
2006-08-01,10645456.715307385,0.0,638309177.5744658,242147788.7482916,85712050.20683992,7604731.080086298
2006-09-01,38077748.66560522,0.0,728721159.5033746,168959351.4730539,278781227.37805456,3621300.495514684
2006-10-01,150797801.55053383,90253.31309545935,942835553.9356385,137557437.02327946,499397824.40890044,1810650.247757342
2006-11-01,49463991.408054404,197852.43317837908,957837664.9583166,114045863.32157016,174995250.0815536,0.0
2006-12-01,126449274.04706983,0.0,1032188135.8217169,87235318.12917109,288290957.1282061,0.0
2007-01-01,133066842.64423199,0.0,1086517046.8154368,59755687.97211782,246637444.861155,0.0
2007-02-01,79169450.68120472,94.47638835191219,1095909939.766186,99189463.96333742,185813966.1628538,0.0
2007-03-01,116553536.44802982,11743.966571072107,1091137549.5960155,163023204.16400138,266949251.87169814,0.0
2007-04-01,43538136.68788054,611.2553512539953,1016366507.9630916,175799249.74642467,122037540.29555725,1543855.4810769719
2007-05-01,78327430.97135606,0.0,1038194009.9635264,263231623.78508514,341927198.0814888,4014024.2990280204
2007-06-01,186491.34606856736,0.0,786055030.4385921,356414993.0686261,13750456.881343333,6175421.924307887
2007-07-01,2138015.0324841533,0.0,662627211.2074898,318645206.8674748,74796229.01318657,8028048.598056041
2007-08-01,18031522.464571703,0.0,667068021.3034657,281829792.2632846,211262896.8748509,6484193.010124276
2007-09-01,69924909.12112369,24.43749200614995,796673332.6084174,205527173.50749022,395425818.3779461,3087710.9621539437
2007-10-01,76258041.58073896,200293.10416797316,841105849.7197179,166897528.0605118,273407448.16553587,1543855.4810769719
2007-11-01,2786969.530521694,0.0,786166381.8899909,130176223.55843434,51477578.21655509,0.0
2007-12-01,134650176.95449767,725216.0085247833,961515536.23968,38091805.85100954,348259396.6253339,0.0
2008-01-01,174288049.36448884,4151117.1605557557,1086941316.366436,58963395.96483581,362913558.5242184,0.0
2008-02-01,224702249.36455715,262461.97663141455,1147694120.8212833,90591217.90614104,376480258.6685529,0.0
2008-03-01,182329597.2411233,61.39151447279607,1175008126.6828809,87267708.846661,295046802.5165107,0.0
2008-04-01,22706740.929793533,0.0,1104379108.0081906,147752497.28911555,86036522.08609797,2006420.2434888484
2008-05-01,60315466.633981794,0.0,1061144874.6294732,197352380.12440145,189246430.8751642,5216692.681725899
2008-06-01,14472842.649081906,0.0,930893440.084779,303375245.0141992,139285632.7292539,8025680.973955394
2008-07-01,7031807.477814299,0.0,757328758.4797498,345155032.7823596,75225940.54288743,10433385.363451798
2008-08-01,29846997.99942979,0.0,730965614.5431331,283154566.2489526,198341511.52603987,8426964.840050807
2008-09-01,50683067.470566235,0.0,766921324.6910564,190295819.98578253,246171370.30198905,4012840.486977697
2008-10-01,43979696.42228246,0.0,774104744.3318703,152433204.80751973,165858701.95356843,2006420.2434888484
2008-11-01,12049264.805776395,0.0,767414726.9066551,108056834.7183304,89371689.83010936,0.0
2008-12-01,68567391.7688117,331836.72536800423,885107099.5956218,69926460.18458855,255030454.2229498,0.0
2009-01-01,63575084.679501444,0.0,936068550.8998133,111010211.84854393,221240135.60971466,0.0
2009-02-01,52225399.86370849,0.0,959875153.2497164,98645739.0590702,170786139.53700116,0.0
2009-03-01,117579882.92727876,64979.94826489642,981171194.2925931,140502426.45576987,269239216.2230997,0.0
2009-04-01,363623398.31135684,10066802.559616521,1071016726.8345325,159539399.6600361,617363131.9697965,1632844.118481009
2009-05-01,45967603.660562225,0.0,1033810376.7489526,210259944.1604749,194047744.33326268,4245394.793552155
2009-06-01,229702323.26278487,0.0,1092886243.8211577,259037810.96140262,538256478.163775,6531376.473924036
2009-07-01,12501168.422338828,0.0,949034109.6080697,354927446.1999603,167266291.13741744,8490789.58710431
2009-08-01,13084193.37543686,0.0,835709136.4880118,308163012.584069,124939267.79442689,6857945.295151485
2009-09-01,26615266.787565444,0.0,821641677.1542948,215331217.96539733,183730803.0172556,3265688.236962018
2009-10-01,91178986.79493031,357.131984113651,915646512.8218179,146114893.46366265,321165673.4153283,1632844.118481009
2009-11-01,13126101.706496276,0.0,888294587.764629,129382725.26245734,92376644.25459799,0.0
2009-12-01,70308085.46186966,3.3395285275369173,969025936.6880012,62567736.882725716,212862729.50716197,0.0
2010-01-01,49093642.05494138,20296.743899561516,971670188.9088798,65707124.91210188,113517080.7326212,0.0
2010-02-01,53066496.30305895,0.0,975892593.3589131,80606707.33440888,130497976.34216489,0.0
2010-03-01,239834275.38446373,750479.9375416694,1031622851.1080182,101873579.00486186,393779126.5642997,0.0
2010-04-01,247327500.76946396,5576162.283733351,1048946339.1761446,124885427.19746923,379974737.47827274,2038624.0975764096
2010-05-01,122305309.5047392,61127.611848980276,1036736422.1712877,175915387.370365,258534267.85197365,5300422.825963706
2010-06-01,51274039.204194285,0.0,954995144.3098351,322709819.646221,230835834.0748345,8154496.390305638
2010-07-01,17534848.738268502,0.0,856614105.1936022,360564620.87860847,179811281.65605783,10600845.651927412
2010-08-01,40066763.348120295,0.0,842481267.2570636,311063071.17482954,275107597.9058135,8562221.143228585
2010-09-01,1282799.7951704145,0.0,736328401.4986341,246302170.00920683,39206798.81067863,4077248.195152819
2010-10-01,31223363.58139798,430.14145185933796,795589696.7634131,142314100.5746039,211445768.54831916,2038624.0975764096
2010-11-01,119977061.40092571,5790845.810295956,937263876.5763402,91570845.99150847,357116408.5393768,0.0
2010-12-01,385562807.6964071,11280109.894710202,1144063400.104181,56483972.518900804,661426835.0008931,0.0
2011-01-01,93902752.40579952,0.0,1149796466.9103582,90705844.85198098,189094634.0940671,0.0
2011-02-01,163415730.1411987,1226533.0241451364,1165015047.5018,94843415.57385485,273317912.25604314,0.0
2011-03-01,163245775.0079421,739396.6393786275,1171384341.0749774,74149840.39453982,241359577.34798783,0.0
2011-04-01,309074948.2676694,15670281.008591553,1190051540.3065941,103667295.44704853,440919927.73422676,1942460.6728209087
2011-05-01,484374644.39820206,7763957.941196247,1227944578.1607637,172520617.6890028,697640606.3817375,5050397.866940965
2011-06-01,14822339.032549333,0.0,1100824312.1596475,352643496.4958399,215417366.08836955,7769842.691283635
2011-07-01,79429489.21782038,0.0,1101728468.0751731,381712504.19851005,433741824.7166259,10100795.73388193
2011-08-01,21096575.282833304,0.0,984141025.0794058,345687986.0294831,211033320.818773,8158334.922296332
2011-09-01,7986409.471694831,0.0,896832603.2182355,227111924.1473159,111519905.76514341,3884921.3456418174
2011-10-01,163096762.29511005,1026399.6986767281,1060698668.9159263,139969247.84395707,465953630.15103316,1942460.6728209087
2011-11-01,186695334.80395555,9409.47855833964,1126194088.341631,81528813.24828427,333545287.41869164,0.0
2011-12-01,150303406.8937328,0.0,1151532584.1312585,56694094.10310974,231582158.56643185,0.0
2012-01-01,76577787.01127529,0.0,1150765675.0345356,98190756.86296533,171845803.63284594,0.0
2012-02-01,293408559.32528913,628976.1305528303,1194421332.3502762,64703974.92535694,401344283.09119374,0.0
2012-03-01,99790478.94611324,255324.56868775678,1134345408.2473316,135231056.26034364,166277683.42039853,0.0
2012-04-01,85498332.80495316,0.0,1118803498.5932665,197736293.2933777,248700216.8933277,1960864.150817643
2012-05-01,329020.61098726315,0.0,929628698.6711969,273332634.0526202,29004703.812263474,5098246.784896438
2012-06-01,196110.1098526307,0.0,703381329.5781341,332875860.3837183,757.1489069604052,7843456.603270572
2012-07-01,5582430.760337111,0.0,682683761.5042541,285402958.3930094,171438980.14369273,10196493.569792876
2012-08-01,1299981.5301283046,0.0,607718581.2720596,267417012.30779123,56295920.442852646,8235629.455581092
2012-09-01,7205086.075862345,0.0,619253052.0278031,200725165.11614537,149432611.5247356,3921728.301635286
2012-10-01,30992069.850976318,0.0,706743875.9322932,161413644.413554,262854947.0420354,1960864.150817643
2012-11-01,52455099.76132655,255231.2574493128,802149209.477945,110774202.24341735,247947122.88884205,0.0
2012-12-01,204136788.1081586,1132554.870517754,1019992269.3249565,87374319.79892938,509893408.8731915,0.0
2013-01-01,90221177.80800132,0.0,1076986598.034678,86942787.77186269,232579112.55804753,0.0
2013-02-01,128372462.8454314,0.0,1127770700.5656273,67394987.47720686,244907873.55617827,0.0
2013-03-01,196596567.84401715,18508.00185996654,1164742321.0960956,95606636.36173268,324004730.62630206,0.0
