Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,393461688.72722304,562274.7384579451,900847785.9944463,58196640.24336661,615356326.1831628,0
2005-02-01,194674340.85206607,0.0,909104497.6857743,169374690.5517353,372171897.88813514,0
2005-03-01,19335910.117129672,0.0,724003525.849651,346912132.0365301,174637031.68550274,0
2005-04-01,1257621.7501378779,0.0,417449410.97997195,545490477.4873099,175374080.03917,0
2005-05-01,97402.45367050411,0.0,198972331.46084982,495630024.3414088,53054794.66768985,0
2005-06-01,111540.45382936632,0.0,109622948.45321016,406880160.8975863,93244999.85513414,0
2005-07-01,233343.4686869177,0.0,79526334.99269086,460907199.12085235,161442196.01645088,0
2005-08-01,988573.6132871566,0.0,116774114.61855029,374674571.12843937,307550700.1465618,0
2005-09-01,3376747.1256928956,0.0,215507511.3958928,175986112.78558305,258023433.37848186,0
2005-10-01,3583214.8123300793,0.0,254390605.2227999,173728941.21613178,199201731.43695864,0
2005-11-01,2106.566019100614,0.0,188713113.00252938,111501232.97255383,11210445.019746812,0
2005-12-01,43875.23945347731,0.0,176406472.48936844,89610979.63652936,65034559.12292871,0
2006-01-01,226370.37908428579,0.0,185935625.0367361,120153675.25441374,114309092.2948799,0
2006-02-01,23703.30676319219,0.0,130300234.60572192,148119873.0393872,18449481.33793583,0
2006-03-01,10142471.107783236,0.0,345307259.49430484,247132294.33891127,440807632.7734914,0
2006-04-01,12065.691274329038,0.0,131267950.05131148,497094544.8325044,35458998.00972423,0
2006-05-01,0.0,0.0,44613338.649246484,549819733.0675988,137458.96289547734,0
2006-06-01,0.0,0.0,31449486.811347824,412428724.66966236,47032705.60057453,0
2006-07-01,5173.380611485452,0.0,28275359.905203234,422307179.9668868,112189946.70214641,0
2006-08-01,50674.756958150465,0.0,26195211.7963046,441907454.9265441,136342167.86588767,0
2006-09-01,296682.40835068235,0.0,31912851.93643418,249290898.13342303,124017598.47424233,0
2006-10-01,61671237.95481168,0.0,689523774.6710223,167807068.98960596,890284548.5283096,0
2006-11-01,677704.691800007,0.0,638004548.9498225,133226473.04201305,80668346.34013866,0
2006-12-01,15144224.775925385,0.0,723793329.3009475,43367139.899999104,144936439.1931003,0
2007-01-01,28359673.122150563,0.0,776902716.0131859,65899008.50093369,147143988.8387493,0
2007-02-01,11495080.066851823,0.0,764836857.5608755,95612758.9305586,92719552.43382262,0
2007-03-01,603263.3099032594,0.0,578465206.7326638,259211972.847127,61956912.53933605,0
2007-04-01,167192.05612530847,0.0,324926209.3257917,461795691.0080637,148961050.85777986,0
2007-05-01,76302.85787701531,0.0,88900194.6687295,673984524.3475497,65218435.75496721,0
2007-06-01,0.0,0.0,48790627.290435866,424117321.4846076,852380.7625699608,0
2007-07-01,57710.32738417921,0.0,32744930.75153538,572126171.1603583,189363969.44328284,0
2007-08-01,48533.529638478,0.0,29977689.889451563,506615729.70144063,239858164.9126474,0
2007-09-01,56779.647184207584,0.0,33837598.27135923,300971135.55275613,167656060.68424252,0
2007-10-01,3142.1900541496275,0.0,24485120.515366327,253024922.2959983,94063857.48974189,0
2007-11-01,175266.87148506002,0.0,103297464.62850659,91363354.35473682,166431981.3013828,0
2007-12-01,3940262.943548619,0.0,350943333.1663702,71122976.67688094,322808972.33616066,0
2008-01-01,118514934.34255458,546841.2859125852,562344986.5990354,79538520.79723266,409782450.87317634,0
2008-02-01,182639972.94548383,2749.252901978066,697700720.8562107,118331111.92819266,435521274.0077272,0
2008-03-01,292544.3899759239,0.0,513253181.7893863,249104118.53228074,44951968.26517563,0
2008-04-01,22568.222392100604,0.0,226548023.6625591,549529181.6773267,70372557.48903732,0
2008-05-01,679799.6067979552,0.0,159841872.5084847,536138413.2016133,144670781.7068117,0
2008-06-01,120686.9151030859,0.0,84631974.82201073,475072107.04714245,77922283.4470507,0
2008-07-01,0.0,0.0,37667762.70341965,505479226.51715815,45419941.30440814,0
2008-08-01,17464.393412779704,0.0,26968859.48532498,541277760.3691132,257379925.34462485,0
2008-09-01,1357.83347342138,0.0,16951727.594082143,315370274.6672862,18158508.964315314,0
2008-10-01,13636.37401890698,0.0,22603831.17024854,142072240.74632803,89926355.64124429,0
2008-11-01,161532.22071695776,0.0,91428516.23296562,85272650.05661345,149499208.40930572,0
