Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,351831492.1013937,0.0,885182337.5161,85745838.02832165,547017859.4916235,0
2005-02-01,204892850.87828237,0.0,901379384.7392795,86644969.59443128,309476277.49890625,0
2005-03-01,75590481.34073956,0.0,883026202.8027457,132696977.8256705,183442440.7121231,0
2005-04-01,43783170.423069626,0.0,844149683.657106,173024311.52591366,161946753.04477096,0
2005-05-01,4387992.317707896,0.0,733005154.974693,220940388.7440627,74342419.17087024,0
2005-06-01,7375905.557082958,0.0,619228575.456227,281819908.6811842,100066183.55008419,0
2005-07-01,8032384.710452465,0.0,521865499.4543631,300052467.9131687,117563954.50406119,0
2005-08-01,63612571.60568018,0.0,583344283.658157,202348418.77126276,288685114.64198625,0
2005-09-01,51628762.24548665,0.0,593122755.2933444,214608554.42897242,231948670.28419644,0
2005-10-01,49446172.79486808,0.0,591063358.0880296,198588908.3129724,213094269.5228135,0
2005-11-01,739348.5303133833,0.0,533828982.6098353,141122395.4316862,34898224.14121435,0
2005-12-01,3141896.4961140114,0.0,524100018.0160511,94728148.8544313,66629411.79112849,0
2006-01-01,14667750.303407283,0.0,554877985.4159589,96167725.87996867,130407337.28149487,0
2006-02-01,593579.4199641511,0.0,493447842.6716831,136175743.91627443,24971715.46020027,0
2006-03-01,94525671.07832839,0.0,642696884.3909014,165621088.02206266,390006538.95265424,0
2006-04-01,2685726.9981907513,0.0,558797141.0084602,200393046.13212532,54700254.244933456,0
2006-05-01,182026.0437108467,0.0,465029125.61266255,228508602.925545,14800461.890360763,0
2006-06-01,527862.019371089,0.0,391957463.23865515,290323493.1829722,40677280.69987777,0
2006-07-01,23646333.988861844,0.0,432647546.8773414,241538426.04675296,230935009.9340693,0
2006-08-01,28100528.610793553,0.0,443099005.8705771,215222749.8229802,182544537.3733335,0
2006-09-01,19716998.90720622,0.0,450703606.1014076,154358287.35930973,122243046.62148814,0
2006-10-01,363616279.8122919,0.0,787301490.7545664,122551376.33934113,825527438.025758,0
2006-11-01,15821643.657314317,0.0,754103838.250452,110981068.44183525,88697606.29274268,0
2006-12-01,37084109.191831715,0.0,762559435.0778855,86904889.87403129,130773232.92180398,0
2007-01-01,40522628.768048055,0.0,770954002.9969456,79389783.41558428,126445861.19115719,0
2007-02-01,19978338.97342725,0.0,737153181.6638404,122040510.87461172,101199747.1945791,0
2007-03-01,16502411.498497462,0.0,674040696.25559,177634371.4097725,105678949.6508546,0
2007-04-01,33103050.59810711,0.0,651242311.516613,185383666.66076863,160087850.67323267,0
2007-05-01,9890086.286572583,0.0,600473294.9883301,200479744.51474506,98407683.39642245,0
2007-06-01,60171.5480167783,0.0,481366634.84219235,268460723.70625085,17486465.419779047,0
2007-07-01,40027680.38682905,0.0,522861111.71619177,242624524.60885477,258164560.28645182,0
2007-08-01,65905389.764350325,0.0,543165186.0304459,227550547.07621184,253386200.1624556,0
2007-09-01,54948750.995877795,0.0,560369523.157183,201848276.85949785,234525775.85203204,0
2007-10-01,12054581.256020982,0.0,536265690.9802781,178636150.16588235,99403615.71483566,0
2007-11-01,2279744.956850977,0.0,505631574.27197707,136928172.13118428,49815653.839523874,0
2007-12-01,132308798.21376362,0.0,683834519.1481822,74959056.146847,388644673.58802074,0
2008-01-01,160126511.24828744,0.0,793325831.7981483,77091750.97586666,347618033.38355076,0
2008-02-01,170502678.36032307,0.0,831385356.4113768,92481993.14147452,298898427.23792595,0
2008-03-01,10455144.487765953,0.0,754168061.6388053,153744474.45384336,68520163.45208831,0
2008-04-01,3719552.947749938,0.0,671687102.5703624,185786360.66261956,66761425.59354253,0
2008-05-01,16718910.856536042,0.0,629323985.1842908,213438629.49209413,129037193.04889889,0
2008-06-01,9359289.084665854,0.0,530539628.4001042,293633915.3625883,92459592.28999786,0
2008-07-01,5986351.618830721,0.0,468062535.89019465,263838711.07979602,99306593.49506673,0
2008-08-01,45053053.86242515,0.0,496990335.5268741,231275037.83274505,235882358.73255023,0
2008-09-01,1112224.5135675755,0.0,441399248.2012669,203342602.60865876,37890187.15497819,0
2008-10-01,5590163.719967644,0.0,431280378.20718515,170465668.97167054,87001142.63137552,0
2008-11-01,22424818.586503897,0.0,452572956.148862,134754990.48734897,140843030.76464155,0
2008-12-01,186954310.92647004,0.0,720070958.9683927,77685006.52560787,535552948.3876559,0
2009-01-01,8413320.867379263,0.0,689974072.9095,91559166.8542353,67274590.26929595,0
2009-02-01,5294947.017106437,0.0,638140423.5517275,138160174.62122348,78194435.4518247,0
2009-03-01,5538010.026365248,0.0,569799831.1568488,181436454.33879194,70283200.37681872,0
2009-04-01,12030977.428809928,0.0,546944028.4801426,179968804.74912935,109979922.13367178,0
2009-05-01,85757732.1600246,0.0,604670376.741915,227445716.83326283,316646487.0740365,0
2009-06-01,6463617.974251192,0.0,519230173.2828892,265269488.85429808,93855964.29000483,0
2009-07-01,8052237.721918626,0.0,457904022.60030526,272461506.3232078,76893128.23436177,0
2009-08-01,766775.1881350674,0.0,404737104.6733314,251424043.07834497,26900683.58966368,0
2009-09-01,6731572.581165718,0.0,405673643.5858735,189206120.7186744,104410662.25012627,0
2009-10-01,2836247.25700973,0.0,369891243.4347399,215193512.3686665,85787257.67039599,0
2009-11-01,2675933.6201847615,0.0,362144685.0715129,147537717.55804706,82206266.64960113,0
2009-12-01,133288930.8698371,0.0,689247621.2207817,75137209.95436858,539486412.8731306,0
2010-01-01,276770111.8730164,0.0,857054830.1630236,54261561.55504317,502119313.88905793,0
2010-02-01,218174868.9402984,0.0,893882171.8636161,70139150.73735687,324836202.9583993,0
2010-03-01,115928795.48137431,0.0,882648548.1914035,155300034.34068224,252703474.3984038,0
2010-04-01,2010882.4721066009,0.0,767934766.8612281,185073687.95772558,41858412.17612003,0
2010-05-01,277538.7369185881,0.0,622197140.8029379,228713394.50331753,19882644.818002813,0
2010-06-01,677403.9408875891,0.0,472452683.91630363,295740764.7646745,44544283.79889108,0
2010-07-01,9778214.420926644,0.0,446893680.3624757,286297121.808596,187506961.2626377,0
2010-08-01,45229222.377707966,0.0,506097231.4975588,245607504.67376462,302832518.2421601,0
2010-09-01,4317454.388948677,0.0,447048664.06087744,231507634.02211753,78768180.18397324,0
2010-10-01,112628590.50858165,0.0,567495877.5690699,133036212.03866659,359166550.79360443,0
2010-11-01,6585617.395914683,0.0,544467591.7430227,115443316.49352145,80364220.314044,0
2010-12-01,158265172.24688697,0.0,744680661.9438927,87407342.0512706,447822912.5757282,0
2011-01-01,3745713.360101606,0.0,697680123.0577586,71575855.80095689,24941184.26932407,0
2011-02-01,23009655.953456305,0.0,682681625.956291,127068862.74638425,122988184.38245913,0
2011-03-01,8133371.775351614,0.0,618812806.2274243,177973155.1106744,78042843.3213415,0
2011-04-01,34653383.193030946,0.0,625117061.0701984,179015025.20229816,177561429.57292435,0
2011-05-01,27412391.148662858,0.0,600166587.5129008,214564579.5676784,144051416.87575856,0
2011-06-01,182282.01919174145,0.0,461262259.54092175,322453775.23947453,22224327.089123353,0
2011-07-01,72824217.88602649,0.0,520623393.42698616,298731135.90229034,336000136.3456558,0
2011-08-01,20000564.30730862,0.0,491221004.0806354,260254697.88275304,132268591.17599201,0
2011-09-01,56763554.451689854,0.0,516692449.7053438,183029050.5723923,224382794.98720714,0
2011-10-01,49856844.96745971,0.0,534789482.09569836,153419260.65644702,187732162.20794487,0
2011-11-01,31893508.71722137,0.0,546056607.3262436,127874420.11267446,145359323.6754367,0
2011-12-01,70800049.43367547,0.0,599493422.5004377,74839799.12788233,198073018.54714727,0
2012-01-01,41275140.95660173,0.0,618320396.0576808,114860675.46994509,163654607.3869745,0
2012-02-01,67346566.81106803,0.0,672004225.5611444,104696323.49138036,211292257.42228657,0
2012-03-01,21763237.92550638,0.0,631441887.2343332,188779602.41745892,124597528.54998216,0
2012-04-01,2676563.211287803,0.0,555307869.3908901,218589247.7897176,56138876.44966876,0
2012-05-01,0.0,0.0,437763940.27328503,267106594.0601177,132464.73209296094,0
2012-06-01,0.0,0.0,337889624.9059656,312456177.9611688,374532.2376721609,0
