Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,606298555.5064101,114507856.58958738,738291501.2485403,53288179.449607834,782496058.5296665,0.0
2005-02-01,403593353.81728977,4234228.02167261,738477498.8871094,49947142.02862748,457960721.50615895,0.0
2005-03-01,310962686.92483026,15409788.931429688,737985510.1008786,68359796.4755608,394240283.5455902,0.0
2005-04-01,85032809.48794834,0.0,721789125.844053,80057974.83138041,143775040.93936628,5119359.123137411
2005-05-01,23910258.723810364,0.0,667484142.0238295,123090573.4618275,79385514.84815218,13310333.517262368
2005-06-01,19505725.409839,0.0,611847724.2417185,205555598.7650354,148947469.9002132,20477436.492549643
2005-07-01,10455694.292138815,0.0,474883399.1855798,207606669.05955288,52005522.487657286,26620667.034524735
2005-08-01,24549940.975864846,0.0,494819857.5109988,159061169.25171757,179206011.51672977,21501308.50096807
2005-09-01,4243590.624730786,0.0,420371215.8167899,147110080.9412314,47283009.35704234,10238718.246274821
2005-10-01,16524749.066351045,0.0,472357765.0678724,90658670.16832161,152620548.59317765,5119359.123137411
2005-11-01,8141306.333555705,0.0,469191378.8437908,83617580.63950592,82499291.279527,0.0
2005-12-01,43888976.530808955,0.0,539430361.2207968,59082558.25944314,172719331.03911695,0.0
2006-01-01,93388966.49536252,0.0,609918269.1790009,68871238.89536472,232748113.34893146,0.0
2006-02-01,60778089.31815244,0.0,607138534.2955508,95591331.82796076,153332360.8113636,0.0
2006-03-01,391077109.8196312,46740802.66563175,714330355.3599402,76572075.1982039,621581808.7478558,0.0
2006-04-01,35389593.16187145,0.0,677592019.0277197,96976335.07006274,89939309.91473676,5688281.984977626
2006-05-01,5514250.233500655,0.0,551564944.9241887,153828562.02504322,15071911.76830538,14789533.63327793
2006-06-01,9666267.00042124,0.0,406450271.2873919,185713499.76099607,11441782.12727406,22753127.939910505
2006-07-01,36463951.40232724,0.0,466646469.73571265,166259866.14483914,228957361.49985608,29579067.26655586
2006-08-01,18189498.063007843,0.0,397053323.3002567,170200128.78974897,65070380.629780754,23890784.838240385
2006-09-01,15933326.566895103,0.0,399013806.7031505,115008274.07152158,108697412.87096708,11376563.969955252
2006-10-01,68145931.48250866,0.0,546904928.6015671,78424212.91403921,288772984.3099867,5688281.984977626
