Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,646043172.0333244,169401341.93835276,738477498.8871094,9212728.128815692,833303177.4656991,0.0
2005-02-01,430271727.7305509,4900231.759916703,738477498.8871094,25318161.17260393,460490120.6630716,0.0
2005-03-01,324571186.48267967,15934085.013176896,735531731.7307521,63205507.984815694,400765012.32431483,0.0
2005-04-01,76409573.62686335,0.0,712105677.8760953,89852391.98797649,137716552.6370459,5119359.123137411
2005-05-01,19184996.72524271,0.0,626477763.0241318,146169684.64166275,66416432.997679465,13310333.517262368
2005-06-01,22056226.699953713,0.0,581671318.1885934,179751554.5486039,136523899.92046982,20477436.492549643
2005-07-01,8651687.882469818,0.0,417192797.96225095,232116390.84058827,47901328.46215863,26620667.034524735
2005-08-01,13521954.920502782,0.0,411854177.1183405,192286019.91814122,174174866.2271771,21501308.50096807
2005-09-01,1766212.7698249472,0.0,310392900.7576091,169898679.59970978,39677683.86393657,10238718.246274821
2005-10-01,6399656.298748013,0.0,338799679.39581233,125111321.2064,150796313.60542494,5119359.123137411
2005-11-01,5942173.613491857,0.0,363706353.4963024,53500299.65580395,78718599.08564413,0.0
2005-12-01,42450446.40672642,0.0,490990342.5113047,19363478.115160782,189097913.53688964,0.0
2006-01-01,107603694.89931226,0.0,594058820.9244678,13720834.618705887,224393007.93118122,0.0
2006-02-01,95217354.74376614,0.0,612189978.2036468,51207945.39092553,164556457.4138708,0.0
2006-03-01,366227919.7459625,41751187.23752586,703180607.2337776,109704588.81848627,608674324.8321052,0.0
2006-04-01,24437423.094538108,0.0,624286834.6693375,142826429.8876783,82681798.43279888,5688281.984977626
2006-05-01,5532999.241547597,0.0,463645023.8009136,187157547.00671372,15542227.986481229,14789533.63327793
2006-06-01,7324743.8743325835,0.0,290337702.78797877,224381250.6530825,10851775.808138883,22753127.939910505
2006-07-01,23352581.79016934,0.0,311975098.5593831,234850153.39316076,239755969.1261675,29579067.26655586
2006-08-01,10482720.923334911,0.0,228328895.4527145,220756443.92462724,61765784.14401488,23890784.838240385
2006-09-01,7781877.431399853,0.0,231298146.02635515,139037328.99477652,116231427.92650397,11376563.969955252
2006-10-01,29533639.156743605,0.0,397122182.8967877,93718047.82678433,283387441.8689831,5688281.984977626
2006-11-01,13559838.335147917,0.0,447756334.02250767,59622170.80645492,123816160.26732299,0.0
2006-12-01,82530546.98889971,0.0,617384169.8880574,20386581.5947451,272544964.4491943,0.0
2007-01-01,95707549.79851158,0.0,682173488.187738,14402754.291254904,174899622.389447,0.0
2007-02-01,131483316.66566499,0.0,701255070.7763731,44249162.85434509,194814062.10864475,0.0
2007-03-01,30833104.88565337,0.0,654947252.6600604,123126998.00352938,107652284.77287038,0.0
2007-04-01,22463636.586474128,0.0,618019033.1097077,162899022.4285725,143885880.60469237,4548558.860001554
2007-05-01,2518736.480309978,0.0,460550709.63781756,203768490.3690982,34166265.72018618,11826253.141828151
2007-06-01,5305071.631239183,0.0,320095207.8528986,200688689.28589797,27784480.39421387,18194235.440006215
2007-07-01,15496233.85578467,0.0,292068446.61245114,212246626.94073734,152320015.45871574,23652506.283656303
2007-08-01,12115246.635522626,0.0,269391005.8174383,239016732.37551376,179482875.89372864,19103947.26283979
2007-09-01,8490583.497040382,0.0,276271050.4217605,178570097.0597882,167065862.2091818,9097117.720003108
2007-10-01,1229789.249421416,0.0,247520480.03005245,100996099.43500388,34231273.41813994,4548558.860001554
2007-11-01,3999501.5587576083,0.0,312961312.92996585,64652518.190156855,131279379.40532997,0.0
2007-12-01,125074522.70285691,708883.8089414032,628022905.657469,21254229.71516078,462099228.95446223,0.0
2008-01-01,459936982.4449825,40922040.43574913,719278115.2938828,21791750.8920941,613905983.4092396,0.0
2008-02-01,324664880.1655315,0.0,731376844.5049994,14915631.123905877,351679240.500554,0.0
2008-03-01,93753128.61146492,0.0,710480149.5104555,66737577.85785099,139594011.47477213,0.0
2008-04-01,3761029.8880713587,0.0,610982851.7567989,121190265.37070584,19880256.383368526,5573741.121752812
2008-05-01,7178163.681673942,0.0,531289954.375975,174681316.32356086,87674855.85762896,14491726.766781293
2008-06-01,8343507.311979523,0.0,384693004.08671564,200225208.1922745,33914497.728387475,22294964.487011246
2008-07-01,17213926.165549748,0.0,332291256.1926352,231219427.23661968,145770938.55568376,28983453.533562586
2008-08-01,12564740.309646856,0.0,295594985.1176533,196575253.58456475,121271119.70596461,23409711.8820732
2008-09-01,1188986.6073030801,0.0,234488253.03581867,143131434.90948233,24352550.47362726,11147482.243505623
2008-10-01,4008916.251812761,0.0,250605093.445846,95022087.72285485,98459193.97171484,5573741.121752812
2008-11-01,10409185.97403397,0.0,378989204.6890579,36434595.401537254,175227892.61878303,0.0
2008-12-01,284088733.75848216,10830971.194945998,695329268.0588385,12503240.218564706,623763008.5417737,0.0
2009-01-01,245646962.70539984,0.0,729456679.7221729,19012991.605952933,298787365.9746872,0.0
