Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,791939110.5518522,71125485.30647483,1106275316.5581608,63175120.23041565,936016286.8256409,0.0
2005-02-01,591122691.834219,535402.6714777026,1108725938.7851253,120502409.86073731,714611126.5933987,0.0
2005-03-01,163159090.45135137,281195.6253938729,1063736101.8795346,351838524.67636085,470288973.8475164,0.0
2005-04-01,94809986.37219153,15138011.42228177,910372458.1673304,464216536.25041604,411603748.6377803,9197141.694904627
2005-05-01,10432592.784582462,1092606.4849343367,435839516.22443324,612645091.7906194,115640701.2951647,23912567.675273508
2005-06-01,16482106.086509025,8133803.5275658425,301597356.4591123,376187526.7717096,186824952.29271924,36788566.77961851
2005-07-01,18712037.41598301,11432629.74393287,154688738.97350156,507632619.9223684,106050698.76597595,47825135.350547016
2005-08-01,16358496.537524426,8145887.877845384,135258681.448312,482263880.70887065,305894800.69792014,38627993.8312498
2005-09-01,9022656.058586024,365889.551975851,109241180.62076606,282457354.16015667,46375453.32259862,18394283.389809255
2005-10-01,12665477.55535941,0.0,241003836.71200925,137545944.71544322,272237820.0586173,9197141.694904627
2005-11-01,790036.8684419221,0.0,236674176.24074113,77737632.91728628,71212376.21479708,0.0
2005-12-01,6713211.658833388,0.0,386081957.9922131,46886251.913560785,202644606.64379773,0.0
2006-01-01,30835057.696890954,0.0,513450241.3635432,67635373.84788239,224345968.7218783,0.0
2006-02-01,35373173.05969676,0.0,501688205.4032731,148331693.0478824,165704872.16797256,0.0
2006-03-01,258527748.5435181,33979688.46709269,851908512.5130589,274309947.7620548,917037691.8824521,0.0
2006-04-01,5435983.748515873,0.0,580954268.1973375,436134080.9396626,153059531.14868256,7980223.193376496
2006-05-01,7869437.709135531,402552.4718714301,252334131.064913,469427713.7885645,23411772.338076282,20748579.14110681
2006-06-01,8558950.048828583,3663212.2280560867,44613651.59175661,788886852.929342,34497246.964834906,31920892.773505986
2006-07-01,12555389.467534844,7622607.497562887,31562853.027591363,728474971.8653258,294994831.97437614,41497158.28221362
2006-08-01,13293792.703205895,5402593.202754823,25238443.96507449,474613664.5348001,40237410.620701745,33516936.75483214
2006-09-01,8384287.129458737,0.0,24363973.994081922,308732002.48657244,62233992.02989958,15960446.386752993
2006-10-01,7248995.899820292,0.0,271143199.0848371,128081827.52951376,373671152.78706855,7980223.193376496
2006-11-01,112101.84286753745,0.0,246615588.18418217,100092042.69882351,71733637.41591743,0.0
2006-12-01,8195984.677282335,0.0,471531295.7093279,57116970.31868235,289773927.8512104,0.0
2007-01-01,45864182.15017651,0.0,558717022.3017361,55954515.525113754,187406672.30854765,0.0
2007-02-01,63011121.09512176,0.0,631668894.6518795,98763052.99941958,230966383.70019045,0.0
2007-03-01,11022190.132312398,0.0,497629923.15780485,235612853.05843928,89252422.96755794,0.0
2007-04-01,3444349.7921877275,0.0,401549796.9822498,361850437.7342118,222028444.97516,6038114.46323854
2007-05-01,3646136.00968891,0.0,143080826.17676654,528258840.4806906,27966964.24610758,15699097.622348562
2007-06-01,7129657.5550784515,1657108.5385923781,64581870.7028665,421154439.870525,21649580.79513951,24152457.85295416
2007-07-01,10614401.255083824,4137167.734167302,53720655.0419665,500123174.1960549,189130748.76626936,31398195.244697124
2007-08-01,11058819.426413272,2617865.4670519806,53407819.68652024,463799584.1435061,248475277.22713882,25360079.842339676
2007-09-01,8380138.858360747,0.0,92008199.02444458,299354831.14867437,291031418.31213105,12076228.92647708
2007-10-01,927149.6376706543,0.0,50474082.517238095,273799719.22443134,11829471.483285284,6038114.46323854
2007-11-01,2361711.302195969,0.0,239105114.2340924,65157161.960870564,256149904.97992092,0.0
2007-12-01,43332640.46205423,0.0,655648392.548078,34270016.017662734,494145934.79370236,0.0
2008-01-01,377161440.7067375,27040302.38116482,970684181.0921199,52411006.167207874,771648537.7991519,0.0
2008-02-01,343738354.8344536,0.0,1034667722.7139021,173690462.74357647,581412359.1998119,0.0
2008-03-01,27465835.89873464,0.0,809104359.9616596,305555843.2571293,106021721.94738339,0.0
2008-04-01,32677.878269600347,0.0,412271941.5904844,431082396.4997091,14973224.483977938,6339341.364334632
2008-05-01,3363841.7791651506,0.0,237318685.9903669,393190166.20633745,124206998.42306173,16482286.474556424
2008-06-01,8152604.3803023975,2155066.8143347255,127748135.375924,426571694.29884696,42207166.747008964,25357365.457338527
2008-07-01,11998520.980213257,5245169.970407609,99906644.19717583,505756962.56236064,186805794.2124313,32964572.949112847
2008-08-01,11222048.667671021,2818115.0950143496,90690989.75118244,410502973.1154353,199525220.1217277,26625232.16277743
2008-09-01,6574813.666121068,0.0,87509493.32378301,151980596.46392927,27026461.035575178,12678682.728669263
2008-10-01,4329553.392627206,0.0,135702135.50974512,91853428.4029569,127791617.95163472,6339341.364334632
2008-11-01,6518365.496738497,0.0,328296156.29834014,54592565.260619625,253624966.98391026,0.0
