Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,768253457.1344113,61492048.046009496,1107174398.0098915,90584098.41431381,936016286.8256409,0.0
2005-02-01,610543867.6944268,535472.8656737809,1109888299.3775349,100817884.66565488,714611126.5933987,0.0
2005-03-01,318457813.81429976,253856.45202916703,1109203553.268863,152262049.6898588,470288973.8475164,0.0
2005-04-01,211675612.6117263,15396189.682281768,1102621592.5439634,200311048.76357642,411603748.6377803,9197141.694904627
2005-05-01,15303675.046496106,2082009.9969343368,949158047.6254009,275631128.84556895,115640701.2951647,23912567.675273508
2005-06-01,17473790.368375205,6800259.663565842,716496277.1519902,436857776.1050119,186824952.29271924,36788566.77961851
2005-07-01,22321867.054594796,11131506.93593287,457303853.7009943,421454603.3515375,106050698.76597595,47825135.350547016
2005-08-01,35512656.46219333,8662098.405845383,481596705.68604213,296559763.7089096,305894800.69792014,38627993.8312498
2005-09-01,8096429.279151088,0.0,345295866.8973175,309870098.9456706,46375453.32259862,18394283.389809255
2005-10-01,25863135.97689796,0.0,403379049.33403134,215100866.24694118,272237820.0586173,9197141.694904627
2005-11-01,1363970.3306371823,0.0,348572685.2638133,180866077.60356864,71212376.21479708,0.0
2005-12-01,10081889.25327116,0.0,421267443.9226996,129392471.66456465,202644606.64379773,0.0
2006-01-01,20704907.454955753,0.0,511622143.92645717,121194932.51503524,224345968.7218783,0.0
2006-02-01,28776870.367468517,0.0,516907154.28326356,151528817.05365497,165704872.16797256,0.0
2006-03-01,314950056.7139608,28791613.25818567,946053331.2361498,144149844.95741963,917037691.8824521,0.0
2006-04-01,20603513.145844195,0.0,889806634.7802073,199302630.20509824,153059531.14868256,7980223.193376496
2006-05-01,8855692.302211795,251991.06787143013,603278793.5270683,342186704.33832157,23411772.338076282,20748579.14110681
2006-06-01,12447091.194942452,4631106.968056087,356502966.6246364,398303691.73293334,34497246.964834906,31920892.773505986
2006-07-01,25488187.13411605,9020677.677562887,364476221.5533077,348391520.85025865,294994831.97437614,41497158.28221362
2006-08-01,15811362.81521712,5467119.518754822,270345520.25161093,345695534.8700471,40237410.620701745,33516936.75483214
2006-09-01,7940163.323581645,0.0,238457541.15713242,256711541.05603132,62233992.02989958,15960446.386752993
2006-10-01,27912848.108779494,0.0,423710023.32580614,171699709.46182752,373671152.78706855,7980223.193376496
2006-11-01,1245098.8285100057,0.0,370945825.0073964,148391454.79990575,71733637.41591743,0.0
2006-12-01,19113765.879367758,0.0,513380816.80689335,132493723.28572555,289773927.8512104,0.0
2007-01-01,26432177.65219216,0.0,566393372.3938911,118584177.2755059,187406672.30854765,0.0
2007-02-01,44037690.341696784,0.0,630401626.0189462,132387078.67388234,230966383.70019045,0.0
2007-03-01,15013206.800421743,0.0,559649746.6631532,188720308.83530968,89252422.96755794,0.0
2007-04-01,33033634.289693996,0.0,575085578.7975959,203088701.54464307,222028444.97516,6038114.46323854
2007-05-01,4250512.008785107,0.0,419369994.6009568,297272337.4749256,27966964.24610758,15699097.622348562
2007-06-01,8161451.429477903,1097880.4665923782,272080791.95577836,381932829.91862726,21649580.79513951,24152457.85295416
2007-07-01,22969951.29537371,4846957.210167302,261413622.10995454,342985568.199294,189130748.76626936,31398195.244697124
2007-08-01,26602246.55350773,2725409.327051981,277662289.715188,319420653.078455,248475277.22713882,25360079.842339676
2007-09-01,39382919.75528343,0.0,313166236.24428594,270205156.03720015,291031418.31213105,12076228.92647708
2007-10-01,1013184.7256706543,0.0,267037532.1381183,212069929.34690183,11829471.483285284,6038114.46323854
2007-11-01,31921132.16580906,0.0,352583013.53028107,147525858.9994823,256149904.97992092,0.0
2007-12-01,81936897.23990464,218674.92404040255,678927396.9392309,85645979.2208078,494145934.79370236,0.0
2008-01-01,364840904.0558728,19584808.825570602,954628715.39199,111521506.4649491,771648537.7991519,0.0
2008-02-01,361675338.686981,0.0,1041931002.0096523,132434733.8951685,581412359.1998119,0.0
2008-03-01,30002639.537575345,0.0,945752030.0916958,173628202.78905094,106021721.94738339,0.0
2008-04-01,38632.38840617545,0.0,750843906.890464,227077004.13996083,14973224.483977938,6339341.364334632
2008-05-01,6557617.463889298,0.0,653886400.9881954,248637139.4820471,124206998.42306173,16482286.474556424
2008-06-01,7568519.755271204,1337733.4783347254,384846351.38346016,414366654.5064077,42207166.747008964,25357365.457338527
2008-07-01,18711046.021238104,5524784.006407609,307928975.4851422,375155599.51741976,186805794.2124313,32964572.949112847
2008-08-01,18548287.892057627,2366430.8830143493,284512337.2108107,336903913.1656626,199525220.1217277,26625232.16277743
2008-09-01,2946549.841268587,0.0,236507407.45082796,278491466.68902755,27026461.035575178,12678682.728669263
2008-10-01,6826917.9038488725,0.0,242622082.4410891,208016817.95245495,127791617.95163472,6339341.364334632
2008-11-01,21767643.046111427,0.0,360297788.8270939,117112662.16512153,253624966.98391026,0.0
2008-12-01,266198792.06600723,5815629.804635211,973358414.6525526,79711618.0519608,964786665.7480606,0.0
2009-01-01,186463240.3615742,0.0,1009030371.2433141,111161766.90920003,333296963.8615354,0.0
2009-02-01,459221219.3518545,1243950.198379877,1065469827.1636618,128097453.4579215,645002078.9285024,0.0
2009-03-01,32549364.298031606,0.0,950408510.3191062,191611532.13890174,106508069.99305561,0.0
2009-04-01,26436558.321716044,0.0,890280429.6420715,219846316.4121725,170560353.4294858,6357103.3746933965
2009-05-01,5916794.985696214,0.0,694276459.2233883,310214423.3591606,85890102.91392155,16528468.61931702
2009-06-01,8499547.156483212,2579603.241277461,432603125.67335904,385110569.6211374,54390538.50059111,25428413.498773586
2009-07-01,12374119.658732362,4519083.941825114,267740815.06700295,411755332.81787425,83491687.19819519,33056937.23863404
2009-08-01,10763912.3624734,2188035.5828935904,205308954.59109077,354849416.67792934,26328346.60548478,26699834.334595654
2009-09-01,5879944.782833833,0.0,199827648.19179392,274836972.7073334,114237478.73991665,12714206.749386793
2009-10-01,1562070.1789078685,0.0,184714573.50967693,206302338.1493254,54769562.853255,6357103.3746933965
2009-11-01,1334950.5552179131,0.0,193751631.72512266,164225117.70838428,109412251.33683775,0.0
2009-12-01,105200301.06760368,1506183.627194039,859351820.3984364,78663405.98396863,850970079.3520796,0.0
2010-01-01,727394448.203024,32259050.33477661,1076919475.0814748,98729904.81722352,1075951058.0380616,0.0
2010-02-01,489819248.9398644,147369.86350237447,1099600769.24051,91261748.46134122,603909661.4237428,0.0
2010-03-01,363021030.82279456,613933.2222872488,1099732837.6105206,131936968.9433255,495704001.35841763,0.0
2010-04-01,90572348.29406004,0.0,1066067895.7188096,167219333.80881578,216862059.36739725,7264680.843768269
2010-05-01,8706857.03086222,0.0,869805676.9913504,272241860.1985176,63385318.16543635,18888169.977362797
2010-06-01,10459814.140235666,3332401.9806226315,530026090.7272934,423297453.3772549,44231609.824335225,29058723.375073075
2010-07-01,16217001.795501515,6120888.0886269985,340228055.083103,437879178.68613297,140317724.1355532,37776339.95472559
2010-08-01,18596775.23889978,3992167.443427963,290881208.60523885,387762571.12642366,191410517.9668963,30511658.82973764
2010-09-01,3175247.655441773,0.0,209809559.4900633,354080114.48805475,14034234.28741747,14529361.687536538
2010-10-01,55958848.96694756,0.0,589929985.8363062,168520191.17821175,597273475.2931161,7264680.843768269
2010-11-01,87910964.33720203,24023.823166807826,840671757.984979,132929143.54066658,471468422.2719369,0.0
2010-12-01,892328085.9377545,243908321.5672942,1095305136.9328766,85055857.31254904,1475925643.7654932,0.0
2011-01-01,15118911.679682337,0.0,1044141234.5512412,99014719.19744311,62969728.495491,0.0
2011-02-01,583945367.9726485,319601.0251796655,1096577473.8204377,106371209.64595295,743072417.9129761,0.0
2011-03-01,277199947.29385823,622468.7854030442,1086971687.5163407,172383741.884149,440600371.65931296,0.0
2011-04-01,166456954.78516218,0.0,1066477430.3409972,207751274.8119685,345228134.5745719,8395473.338361252
