Date,Recharge_m3,Runoff_m3,Soil_Water_End_m3,AET_m3,Precip_and_Snowmelt_m3,Irrigation_m3
2005-01-01,493585160.4836955,10882412.707535924,774263781.7319406,11659001.211829647,537144362.9548697,0.0
2005-02-01,289992474.50161314,5861.2219193545,777439868.4794729,11637717.203701481,304840819.16991013,0.0
2005-03-01,360808939.89495444,4511963.067139066,777741330.0683271,23115772.17859484,388769460.5465766,0.0
2005-04-01,104028788.57091431,0.0,768612941.7158023,59732377.77806177,149915227.26950866,4740547.767425083
2005-05-01,189141008.4023342,0.0,760571441.767117,123142732.55538754,291924561.0856895,12325423.661342362
2005-06-01,99832873.97352903,0.0,671078073.3275225,173260577.64456996,164609920.32241663,18962191.06970033
2005-07-01,3860366.6814469756,0.0,538884548.4748232,169222809.98716822,2324041.5777095594,24650847.322684724
2005-08-01,23986183.381073337,0.0,502247929.7665276,133237679.32062148,38436543.37779346,19910299.811758015
2005-09-01,35456951.443579964,0.0,490126917.19726485,93993135.02378394,59836293.71437656,9481095.534850165
2005-10-01,52617629.41916938,0.0,492889658.5141964,47574159.37684001,88063999.91810538,4740547.767425083
2005-11-01,281836411.04428256,464905.34221991955,613123094.0896057,40712973.495200224,443294915.89424664,0.0
2005-12-01,437061235.31589884,44289635.48600017,729464291.5237206,14787227.125412008,612547874.758138,0.0
2006-01-01,472079153.69328105,9363024.26010272,772705719.3936774,8206739.575373773,532949792.3627062,0.0
2006-02-01,223349815.87612593,66050.46817396111,776855631.6453109,12793270.835850485,240389762.969709,0.0
2006-03-01,624040567.5639776,14300931.930513686,778549229.5499977,16037182.986436527,656139329.9111778,0.0
2006-04-01,245876876.82991663,52181.411419022435,775712213.2379396,74987722.53154807,314321848.11057377,3774022.1226607156
2006-05-01,53326039.84780669,0.0,708317577.932643,118702344.23160762,94810394.62782858,9812457.839028873
2006-06-01,51059153.474578165,0.0,594690346.2480453,168839301.4974316,90359112.93072937,15096088.490642862
2006-07-01,29654832.876672868,0.0,514712514.38562274,156141433.02379277,47168980.00049497,19624915.678057745
2006-08-01,59275791.40268582,0.0,490024225.9343473,151637508.04513294,105162217.08839943,15850893.085354183
2006-09-01,159259946.23144996,0.0,511997222.62381023,101486100.63570318,268367765.058382,7548044.245321431
2006-10-01,173767092.05653596,0.0,541879119.6133869,83190195.29309967,282890693.98245347,3774022.1226607156
2006-11-01,314127968.96407646,1915213.8272199612,647111687.81322,38116407.071539715,459431146.94799924,0.0
2006-12-01,180671410.88150582,0.0,705009629.8144444,8146159.925366902,246742557.86760795,0.0
2007-01-01,141278601.0878115,0.0,741838264.7303109,5921148.850351718,184046991.43709764,0.0
2007-02-01,409788704.5752696,2530077.4690059465,774965565.1983333,13644294.57943628,459130988.4886787,0.0
2007-03-01,166254001.53209025,0.0,774935516.5938178,36570772.98432203,202819303.59871882,0.0
2007-04-01,106678621.23657839,16238.425051949109,753304266.4305366,69231971.043847,149819400.1814732,4473761.806327959
2007-05-01,82422384.60519767,0.0,676421471.3587873,132057435.13192911,125869783.82714553,11631780.302499406
2007-06-01,42963516.518799946,0.0,563398531.5275521,162559914.1896133,67606643.64263473,17895047.225311834
2007-07-01,60518170.450709395,0.0,520129678.03847784,156475079.2463178,103720193.41655295,23263560.604998812
2007-08-01,63831656.63571052,0.0,503420258.65078616,139555467.63228047,107418842.87454376,18789799.055660084
2007-09-01,114388823.50228368,0.0,506211579.91973007,110404902.50032365,195067916.4507845,8947523.612655917
2007-10-01,164971976.20643148,0.0,523805265.75725585,81300056.31102271,254865760.91634205,4473761.806327959
2007-11-01,54262745.16644152,0.0,527887801.9611238,29173453.727518365,84943697.65139535,0.0
2007-12-01,419936286.2971236,14397658.560037656,700052242.2596595,18210143.757132098,624771282.1333892,0.0
2008-01-01,660505703.9557009,65685245.99841585,777450937.8216358,994633.9944953432,804654411.7983483,0.0
2008-02-01,565547205.891641,7072914.439982789,778593356.9295546,1139088.1230799016,574953450.1894662,0.0
